energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-3.86893447,4.40551405,0.03580359,0.31086812,2.93206757,1.22397819,1.50891499,1.02667814,0.01250858,2.55960574
-3.86293147,4.45372019,0.03449340,0.33004559,2.91473224,1.20382393,1.59134418,1.06469230,0.01303548,2.55650301
-3.85692846,4.51324476,0.03334903,0.35091692,2.90368761,1.18704502,1.68239464,1.10721177,0.01359819,2.55786557
-3.85092546,4.58454929,0.03239828,0.37358970,2.89854428,1.17377681,1.78272518,1.15471269,0.01419571,2.56348729
-3.84492246,4.66796113,0.03166511,0.39816310,2.89875319,1.16407866,1.89294549,1.20766841,0.01482688,2.57305715
-3.83891946,4.76367461,0.03116923,0.42472486,2.90362729,1.15793889,2.01360141,1.26654043,0.01549040,2.58617297
-3.83291646,4.87175318,0.03092582,0.45334824,2.91236675,1.15528127,2.14516005,1.33176789,0.01618483,2.60235694
-3.82691346,4.99213131,0.03094536,0.48408909,2.92408636,1.15597262,2.28799527,1.40375583,0.01690850,2.62107214
-3.82091046,5.12461554,0.03123348,0.51698294,2.93784389,1.15983099,2.44237349,1.48286207,0.01765957,2.64173905
-3.81490745,5.26888406,0.03179093,0.55204243,2.95266809,1.16663388,2.60844037,1.56938309,0.01843595,2.66375126
-3.80890445,5.42448448,0.03261368,0.58925494,2.96758539,1.17612617,2.78620852,1.66353904,0.01923527,2.68648997
-3.80290145,5.59083010,0.03369300,0.62858074,2.98164447,1.18802727,2.97554685,1.76545833,0.02005488,2.70933661
-3.79689845,5.76719481,0.03501563,0.66995150,2.99393797,1.20203748,3.17617179,1.87516247,0.02089181,2.73168375
-3.79089545,5.95270761,0.03656408,0.71326948,3.00362113,1.21784326,3.38764093,1.99255142,0.02174275,2.75294398
-3.78489245,6.14634740,0.03831691,0.75840721,3.00992689,1.23512149,3.60934949,2.11739047,0.02260404,2.77255710
-3.77888944,6.34693928,0.04024913,0.80520788,3.01217777,1.25354268,3.84052996,2.24929911,0.02347168,2.78999591
-3.77288644,6.55315331,0.04233267,0.85348632,3.00979431,1.27277345,4.08025522,2.38774271,0.02434136,2.80477085
-3.76688344,6.76350701,0.04453689,0.90303072,3.00230060,1.29247820,4.32744537,2.53202767,0.02520845,2.81643400
-3.76088044,6.97637239,0.04682916,0.95360486,2.98932708,1.31232049,4.58087841,2.68130059,0.02606811,2.82458267
-3.75487744,7.18998824,0.04917557,1.00495100,2.97061103,1.33196415,4.83920463,2.83455202,0.02691536,2.82886309
