energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-5.48974487,0.42346073,0.05219521,0.00000000,0.25294295,0.02933236,0.00104214,0.09986141
-5.48374187,0.46119556,0.05797011,0.00000000,0.27405621,0.03146641,0.00121828,0.10536766
-5.47773887,0.50020311,0.06408458,0.00000000,0.29573306,0.03362265,0.00142361,0.11072602
-5.47173587,0.54026839,0.07051715,0.00000000,0.31784642,0.03578675,0.00166346,0.11589641
-5.46573287,0.58115535,0.07724069,0.00000000,0.34025612,0.03794481,0.00194421,0.12084341
-5.45972986,0.62261035,0.08422269,0.00000000,0.36281015,0.04008357,0.00227337,0.12553654
-5.45372686,0.66436642,0.09142570,0.00000000,0.38534634,0.04219066,0.00265975,0.12995048
-5.44772386,0.70614848,0.09880799,0.00000000,0.40769470,0.04425478,0.00311354,0.13406523
-5.44172086,0.74767915,0.10632436,0.00000000,0.42968023,0.04626598,0.00364640,0.13786624
-5.43571786,0.78868527,0.11392716,0.00000000,0.45112633,0.04821576,0.00427148,0.14134447
-5.42971486,0.82890465,0.12156735,0.00000000,0.47185865,0.05009726,0.00500343,0.14449653
-5.42371186,0.86809300,0.12919573,0.00000000,0.49170934,0.05190537,0.00585831,0.14732473
-5.41770885,0.90603061,0.13676417,0.00000000,0.51052155,0.05363674,0.00685340,0.14983719
-5.41170585,0.94252857,0.14422688,0.00000000,0.52815401,0.05528982,0.00800696,0.15204789
-5.40570285,0.97743408,0.15154156,0.00000000,0.54448547,0.05686476,0.00933788,0.15397674
-5.39969985,1.01063459,0.15867048,0.00000000,0.55941877,0.05836330,0.01086515,0.15564946
-5.39369685,1.04206052,0.16558138,0.00000000,0.57288433,0.05978858,0.01260737,0.15709746
-5.38769385,1.07168625,0.17224819,0.00000000,0.58484286,0.06114485,0.01458196,0.15835745
-5.38169085,1.09952923,0.17865144,0.00000000,0.59528699,0.06243720,0.01680448,0.15947086
-5.37568784,1.12564715,0.18477846,0.00000000,0.60424178,0.06367116,0.01928770,0.16048297
-5.36968484,1.15013321,0.19062327,0.00000000,0.61176391,0.06485233,0.02204075,0.16144184
-5.36368184,1.17310956,0.19618612,0.00000000,0.61793956,0.06598591,0.02506816,0.16239685
-5.35767884,1.19471917,0.20147288,0.00000000,0.62288092,0.06707637,0.02836902,0.16339704
-5.35167584,1.21511655,0.20649410,0.00000000,0.62672156,0.06812696,0.03193614,0.16448918
-5.34567284,1.23445761,0.21126381,0.00000000,0.62961070,0.06913938,0.03575539,0.16571580
-5.33966983,1.25288927,0.21579833,0.00000000,0.63170673,0.07011350,0.03980516,0.16711297
-5.33366683,1.27053929,0.22011484,0.00000000,0.63317015,0.07104709,0.04405609,0.16870832
-5.32766383,1.28750690,0.22422995,0.00000000,0.63415646,0.07193573,0.04847105,0.17051916
-5.32166083,1.30385467,0.22815840,0.00000000,0.63480905,0.07277278,0.05300543,0.17255080
-5.31565783,1.31960224,0.23191170,0.00000000,0.63525279,0.07354947,0.05760775,0.17479549
-5.30965483,1.33472203,0.23549709,0.00000000,0.63558834,0.07425513,0.06222062,0.17723164
-5.30365183,1.34913748,0.23891656,0.00000000,0.63588764,0.07487752,0.06678202,0.17982381
-5.29764882,1.36272362,0.24216622,0.00000000,0.63619080,0.07540324,0.07122690,0.18252320
-5.29164582,1.37531032,0.24523589,0.00000000,0.63650436,0.07581826,0.07548906,0.18526886
-5.28564282,1.38668774,0.24810896,0.00000000,0.63680130,0.07610849,0.07950322,0.18798950
-5.27963982,1.39661386,0.25076252,0.00000000,0.63702240,0.07626038,0.08320727,0.19060576
-5.27363682,1.40482372,0.25316777,0.00000000,0.63707921,0.07626154,0.08654455,0.19303301
-5.26763382,1.41103981,0.25529068,0.00000000,0.63685823,0.07610131,0.08946612,0.19518445
-5.26163082,1.41498311,0.25709279,0.00000000,0.63622608,0.07577127,0.09193290,0.19697428
-5.25562781,1.41638426,0.25853223,0.00000000,0.63503558,0.07526569,0.09391761,0.19832096
-5.24962481,1.41499430,0.25956488,0.00000000,0.63313210,0.07458186,0.09540638,0.19915025
-5.24362181,1.41059450,0.26014553,0.00000000,0.63036024,0.07372029,0.09640006,0.19939794
-5.23761881,1.40300490,0.26022924,0.00000000,0.62657021,0.07268481,0.09691495,0.19901217
-5.23161581,1.39209123,0.25977257,0.00000000,0.62162388,0.07148248,0.09698321,0.19795515
-5.22561281,1.37776999,0.25873490,0.00000000,0.61540012,0.07012344,0.09665263,0.19620427
