energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-0.66333167,5.70904614,0.50378694,4.08263464,0.00347275,0.05885689,0.03346551,0.31214307,0.24584602,1.35763465
-0.65732866,5.79302787,0.51965994,4.15367931,0.00362033,0.05938868,0.03480150,0.31678369,0.25028289,1.36355301
-0.65132566,5.87391468,0.53505076,4.22361409,0.00378782,0.05987164,0.03600870,0.32091129,0.25425984,1.36779991
-0.64532266,5.94997305,0.54973485,4.29115089,0.00397367,0.06028706,0.03706580,0.32443442,0.25769669,1.37003478
-0.63931966,6.01942666,0.56348657,4.35492267,0.00417570,0.06061705,0.03795398,0.32726586,0.26052146,1.36995296
-0.63331666,6.08050867,0.57608384,4.41352397,0.00439110,0.06084500,0.03865741,0.32932513,0.26267230,1.36729508
-0.62731366,6.13151370,0.58731286,4.46555334,0.00461649,0.06095602,0.03916375,0.33054078,0.26409895,1.36185423
-0.62131066,6.17084749,0.59697262,4.50965589,0.00484799,0.06093729,0.03946447,0.33085239,0.26476382,1.35348077
-0.61530765,6.19707277,0.60487927,4.54456453,0.00508128,0.06077840,0.03955508,0.33021223,0.26464255,1.34208484
-0.60930465,6.20894984,0.61087002,4.56913847,0.00531169,0.06047158,0.03943526,0.32858651,0.26372418,1.32763662
-0.60330165,6.20547061,0.61480670,4.58239739,0.00553435,0.06001188,0.03910884,0.32595633,0.26201087,1.31016454
-0.59729865,6.18588535,0.61657877,4.58355037,0.00574428,0.05939735,0.03858364,0.32231811,0.25951720,1.28975172
-0.59129565,6.14972113,0.61610574,4.57201836,0.00593653,0.05862906,0.03787124,0.31768366,0.25626927,1.26653097
-0.58529265,6.09679193,0.61333892,4.54744957,0.00610637,0.05771113,0.03698657,0.31207996,0.25230344,1.24067872
-0.57928964,6.02719995,0.60826258,4.50972730,0.00624935,0.05665070,0.03594746,0.30554841,0.24766491,1.21240821
-0.57328664,5.94132860,0.60089431,4.45897001,0.00636152,0.05545779,0.03477410,0.29814397,0.24240627,1.18196223
-0.56728364,5.83982732,0.59128469,4.39552385,0.00643950,0.05414520,0.03348843,0.28993389,0.23658588,1.14960587
-0.56128064,5.72358917,0.57951630,4.31994797,0.00648061,0.05272822,0.03211349,0.28099622,0.23026638,1.11561933
-0.55527764,5.59372199,0.56570191,4.23299348,0.00648298,0.05122442,0.03067281,0.27141820,0.22351315,1.08029111
-0.54927464,5.45151437,0.54998212,4.13557699,0.00644555,0.04965329,0.02918972,0.26129441,0.21639299,1.04391177
-0.54327164,5.29839772,0.53252231,4.02874989,0.00636820,0.04803584,0.02768681,0.25072490,0.20897280,1.00676822
-0.53726863,5.13590591,0.51350916,3.91366487,0.00625165,0.04639422,0.02618535,0.23981321,0.20131846,0.96913878
-0.53126563,4.96563409,0.49314659,3.79154100,0.00609751,0.04475122,0.02470483,0.22866441,0.19349391,0.93128884
-0.52526263,4.78919806,0.47165153,3.66362894,0.00590820,0.04312979,0.02326258,0.21738313,0.18556027,0.89346738
-0.51925963,4.60819595,0.44924941,3.53117775,0.00568684,0.04155252,0.02187345,0.20607175,0.17757523,0.85590401
-0.51325663,4.42417315,0.42616963,3.39540448,0.00543720,0.04004114,0.02054965,0.19482864,0.16959250,0.81880683
-0.50725363,4.23859210,0.40264102,3.25746777,0.00516352,0.03861599,0.01930066,0.18374658,0.16166145,0.78236083
-0.50125063,4.05280746,0.37888766,3.11844624,0.00487039,0.03729560,0.01813318,0.17291143,0.15382682,0.74672695
-0.49524762,3.86804743,0.35512489,2.97932233,0.00456262,0.03609621,0.01705132,0.16240089,0.14612865,0.71204171
-0.48924462,3.68540156,0.33155588,2.84097178,0.00424508,0.03503143,0.01605669,0.15228368,0.13860215,0.67841729
-0.48324162,3.50581483,0.30836860,2.70415870,0.00392259,0.03411193,0.01514872,0.14261885,0.13127783,0.64594226
-0.47723862,3.33008793,0.28573353,2.56953598,0.00359975,0.03334526,0.01432493,0.13345538,0.12418159,0.61468263
-0.47123562,3.15888286,0.26380189,2.43765033,0.00328086,0.03273567,0.01358129,0.12483206,0.11733497,0.58468336
-0.46523262,2.99273320,0.24270458,2.30895132,0.00296982,0.03228412,0.01291261,0.11677761,0.11075533,0.55597031
-0.45922961,2.83205812,0.22255170,2.18380334,0.00267007,0.03198831,0.01231288,0.10931095,0.10445625,0.52855244
-0.45322661,2.67717883,0.20343270,2.06249956,0.00238455,0.03184281,0.01177571,0.10244180,0.09844782,0.50242430
-0.44722361,2.52833670,0.18541704,1.94527692,0.00211564,0.03183933,0.01129464,0.09617130,0.09273708,0.47756877
-0.44122061,2.38571181,0.16855524,1.83233118,0.00186520,0.03196693,0.01086350,0.09049282,0.08732837,0.45396001
-0.43521761,2.24944103,0.15288043,1.72383116,0.00163458,0.03221242,0.01047671,0.08539292,0.08222378,0.43156639
-0.42921461,2.11963496,0.13841005,1.61993163,0.00142462,0.03256071,0.01012955,0.08085225,0.07742358,0.41035364
-0.42321161,1.99639301,0.12514779,1.52078413,0.00123575,0.03299524,0.00981830,0.07684659,0.07292668,0.39028789
