energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down
-2.24212106,5.13766161,-5.13663606,0.40519102,-0.40505642,4.53586178,-4.53500304,0.00761585,-0.00761414,0.15124443,-0.15120611,0.66769654,-0.66748918,0.01043926,-0.01043857
-2.23611806,5.30080211,-5.29979652,0.43096237,-0.43082340,4.66766839,-4.66683371,0.00814517,-0.00814339,0.15903639,-0.15899780,0.70374093,-0.70352761,0.01054751,-0.01054683
-2.23011506,5.45932067,-5.45833773,0.45736333,-0.45722085,4.79435588,-4.79354688,0.00867981,-0.00867798,0.16684013,-0.16680142,0.74055428,-0.74033639,0.01065087,-0.01065019
-2.22411206,5.61278439,-5.61182704,0.48420336,-0.48405836,4.91572561,-4.91494399,0.00921335,-0.00921150,0.17461106,-0.17457238,0.77787336,-0.77765247,0.01075091,-0.01075022
-2.21810905,5.76071862,-5.75979015,0.51126677,-0.51112039,5.03156201,-5.03080970,0.00973978,-0.00973791,0.18230041,-0.18226197,0.81539969,-0.81517758,0.01084928,-0.01084858
-2.21210605,5.90258442,-5.90168862,0.53831510,-0.53816858,5.14160814,-5.14088743,0.01025364,-0.01025177,0.18985576,-0.18981775,0.85280123,-0.85257988,0.01094759,-0.01094687
-2.20610305,6.03776379,-6.03690498,0.56509067,-0.56494538,5.24554738,-5.24486101,0.01075029,-0.01074842,0.19722174,-0.19718438,0.88971591,-0.88949746,0.01104732,-0.01104658
-2.20010005,6.16555377,-6.16473688,0.59132162,-0.59117898,5.34299260,-5.34234380,0.01122604,-0.01122418,0.20434113,-0.20430468,0.92575700,-0.92554374,0.01114968,-0.01114891
-2.19409705,6.28517025,-6.28440073,0.61672798,-0.61658948,5.43348361,-5.43287608,0.01167835,-0.01167650,0.21115621,-0.21112090,0.96052036,-0.96031466,0.01125558,-0.01125478
-2.18809405,6.39576133,-6.39504508,0.64102879,-0.64089593,5.51649302,-5.51593089,0.01210597,-0.01210411,0.21761021,-0.21757631,0.99359322,-0.99339754,0.01136556,-0.01136474
