energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
4.55327664,1.54298406,0.90409034,0.01516746,0.02788568,0.06044041,0.60585454,0.00000000,0.17603206,0.07273011
4.55927964,1.56747728,0.90138232,0.01548105,0.02876562,0.06079955,0.62528332,0.00000000,0.17881501,0.07218764
4.56528264,1.58720314,0.89643291,0.01573304,0.02955006,0.06120031,0.64463128,0.00000000,0.18125337,0.07145568
4.57128564,1.60265129,0.88984036,0.01592667,0.03023738,0.06169038,0.66410883,0.00000000,0.18340913,0.07059660
4.57728864,1.61443872,0.88225241,0.01606725,0.03082892,0.06231537,0.68393294,0.00000000,0.18534877,0.06968047
4.58329165,1.62329144,0.87434950,0.01616200,0.03132874,0.06311719,0.70431691,0.00000000,0.18714005,0.06878405
4.58929465,1.63002333,0.86682831,0.01622000,0.03174338,0.06413253,0.72546028,0.00000000,0.18884881,0.06798971
4.59529765,1.63551303,0.86038612,0.01625189,0.03208147,0.06539169,0.74753958,0.00000000,0.19053598,0.06738427
4.60130065,1.64068012,0.85570673,0.01626974,0.03235346,0.06691768,0.77070035,0.00000000,0.19225484,0.06705791
4.60730365,1.64646131,0.85344823,0.01628669,0.03257119,0.06872571,0.79505099,0.00000000,0.19404883,0.06710308
4.61330665,1.65378773,0.85423301,0.01631667,0.03274757,0.07082307,0.82065864,0.00000000,0.19594992,0.06761332
4.61930965,1.66356378,0.85863991,0.01637409,0.03289635,0.07320932,0.84754731,0.00000000,0.19797759,0.06868214
4.62531266,1.67664826,0.86719836,0.01647346,0.03303180,0.07587687,0.87569829,0.00000000,0.20013861,0.07040177
4.63131566,1.69383768,0.88038426,0.01662908,0.03316860,0.07881175,0.90505264,0.00000000,0.20242745,0.07286182
4.63731866,1.71585191,0.89861702,0.01685464,0.03332174,0.08199468,0.93551538,0.00000000,0.20482728,0.07614781
4.64332166,1.74332187,0.92225715,0.01716289,0.03350653,0.08540220,0.96696100,0.00000000,0.20731160,0.08033944
4.64932466,1.77677870,0.95160377,0.01756531,0.03373858,0.08900783,0.99923967,0.00000000,0.20984619,0.08550868
4.65532766,1.81664404,0.98689142,0.01807170,0.03403396,0.09278318,1.03218342,0.00000000,0.21239140,0.09171762
4.66133067,1.86322073,1.02828566,0.01868993,0.03440923,0.09669892,1.06561192,0.00000000,0.21490445,0.09901603
4.66733367,1.91668360,1.07587702,0.01942552,0.03488157,0.10072557,1.09933700,0.00000000,0.21734173,0.10743875
4.67333667,1.97706989,1.12967316,0.02028143,0.03546880,0.10483397,1.13316568,0.00000000,0.21966077,0.11700294
4.67933967,2.04426941,1.18958937,0.02125770,0.03618932,0.10899550,1.16690133,0.00000000,0.22182197,0.12770526
4.68534267,2.11801446,1.25543775,0.02235128,0.03706200,0.11318205,1.20034286,0.00000000,0.22378982,0.13951920
4.69134567,2.19787026,1.32691563,0.02355579,0.03810588,0.11736567,1.23328219,0.00000000,0.22553358,0.15239259
4.69734867,2.28322652,1.40359428,0.02486144,0.03933979,0.12151808,1.26550016,0.00000000,0.22702752,0.16624562
4.70335168,2.37329136,1.48490887,0.02625494,0.04078174,0.12561005,1.29676157,0.00000000,0.22825066,0.18096938
4.70935468,2.46708871,1.57015084,0.02771959,0.04244829,0.12961070,1.32681004,0.00000000,0.22918606,0.19642532
4.71535768,2.56346058,1.65846408,0.02923543,0.04435368,0.13348693,1.35536332,0.00000000,0.22981990,0.21244563
4.72136068,2.66107540,1.74884598,0.03077952,0.04650894,0.13720302,1.38211014,0.00000000,0.23014030,0.22883472
4.72736368,2.75844354,1.84015431,0.03232632,0.04892093,0.14072047,1.40670912,0.00000000,0.23013624,0.24537194
4.73336668,2.85394059,1.93112083,0.03384829,0.05159136,0.14399823,1.42879055,0.00000000,0.22979650,0.26181560
4.73936968,2.94583890,2.02037181,0.03531646,0.05451590,0.14699332,1.44796154,0.00000000,0.22910893,0.27790816
4.74537269,3.03234710,2.10645557,0.03670126,0.05768330,0.14966190,1.46381468,0.00000000,0.22806001,0.29338256
4.75137569,3.11165671,2.18787654,0.03797335,0.06107479,0.15196083,1.47594023,0.00000000,0.22663493,0.30796956
4.75737869,3.18199480,2.26313486,0.03910447,0.06466364,0.15384952,1.48394160,0.00000000,0.22481805,0.32140576
4.76338169,3.24168059,2.33077012,0.04006848,0.06841497,0.15529228,1.48745338,0.00000000,0.22259388,0.33344209
4.76938469,3.28918388,2.38940772,0.04084215,0.07228590,0.15626073,1.48616117,0.00000000,0.21994843,0.34385241
4.77538769,3.32318273,2.43780560,0.04140615,0.07622605,0.15673645,1.47982214,0.00000000,0.21687092,0.35244177
4.78139070,3.34261762,2.47489943,0.04174572,0.08017834,0.15671355,1.46828518,0.00000000,0.21335565,0.35905408
4.78739370,3.34673941,2.49984390,0.04185138,0.08408014,0.15620104,1.45150929,0.00000000,0.20940401,0.36357875
4.79339670,3.33514859,2.51204821,0.04171937,0.08786478,0.15522489,1.42957921,0.00000000,0.20502634,0.36595598
4.79939970,3.30782351,2.51120378,0.04135197,0.09146333,0.15382959,1.40271704,0.00000000,0.20024364,0.36618041
4.80540270,3.26513610,2.49730279,0.04075753,0.09480653,0.15207907,1.37128894,0.00000000,0.19508891,0.36430299
4.81140570,3.20785374,2.47064645,0.03995041,0.09782699,0.15005696,1.33580642,0.00000000,0.18960797,0.36043082
4.81740870,3.13712699,2.43184236,0.03895056,0.10046137,0.14786603,1.29692156,0.00000000,0.18385980,0.35472506
4.82341171,3.05446333,2.38179104,0.03778302,0.10265259,0.14562677,1.25541633,0.00000000,0.17791624,0.34739690
4.82941471,2.96168776,2.32166204,0.03647714,0.10435194,0.14347512,1.21218607,0.00000000,0.17186099,0.33870163
4.83541771,2.86089193,2.25286059,0.03506573,0.10552093,0.14155950,1.16821760,0.00000000,0.16578805,0.32893130
4.84142071,2.75437354,2.17698623,0.03358406,0.10613294,0.14003690,1.12456296,0.00000000,0.15979961,0.31840591
4.84742371,2.64456874,2.09578505,0.03206875,0.10617450,0.13906851,1.08230940,0.00000000,0.15400330,0.30746380
4.85342671,2.53398000,2.01109771,0.03055668,0.10564615,0.13881475,1.04254706,0.00000000,0.14850919,0.29645135
4.85942971,2.42510229,1.92480524,0.02908388,0.10456288,0.13942990,1.00633535,0.00000000,0.14342639,0.28571255
4.86543272,2.32035055,1.83877474,0.02768446,0.10295415,0.14105667,0.97466952,0.00000000,0.13885954,0.27557872
4.87143572,2.22199097,1.75480727,0.02638967,0.10086348,0.14382067,0.94844843,0.00000000,0.13490536,0.26635887
4.87743872,2.13207863,1.67458966,0.02522701,0.09834763,0.14782517,0.92844498,0.00000000,0.13164919,0.25833094
4.88344172,2.05240371,1.59965214,0.02421957,0.09547547,0.15314627,0.91528019,0.00000000,0.12916197,0.25173419
4.88944472,1.98444795,1.53133311,0.02338543,0.09232654,0.15982877,0.90940189,0.00000000,0.12749757,0.24676316
4.89544772,1.92935269,1.47075210,0.02273737,0.08898951,0.16788278,0.91106895,0.00000000,0.12669061,0.24356316
4.90145073,1.88789955,1.41879181,0.02228265,0.08556046,0.17728146,0.92034154,0.00000000,0.12675505,0.24222760
4.90745373,1.86050385,1.37608941,0.02202304,0.08214121,0.18795992,0.93707798,0.00000000,0.12768341,0.24279714
4.91345673,1.84722103,1.34303719,0.02195503,0.07883765,0.19981536,0.96093823,0.00000000,0.12944678,0.24526053
4.91945973,1.84776530,1.31979210,0.02207015,0.07575829,0.21270866,0.99139413,0.00000000,0.13199571,0.24955736
4.92546273,1.86153962,1.30629350,0.02235557,0.07301292,0.22646732,1.02774592,0.00000000,0.13526183,0.25558227
4.93146573,1.88767566,1.30228808,0.02279467,0.07071151,0.24088973,1.06914480,0.00000000,0.13916027,0.26319064
4.93746873,1.92508187,1.30736064,0.02336783,0.06896328,0.25575076,1.11462040,0.00000000,0.14359280,0.27220533
4.94347174,1.97249769,1.32096914,0.02405329,0.06787598,0.27080835,1.16311254,0.00000000,0.14845152,0.28242437
4.94947474,2.02855147,1.34248246,0.02482796,0.06755524,0.28581098,1.21350584,0.00000000,0.15362300,0.29362913
4.95547774,2.09181961,1.37121893,0.02566837,0.06810409,0.30050572,1.26466594,0.00000000,0.15899274,0.30559266
4.96148074,2.16088431,1.40648388,0.02655153,0.06962232,0.31464641,1.31547595,0.00000000,0.16444969,0.31808785
4.96748374,2.23438746,1.44760441,0.02745572,0.07220581,0.32800188,1.36487149,0.00000000,0.16989068,0.33089505
4.97348674,2.31107805,1.49395969,0.02836122,0.07594566,0.34036346,1.41187298,0.00000000,0.17522449,0.34380878
4.97948974,2.38985120,1.54500538,0.02925098,0.08092698,0.35155179,1.45561369,0.00000000,0.18037548,0.35664343
4.98549275,2.46977680,1.60029094,0.03011101,0.08722741,0.36142231,1.49536249,0.00000000,0.18528642,0.36923738
4.99149575,2.55011670,1.65946909,0.03093079,0.09491514,0.36986932,1.53054013,0.00000000,0.18992052,0.38145577
4.99749875,2.63032961,1.72229690,0.03170336,0.10404666,0.37682832,1.56072856,0.00000000,0.19426245,0.39319160
5.00350175,2.71006373,1.78862853,0.03242535,0.11466405,0.38227654,1.58567301,0.00000000,0.19831827,0.40436526
5.00950475,2.78913780,1.85840026,0.03309675,0.12679198,0.38623161,1.60527670,0.00000000,0.20211431,0.41492259
5.01550775,2.86751174,1.93160842,0.03372062,0.14043451,0.38874844,1.61958883,0.00000000,0.20569495,0.42483178
5.02151076,2.94524884,2.00828183,0.03430257,0.15557187,0.38991453,1.62878668,0.00000000,0.20911948,0.43407913
5.02751376,3.02247197,2.08845019,0.03485017,0.17215727,0.38984390,1.63315275,0.00000000,0.21245806,0.44266435
5.03351676,3.09931644,2.17211042,0.03537230,0.19011404,0.38867004,1.63304863,0.00000000,0.21578709,0.45059546
5.03951976,3.17588265,2.25919301,0.03587843,0.20933334,0.38653827,1.62888691,0.00000000,0.21918414,0.45788386
5.04552276,3.25219146,2.34953039,0.03637788,0.22967249,0.38359790,1.62110290,0.00000000,0.22272269,0.46453984
5.05152576,3.32814525,2.44282944,0.03687913,0.25095428,0.37999466,1.61012768,0.00000000,0.22646700,0.47056898
5.05752876,3.40349702,2.53864978,0.03738919,0.27296730,0.37586379,1.59636397,0.00000000,0.23046732,0.47596950
5.06353177,3.47782982,2.63638946,0.03791306,0.29546758,0.37132418,1.58016606,0.00000000,0.23475571,0.48073094
5.06953477,3.55054770,2.73527906,0.03845332,0.31818144,0.36647378,1.56182478,0.00000000,0.23934267,0.48483409
5.07553777,3.62087890,2.83438480,0.03900985,0.34080967,0.36138659,1.54155792,0.00000000,0.24421481,0.48825223
5.08154077,3.68789129,2.93262080,0.03957969,0.36303303,0.35611125,1.51950663,0.00000000,0.24933361,0.49095355
5.08754377,3.75051908,3.02877009,0.04015708,0.38451891,0.35067125,1.49573736,0.00000000,0.25463546,0.49290437
5.09354677,3.80759938,3.12151347,0.04073365,0.40492893,0.34506671,1.47024902,0.00000000,0.26003283,0.49407319
5.09954977,3.85791637,3.20946486,0.04129869,0.42392733,0.33927747,1.44298456,0.00000000,0.26541668,0.49443477
5.10555278,3.90025058,3.29121162,0.04183960,0.44118980,0.33326731,1.41384581,0.00000000,0.27065991,0.49397431
5.11155578,3.93343039,3.36535769,0.04234237,0.45641246,0.32698890,1.38271064,0.00000000,0.27562172,0.49269106
5.11755878,3.95638277,3.43056772,0.04279222,0.46932054,0.32038920,1.34945095,0.00000000,0.28015269,0.49060109
5.12356178,3.96818046,3.48560989,0.04317413,0.47967657,0.31341490,1.31395059,0.00000000,0.28410028,0.48773905
5.12956478,3.96808290,3.52939562,0.04347349,0.48728752,0.30601762,1.27612171,0.00000000,0.28731465,0.48415858
