energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-1.68984492,1.62965879,1.04528281,0.03081530,0.01115783,0.53013546,0.12889538,0.70324761
-1.68384192,1.63616270,1.04947103,0.03095107,0.01136436,0.53179817,0.12906330,0.70840989
-1.67783892,1.64256609,1.05208475,0.03108633,0.01161993,0.53332124,0.12942454,0.71418727
-1.67183592,1.64883003,1.05315675,0.03122208,0.01191766,0.53465970,0.12996567,0.72061252
-1.66583292,1.65492309,1.05274104,0.03135936,0.01225012,0.53577213,0.13067102,0.72771188
-1.65982991,1.66081445,1.05090687,0.03149910,0.01260950,0.53661942,0.13152267,0.73549962
-1.65382691,1.66646667,1.04773245,0.03164185,0.01298780,0.53716353,0.13250032,0.74397247
-1.64782391,1.67182916,1.04329901,0.03178767,0.01337706,0.53736635,0.13358126,0.75310474
-1.64182091,1.67683268,1.03768547,0.03193589,0.01376948,0.53718879,0.13474035,0.76284421
-1.63581791,1.68138574,1.03096425,0.03208504,0.01415769,0.53659028,0.13595013,0.77310942
-1.62981491,1.68537331,1.02319835,0.03223278,0.01453487,0.53552873,0.13718112,0.78378869
-1.62381191,1.68865813,1.01444017,0.03237595,0.01489494,0.53396109,0.13840222,0.79474095
-1.61780890,1.69108491,1.00473191,0.03251058,0.01523268,0.53184444,0.13958145,0.80579874
-1.61180590,1.69248717,0.99410762,0.03263209,0.01554387,0.52913766,0.14068675,0.81677321
-1.60580290,1.69269676,0.98259684,0.03273553,0.01582541,0.52580351,0.14168710,0.82746114
-1.59979990,1.69155535,0.97022941,0.03281576,0.01607532,0.52181111,0.14255369,0.83765352
-1.59379690,1.68892733,0.95704124,0.03286786,0.01629285,0.51713858,0.14326125,0.84714556
-1.58779390,1.68471349,0.94308052,0.03288741,0.01647845,0.51177565,0.14378943,0.85574742
-1.58179090,1.67886445,0.92841405,0.03287080,0.01663375,0.50572618,0.14412415,0.86329526
-1.57578789,1.67139311,0.91313304,0.03281562,0.01676150,0.49901014,0.14425877,0.86966187
-1.56978489,1.66238510,0.89735814,0.03272086,0.01686546,0.49166524,0.14419521,0.87476634
-1.56378189,1.65200658,0.88124305,0.03258718,0.01695029,0.48374766,0.14394466,0.87858215
-1.55777889,1.64050855,0.86497664,0.03241706,0.01702139,0.47533211,0.14352805,0.88114317
-1.55177589,1.62822731,0.84878306,0.03221482,0.01708471,0.46651096,0.14297611,0.88254699
-1.54577289,1.61558059,0.83291987,0.03198665,0.01714656,0.45739251,0.14232896,0.88295549
-1.53976988,1.60305941,0.81767404,0.03174047,0.01721335,0.44809841,0.14163532,0.88259223
-1.53376688,1.59121568,0.80335596,0.03148571,0.01729143,0.43876040,0.14095123,0.88173678
-1.52776388,1.58064590,0.79029152,0.03123301,0.01738680,0.42951634,0.14033838,0.88071601
-1.52176088,1.57197161,0.77881266,0.03099390,0.01750495,0.42050600,0.13986202,0.87989282
-1.51575788,1.56581726,0.76924663,0.03078032,0.01765062,0.41186646,0.13958864,0.87965241
-1.50975488,1.56278638,0.76190445,0.03060423,0.01782762,0.40372764,0.13958339,0.88038702
