energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-5.06353177,5.63438247,2.24685504,0.00000000,2.02363175,3.50983140,0.69915878,0.00000000
-5.05752876,5.53415625,2.21427374,0.00000000,1.95806335,3.46866870,0.67255674,0.00000000
-5.05152576,5.42739988,2.17907875,0.00000000,1.89154860,3.42276719,0.64519374,0.00000000
-5.04552276,5.31448211,2.14132330,0.00000000,1.82447042,3.37216890,0.61720995,0.00000000
-5.03951976,5.19576852,2.10105783,0.00000000,1.75719067,3.31692398,0.58875795,0.00000000
-5.03351676,5.07163564,2.05833663,0.00000000,1.69005409,3.25710109,0.56000405,0.00000000
-5.02751376,4.94248577,2.01322424,0.00000000,1.62339252,3.19279799,0.53112921,0.00000000
-5.02151076,4.80876145,1.96580130,0.00000000,1.55752907,3.12415200,0.50232929,0.00000000
-5.01550775,4.67095914,1.91616964,0.00000000,1.49278190,3.05134979,0.47381465,0.00000000
-5.00950475,4.52964132,1.86445643,0.00000000,1.42946732,2.97463619,0.44580904,0.00000000
-5.00350175,4.38544669,1.81081719,0.00000000,1.36790211,2.89432193,0.41854768,0.00000000
-4.99749875,4.23909816,1.75543785,0.00000000,1.30840494,2.81078984,0.39227472,0.00000000
-4.99149575,4.09140835,1.69853574,0.00000000,1.25129676,2.72449966,0.36724013,0.00000000
-4.98549275,3.94328254,1.64035956,0.00000000,1.19690038,2.63599102,0.34369599,0.00000000
-4.97948974,3.79571884,1.58118861,0.00000000,1.14553916,2.54588469,0.32189254,0.00000000
-4.97348674,3.64980555,1.52133107,0.00000000,1.09753491,2.45488181,0.30207391,0.00000000
-4.96748374,3.50671559,1.46112171,0.00000000,1.05320522,2.36376100,0.28447379,0.00000000
-4.96148074,3.36769765,1.40091879,0.00000000,1.01286008,2.27337313,0.26931104,0.00000000
-4.95547774,3.23406417,1.34110041,0.00000000,0.97679810,2.18463357,0.25678541,0.00000000
-4.94947474,3.10717576,1.28206007,0.00000000,0.94530218,2.09851180,0.24707343,0.00000000
-4.94347174,2.98842195,1.22420163,0.00000000,0.91863476,2.01601816,0.24032440,0.00000000
-4.93746873,2.87919839,1.16793352,0.00000000,0.89703265,1.93818774,0.23665674,0.00000000
-4.93146573,2.78088034,1.11366221,0.00000000,0.88070147,1.86606153,0.23615450,0.00000000
-4.92546273,2.69479283,1.06178505,0.00000000,0.86980961,1.80066478,0.23886425,0.00000000
-4.91945973,2.62217794,1.01268242,0.00000000,0.86448198,1.74298321,0.24479222,0.00000000
-4.91345673,2.56415968,0.96670943,0.00000000,0.86479348,1.69393722,0.25390193,0.00000000
-4.90745373,2.52170756,0.92418733,0.00000000,0.87076228,1.65435504,0.26611225,0.00000000
-4.90145073,2.49559974,0.88539475,0.00000000,0.88234328,1.62494535,0.28129597,0.00000000
-4.89544772,2.48638709,0.85055921,0.00000000,0.89942180,1.60627046,0.29927911,0.00000000
-4.88944472,2.49435965,0.81984919,0.00000000,0.92180784,1.59872097,0.31984097,0.00000000
-4.88344172,2.51951671,0.79336697,0.00000000,0.94923123,1.60249299,0.34271505,0.00000000
-4.87743872,2.56154236,0.77114275,0.00000000,0.98133796,1.61756893,0.36759104,0.00000000
-4.87143572,2.61978766,0.75313035,0.00000000,1.01768808,1.64370302,0.39411781,0.00000000
-4.86543272,2.69326079,0.73920466,0.00000000,1.05775550,1.68041217,0.42190764,0.00000000
-4.85942971,2.78062644,0.72916130,0.00000000,1.10092984,1.72697332,0.45054154,0.00000000
-4.85342671,2.88021498,0.72271841,0.00000000,1.14652086,1.78242749,0.47957578,0.00000000
-4.84742371,2.99004208,0.71952088,0.00000000,1.19376540,1.84559108,0.50854939,0.00000000
-4.84142071,3.10783874,0.71914684,0.00000000,1.24183697,1.91507432,0.53699265,0.00000000
-4.83541771,3.23109150,0.72111646,0.00000000,1.28985804,1.98930684,0.56443623,0.00000000
-4.82941471,3.35709195,0.72490269,0.00000000,1.33691484,2.06656962,0.59042086,0.00000000
-4.82341171,3.48299446,0.72994381,0.00000000,1.38207440,2.14503279,0.61450714,0.00000000
-4.81740870,3.60588045,0.73565734,0.00000000,1.42440345,2.22279795,0.63628522,0.00000000
-4.81140570,3.72282745,0.74145479,0.00000000,1.46298866,2.29794405,0.65538411,0.00000000
-4.80540270,3.83098061,0.74675697,0.00000000,1.49695771,2.36857509,0.67148012,0.00000000
-4.79939970,3.92762435,0.75100912,0.00000000,1.52550037,2.43286827,0.68430425,0.00000000
-4.79339670,4.01025176,0.75369543,0.00000000,1.54788888,2.48912087,0.69364827,0.00000000
-4.78739370,4.07662920,0.75435244,0.00000000,1.56349706,2.53579424,0.69936919,0.00000000
-4.78139070,4.12485379,0.75258083,0.00000000,1.57181706,2.57155338,0.70139196,0.00000000
-4.77538769,4.15340179,0.74805513,0.00000000,1.57247342,2.59530067,0.69971034,0.00000000
-4.76938469,4.16116602,0.74053107,0.00000000,1.56523359,2.60620261,0.69438593,0.00000000
-4.76338169,4.14748094,0.72985034,0.00000000,1.55001458,2.60370860,0.68554526,0.00000000
-4.75737869,4.11213465,0.71594255,0.00000000,1.52688531,2.58756112,0.67337522,0.00000000
-4.75137569,4.05536723,0.69882438,0.00000000,1.49606463,2.55779717,0.65811691,0.00000000
-4.74537269,3.97785587,0.67859611,0.00000000,1.45791495,2.51474086,0.64005809,0.00000000
-4.73936968,3.88068732,0.65543555,0.00000000,1.41293169,2.45898765,0.61952468,0.00000000
-4.73336668,3.76531889,0.62958984,0.00000000,1.36172907,2.39138103,0.59687140,0.00000000
-4.72736368,3.63352979,0.60136534,0.00000000,1.30502257,2.31298256,0.57247201,0.00000000
-4.72136068,3.48736461,0.57111621,0.00000000,1.24360901,2.22503664,0.54670948,0.00000000
-4.71535768,3.32907141,0.53923202,0.00000000,1.17834474,2.12893138,0.51996632,0.00000000
-4.70935468,3.16103665,0.50612496,0.00000000,1.11012297,2.02615716,0.49261556,0.00000000
-4.70335168,2.98571953,0.47221712,0.00000000,1.03985101,1.91826437,0.46501237,0.00000000
-4.69734867,2.80558798,0.43792833,0.00000000,0.96842818,1.80682201,0.43748687,0.00000000
-4.69134567,2.62305859,0.40366489,0.00000000,0.89672518,1.69337845,0.41033813,0.00000000
-4.68534267,2.44044222,0.36980965,0.00000000,0.82556561,1.57942555,0.38382945,0.00000000
-4.67933967,2.25989694,0.33671356,0.00000000,0.75571003,1.46636739,0.35818522,0.00000000
-4.67333667,2.08338931,0.30468904,0.00000000,0.68784305,1.35549408,0.33358909,0.00000000
-4.66733367,1.91266475,0.27400511,0.00000000,0.62256364,1.24796133,0.31018368,0.00000000
-4.66133067,1.74922718,0.24488435,0.00000000,0.56037868,1.14477596,0.28807148,0.00000000
-4.65532766,1.59432784,0.21750163,0.00000000,0.50169979,1.04678716,0.26731707,0.00000000
-4.64932466,1.44896254,0.19198447,0.00000000,0.44684312,0.95468331,0.24795023,0.00000000
-4.64332166,1.31387669,0.16841484,0.00000000,0.39603187,0.86899371,0.22996990,0.00000000
-4.63731866,1.18957676,0.14683210,0.00000000,0.34940119,0.79009467,0.21334869,0.00000000
-4.63131566,1.07634706,0.12723699,0.00000000,0.30700483,0.71821888,0.19803772,0.00000000
-4.62531266,0.97427030,0.10959622,0.00000000,0.26882337,0.65346752,0.18397159,0.00000000
-4.61930965,0.88325059,0.09384754,0.00000000,0.23477331,0.59582391,0.17107319,0.00000000
-4.61330665,0.80303773,0.07990499,0.00000000,0.20471661,0.54516812,0.15925823,0.00000000
-4.60730365,0.73325133,0.06766411,0.00000000,0.17847044,0.50129157,0.14843933,0.00000000
-4.60130065,0.67340408,0.05700699,0.00000000,0.15581657,0.46391120,0.13852943,0.00000000
-4.59529765,0.62292322,0.04780690,0.00000000,0.13651024,0.43268263,0.12944466,0.00000000
-4.58929465,0.58116981,0.03993246,0.00000000,0.12028834,0.40721193,0.12110640,0.00000000
-4.58329165,0.54745550,0.03325136,0.00000000,0.10687657,0.38706602,0.11344264,0.00000000
-4.57728864,0.52105679,0.02763336,0.00000000,0.09599573,0.37178153,0.10638876,0.00000000
-4.57128564,0.50122691,0.02295284,0.00000000,0.08736697,0.36087234,0.09988762,0.00000000
-4.56528264,0.48720562,0.01909068,0.00000000,0.08071613,0.35383597,0.09388923,0.00000000
-4.55927964,0.47822748,0.01593566,0.00000000,0.07577722,0.35015912,0.08834999,0.00000000
-4.55327664,0.47352887,0.01338540,0.00000000,0.07229507,0.34932276,0.08323174,0.00000000
