energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
4.97948974,2.44652012,1.07183525,0.92857593,0.03387985,0.19419783,0.14306117,0.48386641,1.10161536,0.00553545
4.98549275,2.43988228,1.07084644,0.93282370,0.03325434,0.19688229,0.14073358,0.48757208,1.07154324,0.00550117
4.99149575,2.43478669,1.06986670,0.93721647,0.03266290,0.19914541,0.13847953,0.49208135,1.04332420,0.00547587
4.99749875,2.43157372,1.06913214,0.94181000,0.03211733,0.20094915,0.13634730,0.49742501,1.01737277,0.00546055
5.00350175,2.43047995,1.06885496,0.94663041,0.03162680,0.20226132,0.13437635,0.50360911,0.99402567,0.00545583
5.00950475,2.43163352,1.06921821,0.95167349,0.03119764,0.20305624,0.13259661,0.51061513,0.97353646,0.00546196
5.01550775,2.43505388,1.07037182,0.95690542,0.03083338,0.20331542,0.13102808,0.51840094,0.95607279,0.00547877
5.02151076,2.44065545,1.07242979,0.96226486,0.03053475,0.20302792,0.12968102,0.52690245,0.94171611,0.00550574
5.02751376,2.44825490,1.07546857,0.96766608,0.03029998,0.20219063,0.12855628,0.53603589,0.93046370,0.00554197
5.03351676,2.45758154,1.07952660,0.97300315,0.03012499,0.20080824,0.12764615,0.54570050,0.92223282,0.00558622
5.03951976,2.46829017,1.08460501,0.97815471,0.03000383,0.19889309,0.12693534,0.55578159,0.91686678,0.00563698
5.04552276,2.47997567,1.09066919,0.98298926,0.02992909,0.19646477,0.12640229,0.56615363,0.91414255,0.00569250
5.05152576,2.49218865,1.09765136,0.98737052,0.02989231,0.19354954,0.12602049,0.57668347,0.91377966,0.00575085
5.05752876,2.50445142,1.10545370,0.99116258,0.02988449,0.19017965,0.12575996,0.58723332,0.91545010,0.00581001
5.06353177,2.51627359,1.11395210,0.99423480,0.02989654,0.18639242,0.12558867,0.59766349,0.91878881,0.00586790
5.06953477,2.52716665,1.12300024,0.99646587,0.02991964,0.18222939,0.12547386,0.60783490,0.92340445,0.00592247
5.07553777,2.53665707,1.13243384,0.99774715,0.02994568,0.17773521,0.12538330,0.61761104,0.92889023,0.00597173
5.08154077,2.54429750,1.14207488,0.99798508,0.02996750,0.17295672,0.12528624,0.62685968,0.93483437,0.00601385
5.08754377,2.54967574,1.15173571,0.99710252,0.02997913,0.16794187,0.12515431,0.63545411,0.94083007,0.00604714
5.09354677,2.55242145,1.16122278,0.99503908,0.02997592,0.16273879,0.12496200,0.64327406,0.94648461,0.00607016
5.09954977,2.55221043,1.17034009,0.99175059,0.02995459,0.15739483,0.12468710,0.65020629,0.95142756,0.00608170
5.10555278,2.54876677,1.17889200,0.98720762,0.02991319,0.15195579,0.12431076,0.65614504,0.95531777,0.00608079
5.11155578,2.54186289,1.18668566,0.98139343,0.02985098,0.14646510,0.12381742,0.66099226,0.95784925,0.00606675
5.11755878,2.53131793,1.19353279,0.97430144,0.02976826,0.14096326,0.12319462,0.66465791,0.95875563,0.00603916
5.12356178,2.51699486,1.19925107,0.96593244,0.02966616,0.13548723,0.12243264,0.66706016,0.95781342,0.00599784
5.12956478,2.49879657,1.20366511,0.95629187,0.02954633,0.13007006,0.12152406,0.66812581,0.95484393,0.00594286
5.13556778,2.47666155,1.20660708,0.94538720,0.02941067,0.12474052,0.12046330,0.66779078,0.94971401,0.00587448
5.14157079,2.45055945,1.20791717,0.93322587,0.02926109,0.11952294,0.11924624,0.66600075,0.94233560,0.00579317
5.14757379,2.42048702,1.20744413,0.91981371,0.02909917,0.11443703,0.11786979,0.66271202,0.93266444,0.00569953
5.15357679,2.38646455,1.20504575,0.90515417,0.02892595,0.10949795,0.11633162,0.65789245,0.92069772,0.00559428
5.15957979,2.34853330,1.20058978,0.88924827,0.02874177,0.10471633,0.11462997,0.65152250,0.90647123,0.00547822
5.16558279,2.30675387,1.19395503,0.87209538,0.02854607,0.10009853,0.11276357,0.64359629,0.89005588,0.00535223
5.17158579,2.26120578,1.18503305,0.85369477,0.02833736,0.09564690,0.11073168,0.63412261,0.87155392,0.00521720
5.17758879,2.21198808,1.17373022,0.83404785,0.02811322,0.09136017,0.10853425,0.62312583,0.85109488,0.00507402
5.18359180,2.15922089,1.15997023,0.81316089,0.02787030,0.08723394,0.10617218,0.61064654,0.82883157,0.00492361
5.18959480,2.10304789,1.14369706,0.79104818,0.02760453,0.08326119,0.10364762,0.59674198,0.80493606,0.00476683
5.19559780,2.04363915,1.12487817,0.76773525,0.02731120,0.07943293,0.10096433,0.58148608,0.77959589,0.00460454
5.20160080,1.98119440,1.10350773,0.74326209,0.02698527,0.07573883,0.09812808,0.56496919,0.75301044,0.00443759
5.20760380,1.91594605,1.07960992,0.71768603,0.02662158,0.07216789,0.09514694,0.54729733,0.72538769,0.00426677
