energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.54377189,17.76484226,1.79090701,13.43747446,0.01640605,1.68064183,0.11903734,1.64876068
-5.53776888,17.67334801,1.82083433,13.37683387,0.01586730,1.64639122,0.11316718,1.64842453
-5.53176588,17.58599589,1.85552978,13.31701737,0.01533891,1.61235573,0.10765711,1.64846213
-5.52576288,17.50532357,1.89478531,13.26009553,0.01482836,1.57898884,0.10255261,1.64898795
-5.51975988,17.43318207,1.93821185,13.20766256,0.01434224,1.54667909,0.09788731,1.65005913
-5.51375688,17.37064966,1.98524207,13.16076516,0.01388615,1.51573773,0.09368280,1.65167039
-5.50775388,17.31797987,2.03514099,13.11985559,0.01346458,1.48638948,0.08994892,1.65375195
-5.50175088,17.27458663,2.08702407,13.08477174,0.01308095,1.45876698,0.08668434,1.65617050
-5.49574787,17.23906799,2.13988232,13.05474592,0.01273756,1.43290917,0.08387743,1.65873316
-5.48974487,17.20926781,2.19261324,13.02844205,0.01243564,1.40876372,0.08150744,1.66119428
-5.48374187,17.18237298,2.24405657,13.00402010,0.01217542,1.38619336,0.07954580,1.66326463
-5.47773887,17.15504155,2.29303315,12.97922470,0.01195620,1.36498589,0.07795760,1.66462256
-5.47173587,17.12355595,2.33838535,12.95149367,0.01177649,1.34486730,0.07670317,1.66492658
-5.46573287,17.08399377,2.37901721,12.91808126,0.01163408,1.32551746,0.07573961,1.66382875
-5.45972986,17.03240782,2.41393257,12.87618983,0.01152618,1.30658748,0.07502231,1.66098821
-5.45372686,16.96500655,2.44226959,12.82310343,0.01144954,1.28771805,0.07450644,1.65608428
-5.44772386,16.87832622,2.46333005,12.75631663,0.01140055,1.26855768,0.07414825,1.64882862
-5.44172086,16.76938625,2.47660237,12.67365200,0.01137536,1.24878007,0.07390623,1.63897577
-5.43571786,16.63582045,2.48177723,12.57336075,0.01136996,1.22809971,0.07374214,1.62633197
-5.42971486,16.47597820,2.47875538,12.45420135,0.01138026,1.20628504,0.07362171,1.61076178
-5.42371186,16.28899085,2.46764737,12.31549285,0.01140220,1.18316847,0.07351530,1.59219234
-5.41770885,16.07480116,2.44876539,12.15714055,0.01143177,1.15865295,0.07339821,1.57061543
-5.41170585,15.83415497,2.42260763,11.97963327,0.01146508,1.13271472,0.07325082,1.54608714
-5.40570285,15.56855661,2.38983623,11.78401332,0.01149843,1.10540242,0.07305858,1.51872554
-5.39969985,15.28019134,2.35124975,11.57182117,0.01152830,1.07683248,0.07281173,1.48870642
-5.39369685,14.97181964,2.30775146,11.34501865,0.01155144,1.04718135,0.07250496,1.45625752
-5.38769385,14.64664964,2.26031513,11.10589525,0.01156490,1.01667491,0.07213687,1.42165152
-5.38169085,14.30819492,2.20994949,10.85696298,0.01156602,0.98557590,0.07170937,1.38519819
-5.37568784,13.96012537,2.15766327,10.60084579,0.01155247,0.95416994,0.07122702,1.34723599
-5.36968484,13.60611899,2.10443192,10.34016954,0.01152232,0.92275095,0.07069632,1.30812362
-5.36368184,13.24972235,2.05116752,10.07745841,0.01147399,0.89160689,0.07012503,1.26823156
-5.35767884,12.89422631,1.99869293,9.81504309,0.01140631,0.86100634,0.06952152,1.22793427
-5.35167584,12.54256316,1.94772103,9.55498534,0.01131853,0.83118676,0.06889422,1.18760288
-5.34567284,12.19722941,1.89883980,9.29902221,0.01121028,0.80234494,0.06825108,1.14759891
-5.33966983,11.86023740,1.85250344,9.04853253,0.01108163,0.77462995,0.06759926,1.10826898
-5.33366683,11.53309692,1.80902977,8.80452631,0.01093303,0.74813903,0.06694483,1.06994062
-5.32766383,11.21682669,1.76860357,8.56765707,0.01076534,0.72291629,0.06629273,1.03291930
-5.32166083,10.91199349,1.73128563,8.33825519,0.01057978,0.69895434,0.06564668,0.99748666
-5.31565783,10.61877592,1.69702667,8.11637985,0.01037796,0.67619851,0.06500942,0.96389982
-5.30965483,10.33704784,1.66568539,7.90188564,0.01016183,0.65455338,0.06438290,0.93239171
-5.30365183,10.06647625,1.63704974,7.69449952,0.00993370,0.63389108,0.06376859,0.90317239
-5.29764882,9.80662724,1.61086019,7.49390335,0.00969620,0.61406093,0.06316794,0.87643096
-5.29164582,9.55707382,1.58683405,7.29981676,0.00945231,0.59489977,0.06258273,0.85233804
-5.28564282,9.31749921,1.56468963,7.11207565,0.00920535,0.57624242,0.06201554,0.83104857
-5.27963982,9.08778993,1.54416923,6.93070169,0.00895898,0.55793176,0.06147012,0.81270457
-5.27363682,8.86811343,1.52505996,6.75595897,0.00871720,0.53982787,0.06095180,0.79743785
-5.26763382,8.65897645,1.50721163,6.58839477,0.00848439,0.52181583,0.06046770,0.78537221
-5.26163082,8.46126106,1.49055087,6.42886246,0.00826529,0.50381185,0.06002698,0.77662518
-5.25562781,8.27623703,1.47509120,6.27852537,0.00806501,0.48576758,0.05964091,0.77130905
-5.24962481,8.10555020,1.46093855,6.13884193,0.00788901,0.46767235,0.05932286,0.76953100
-5.24362181,7.95118792,1.44829225,6.01153292,0.00774311,0.44955345,0.05908818,0.77139254
-5.23761881,7.81542399,1.43744148,5.89853309,0.00763340,0.43147461,0.05895400,0.77698805
-5.23161581,7.70074603,1.42875747,5.80192958,0.00756625,0.41353263,0.05893894,0.78640262
-5.22561281,7.60976949,1.42268190,5.72389073,0.00754821,0.39585273,0.05906278,0.79970921
-5.21960980,7.54514239,1.41971185,5.66658866,0.00758591,0.37858263,0.05934600,0.81696542
-5.21360680,7.50944569,1.42038216,5.63211940,0.00768597,0.36188594,0.05980946,0.83820988
-5.20760380,7.50509350,1.42524558,5.62242418,0.00785485,0.34593502,0.06047386,0.86345860
-5.20160080,7.53423740,1.43485161,5.63921508,0.00809870,0.33090371,0.06135943,0.89270135
-5.19559780,7.59867858,1.44972471,5.68390798,0.00842321,0.31696024,0.06248546,0.92589826
-5.18959480,7.69979060,1.47034232,5.75756496,0.00883340,0.30426058,0.06386999,0.96297691
-5.18359180,7.83845521,1.49711365,5.86084784,0.00933350,0.29294243,0.06552944,1.00382974
-5.17758879,8.01501257,1.53035954,5.99398391,0.00992665,0.28311997,0.06747833,1.04831219
-5.17158579,8.22922673,1.57029404,6.15674417,0.01061484,0.27487966,0.06972900,1.09624132
-5.16558279,8.48026649,1.61700824,6.34843411,0.01139861,0.26827692,0.07229136,1.14739517
-5.15957979,8.76670123,1.67045660,6.56789640,0.01227697,0.26333395,0.07517260,1.20151263
-5.15357679,9.08651115,1.73044640,6.81352479,0.01324721,0.26003855,0.07837697,1.25829403
-5.14757379,9.43711065,1.79663049,7.08328812,0.01430479,0.25834391,0.08190554,1.31740231
-5.14157079,9.81538414,1.86850376,7.37476344,0.01544325,0.25816944,0.08575591,1.37846480
-5.13556778,10.21773290,1.94540351,7.68517707,0.01665418,0.25940244,0.08992197,1.44107567
-5.12956478,10.64013213,2.02651414,8.01145269,0.01792722,0.26190057,0.09439366,1.50479907
-5.12356178,11.07819707,2.11087605,8.35026535,0.01925009,0.26549519,0.09915677,1.56917304
-5.11755878,11.52725741,2.19739901,8.69810061,0.02060872,0.26999516,0.10419276,1.63371414
-5.11155578,11.98243883,2.28487999,9.05131788,0.02198743,0.27519139,0.10947869,1.69792310
-5.10555278,12.43875069,2.37202504,9.40621698,0.02336910,0.28086174,0.11498723,1.76129119
-5.09954977,12.89117863,2.45747512,9.75910705,0.02473551,0.28677629,0.12068683,1.82330765
-5.09354677,13.33478040,2.53983527,10.10637647,0.02606763,0.29270287,0.12654194,1.88346783
-5.08754377,13.76478310,2.61770643,10.44456245,0.02734603,0.29841265,0.13251349,1.94128213
-5.08154077,14.17667945,2.68971909,10.77041863,0.02855128,0.30368571,0.13855948,1.99628542
-5.07553777,14.56632058,2.75456775,11.08097895,0.02966437,0.30831640,0.14463569,2.04804670
-5.06953477,14.93000221,2.81104510,11.37361554,0.03066724,0.31211836,0.15069653,2.09617866
-5.06353177,15.26454128,2.85807473,11.64608877,0.03154314,0.31492899,0.15669607,2.14034676
-5.05752876,15.56733983,2.89474111,11.89658722,0.03227715,0.31661334,0.16258897,2.18027735
-5.05152576,15.83643329,2.92031590,12.12375572,0.03285656,0.31706717,0.16833160,2.21576440
-5.04552276,16.07052071,2.93427919,12.32670998,0.03327123,0.31621916,0.17388300,2.24667446
