energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.72386193,1.36058850,-3.81553673,1.08508757,-4.26595122,0.38785539,-0.98954909,0.20062304,-0.50085272,0.21636147,-0.26652718,0.00362160,-0.00298247,0.40198020,-1.50976146,0.35815564,-0.94020991,0.00000000,-0.00000000
-5.71785893,1.30950113,-3.64106269,1.04175181,-4.03125900,0.38159892,-0.94040959,0.19600094,-0.48175548,0.20163671,-0.26398236,0.00317848,-0.00313147,0.39318461,-1.42804112,0.34117560,-0.91033316,0.00000000,-0.00000000
-5.71185593,1.26235966,-3.46329882,1.00013459,-3.79362433,0.37520453,-0.88931745,0.19235210,-0.46350101,0.18844007,-0.26157073,0.00277018,-0.00328826,0.38394069,-1.34308076,0.32681795,-0.88178666,0.00000000,-0.00000000
-5.70585293,1.21910011,-3.28476108,0.95990069,-3.55623609,0.36860102,-0.83711100,0.18967823,-0.44620130,0.17683694,-0.25929146,0.00239777,-0.00344889,0.37414200,-1.25624267,0.31511599,-0.85480049,0.00000000,-0.00000000
-5.69984992,1.17968283,-3.10782571,0.92085452,-3.32210505,0.36174832,-0.78461538,0.18796336,-0.42992243,0.16686357,-0.25712473,0.00206151,-0.00360932,0.36374172,-1.16887279,0.30606046,-0.82952443,0.00000000,-0.00000000
-5.69384692,1.14409999,-2.93468268,0.88293810,-3.09400186,0.35463772,-0.73262142,0.18717688,-0.41468909,0.15853078,-0.25503496,0.00176094,-0.00376552,0.35275006,-1.08226516,0.29960644,-0.80603529,0.00000000,-0.00000000
-5.68784392,1.11238074,-2.76729912,0.84622394,-2.87440620,0.34729092,-0.68186689,0.18727709,-0.40049074,0.15182805,-0.25297491,0.00149498,-0.00391362,0.34122988,-0.99763001,0.29568069,-0.78434725,0.00000000,-0.00000000
-5.68184092,1.08459356,-2.60739340,0.81090311,-2.66546805,0.33975805,-0.63302065,0.18821497,-0.38728889,0.14672761,-0.25089049,0.00126207,-0.00405000,0.32929071,-0.91606627,0.29418912,-0.76442453,0.00000000,-0.00000000
-5.67583792,1.06084602,-2.45641944,0.77726937,-2.46898125,0.33211489,-0.58667010,0.18993799,-0.37502502,0.14318844,-0.24872577,0.00106032,-0.00417142,0.31708141,-0.83853945,0.29502392,-0.74619519,0.00000000,-0.00000000
-5.66983492,1.04128178,-2.31556072,0.74570035,-2.28636933,0.32445925,-0.54331190,0.19239389,-0.36362875,0.14115994,-0.24642814,0.00088756,-0.00427513,0.30478207,-0.76586505,0.29807017,-0.72956547,0.00000000,-0.00000000
-5.66383192,1.02607518,-2.18573275,0.71663640,-2.11868252,0.31690691,-0.50334620,0.19553418,-0.35302571,0.14058506,-0.24395315,0.00074152,-0.00435895,0.29259526,-0.69869782,0.30321146,-0.71443349,0.00000000,-0.00000000
-5.65782891,1.01542357,-2.06759265,0.69055832,-1.96660514,0.30958704,-0.46707406,0.19931724,-0.34314460,0.14140287,-0.24126876,0.00061987,-0.00442138,0.28073721,-0.63752660,0.31033451,-0.70070160,0.00000000,-0.00000000
-5.65182591,1.00953787,-1.96155405,0.66796473,-1.83047155,0.30263753,-0.43469777,0.20371085,-0.33392327,0.14355053,-0.23835879,0.00052035,-0.00446163,0.26942906,-0.58267452,0.31933248,-0.68828657,0.00000000,-0.00000000
-5.64582291,1.00863162,-1.86780579,0.64935003,-1.71028942,0.29620025,-0.40632382,0.20869411,-0.32531337,0.14696447,-0.23522538,0.00044078,-0.00447967,0.25888871,-0.53430391,0.33010702,-0.67712716,0.00000000,-0.00000000
-5.63981991,1.01290925,-1.78633271,0.63518354,-1.60576839,0.29041638,-0.38196803,0.21425859,-0.31728332,0.15158098,-0.23189023,0.00037918,-0.00447623,0.24932333,-0.49242539,0.34256892,-0.66718864,0.00000000,-0.00000000
-5.63381691,1.02255378,-1.71693729,0.62589080,-1.51635272,0.28542207,-0.36156247,0.22040869,-0.30981975,0.15733617,-0.22839467,0.00033373,-0.00445280,0.24092284,-0.45691030,0.35663766,-0.65846406,0.00000000,-0.00000000
-5.62781391,1.03771480,-1.65926079,0.62183710,-1.44125643,0.28134445,-0.34496364,0.22716126,-0.30292722,0.16416536,-0.22479847,0.00030287,-0.00441157,0.23385452,-0.42750589,0.37223972,-0.65097248,0.00000000,-0.00000000
-5.62181091,1.05849694,-1.61280327,0.62331404,-1.37949971,0.27829811,-0.33196170,0.23454438,-0.29662634,0.17200215,-0.22117751,0.00028527,-0.00435538,0.22825879,-0.40385226,0.38930605,-0.64475430,0.00000000,-0.00000000
-5.61580790,1.08494953,-1.57694197,0.63052895,-1.32994555,0.27638213,-0.32229022,0.24259550,-0.29095063,0.18077717,-0.21762047,0.00027982,-0.00428762,0.22424617,-0.38550064,0.40776890,-0.63986419,0.00000000,-0.00000000
-5.60980490,1.11705780,-1.55094787,0.64359757,-1.29133588,0.27567773,-0.31563632,0.25135898,-0.28594233,0.19041666,-0.21422463,0.00028568,-0.00421213,0.22189556,-0.37193220,0.42755825,-0.63636219,0.00000000,-0.00000000
-5.60380190,1.15473596,-1.53400063,0.66253968,-1.26232662,0.27624649,-0.31165080,0.26088305,-0.28164739,0.20084111,-0.21109123,0.00030220,-0.00413310,0.22125353,-0.36257679,0.44859809,-0.63430381,0.00000000,-0.00000000
-5.59779890,1.19782257,-1.52520226,0.68727763,-1.24152124,0.27812921,-0.30995826,0.27121660,-0.27811019,0.21196408,-0.20832039,0.00032895,-0.00405491,0.22233476,-0.35683135,0.47080300,-0.63372963,0.00000000,-0.00000000
-5.59179590,1.24607820,-1.52358998,0.71763748,-1.22750261,0.28134541,-0.31016687,0.28240560,-0.27536824,0.22369129,-0.20600617,0.00036565,-0.00398204,0.22512324,-0.35407731,0.49407511,-0.63465548,0.00000000,-0.00000000
-5.58579290,1.29918565,-1.52814897,0.75335245,-1.21886293,0.28589336,-0.31187778,0.29448959,-0.27344719,0.23592005,-0.20423175,0.00041218,-0.00391894,0.22957435,-0.35369688,0.51830175,-0.63706362,0.00000000,-0.00000000
-5.57978989,1.35675265,-1.53782542,0.79406824,-1.21423162,0.29175069,-0.31469412,0.30749829,-0.27235658,0.24853922,-0.20306524,0.00046850,-0.00386989,0.23561741,-0.35508786,0.54335403,-0.64089585,0.00000000,-0.00000000
-5.57378689,1.41831693,-1.55154042,0.83934991,-1.21230104,0.29887538,-0.31822931,0.32144844,-0.27208655,0.26142969,-0.20255618,0.00053465,-0.00383894,0.24315865,-0.35767683,0.56908632,-0.64604878,0.00000000,-0.00000000
