energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up
4.43321661,1.12686775,0.93670512,0.02136936,0.03151437,0.03721518,0.82779351,0.16741559,0.00000000
4.43921961,1.12221770,0.92288772,0.02140748,0.03291848,0.03784479,0.81231876,0.16794974,0.00000000
4.44522261,1.11565861,0.90637723,0.02139086,0.03452233,0.03868456,0.79603805,0.16790504,0.00000000
4.45122561,1.10732349,0.88762508,0.02131572,0.03635105,0.03972042,0.77918437,0.16728038,0.00000000
4.45722861,1.09736939,0.86711988,0.02117882,0.03842649,0.04093855,0.76199545,0.16608291,0.00000000
4.46323162,1.08596814,0.84536723,0.02097756,0.04076571,0.04232483,0.74470356,0.16432735,0.00000000
4.46923462,1.07329711,0.82286948,0.02071011,0.04337953,0.04386431,0.72752581,0.16203523,0.00000000
4.47523762,1.05953042,0.80010639,0.02037548,0.04627118,0.04554057,0.71065548,0.15923408,0.00000000
4.48124062,1.04483092,0.77751737,0.01997367,0.04943516,0.04733521,0.69425483,0.15595666,0.00000000
4.48724362,1.02934344,0.75548631,0.01950572,0.05285630,0.04922736,0.67844946,0.15224009,0.00000000
4.49324662,1.01318930,0.73432940,0.01897376,0.05650921,0.05119327,0.66332451,0.14812506,0.00000000
4.49924962,0.99646261,0.71428640,0.01838107,0.06035804,0.05320617,0.64892291,0.14365504,0.00000000
4.50525263,0.97922820,0.69551585,0.01773204,0.06435674,0.05523617,0.63524548,0.13887549,0.00000000
4.51125563,0.96152151,0.67809394,0.01703212,0.06844966,0.05725050,0.62225307,0.13383316,0.00000000
4.51725863,0.94335020,0.66201735,0.01628776,0.07257272,0.05921386,0.60987050,0.12857534,0.00000000
4.52326163,0.92469761,0.64720955,0.01550626,0.07665495,0.06108903,0.59799217,0.12314930,0.00000000
4.52926463,0.90552792,0.63353026,0.01469567,0.08062039,0.06283775,0.58648909,0.11760164,0.00000000
4.53526763,0.88579280,0.62078761,0.01386455,0.08439040,0.06442169,0.57521721,0.11197786,0.00000000
4.54127064,0.86543932,0.60875235,0.01302188,0.08788618,0.06580363,0.56402655,0.10632194,0.00000000
4.54727364,0.84441897,0.59717346,0.01217678,0.09103141,0.06694878,0.55277100,0.10067607,0.00000000
4.55327664,0.82269735,0.58579450,0.01133843,0.09375501,0.06782612,0.54131831,0.09508048,0.00000000
4.55927964,0.80026418,0.57436994,0.01051587,0.09599377,0.06840981,0.52956006,0.08957343,0.00000000
4.56528264,0.77714338,0.56268092,0.00971786,0.09769480,0.06868048,0.51742107,0.08419132,0.00000000
4.57128564,0.75340268,0.55054969,0.00895281,0.09881773,0.06862656,0.50486816,0.07896889,0.00000000
4.57728864,0.72916248,0.53785231,0.00822871,0.09933644,0.06824530,0.49191766,0.07393962,0.00000000
4.58329165,0.70460347,0.52452912,0.00755309,0.09924036,0.06754380,0.47864160,0.06913617,0.00000000
4.58929465,0.67997278,0.51059268,0.00693306,0.09853529,0.06653964,0.46517223,0.06459091,0.00000000
4.59529765,0.65558829,0.49613287,0.00637532,0.09724353,0.06526140,0.45170464,0.06033652,0.00000000
4.60130065,0.63184078,0.48131918,0.00588628,0.09540354,0.06374889,0.43849738,0.05640656,0.00000000
4.60730365,0.60919388,0.46640007,0.00547210,0.09306901,0.06205312,0.42587096,0.05283608,0.00000000
4.61330665,0.58818152,0.45169958,0.00513883,0.09030739,0.06023604,0.41420415,0.04966213,0.00000000
4.61930965,0.56940295,0.43761126,0.00489246,0.08719801,0.05837007,0.40392816,0.04692419,0.00000000
4.62531266,0.55351521,0.42458979,0.00473910,0.08382979,0.05653742,0.39551872,0.04466444,0.00000000
4.63131566,0.54122320,0.41314052,0.00468497,0.08029872,0.05482921,0.38948618,0.04292794,0.00000000
4.63731866,0.53326734,0.40380715,0.00473646,0.07670505,0.05334448,0.38636382,0.04176251,0.00000000
4.64332166,0.53040913,0.39715806,0.00490017,0.07315053,0.05218898,0.38669454,0.04121846,0.00000000
4.64932466,0.53341463,0.39377146,0.00518284,0.06973555,0.05147386,0.39101625,0.04134805,0.00000000
4.65532766,0.54303626,0.39421975,0.00559126,0.06655647,0.05131425,0.39984614,0.04220473,0.00000000
4.66133067,0.55999303,0.39905331,0.00613213,0.06370297,0.05182761,0.41366430,0.04384203,0.00000000
4.66733367,0.58494970,0.40878419,0.00681186,0.06125584,0.05313194,0.43289686,0.04631229,0.00000000
4.67333667,0.61849516,0.42386970,0.00763634,0.05928490,0.05534383,0.45789933,0.04966505,0.00000000
4.67933967,0.66112039,0.44469650,0.00861060,0.05784728,0.05857623,0.48894028,0.05394527,0.00000000
4.68534267,0.71319672,0.47156527,0.00973855,0.05698610,0.06293601,0.52618611,0.05919134,0.00000000
4.69134567,0.77495469,0.50467631,0.01102256,0.05672945,0.06852127,0.56968718,0.06543289,0.00000000
4.69734867,0.84646438,0.54411651,0.01246312,0.05708977,0.07541837,0.61936604,0.07268857,0.00000000
4.70335168,0.92761768,0.58984805,0.01405846,0.05806362,0.08369882,0.67500813,0.08096379,0.00000000
4.70935468,1.01811346,0.64169911,0.01580423,0.05963176,0.09341589,0.73625549,0.09024849,0.00000000
4.71535768,1.11744619,0.69935721,0.01769315,0.06175961,0.10460126,0.80260409,0.10051513,0.00000000
4.72136068,1.22489883,0.76236545,0.01971478,0.06439814,0.11726157,0.87340490,0.11171683,0.00000000
4.72736368,1.33954077,0.83012223,0.02185531,0.06748495,0.13137523,0.94786926,0.12378602,0.00000000
4.73336668,1.46023127,0.90188461,0.02409750,0.07094574,0.14688949,1.02507867,0.13663338,0.00000000
4.73936968,1.58562896,0.97677583,0.02642070,0.07469611,0.16371805,1.10399888,0.15014753,0.00000000
4.74537269,1.71420773,1.05379696,0.02880093,0.07864352,0.18173931,1.18349831,0.16419517,0.00000000
4.75137569,1.84427902,1.13184291,0.03121116,0.08268957,0.20079554,1.26237045,0.17862209,0.00000000
4.75737869,1.97402040,1.20972256,0.03362169,0.08673239,0.22069308,1.33935962,0.19325487,0.00000000
4.76338169,2.10150999,1.28618264,0.03600061,0.09066918,0.24120369,1.41318953,0.20790332,0.00000000
4.76938469,2.22476600,1.35993515,0.03831446,0.09439880,0.26206720,1.48259379,0.22236374,0.00000000
4.77538769,2.34179044,1.42968717,0.04052886,0.09782435,0.28299550,1.54634724,0.23642281,0.00000000
4.78139070,2.45061573,1.49417267,0.04260938,0.10085568,0.30367780,1.60329736,0.24986217,0.00000000
4.78739370,2.54935289,1.55218497,0.04452228,0.10341166,0.32378716,1.65239428,0.26246341,0.00000000
4.79339670,2.63623948,1.60260882,0.04623545,0.10542232,0.34298806,1.69271860,0.27401344,0.00000000
4.79939970,2.70968595,1.64445102,0.04771921,0.10683052,0.36094481,1.72350588,0.28431000,0.00000000
4.80540270,2.76831838,1.67686828,0.04894718,0.10759342,0.37733056,1.74416677,0.29316715,0.00000000
4.81140570,2.81101625,1.69919124,0.04989699,0.10768333,0.39183653,1.75430226,0.30042044,0.00000000
4.81740870,2.83694353,1.71094363,0.05055096,0.10708823,0.40418112,1.75371327,0.30593172,0.00000000
4.82341171,2.84557206,1.71185587,0.05089662,0.10581170,0.41411849,1.74240433,0.30959322,0.00000000
4.82941471,2.83669607,1.70187228,0.05092709,0.10387250,0.42144628,1.72058125,0.31133087,0.00000000
4.83541771,2.81043732,1.68115183,0.05064129,0.10130351,0.42601210,1.68864295,0.31110653,0.00000000
4.84142071,2.76724057,1.65006213,0.05004402,0.09815043,0.42771849,1.64716772,0.30891929,0.00000000
4.84742371,2.70785952,1.60916707,0.04914575,0.09447004,0.42652613,1.59689464,0.30480555,0.00000000
4.85342671,2.63333382,1.55920861,0.04796242,0.09032816,0.42245509,1.53870085,0.29883791,0.00000000
4.85942971,2.54495792,1.50108328,0.04651487,0.08579745,0.41558415,1.47357560,0.29112301,0.00000000
4.86543272,2.44424317,1.43581471,0.04482830,0.08095515,0.40604810,1.40259215,0.28179838,0.00000000
4.87143572,2.33287446,1.36452301,0.04293153,0.07588067,0.39403327,1.32687843,0.27102823,0.00000000
4.87743872,2.21266321,1.28839241,0.04085614,0.07065343,0.37977135,1.24758767,0.25899870,0.00000000
4.88344172,2.08549846,1.20863839,0.03863569,0.06535071,0.36353192,1.16586998,0.24591247,0.00000000
4.88944472,1.95329780,1.12647551,0.03630473,0.06004578,0.34561391,1.08284563,0.23198305,0.00000000
4.89544772,1.81795993,1.04308713,0.03389798,0.05480631,0.32633640,0.99958107,0.21742898,0.00000000
4.90145073,1.68132046,0.95959803,0.03144946,0.04969311,0.30602926,0.91706808,0.20246823,0.00000000
4.90745373,1.54511229,0.87705073,0.02899173,0.04475914,0.28502376,0.83620671,0.18731276,0.00000000
4.91345673,1.41093165,0.79638614,0.02655517,0.04004892,0.26364384,0.75779215,0.17216377,0.00000000
4.91945973,1.28021071,0.71842895,0.02416747,0.03559829,0.24219802,0.68250573,0.15720745,0.00000000
4.92546273,1.15419726,0.64387786,0.02185312,0.03143441,0.22097254,0.61090994,0.14261155,0.00000000
4.93146573,1.03394147,0.57330068,0.01963315,0.02757609,0.20022565,0.54344730,0.12852282,0.00000000
4.93746873,0.92028985,0.50713392,0.01752491,0.02403432,0.18018332,0.48044274,0.11506528,0.00000000
4.94347174,0.81388576,0.44568655,0.01554205,0.02081303,0.16103645,0.42210906,0.10233932,0.00000000
4.94947474,0.71517605,0.38914735,0.01369453,0.01790997,0.14293943,0.36855487,0.09042167,0.00000000
4.95547774,0.62442288,0.33759515,0.01198885,0.01531762,0.12601011,0.31979471,0.07936606,0.00000000
4.96148074,0.54171973,0.29101136,0.01042826,0.01302425,0.11033090,0.27576048,0.06920458,0.00000000
4.96748374,0.46701084,0.24929400,0.00901311,0.01101493,0.09595103,0.23631388,0.05994948,0.00000000
4.97348674,0.40011268,0.21227266,0.00774121,0.00927248,0.08288956,0.20125917,0.05159549,0.00000000
4.97948974,0.34073681,0.17972371,0.00660828,0.00777840,0.07113909,0.17035592,0.04412231,0.00000000
4.98549275,0.28851299,0.15138513,0.00560830,0.00651373,0.06066984,0.14333126,0.03749729,0.00000000
4.99149575,0.24301181,0.12697076,0.00473401,0.00545976,0.05143399,0.11989138,0.03167821,0.00000000
4.99749875,0.20376613,0.10618335,0.00397726,0.00459865,0.04337005,0.09973187,0.02661591,0.00000000
5.00350175,0.17029082,0.08872630,0.00332942,0.00391398,0.03640708,0.08254702,0.02225687,0.00000000
5.00950475,0.14210039,0.07431389,0.00278170,0.00339110,0.03046870,0.06803761,0.01854549,0.00000000
5.01550775,0.11872424,0.06267993,0.00232545,0.00301748,0.02547671,0.05591750,0.01542622,0.00000000
5.02151076,0.09971933,0.05358478,0.00195244,0.00278282,0.02135424,0.04591877,0.01284534,0.00000000
5.02751376,0.08468037,0.04682085,0.00165504,0.00267917,0.01802851,0.03779559,0.01075243,0.00000000
5.03351676,0.07324746,0.04221658,0.00142634,0.00270093,0.01543301,0.03132696,0.00910161,0.00000000
5.03951976,0.06511132,0.03963903,0.00126035,0.00284470,0.01350921,0.02631823,0.00785240,0.00000000
5.04552276,0.06001631,0.03899523,0.00115198,0.00310910,0.01220777,0.02260183,0.00697034,0.00000000
5.05152576,0.05776136,0.04023234,0.00109709,0.00349455,0.01148924,0.02003697,0.00642738,0.00000000
5.05752876,0.05819902,0.04333668,0.00109250,0.00400291,0.01132434,0.01850880,0.00620194,0.00000000
5.06353177,0.06123283,0.04833190,0.00113590,0.00463711,0.01169385,0.01792682,0.00627883,0.00000000
5.06953477,0.06681321,0.05527608,0.00122580,0.00540067,0.01258805,0.01822286,0.00664895,0.00000000
5.07553777,0.07493191,0.06425799,0.00136142,0.00629728,0.01400580,0.01934865,0.00730877,0.00000000
5.08154077,0.08561537,0.07539259,0.00154257,0.00733025,0.01595338,0.02127296,0.00825968,0.00000000
5.08754377,0.09891701,0.08881555,0.00176949,0.00850201,0.01844295,0.02397858,0.00950722,0.00000000
5.09354677,0.11490862,0.10467711,0.00204267,0.00981354,0.02149076,0.02745897,0.01106010,0.00000000
5.09954977,0.13367102,0.12313511,0.00236274,0.01126392,0.02511515,0.03171482,0.01292919,0.00000000
5.10555278,0.15528424,0.14434738,0.00273022,0.01284980,0.02933440,0.03675049,0.01512636,0.00000000
5.11155578,0.17981733,0.16846346,0.00314539,0.01456506,0.03416443,0.04257042,0.01766325,0.00000000
5.11755878,0.20731805,0.19561585,0.00360807,0.01640038,0.03961637,0.04917557,0.02054997,0.00000000
5.12356178,0.23780277,0.22591097,0.00411750,0.01834310,0.04569426,0.05655999,0.02379385,0.00000000
5.12956478,0.27124682,0.25941989,0.00467213,0.02037705,0.05239275,0.06470761,0.02739811,0.00000000
5.13556778,0.30757564,0.29616921,0.00526951,0.02248259,0.05969499,0.07358933,0.03136065,0.00000000
5.14157079,0.34665705,0.33613233,0.00590621,0.02463674,0.06757081,0.08316056,0.03567291,0.00000000
5.14757379,0.38829497,0.37922141,0.00657768,0.02681351,0.07597525,0.09335933,0.04031883,0.00000000
5.15357679,0.43222497,0.42528035,0.00727828,0.02898436,0.08484755,0.10410491,0.04527413,0.00000000
5.15957979,0.47811192,0.47407913,0.00800126,0.03111875,0.09411069,0.11529732,0.05050568,0.00000000
5.16558279,0.52554999,0.52531000,0.00873877,0.03318484,0.10367150,0.12681752,0.05597123,0.00000000
5.17158579,0.57406511,0.57858556,0.00948203,0.03515032,0.11342146,0.13852853,0.06161944,0.00000000
5.17758879,0.62312023,0.63343929,0.01022141,0.03698323,0.12323815,0.15027733,0.06739030,0.00000000
5.18359180,0.67212301,0.68932871,0.01094664,0.03865289,0.13298740,0.16189768,0.07321578,0.00000000
5.18959480,0.72043621,0.74564108,0.01164703,0.04013074,0.14252601,0.17321366,0.07902096,0.00000000
5.19559780,0.76739034,0.80170211,0.01231171,0.04139120,0.15170508,0.18404392,0.08472546,0.00000000
5.20160080,0.81229824,0.85678725,0.01292992,0.04241244,0.16037372,0.19420641,0.09024512,0.00000000
5.20760380,0.85447136,0.91013561,0.01349129,0.04317702,0.16838316,0.20352356,0.09549400,0.00000000
5.21360680,0.89323692,0.96096620,0.01398612,0.04367239,0.17559095,0.21182755,0.10038657,0.00000000
5.21960980,0.92795571,1.00849599,0.01440569,0.04389126,0.18186517,0.21896559,0.10483993,0.00000000
5.22561281,0.95803962,1.05195941,0.01474246,0.04383172,0.18708848,0.22480490,0.10877618,0.00000000
5.23161581,0.98296837,1.09062857,0.01499038,0.04349729,0.19116178,0.22923726,0.11212467,0.00000000
5.23761881,1.00230486,1.12383358,0.01514499,0.04289671,0.19400735,0.23218287,0.11482406,0.00000000
5.24362181,1.01570849,1.15098219,0.01520362,0.04204357,0.19557139,0.23359344,0.11682423,0.00000000
5.24962481,1.02294591,1.17157810,0.01516545,0.04095587,0.19582570,0.23345429,0.11808782,0.00000000
5.25562781,1.02389886,1.18523713,0.01503154,0.03965536,0.19476858,0.23178547,0.11859138,0.00000000
5.26163082,1.01856878,1.19170065,0.01480479,0.03816690,0.19242482,0.22864188,0.11832616,0.00000000
5.26763382,1.00707801,1.19084559,0.01448986,0.03651766,0.18884487,0.22411226,0.11729838,0.00000000
5.27363682,0.98966752,1.18269085,0.01409304,0.03473640,0.18410312,0.21831743,0.11552901,0.00000000
5.27963982,0.96669141,1.16739945,0.01362205,0.03285270,0.17829545,0.21140749,0.11305318,0.00000000
5.28564282,0.93860829,1.14527665,0.01308583,0.03089625,0.17153625,0.20355852,0.10991908,0.00000000
5.29164582,0.90596999,1.11676382,0.01249430,0.02889619,0.16395483,0.19496865,0.10618653,0.00000000
5.29764882,0.86940805,1.08242849,0.01185807,0.02688059,0.15569160,0.18585380,0.10192521,0.00000000
5.30365183,0.82961853,1.04295080,0.01118818,0.02487598,0.14689409,0.17644334,0.09721266,0.00000000
5.30965483,0.78734566,0.99910703,0.01049587,0.02290703,0.13771295,0.16697559,0.09213216,0.00000000
5.31565783,0.74336507,0.95175076,0.00979226,0.02099631,0.12829816,0.15769361,0.08677051,0.00000000
5.32166083,0.69846693,0.90179244,0.00908816,0.01916417,0.11879551,0.14884108,0.08121583,0.00000000
5.32766383,0.65343985,0.85017806,0.00839386,0.01742880,0.10934355,0.14065858,0.07555552,0.00000000
