energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
5.29764882,0.09620743,0.00424253,0.00426114,0.03269534,0.04186309,0.00916313,0.00000000,0.00872568,0.02553689
5.30365183,0.08999416,0.00358205,0.00460304,0.02972332,0.03961503,0.00772813,0.00000000,0.00733402,0.02333278
5.30965483,0.08619128,0.00300269,0.00505727,0.02747907,0.03848335,0.00651417,0.00000000,0.00615364,0.02175628
5.31565783,0.08464059,0.00249897,0.00562175,0.02591819,0.03838842,0.00549973,0.00000000,0.00516378,0.02076276
5.32166083,0.08517938,0.00206482,0.00629356,0.02499328,0.03925093,0.00466361,0.00000000,0.00434402,0.02030657
5.32766383,0.08764052,0.00169385,0.00706872,0.02465453,0.04099137,0.00398537,0.00000000,0.00367464,0.02034138
5.33366683,0.09185193,0.00137955,0.00794193,0.02485005,0.04352919,0.00344558,0.00000000,0.00313693,0.02082027
5.33966983,0.09763567,0.00111550,0.00890629,0.02552613,0.04678187,0.00302601,0.00000000,0.00271336,0.02169574
5.34567284,0.10480685,0.00089552,0.00995316,0.02662740,0.05066401,0.00270974,0.00000000,0.00238774,0.02291963
5.35167584,0.11317264,0.00071375,0.01107195,0.02809692,0.05508643,0.00248123,0.00000000,0.00214522,0.02444296
5.35767884,0.12253152,0.00056480,0.01225008,0.02987629,0.05995560,0.00232632,0.00000000,0.00197237,0.02621584
5.36368184,0.13267300,0.00044372,0.01347296,0.03190578,0.06517324,0.00223217,0.00000000,0.00185708,0.02818740
5.36968484,0.14337800,0.00034609,0.01472409,0.03412455,0.07063642,0.00218725,0.00000000,0.00178854,0.03030585
5.37568784,0.15441997,0.00026801,0.01598524,0.03647100,0.07623798,0.00218119,0.00000000,0.00175712,0.03251867
5.38169085,0.16556685,0.00020605,0.01723674,0.03888328,0.08186748,0.00220475,0.00000000,0.00175433,0.03477296
5.38769385,0.17658384,0.00015728,0.01845786,0.04129988,0.08741256,0.00224970,0.00000000,0.00177267,0.03701594
5.39369685,0.18723698,0.00011919,0.01962728,0.04366045,0.09276071,0.00230877,0.00000000,0.00180558,0.03919564
5.39969985,0.19729735,0.00008968,0.02072362,0.04590672,0.09780139,0.00237555,0.00000000,0.00184736,0.04126166
5.40570285,0.20654580,0.00006699,0.02172600,0.04798349,0.10242844,0.00244446,0.00000000,0.00189306,0.04316616
5.41170585,0.21477794,0.00004968,0.02261469,0.04983972,0.10654257,0.00251065,0.00000000,0.00193846,0.04486475
5.41770885,0.22180922,0.00003658,0.02337167,0.05142964,0.11005395,0.00257004,0.00000000,0.00198001,0.04631753
5.42371186,0.22747975,0.00002674,0.02398123,0.05271372,0.11288468,0.00261920,0.00000000,0.00201476,0.04749005
5.42971486,0.23165867,0.00001940,0.02443046,0.05365965,0.11497096,0.00265541,0.00000000,0.00204036,0.04835411
5.43571786,0.23424779,0.00001398,0.02470971,0.05424310,0.11626499,0.00267658,0.00000000,0.00205502,0.04888856
5.44172086,0.23518437,0.00001000,0.02481292,0.05444827,0.11673634,0.00268124,0.00000000,0.00205747,0.04907979
5.44772386,0.23444272,0.00000710,0.02473777,0.05426820,0.11637283,0.00266853,0.00000000,0.00204692,0.04892203
5.45372686,0.23203467,0.00000501,0.02448586,0.05370485,0.11518079,0.00263814,0.00000000,0.00202305,0.04841744
5.45972986,0.22800879,0.00000351,0.02406253,0.05276888,0.11318465,0.00259030,0.00000000,0.00198598,0.04757592
5.46573287,0.22244832,0.00000244,0.02347676,0.05147908,0.11042601,0.00252570,0.00000000,0.00193619,0.04641468
5.47173587,0.21546806,0.00000168,0.02274079,0.04986168,0.10696202,0.00244547,0.00000000,0.00187451,0.04495753
5.47773887,0.20721016,0.00000115,0.02186973,0.04794931,0.10286342,0.00235108,0.00000000,0.00180203,0.04323405
5.48374187,0.19783917,0.00000078,0.02088101,0.04577987,0.09821198,0.00224430,0.00000000,0.00172011,0.04127849
5.48974487,0.18753644,0.00000053,0.01979382,0.04339518,0.09309781,0.00212712,0.00000000,0.00163025,0.03912865
5.49574787,0.17649426,0.00000035,0.01862851,0.04083962,0.08761642,0.00200167,0.00000000,0.00153407,0.03682460
5.50175088,0.16490983,0.00000024,0.01740590,0.03815877,0.08186576,0.00187016,0.00000000,0.00143325,0.03440748
5.50775388,0.15297950,0.00000016,0.01614674,0.03539799,0.07594332,0.00173478,0.00000000,0.00132948,0.03191822
5.51375688,0.14089334,0.00000010,0.01487111,0.03260124,0.06994348,0.00159766,0.00000000,0.00122439,0.02939648
5.51975988,0.12883030,0.00000007,0.01359790,0.02980990,0.06395509,0.00146084,0.00000000,0.00111953,0.02687958
5.52576288,0.11695420,0.00000004,0.01234440,0.02706184,0.05805948,0.00132615,0.00000000,0.00101630,0.02440170
5.53176588,0.10541048,0.00000003,0.01112599,0.02439072,0.05232885,0.00119524,0.00000000,0.00091597,0.02199317
5.53776888,0.09432392,0.00000002,0.00995582,0.02182540,0.04682517,0.00106952,0.00000000,0.00081963,0.01968003
5.54377189,0.08379729,0.00000001,0.00884474,0.01938965,0.04159945,0.00095015,0.00000000,0.00072815,0.01748371
5.54977489,0.07391084,0.00000001,0.00780124,0.01710204,0.03669153,0.00083805,0.00000000,0.00064224,0.01542097
5.55577789,0.06472265,0.00000000,0.00683143,0.01497600,0.03213024,0.00073387,0.00000000,0.00056240,0.01350392
5.56178089,0.05626968,0.00000000,0.00593923,0.01302009,0.02793394,0.00063802,0.00000000,0.00048895,0.01174027
5.56778389,0.04856939,0.00000000,0.00512647,0.01123833,0.02411128,0.00055071,0.00000000,0.00042203,0.01013366
5.57378689,0.04162179,0.00000000,0.00439315,0.00963075,0.02066229,0.00047193,0.00000000,0.00036166,0.00868409
5.57978989,0.03541187,0.00000000,0.00373770,0.00819385,0.01757950,0.00040152,0.00000000,0.00030770,0.00738843
5.58579290,0.02991210,0.00000000,0.00315720,0.00692127,0.01484926,0.00033916,0.00000000,0.00025991,0.00624095
5.59179590,0.02508505,0.00000000,0.00264771,0.00580436,0.01245297,0.00028443,0.00000000,0.00021797,0.00523382
5.59779890,0.02088589,0.00000000,0.00220449,0.00483272,0.01036838,0.00023682,0.00000000,0.00018148,0.00435769
5.60380190,0.01726478,0.00000000,0.00182229,0.00399485,0.00857075,0.00019576,0.00000000,0.00015002,0.00360217
5.60980490,0.01416899,0.00000000,0.00149553,0.00327852,0.00703391,0.00016066,0.00000000,0.00012312,0.00295626
5.61580790,0.01154481,0.00000000,0.00121855,0.00267132,0.00573119,0.00013090,0.00000000,0.00010032,0.00240874
5.62181091,0.00933910,0.00000000,0.00098574,0.00216094,0.00463620,0.00010589,0.00000000,0.00008115,0.00194854
5.62781391,0.00750054,0.00000000,0.00079168,0.00173553,0.00372349,0.00008505,0.00000000,0.00006517,0.00156493
5.63381691,0.00598068,0.00000000,0.00063126,0.00138385,0.00296899,0.00006781,0.00000000,0.00005197,0.00124783
5.63981991,0.00473455,0.00000000,0.00049973,0.00109551,0.00235037,0.00005368,0.00000000,0.00004114,0.00098783
5.64582291,0.00372114,0.00000000,0.00039276,0.00086102,0.00184728,0.00004219,0.00000000,0.00003233,0.00077639
5.65182591,0.00290365,0.00000000,0.00030648,0.00067187,0.00144146,0.00003292,0.00000000,0.00002523,0.00060583
5.65782891,0.00224948,0.00000000,0.00023743,0.00052050,0.00111671,0.00002551,0.00000000,0.00001955,0.00046934
5.66383192,0.00173017,0.00000000,0.00018262,0.00040034,0.00085891,0.00001962,0.00000000,0.00001503,0.00036099
5.66983492,0.00132119,0.00000000,0.00013945,0.00030571,0.00065588,0.00001498,0.00000000,0.00001148,0.00027566
5.67583792,0.00100165,0.00000000,0.00010572,0.00023177,0.00049725,0.00001136,0.00000000,0.00000870,0.00020899
5.68184092,0.00075393,0.00000000,0.00007958,0.00017445,0.00037427,0.00000855,0.00000000,0.00000655,0.00015730
5.68784392,0.00056340,0.00000000,0.00005947,0.00013036,0.00027969,0.00000639,0.00000000,0.00000490,0.00011755
5.69384692,0.00041800,0.00000000,0.00004412,0.00009672,0.00020751,0.00000474,0.00000000,0.00000363,0.00008721
5.69984992,0.00030790,0.00000000,0.00003250,0.00007124,0.00015285,0.00000349,0.00000000,0.00000268,0.00006424
5.70585293,0.00022517,0.00000000,0.00002377,0.00005210,0.00011178,0.00000255,0.00000000,0.00000196,0.00004698
5.71185593,0.00016348,0.00000000,0.00001726,0.00003783,0.00008116,0.00000185,0.00000000,0.00000142,0.00003411
5.71785893,0.00011784,0.00000000,0.00001244,0.00002727,0.00005850,0.00000134,0.00000000,0.00000102,0.00002459
5.72386193,0.00008434,0.00000000,0.00000890,0.00001951,0.00004187,0.00000096,0.00000000,0.00000073,0.00001760
5.72986493,0.00005992,0.00000000,0.00000632,0.00001387,0.00002975,0.00000068,0.00000000,0.00000052,0.00001250
5.73586793,0.00004227,0.00000000,0.00000446,0.00000978,0.00002098,0.00000048,0.00000000,0.00000037,0.00000882
5.74187094,0.00002960,0.00000000,0.00000312,0.00000685,0.00001470,0.00000034,0.00000000,0.00000026,0.00000618
5.74787394,0.00002058,0.00000000,0.00000217,0.00000476,0.00001022,0.00000023,0.00000000,0.00000018,0.00000429
5.75387694,0.00001421,0.00000000,0.00000150,0.00000329,0.00000705,0.00000016,0.00000000,0.00000012,0.00000296
5.75987994,0.00000974,0.00000000,0.00000103,0.00000225,0.00000483,0.00000011,0.00000000,0.00000008,0.00000203
5.76588294,0.00000663,0.00000000,0.00000070,0.00000153,0.00000329,0.00000008,0.00000000,0.00000006,0.00000138
5.77188594,0.00000448,0.00000000,0.00000047,0.00000104,0.00000222,0.00000005,0.00000000,0.00000004,0.00000093
5.77788894,0.00000300,0.00000000,0.00000032,0.00000069,0.00000149,0.00000003,0.00000000,0.00000003,0.00000063
5.78389195,0.00000200,0.00000000,0.00000021,0.00000046,0.00000099,0.00000002,0.00000000,0.00000002,0.00000042
5.78989495,0.00000132,0.00000000,0.00000014,0.00000031,0.00000066,0.00000001,0.00000000,0.00000001,0.00000028
5.79589795,0.00000087,0.00000000,0.00000009,0.00000020,0.00000043,0.00000001,0.00000000,0.00000001,0.00000018
5.80190095,0.00000057,0.00000000,0.00000006,0.00000013,0.00000028,0.00000001,0.00000000,0.00000000,0.00000012
5.80790395,0.00000037,0.00000000,0.00000004,0.00000008,0.00000018,0.00000000,0.00000000,0.00000000,0.00000008
5.81390695,0.00000023,0.00000000,0.00000002,0.00000005,0.00000012,0.00000000,0.00000000,0.00000000,0.00000005
