energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-4.79939970,10.21019257,0.05848309,0.07921347,1.44236000,3.55950579,0.02956473,6.96960638,1.58789310,0.50681665
-4.79339670,10.55873673,0.06286604,0.08334368,1.50982823,3.63775328,0.03100746,7.21188461,1.67725548,0.52927685
-4.78739370,10.87614262,0.06717771,0.08721408,1.57241182,3.70553201,0.03237697,7.43265240,1.76238734,0.55004588
-4.78139070,11.15789193,0.07135390,0.09076339,1.62936343,3.76204508,0.03364572,7.62883360,1.84181669,0.56881818
-4.77538769,11.40021630,0.07532958,0.09393595,1.68005530,3.80677001,0.03478827,7.79786583,1.91415032,0.58532568
-4.76938469,11.60018918,0.07904034,0.09668340,1.72399592,3.83946773,0.03578185,7.93776293,1.97810980,0.59934530
-4.76338169,11.75579114,0.08242400,0.09896616,1.76084250,3.86018108,0.03660674,8.04715929,2.03256535,0.61070515
-4.75737869,11.86594582,0.08542228,0.10075469,1.79040882,3.86922310,0.03724669,8.12533396,2.07656642,0.61928915
-4.75137569,11.93052546,0.08798231,0.10203046,1.81266819,3.86715545,0.03768920,8.17221391,2.10936753,0.62503999
-4.74537269,11.95032560,0.09005819,0.10278652,1.82775131,3.85475798,0.03792570,8.18835626,2.13044842,0.62796008
-4.73936968,11.92701043,0.09161225,0.10302781,1.83593922,3.83299098,0.03795162,8.17491029,2.13952756,0.62811066
-4.73336668,11.86303107,0.09261622,0.10277096,1.83765166,3.80295155,0.03776637,8.13356112,2.13656850,0.62560890
-4.72736368,11.76152047,0.09305203,0.10204374,1.83343132,3.76582637,0.03737327,8.06645747,2.12177853,0.62062332
-4.72136068,11.62616969,0.09291244,0.10088415,1.82392465,3.72284277,0.03677926,7.97612669,2.09559998,0.61336746
-4.71535768,11.46109071,0.09220121,0.09933918,1.80985992,3.67522043,0.03599466,7.86538088,2.05869417,0.60409233
-4.70935468,11.27067185,0.09093306,0.09746323,1.79202345,3.62412582,0.03503282,7.73721799,2.01191898,0.59307777
-4.70335168,11.05943187,0.08913324,0.09531635,1.77123492,3.57063133,0.03390966,7.59472221,1.95630076,0.58062324
-4.69734867,10.83187856,0.08683679,0.09296234,1.74832252,3.51568090,0.03264323,7.44096764,1.89300186,0.56703823
-4.69134567,10.59237773,0.08408756,0.09046667,1.72409888,3.46006344,0.03125326,7.27892915,1.82328525,0.55263295
-4.68534267,10.34503716,0.08093695,0.08789456,1.69933863,3.40439512,0.02976060,7.11140363,1.74847742,0.53770940
-4.67933967,10.09360983,0.07744246,0.08530899,1.67475812,3.34911094,0.02818682,6.94094455,1.66993137,0.52255341
-4.67333667,9.84141932,0.07366613,0.08276895,1.65099803,3.29446574,0.02655363,6.76981171,1.58899090,0.50742766
-4.66733367,9.59130907,0.06967293,0.08032788,1.62860930,3.24054411,0.02488253,6.59993739,1.50695767,0.49256622
-4.66133067,9.34561624,0.06552906,0.07803231,1.60804276,3.18727845,0.02319436,6.43290932,1.42506206,0.47817046
-4.65532766,9.10616948,0.06130038,0.07592088,1.58964258,3.13447384,0.02150891,6.26997000,1.34443884,0.46440663
-4.64932466,8.87430898,0.05705092,0.07402362,1.57364372,3.08183832,0.01984467,6.11203123,1.26610834,0.45140498
-4.64332166,8.65092607,0.05284152,0.07236159,1.56017331,3.02901660,0.01821852,5.95970194,1.19096329,0.43926034
-4.63731866,8.43651911,0.04872868,0.07094676,1.54925573,2.97562561,0.01664558,5.81332717,1.11976166,0.42803413
-4.63131566,8.23126167,0.04476365,0.06978235,1.54082123,2.92128983,0.01513903,5.67303525,1.05312519,0.41775748
-4.62531266,8.03507882,0.04099173,0.06886321,1.53471760,2.86567468,0.01371005,5.53879055,0.99154312,0.40843532
-4.61930965,7.84772724,0.03745180,0.06817669,1.53072444,2.80851651,0.01236777,5.41044870,0.93538058,0.40005107
-4.61330665,7.66887503,0.03417613,0.06770348,1.52856955,2.74964761,0.01111935,5.28781147,0.88489071,0.39257184
-4.60730365,7.49817737,0.03119041,0.06741877,1.52794662,2.68901560,0.00996999,5.17067873,0.84022969,0.38595368
