energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.43571786,9.26580976,1.67612532,6.74043384,0.03296339,0.29903897,0.96907659,0.49974479,0.08939329,1.62135096
-5.42971486,9.17512808,1.61467641,6.70711425,0.03240081,0.28755085,0.93369805,0.49730283,0.08801180,1.59281063
-5.42371186,9.06677011,1.55195390,6.65869307,0.03187457,0.27581923,0.89755937,0.49387812,0.08660546,1.56216553
-5.41770885,8.94340365,1.48892033,6.59683956,0.03139988,0.26400236,0.86118668,0.48958202,0.08522014,1.52993548
-5.41170585,8.80800797,1.42652354,6.52351709,0.03099129,0.25225572,0.82509387,0.48454173,0.08390159,1.49666524
-5.40570285,8.66381408,1.36567942,6.44094112,0.03066245,0.24072933,0.78977336,0.47889777,0.08269432,1.46291535
-5.39969985,8.51423659,1.30725580,6.35152878,0.03042596,0.22956534,0.75568770,0.47280105,0.08164059,1.42925230
-5.39369685,8.36279844,1.25205771,6.25784121,0.03029316,0.21889571,0.72326193,0.46640952,0.08077941,1.39623839
-5.38769385,8.21305044,1.20081436,6.16252024,0.03027402,0.20884016,0.69287682,0.45988455,0.08014565,1.36442116
-5.38169085,8.06848772,1.15416805,6.06822114,0.03037698,0.19950444,0.66486324,0.45338707,0.07976931,1.33432292
-5.37568784,7.93246514,1.11266503,5.97754334,0.03060887,0.19097881,0.63949761,0.44707364,0.07967485,1.30643038
-5.36968484,7.80811433,1.07674844,5.89296123,0.03097482,0.18333685,0.61699840,0.44109259,0.07988077,1.28118467
-5.36368184,7.69826459,1.04675338,5.81675733,0.03147819,0.17663464,0.59752395,0.43558025,0.08039925,1.25897211
-5.35767884,7.60537035,1.02290399,5.75095990,0.03212048,0.17091021,0.58117136,0.43065757,0.08123607,1.24011579
-5.35167584,7.53144740,1.00531253,5.69728717,0.03290137,0.16618335,0.56797660,0.42642707,0.08239057,1.22486843
-5.34567284,7.47802008,0.99398033,5.65710012,0.03381861,0.16245582,0.55791568,0.42297040,0.08385585,1.21340653
-5.33966983,7.44608141,0.98880057,5.63136558,0.03486808,0.15971179,0.55090704,0.42034645,0.08561903,1.20582623
-5.33366683,7.43606766,0.98956264,5.62063089,0.03604370,0.15791868,0.54681486,0.41859021,0.08766171,1.20214091
