energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-5.09954977,8.60065557,0.06279553,0.21418962,0.62513788,1.03777135,1.80590148,4.33784532,0.08586712,2.96299898
-5.09354677,8.61523853,0.06179531,0.20822388,0.60931242,1.03983375,1.78648275,4.37082928,0.08504915,2.96420620
-5.08754377,8.61401742,0.06059572,0.20210045,0.59309730,1.04038180,1.76515629,4.39396218,0.08389633,2.96173413
-5.08154077,8.59725306,0.05920123,0.19590277,0.57649819,1.03960194,1.74221955,4.40703540,0.08242264,2.95572900
-5.07553777,8.56551464,0.05761975,0.18971881,0.55952741,1.03769528,1.71799557,4.41006809,0.08064766,2.94638852
-5.06953477,8.51965146,0.05586266,0.18363744,0.54220472,1.03486935,1.69281937,4.40330145,0.07859597,2.93395272
-5.06353177,8.46076238,0.05394464,0.17774518,0.52455847,1.03133004,1.66702532,4.38718962,0.07629650,2.91869560
-5.05752876,8.39016322,0.05188352,0.17212316,0.50662682,1.02727427,1.64093546,4.36238713,0.07378170,2.90091758
-5.05152576,8.30935249,0.04969989,0.16684454,0.48845893,1.02288333,1.61484940,4.32973285,0.07108670,2.88093873
-5.04552276,8.21997578,0.04741666,0.16197230,0.47011597,1.01831728,1.58903570,4.29023058,0.06824840,2.85909283
-5.03951976,8.12378896,0.04505861,0.15755753,0.45167177,1.01371043,1.56372501,4.24502611,0.06530452,2.83572193
-5.03351676,8.02262048,0.04265173,0.15363825,0.43321305,1.00916798,1.53910500,4.19538117,0.06229273,2.81117150
-5.02751376,7.91833303,0.04022270,0.15023860,0.41483906,1.00476394,1.51531726,4.14264428,0.05924971,2.78578593
-5.02151076,7.81278487,0.03779823,0.14736861,0.39666073,1.00054018,1.49245586,4.08821910,0.05621045,2.75990414
-5.01550775,7.70779120,0.03540445,0.14502437,0.37879920,0.99650670,1.47056783,4.03353053,0.05320747,2.73385533
-5.00950475,7.60508606,0.03306639,0.14318861,0.36138376,0.99264290,1.44965521,3.97998945,0.05027026,2.70795465
-5.00350175,7.50628526,0.03080747,0.14183164,0.34454939,0.98889981,1.42967859,3.92895667,0.04742487,2.68249871
-4.99749875,7.41285094,0.02864905,0.14091267,0.32843382,0.98520305,1.41056189,3.88170697,0.04469352,2.65776088
-4.99149575,7.32605866,0.02661007,0.14038128,0.31317432,0.98145641,1.39219816,3.83939440,0.04209449,2.63398647
-4.98549275,7.24696755,0.02470681,0.14017922,0.29890428,0.97754596,1.37445609,3.80301960,0.03964207,2.61138773
-4.97948974,7.17639459,0.02295272,0.14024224,0.28574970,0.97334429,1.35718694,3.77340054,0.03734659,2.59013884
-4.97348674,7.11489378,0.02135827,0.14050208,0.27382575,0.96871505,1.34023154,3.75114752,0.03521468,2.57037108
-4.96748374,7.06274104,0.01993095,0.14088843,0.26323345,0.96351734,1.32342715,3.73664356,0.03324945,2.55216830
-4.96148074,7.01992575,0.01867531,0.14133087,0.25405659,0.95761010,1.30661378,3.73003118,0.03145093,2.53556298
-4.95547774,6.98614939,0.01759303,0.14176064,0.24635902,0.95085625,1.28963976,3.73120621,0.02981635,2.52053311
-4.94947474,6.96083187,0.01668301,0.14211238,0.24018233,0.94312648,1.27236645,3.73981916,0.02834058,2.50700016
-4.94347174,6.94312590,0.01594158,0.14232559,0.23554401,0.93430283,1.25467173,3.75528457,0.02701651,2.49482830
-4.93746873,6.93193910,0.01536263,0.14234584,0.23243619,0.92428172,1.23645237,3.77679815,0.02583544,2.48382511
-4.93146573,6.92596374,0.01493778,0.14212579,0.23082488,0.91297669,1.21762523,3.80336135,0.02478741,2.47374392
-4.92546273,6.92371338,0.01465660,0.14162590,0.23064992,0.90032059,1.19812723,3.83381279,0.02386150,2.46428774
-4.91945973,6.92356530,0.01450682,0.14081488,0.23182547,0.88626729,1.17791434,3.86686536,0.02304614,2.45511494
-4.91345673,6.92380765,0.01447449,0.13966986,0.23424119,0.87079297,1.15695972,3.90114778,0.02232929,2.44584636
-4.90745373,6.92268950,0.01454430,0.13817633,0.23776404,0.85389676,1.13525118,3.93524902,0.02169868,2.43607384
-4.90145073,6.91847235,0.01469972,0.13632786,0.24224065,0.83560095,1.11278834,3.96776392,0.02114193,2.42536992
-4.89544772,6.90948102,0.01492337,0.13412558,0.24750034,0.81595063,1.08957962,3.99733815,0.02064675,2.41329824
-4.88944472,6.89415230,0.01519723,0.13157760,0.25335857,0.79501273,1.06563940,4.02271080,0.02020101,2.39942452
