energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.48974487,0.55122477,0.53207645,0.12023031,0.00035939,0.18524454,0.15434711,0.00000000,0.17108408,0.00303990
-5.48374187,0.54901701,0.49861613,0.12065910,0.00030916,0.17320327,0.16476826,0.00000000,0.17136945,0.00326352
-5.47773887,0.55328687,0.47218255,0.12248986,0.00026515,0.16291137,0.17751071,0.00000000,0.17381069,0.00353153
-5.47173587,0.56379287,0.45239973,0.12567685,0.00022711,0.15433382,0.19245992,0.00000000,0.17832000,0.00384172
-5.46573287,0.58020836,0.43881969,0.13015488,0.00019476,0.14742198,0.20946183,0.00000000,0.18478906,0.00419106
-5.45972986,0.60212058,0.43092990,0.13583897,0.00016779,0.14211413,0.22832209,0.00000000,0.19308783,0.00457575
-5.45372686,0.62903215,0.42816150,0.14262458,0.00014591,0.13833637,0.24880657,0.00000000,0.20306418,0.00499118
-5.44772386,0.66036521,0.42989812,0.15038849,0.00012882,0.13600368,0.27064316,0.00000000,0.21454432,0.00543193
-5.44172086,0.69546849,0.43548544,0.15899032,0.00011626,0.13502125,0.29352512,0.00000000,0.22733421,0.00589189
-5.43571786,0.73362731,0.44424159,0.16827477,0.00010800,0.13528601,0.31711589,0.00000000,0.24122191,0.00636430
-5.42971486,0.77407647,0.45546827,0.17807446,0.00010391,0.13668839,0.34105547,0.00000000,0.25598084,0.00684190
-5.42371186,0.81601578,0.46846263,0.18821345,0.00010391,0.13911420,0.36496814,0.00000000,0.27137385,0.00731705
-5.41770885,0.85862790,0.48252973,0.19851117,0.00010801,0.14244673,0.38847144,0.00000000,0.28715798,0.00778194
-5.41170585,0.90109771,0.49699543,0.20878678,0.00011635,0.14656875,0.41118604,0.00000000,0.30308972,0.00822878
-5.40570285,0.94263286,0.51121940,0.21886375,0.00012916,0.15136461,0.43274621,0.00000000,0.31893052,0.00864995
-5.39969985,0.98248436,0.52460793,0.22857439,0.00014686,0.15672221,0.45281046,0.00000000,0.33445233,0.00903831
-5.39369685,1.01996654,0.53662603,0.23776431,0.00016998,0.16253479,0.47107195,0.00000000,0.34944290,0.00938731
-5.38769385,1.05447543,0.54680859,0.24629638,0.00019925,0.16870245,0.48726809,0.00000000,0.36371059,0.00969122
-5.38169085,1.08550485,0.55477001,0.25405432,0.00023563,0.17513344,0.50118907,0.00000000,0.37708845,0.00994533
-5.37568784,1.11265930,0.56021190,0.26094538,0.00028028,0.18174505,0.51268480,0.00000000,0.38943736,0.01014601
-5.36968484,1.13566324,0.56292861,0.26690236,0.00033465,0.18846423,0.52166986,0.00000000,0.40064818,0.01029087
-5.36368184,1.15436631,0.56281031,0.27188460,0.00040046,0.19522783,0.52812646,0.00000000,0.41064276,0.01037880
-5.35767884,1.16874427,0.55984333,0.27587810,0.00047976,0.20198256,0.53210492,0.00000000,0.41937376,0.01040996
-5.35167584,1.17889572,0.55410799,0.27889469,0.00057495,0.20868474,0.53372194,0.00000000,0.42682350,0.01038579
-5.34567284,1.18503482,0.54577372,0.28097031,0.00068879,0.21529985,0.53315646,0.00000000,0.43300183,0.01030889
-5.33966983,1.18748048,0.53509192,0.28216260,0.00082442,0.22180208,0.53064353,0.00000000,0.43794314,0.01018291
-5.33366683,1.18664251,0.52238670,0.28254783,0.00098537,0.22817376,0.52646619,0.00000000,0.44170294,0.01001243
-5.32766383,1.18300553,0.50804402,0.28221739,0.00117555,0.23440498,0.52094594,0.00000000,0.44435397,0.00980278
