energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
1.48574287,2.52727853,0.41728788,0.00000000,2.05901772,0.47536241,1.29960098,0.00000000
1.49174587,2.49071563,0.40420036,0.00000000,2.07439685,0.46506478,1.22074911,0.00000000
1.49774887,2.48246194,0.39618104,0.00000000,2.11365924,0.46015497,1.15638006,0.00000000
1.50375188,2.50294566,0.39339356,0.00000000,2.17697728,0.46076387,1.10690836,0.00000000
1.50975488,2.55205241,0.39592714,0.00000000,2.26405431,0.46692084,1.07250421,0.00000000
1.51575788,2.62913816,0.40379669,0.00000000,2.37412884,0.47855728,1.05310066,0.00000000
1.52176088,2.73305187,0.41694394,0.00000000,2.50598808,0.49551171,1.04840396,0.00000000
1.52776388,2.86216711,0.43523933,0.00000000,2.65799061,0.51753617,1.05790683,0.00000000
1.53376688,3.01442161,0.45848450,0.00000000,2.82809788,0.54430357,1.08090387,0.00000000
1.53976988,3.18736367,0.48641536,0.00000000,3.01391404,0.57541582,1.11650907,0.00000000
1.54577289,3.37820440,0.51870558,0.00000000,3.21273325,0.61041246,1.16367472,0.00000000
1.55177589,3.58387460,0.55497037,0.00000000,3.42159370,0.64877964,1.22121187,0.00000000
1.55777889,3.80108506,0.59477074,0.00000000,3.63733713,0.68995925,1.28781179,0.00000000
1.56378189,4.02638904,0.63761808,0.00000000,3.85667248,0.73335804,1.36206847,0.00000000
1.56978489,4.25624574,0.68297911,0.00000000,4.07624218,0.77835668,1.44250201,0.00000000
1.57578789,4.48708337,0.73028137,0.00000000,4.29268926,0.82431859,1.52758253,0.00000000
1.58179090,4.71536068,0.77891914,0.00000000,4.50272375,0.87059852,1.61575459,0.00000000
1.58779390,4.93762568,0.82826004,0.00000000,4.70318629,0.91655086,1.70546165,0.00000000
1.59379690,5.15057049,0.87765217,0.00000000,4.89110740,0.96153763,1.79517035,0.00000000
1.59979990,5.35108139,0.92643194,0.00000000,5.06376074,1.00493609,1.88339410,0.00000000
1.60580290,5.53628315,0.97393251,0.00000000,5.21870893,1.04614609,1.96871551,0.00000000
1.61180590,5.70357711,1.01949284,0.00000000,5.35384091,1.08459708,2.04980727,0.00000000
1.61780890,5.85067259,1.06246722,0.00000000,5.46740000,1.11975476,2.12545084,0.00000000
1.62381191,5.97561126,1.10223515,0.00000000,5.55800223,1.15112747,2.19455254,0.00000000
1.62981491,6.07678469,1.13821145,0.00000000,5.62464500,1.17827215,2.25615673,0.00000000
1.63581791,6.15294496,1.16985624,0.00000000,5.66670636,1.20080000,2.30945550,0.00000000
1.64182091,6.20320885,1.19668473,0.00000000,5.68393562,1.21838159,2.35379492,0.00000000
1.64782391,6.22705591,1.21827637,0.00000000,5.67643620,1.23075148,2.38867769,0.00000000
1.65382691,6.22432095,1.23428315,0.00000000,5.64464199,1.23771213,2.41376213,0.00000000
1.65982991,6.19518154,1.24443672,0.00000000,5.58928853,1.23913708,2.42885791,0.00000000
1.66583292,6.14014106,1.24855416,0.00000000,5.51138034,1.23497309,2.43391877,0.00000000
1.67183592,6.06000792,1.24654196,0.00000000,5.41215594,1.22524130,2.42903261,0.00000000
1.67783892,5.95587150,1.23839823,0.00000000,5.29305168,1.21003712,2.41440958,0.00000000
1.68384192,5.82907536,1.22421281,0.00000000,5.15566564,1.18952881,2.39036881,0.00000000
1.68984492,5.68118819,1.20416536,0.00000000,5.00172259,1.16395468,2.35732415,0.00000000
1.69584792,5.51397306,1.17852131,0.00000000,4.83304072,1.13361888,2.31576975,0.00000000
1.70185093,5.32935527,1.14762582,0.00000000,4.65150068,1.09888576,2.26626590,0.00000000
1.70785393,5.12938944,1.11189593,0.00000000,4.45901729,1.06017294,2.20942559,0.00000000
1.71385693,4.91622609,1.07181098,0.00000000,4.25751400,1.01794322,2.14590209,0.00000000
1.71985993,4.69207826,1.02790183,0.00000000,4.04890008,0.97269548,2.07637786,0.00000000
1.72586293,4.45918855,0.98073892,0.00000000,3.83505045,0.92495485,2.00155488,0.00000000
1.73186593,4.21979704,0.93091981,0.00000000,3.61778774,0.87526240,1.92214634,0.00000000
1.73786893,3.97611050,0.87905639,0.00000000,3.39886647,0.82416473,1.83886959,0.00000000
1.74387194,3.73027341,0.82576230,0.00000000,3.17995905,0.77220359,1.75244029,0.00000000
1.74987494,3.48434106,0.77164075,0.00000000,2.96264322,0.71990602,1.66356730,0.00000000
1.75587794,3.24025523,0.71727326,0.00000000,2.74839095,0.66777524,1.57294828,0.00000000
1.76188094,2.99982280,0.66320947,0.00000000,2.53855856,0.61628238,1.48126547,0.00000000
1.76788394,2.76469744,0.60995837,0.00000000,2.33437809,0.56585956,1.38918173,0.00000000
1.77388694,2.53636486,0.55798104,0.00000000,2.13694989,0.51689412,1.29733640,0.00000000
1.77988994,2.31613148,0.50768502,0.00000000,1.94723676,0.46972444,1.20634094,0.00000000
1.78589295,2.10511684,0.45942051,0.00000000,1.76605945,0.42463708,1.11677441,0.00000000
1.79189595,1.90424968,0.41347809,0.00000000,1.59409405,0.38186542,1.02917869,0.00000000
1.79789895,1.71426752,0.37008821,0.00000000,1.43187115,0.34158973,0.94405364,0.00000000
1.80390195,1.53571976,0.32942216,0.00000000,1.27977711,0.30393844,0.86185235,0.00000000
1.80990495,1.36897392,0.29159431,0.00000000,1.13805739,0.26899054,0.78297667,0.00000000
1.81590795,1.21422478,0.25666563,0.00000000,1.00682204,0.23677898,0.70777326,0.00000000
1.82191096,1.07150609,0.22464810,0.00000000,0.88605324,0.20729481,0.63653046,0.00000000
1.82791396,0.94070448,0.19550984,0.00000000,0.77561480,0.18049189,0.56947608,0.00000000
1.83391696,0.82157502,0.16918082,0.00000000,0.67526330,0.15629201,0.50677634,0.00000000
1.83991996,0.71375811,0.14555881,0.00000000,0.58466073,0.13459016,0.44853610,0.00000000
1.84592296,0.61679720,0.12451543,0.00000000,0.50338811,0.11525990,0.39480044,0.00000000
1.85192596,0.53015691,0.10590217,0.00000000,0.43095984,0.09815852,0.34555743,0.00000000
1.85792896,0.45324103,0.08955618,0.00000000,0.36683833,0.08313203,0.30074231,0.00000000
1.86393197,0.38541018,0.07530559,0.00000000,0.31044842,0.07001977,0.26024259,0.00000000
1.86993497,0.32599860,0.06297454,0.00000000,0.26119139,0.05865858,0.22390418,0.00000000
1.87593797,0.27432996,0.05238754,0.00000000,0.21845807,0.04888655,0.19153816,0.00000000
1.88194097,0.22973170,0.04337337,0.00000000,0.18164080,0.04054619,0.16292798,0.00000000
1.88794397,0.19154806,0.03576832,0.00000000,0.15014410,0.03348714,0.13783691,0.00000000
1.89394697,0.15915132,0.02941890,0.00000000,0.12339372,0.02756836,0.11601540,0.00000000
1.89994997,0.13195145,0.02418394,0.00000000,0.10084416,0.02265987,0.09720816,0.00000000
1.90595298,0.10940406,0.01993626,0.00000000,0.08198461,0.01864398,0.08116082,0.00000000
1.91195598,0.09101667,0.01656374,0.00000000,0.06634318,0.01541619,0.06762593,0.00000000
1.91795898,0.07635332,0.01397008,0.00000000,0.05348978,0.01288570,0.05636819,0.00000000
1.92396198,0.06503778,0.01207509,0.00000000,0.04303755,0.01097555,0.04716890,0.00000000
1.92996498,0.05675519,0.01081469,0.00000000,0.03464312,0.00962259,0.03982948,0.00000000
1.93596798,0.05125239,0.01014059,0.00000000,0.02800585,0.00877712,0.03417405,0.00000000
1.94197099,0.04833701,0.01001973,0.00000000,0.02286616,0.00840233,0.03005118,0.00000000
1.94797399,0.04787532,0.01043343,0.00000000,0.01900327,0.00847361,0.02733468,0.00000000
1.95397699,0.04978886,0.01137634,0.00000000,0.01623232,0.00897756,0.02592356,0.00000000
1.95997999,0.05405001,0.01285515,0.00000000,0.01440123,0.00991097,0.02574124,0.00000000
1.96598299,0.06067638,0.01488702,0.00000000,0.01338719,0.01127949,0.02673392,0.00000000
1.97198599,0.06972409,0.01749786,0.00000000,0.01309314,0.01309623,0.02886835,0.00000000
1.97798899,0.08127996,0.02072026,0.00000000,0.01344410,0.01538015,0.03212894,0.00000000
1.98399200,0.09545262,0.02459126,0.00000000,0.01438357,0.01815422,0.03651423,0.00000000
1.98999500,0.11236262,0.02914983,0.00000000,0.01586999,0.02144356,0.04203307,0.00000000
1.99599800,0.13213169,0.03443415,0.00000000,0.01787328,0.02527324,0.04870020,0.00000000
2.00200100,0.15487127,0.04047875,0.00000000,0.02037161,0.02966612,0.05653166,0.00000000
2.00800400,0.18067058,0.04731146,0.00000000,0.02334828,0.03464057,0.06554004,0.00000000
2.01400700,0.20958459,0.05495044,0.00000000,0.02678891,0.04020806,0.07572969,0.00000000
2.02001001,0.24162227,0.06340115,0.00000000,0.03067882,0.04637103,0.08709206,0.00000000
2.02601301,0.27673555,0.07265361,0.00000000,0.03500081,0.05312063,0.09960145,0.00000000
