energy_ev,total_up,Bi_p_up,Bi_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
5.34567284,4.04077544,0.59430555,0.14063270,6.37615692,0.21664772,0.14623431,0.92009447
5.35167584,4.03560518,0.60668029,0.14032841,6.38110651,0.21650570,0.14896858,0.90877274
5.35767884,4.01649838,0.61795486,0.13950855,6.36274181,0.21556596,0.15108444,0.89436596
5.36368184,3.98432819,0.62806077,0.13819171,6.32206742,0.21386938,0.15256804,0.87727141
5.36968484,3.94013927,0.63695082,0.13640280,6.26040623,0.21146705,0.15341656,0.85791773
5.37568784,3.88511292,0.64459325,0.13417244,6.17935977,0.20841843,0.15363811,0.83675205
5.38169085,3.82052986,0.65096614,0.13153634,6.08076178,0.20478948,0.15325126,0.81422709
5.38769385,3.74773177,0.65605225,0.12853454,5.96662637,0.20065068,0.15228422,0.79078847
5.39369685,3.66808321,0.65983470,0.12521057,5.83909243,0.19607500,0.15077381,0.76686275
5.39969985,3.58293487,0.66229355,0.12161051,5.70036622,0.19113599,0.14876409,0.74284669
5.40570285,3.49358987,0.66340345,0.11778205,5.55266410,0.18590597,0.14630494,0.71909800
5.41170585,3.40127389,0.66313272,0.11377344,5.39815757,0.18045444,0.14345046,0.69592789
5.41770885,3.30711045,0.66144349,0.10963255,5.23892267,0.17484663,0.14025737,0.67359567
5.42371186,3.21210199,0.65829332,0.10540592,5.07689571,0.16914244,0.13678356,0.65230552
5.42971486,3.11711736,0.65363782,0.10113788,4.91383713,0.16339560,0.13308665,0.63220556
5.43571786,3.02288616,0.64743431,0.09686979,4.75130481,0.15765321,0.12922284,0.61338901
5.44172086,2.92999982,0.63964626,0.09263946,4.59063794,0.15195556,0.12524600,0.59589757
5.44772386,2.83891920,0.63024821,0.08848064,4.43295193,0.14633629,0.12120693,0.57972663
5.45372686,2.74998821,0.61923075,0.08442284,4.27914417,0.14082284,0.11715309,0.56483215
5.45972986,2.66345247,0.60660553,0.08049115,4.12991030,0.13543713,0.11312840,0.55113883
5.46573287,2.57948197,0.59240962,0.07670640,3.98576958,0.13019653,0.10917347,0.53854916
5.47173587,2.49819647,0.57670920,0.07308543,3.84709779,0.12511483,0.10532590,0.52695302
5.47773887,2.41969200,0.55960225,0.06964151,3.71416552,0.12020344,0.10162086,0.51623724
5.48374187,2.34406714,0.54121995,0.06638484,3.58717945,0.11547252,0.09809166,0.50629479
5.48974487,2.27144736,0.52172685,0.06332326,3.46632389,0.11093206,0.09477036,0.49703312
5.49574787,2.20200604,0.50131953,0.06046280,3.35180012,0.10659290,0.09168840,0.48838124
5.50175088,2.13598086,0.48022401,0.05780841,3.24386071,0.10246747,0.08887706,0.48029521
5.50775388,2.07368451,0.45869174,0.05536452,3.14283678,0.09857042,0.08636771,0.47276181
5.51375688,2.01550889,0.43699451,0.05313555,3.04915624,0.09491886,0.08419191,0.46580015
5.51975988,1.96192245,0.41541843,0.05112630,2.96335164,0.09153243,0.08238125,0.45946124
5.52576288,1.91346058,0.39425713,0.04934217,2.88605686,0.08843301,0.08096690,0.45382541
5.53176588,1.87070943,0.37380454,0.04778928,2.81799277,0.08564417,0.07997888,0.44899786
5.53776888,1.83428380,0.35434752,0.04647429,2.75994205,0.08319040,0.07944519,0.44510245
5.54377189,1.80480026,0.33615854,0.04540424,2.71271486,0.08109609,0.07939061,0.44227422
5.54977489,1.78284675,0.31948873,0.04458607,2.67710677,0.07938439,0.07983544,0.44065078
5.55577789,1.76895031,0.30456155,0.04402615,2.65385144,0.07807597,0.08079417,0.44036333
5.56178089,1.76354458,0.29156720,0.04372963,2.64357059,0.07718778,0.08227407,0.44152750
5.56778389,1.76693894,0.28065802,0.04369984,2.64672413,0.07673181,0.08427395,0.44423479
5.57378689,1.77929088,0.27194503,0.04393760,2.66356331,0.07671408,0.08678298,0.44854479
5.57978989,1.80058331,0.26549556,0.04444059,2.69408963,0.07713370,0.08977986,0.45447882
5.58579290,1.83060814,0.26133223,0.04520282,2.73802213,0.07798226,0.09323219,0.46201529
5.59179590,1.86895719,0.25943307,0.04621416,2.79477511,0.07924346,0.09709629,0.47108699
5.59779890,1.91502122,0.25973294,0.04746009,2.86344792,0.08089307,0.10131738,0.48158051
5.60380190,1.96799737,0.26212609,0.04892154,2.94282789,0.08289919,0.10583019,0.49333792
5.60980490,2.02690492,0.26646976,0.05057495,3.03140680,0.08522288,0.11056011,0.50616050
5.61580790,2.09060892,0.27258882,0.05239248,3.12741048,0.08781903,0.11542460,0.51981456
5.62181091,2.15785074,0.28028110,0.05434246,3.22884086,0.09063750,0.12033517,0.53403881
5.62781391,2.22728431,0.28932342,0.05638998,3.33352858,0.09362451,0.12519958,0.54855322
5.63381691,2.29751653,0.29947810,0.05849757,3.43919429,0.09672409,0.12992430,0.56306870
5.63981991,2.36714997,0.31049954,0.06062613,3.54351607,0.09987968,0.13441724,0.57729723
5.64582291,2.43482612,0.32214101,0.06273585,3.64419991,0.10303568,0.13859042,0.59096197
5.65182591,2.49926710,0.33416109,0.06478718,3.73905050,0.10613897,0.14236263,0.60380679
5.65782891,2.55931406,0.34632970,0.06674188,3.82603898,0.10914023,0.14566199,0.61560485
5.66383192,2.61396049,0.35843352,0.06856395,3.90336488,0.11199508,0.14842816,0.62616570
5.66983492,2.66237906,0.37028055,0.07022058,3.96950949,0.11466500,0.15061418,0.63534069
5.67583792,2.70394072,0.38170365,0.07168290,4.02327841,0.11711789,0.15218792,0.64302648
