energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
1.45572786,3.68748548,0.01752960,0.34129564,0.04176695,0.83129511,0.24600061,2.62248346
1.46173087,3.63234831,0.01736924,0.33835500,0.04072132,0.81678208,0.23662340,2.58341039
1.46773387,3.56828313,0.01717188,0.33468516,0.03956846,0.79984638,0.22672568,2.53819124
1.47373687,3.49642262,0.01694880,0.33040922,0.03833353,0.78073737,0.21643492,2.48757699
1.47973987,3.41796378,0.01671218,0.32564793,0.03704194,0.75972125,0.20587960,2.43236858
1.48574287,3.33413527,0.01647485,0.32051535,0.03571865,0.73707439,0.19518610,2.37339576
1.49174587,3.24616569,0.01624991,0.31511495,0.03438750,0.71307700,0.18447583,2.31149616
1.49774887,3.15525369,0.01605035,0.30953626,0.03307056,0.68800752,0.17386271,2.24749526
1.50375188,3.06254134,0.01588866,0.30385242,0.03178764,0.66213773,0.16345098,2.18218789
1.50975488,2.96909122,0.01577645,0.29811849,0.03055577,0.63572879,0.15333360,2.11632199
1.51575788,2.87586819,0.01572405,0.29237072,0.02938894,0.60902815,0.14359101,2.05058504
1.52176088,2.78372619,0.01574017,0.28662677,0.02829780,0.58226736,0.13429043,1.98559357
1.52776388,2.69340027,0.01583152,0.28088680,0.02728963,0.55566070,0.12548561,1.92188606
1.53376688,2.60550392,0.01600262,0.27513538,0.02636830,0.52940461,0.11721707,1.85991929
1.53976988,2.52053150,0.01625554,0.26934415,0.02553447,0.50367764,0.10951260,1.80006806
1.54577289,2.43886519,0.01658984,0.26347501,0.02478579,0.47864104,0.10238822,1.74262829
1.55177589,2.36078608,0.01700248,0.25748368,0.02411729,0.45443956,0.09584931,1.68782289
1.55777889,2.28648844,0.01748795,0.25132350,0.02352177,0.43120267,0.08989195,1.63581028
1.56378189,2.21609624,0.01803840,0.24494921,0.02299033,0.40904578,0.08450440,1.58669473
1.56978489,2.14968115,0.01864393,0.23832060,0.02251283,0.38807157,0.07966858,1.54053800
1.57578789,2.08728065,0.01929292,0.23140579,0.02207850,0.36837122,0.07536164,1.49737159
1.58179090,2.02891543,0.01997246,0.22418397,0.02167642,0.35002553,0.07155734,1.45720875
1.58779390,1.97460498,0.02066884,0.21664764,0.02129603,0.33310576,0.06822744,1.42005563
1.59379690,1.92438046,0.02136805,0.20880404,0.02092761,0.31767431,0.06534284,1.38592085
1.59979990,1.87829410,0.02205635,0.20067590,0.02056261,0.30378501,0.06287461,1.35482284
1.60580290,1.83642460,0.02272071,0.19230142,0.02019398,0.29148311,0.06079479,1.32679462
1.61180590,1.79887817,0.02334936,0.18373349,0.01981640,0.28080493,0.05907700,1.30188549
1.61780890,1.76578508,0.02393219,0.17503833,0.01942634,0.27177720,0.05769675,1.28015973
1.62381191,1.73729208,0.02446103,0.16629350,0.01902217,0.26441606,0.05663168,1.26169229
1.62981491,1.71355101,0.02492993,0.15758548,0.01860400,0.25872579,0.05586147,1.24656163
1.63581791,1.69470441,0.02533526,0.14900694,0.01817364,0.25469746,0.05536761,1.23484041
1.64182091,1.68086908,0.02567566,0.14065387,0.01773436,0.25230737,0.05513313,1.22658448
1.64782391,1.67211874,0.02595196,0.13262265,0.01729063,0.25151564,0.05514202,1.22182100
1.65382691,1.66846687,0.02616691,0.12500729,0.01684788,0.25226484,0.05537882,1.22053669
1.65982991,1.66985132,0.02632483,0.11789682,0.01641224,0.25447904,0.05582795,1.22266682
1.66583292,1.67612143,0.02643121,0.11137314,0.01599020,0.25806322,0.05647328,1.22808620
1.67183592,1.68702922,0.02649223,0.10550919,0.01558844,0.26290324,0.05729762,1.23660263
1.67783892,1.70222514,0.02651426,0.10036762,0.01521357,0.26886648,0.05828234,1.24795371
1.68384192,1.72125914,0.02650339,0.09600001,0.01487196,0.27580321,0.05940719,1.26180728
1.68984492,1.74358735,0.02646495,0.09244646,0.01456964,0.28354869,0.06065019,1.27776584
