energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-3.99499750,3.00818496,0.00164453,0.46359556,0.11451096,1.20208730,1.35499158,0.01135823,1.36272819
-3.98899450,3.01025631,0.00152586,0.45698581,0.11183984,1.18706776,1.35754795,0.01176949,1.37212940
-3.98299150,3.01665342,0.00143112,0.45084190,0.10928817,1.17351468,1.36246155,0.01224696,1.38268759
-3.97698849,3.02694447,0.00135836,0.44499973,0.10686601,1.16109454,1.36963046,0.01278677,1.39422167
-3.97098549,3.04064840,0.00130569,0.43928638,0.10458176,1.14946386,1.37892780,0.01338332,1.40653849
-3.96498249,3.05725088,0.00127124,0.43352857,0.10244204,1.13828259,1.39020472,0.01402948,1.41943836
-3.95897949,3.07621820,0.00125319,0.42756076,0.10045152,1.12722664,1.40329224,0.01471677,1.43271972
-3.95297649,3.09700836,0.00124975,0.42123249,0.09861268,1.11599893,1.41800170,0.01543557,1.44618268
-3.94697349,3.11907864,0.00125917,0.41441458,0.09692557,1.10433828,1.43412403,0.01617543,1.45963126
-3.94097049,3.14188977,0.00127970,0.40700392,0.09538759,1.09202598,1.45142776,0.01692532,1.47287418
-3.93496748,3.16490655,0.00130966,0.39892670,0.09399327,1.07888956,1.46965634,0.01767395,1.48572441
-3.92896448,3.18759549,0.00134738,0.39013989,0.09273408,1.06480388,1.48852485,0.01841004,1.49799742
-3.92296148,3.20942011,0.00139125,0.38063113,0.09159837,1.04968959,1.50771694,0.01912261,1.50950850
-3.91695848,3.22983483,0.00143967,0.37041707,0.09057130,1.03350930,1.52688218,0.01980117,1.52006946
-3.91095548,3.24827847,0.00149110,0.35954043,0.08963502,1.01626182,1.54563461,0.02043599,1.52948513
-3.90495248,3.26416848,0.00154407,0.34806599,0.08876881,0.99797513,1.56355294,0.02101820,1.53754997
-3.89894947,3.27689692,0.00159715,0.33607582,0.08794945,0.97869849,1.58018269,0.02153995,1.54404543
-3.89294647,3.28582926,0.00164898,0.32366423,0.08715165,0.95849440,1.59504069,0.02199446,1.54873835
-3.88694347,3.29030665,0.00169828,0.31093248,0.08634863,0.93743098,1.60762206,0.02237603,1.55138075
-3.88094047,3.28965227,0.00174385,0.29798391,0.08551273,0.91557524,1.61740967,0.02268007,1.55171144
-3.87493747,3.28318191,0.00178462,0.28491938,0.08461618,0.89298767,1.62388583,0.02290303,1.54945942
-3.86893447,3.27021874,0.00181957,0.27183354,0.08363180,0.86971843,1.62654591,0.02304237,1.54434936
-3.86293147,3.25011179,0.00184784,0.25881187,0.08253383,0.84580535,1.62491340,0.02309646,1.53610886
-3.85692846,3.22225746,0.00186869,0.24592857,0.08129872,0.82127365,1.61855569,0.02306452,1.52447742
-3.85092546,3.18612297,0.00188151,0.23324552,0.07990579,0.79613743,1.60709991,0.02294657,1.50921669
-3.84492246,3.14127066,0.00188582,0.22081190,0.07833797,0.77040259,1.59024804,0.02274334,1.49012153
-3.83891946,3.08738166,0.00188131,0.20866471,0.07658233,0.74407085,1.56779050,0.02245624,1.46703139
-3.83291646,3.02427765,0.00186782,0.19682988,0.07463053,0.71714465,1.53961749,0.02208736,1.43984132
-3.82691346,2.95193934,0.00184534,0.18532382,0.07247914,0.68963225,1.50572741,0.02163941,1.40851194
-3.82091046,2.87052044,0.00181401,0.17415529,0.07012979,0.66155288,1.46623192,0.02111579,1.37307784
-3.81490745,2.78035603,0.00177413,0.16332744,0.06758915,0.63294133,1.42135718,0.02052052,1.33365376
-3.80890445,2.68196477,0.00172612,0.15283973,0.06486882,0.60385171,1.37144121,0.01985833,1.29043807
-3.80290145,2.57604434,0.00167057,0.14268982,0.06198493,0.57436009,1.31692728,0.01913461,1.24371327
-3.79689845,2.46346013,0.00160816,0.13287508,0.05895777,0.54456580,1.25835366,0.01835543,1.19384321
-3.79089545,2.34522750,0.00153967,0.12339389,0.05581112,0.51459138,1.19634000,0.01752748,1.14126709
-3.78489245,2.22248809,0.00146598,0.11424647,0.05257161,0.48458093,1.13157100,0.01665808,1.08649029
-3.77888944,2.09648128,0.00138803,0.10543538,0.04926794,0.45469730,1.06477803,0.01575506,1.03007239
-3.77288644,1.96851183,0.00130679,0.09696564,0.04593005,0.42511792,0.99671939,0.01482664,0.97261290
-3.76688344,1.83991516,0.00122325,0.08884457,0.04258832,0.39602979,0.92816012,0.01388135,0.91473504
-3.76088044,1.71202164,0.00113842,0.08108126,0.03927274,0.36762373,0.85985212,0.01292785,0.85706863
-3.75487744,1.58612146,0.00105326,0.07368597,0.03601216,0.34008828,0.79251538,0.01197479,0.80023240
-3.74887444,1.46343148,0.00096868,0.06666933,0.03283358,0.31360360,0.72682098,0.01103060,0.74481679
-3.74287144,1.34506531,0.00088555,0.06004147,0.02976156,0.28833553,0.66337651,0.01010334,0.69136785
-3.73686843,1.23200784,0.00080465,0.05381124,0.02681771,0.26443034,0.60271437,0.00920053,0.64037280
-3.73086543,1.12509501,0.00072667,0.04798543,0.02402037,0.24201015,0.54528313,0.00832901,0.59224803
-3.72486243,1.02499952,0.00065219,0.04256817,0.02138433,0.22116943,0.49144236,0.00749480,0.54732982
-3.71885943,0.93222266,0.00058169,0.03756042,0.01892071,0.20197258,0.44146069,0.00670299,0.50586812
-3.71285643,0.84709251,0.00051555,0.03295966,0.01663704,0.18445267,0.39551709,0.00595770,0.46802372
-3.70685343,0.76976807,0.00045404,0.02875978,0.01453731,0.16861146,0.35370518,0.00526201,0.43386850
-3.70085043,0.70024903,0.00039731,0.02495111,0.01262222,0.15442049,0.31604001,0.00461800,0.40338901
-3.69484742,0.63839038,0.00034543,0.02152059,0.01088950,0.14182325,0.28246716,0.00402671,0.37649282
-3.68884442,0.58392104,0.00029838,0.01845213,0.00933422,0.13073830,0.25287338,0.00348830,0.35301748
-3.68284142,0.53646567,0.00025605,0.01572700,0.00794925,0.12106306,0.22709845,0.00300204,0.33274142
-3.67683842,0.49556853,0.00021829,0.01332439,0.00672562,0.11267819,0.20494769,0.00256645,0.31539654
-3.67083542,0.46071830,0.00018487,0.01122188,0.00565301,0.10545227,0.18620457,0.00217941,0.30068161
-3.66483242,0.43137308,0.00015553,0.00939606,0.00472010,0.09924666,0.17064296,0.00183830,0.28827616
-3.65882941,0.40698433,0.00012997,0.00782306,0.00391500,0.09392022,0.15803864,0.00154008,0.27785415
-3.65282641,0.38701909,0.00010788,0.00647905,0.00322558,0.08933384,0.14817958,0.00128147,0.26909691
-3.64682341,0.37097963,0.00008894,0.00534071,0.00263976,0.08535451,0.14087477,0.00105898,0.26170486
-3.64082041,0.35841988,0.00007283,0.00438562,0.00214580,0.08185891,0.13596130,0.00086911,0.25540762
-3.63481741,0.34895831,0.00005924,0.00359257,0.00173249,0.07873624,0.13330946,0.00070836,0.24997221
-3.62881441,0.34228669,0.00004785,0.00294181,0.00138932,0.07589052,0.13282577,0.00057334,0.24520895
-3.62281141,0.33817479,0.00003839,0.00241524,0.00110654,0.07324194,0.13445390,0.00046083,0.24097512
-3.61680840,0.33647085,0.00003059,0.00199645,0.00087530,0.07072763,0.13817340,0.00036781,0.23717616
-3.61080540,0.33709802,0.00002420,0.00167081,0.00068765,0.06830162,0.14399635,0.00029152,0.23376460
-3.60480240,0.34004696,0.00001902,0.00142540,0.00053653,0.06593416,0.15196208,0.00022943,0.23073673
-3.59879940,0.34536503,0.00001484,0.00124898,0.00041573,0.06361047,0.16213006,0.00017930,0.22812737
-3.59279640,0.35314267,0.00001150,0.00113181,0.00031991,0.06132898,0.17457132,0.00013913,0.22600292
-3.58679340,0.36349739,0.00000885,0.00106557,0.00024448,0.05909917,0.18935862,0.00010720,0.22445314
-3.58079040,0.37655620,0.00000676,0.00104318,0.00018554,0.05693916,0.20655581,0.00008202,0.22358197
-3.57478739,0.39243727,0.00000513,0.00105861,0.00013983,0.05487319,0.22620668,0.00006231,0.22349794
-3.56878439,0.41123146,0.00000387,0.00110673,0.00010465,0.05292896,0.24832392,0.00004700,0.22430447
-3.56278139,0.43298474,0.00000289,0.00118311,0.00007778,0.05113516,0.27287853,0.00003520,0.22609059
-3.55677839,0.45768209,0.00000215,0.00128388,0.00005740,0.04951909,0.29979027,0.00002617,0.22892248
-3.55077539,0.48523384,0.00000159,0.00140558,0.00004207,0.04810461,0.32891961,0.00001932,0.23283616
-3.54477239,0.51546493,0.00000116,0.00154500,0.00003062,0.04691034,0.36006164,0.00001417,0.23783166
-3.53876938,0.54810792,0.00000085,0.00169910,0.00002212,0.04594832,0.39294237,0.00001031,0.24386900
-3.53276638,0.58279989,0.00000061,0.00186492,0.00001588,0.04522306,0.42721778,0.00000745,0.25086600
-3.52676338,0.61908378,0.00000044,0.00203950,0.00001131,0.04473101,0.46247582,0.00000535,0.25869817
-3.52076038,0.65641419,0.00000031,0.00221985,0.00000801,0.04446049,0.49824150,0.00000381,0.26720062
-3.51475738,0.69416744,0.00000022,0.00240294,0.00000562,0.04439202,0.53398511,0.00000269,0.27617190
-3.50875438,0.73165585,0.00000015,0.00258569,0.00000392,0.04449905,0.56913330,0.00000189,0.28537962
-3.50275138,0.76814548,0.00000011,0.00276506,0.00000272,0.04474899,0.60308285,0.00000132,0.29456758
-3.49674837,0.80287695,0.00000007,0.00293804,0.00000187,0.04510457,0.63521656,0.00000091,0.30346418
-3.49074537,0.83508829,0.00000005,0.00310176,0.00000128,0.04552541,0.66492075,0.00000063,0.31179166
-3.48474237,0.86403906,0.00000004,0.00325358,0.00000087,0.04596966,0.69160370,0.00000043,0.31927580
-3.47873937,0.88903462,0.00000002,0.00339115,0.00000058,0.04639585,0.71471418,0.00000029,0.32565566
-3.47273637,0.90944962,0.00000002,0.00351258,0.00000039,0.04676462,0.73375946,0.00000020,0.33069293
-3.46673337,0.92474955,0.00000001,0.00361650,0.00000026,0.04704048,0.74832174,0.00000013,0.33418054
-3.46073037,0.93450951,0.00000001,0.00370219,0.00000017,0.04719343,0.75807260,0.00000009,0.33595013
-3.45472736,0.93842944,0.00000000,0.00376968,0.00000011,0.04720032,0.76278451,0.00000006,0.33587802
-3.44872436,0.93634494,0.00000000,0.00381985,0.00000007,0.04704618,0.76233907,0.00000004,0.33388956
-3.44272136,0.92823357,0.00000000,0.00385454,0.00000005,0.04672511,0.75673155,0.00000002,0.32996170
-3.43671836,0.91421607,0.00000000,0.00387655,0.00000003,0.04624101,0.74607157,0.00000002,0.32412360
-3.43071536,0.89455278,0.00000000,0.00388980,0.00000002,0.04560802,0.73057985,0.00000001,0.31645543
-3.42471236,0.86963536,0.00000000,0.00389927,0.00000001,0.04485062,0.71058138,0.00000001,0.30708540
-3.41870935,0.83997434,0.00000000,0.00391108,0.00000001,0.04400353,0.68649510,0.00000000,0.29618526
-3.41270635,0.80618308,0.00000000,0.00393243,0.00000001,0.04311128,0.65882092,0.00000000,0.28396441
-3.40670335,0.76895894,0.00000000,0.00397162,0.00000000,0.04222755,0.62812440,0.00000000,0.27066305
-3.40070035,0.72906253,0.00000000,0.00403793,0.00000000,0.04141428,0.59502001,0.00000000,0.25654457
-3.39469735,0.68729586,0.00000000,0.00414155,0.00000000,0.04074057,0.56015361,0.00000000,0.24188754
-3.38869435,0.64448038,0.00000000,0.00429345,0.00000000,0.04028135,0.52418483,0.00000000,0.22697762
-3.38269135,0.60143561,0.00000000,0.00450519,0.00000000,0.04011593,0.48777010,0.00000000,0.21209976
-3.37668834,0.55895914,0.00000000,0.00478875,0.00000000,0.04032626,0.45154692,0.00000000,0.19753074
-3.37068534,0.51780855,0.00000000,0.00515624,0.00000000,0.04099514,0.41611979,0.00000000,0.18353249
-3.36468234,0.47868563,0.00000000,0.00561962,0.00000000,0.04220425,0.38204812,0.00000000,0.17034618
-3.35867934,0.44222328,0.00000000,0.00619040,0.00000001,0.04403196,0.34983651,0.00000000,0.15818727
-3.35267634,0.40897505,0.00000000,0.00687922,0.00000001,0.04655109,0.31992725,0.00000000,0.14724152
-3.34667334,0.37940741,0.00000000,0.00769546,0.00000001,0.04982655,0.29269512,0.00000001,0.13766192
-3.34067034,0.35389449,0.00000000,0.00864684,0.00000002,0.05391292,0.26844433,0.00000001,0.12956667
-3.33466733,0.33271521,0.00000000,0.00973892,0.00000003,0.05885197,0.24740731,0.00000002,0.12303796
-3.32866433,0.31605235,0.00000000,0.01097473,0.00000005,0.06467026,0.22974514,0.00000003,0.11812153
-3.32266133,0.30399345,0.00000000,0.01235427,0.00000008,0.07137685,0.21554923,0.00000004,0.11482708
-3.31665833,0.29653307,0.00000000,0.01387420,0.00000012,0.07896124,0.20484406,0.00000006,0.11312913
-3.31065533,0.29357627,0.00000000,0.01552745,0.00000018,0.08739162,0.19759057,0.00000010,0.11296864
-3.30465233,0.29494319,0.00000000,0.01730304,0.00000028,0.09661357,0.19369008,0.00000015,0.11425503
