energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
1.28764382,1.49760831,-3.51217474,0.02701824,-0.01848705,0.03465182,-0.06906575,0.21519961,-0.83884961,0.38280670,-1.70215147,0.11809722,-0.20646345,0.00000000,-0.00000000,0.25837390,-0.40581315,0.92843407,-1.50046611
1.29364682,1.42969781,-3.46888730,0.02690094,-0.01829901,0.03404141,-0.06813254,0.19718858,-0.81577872,0.36838708,-1.68104818,0.11308810,-0.20128035,0.00000000,-0.00000000,0.24559381,-0.39916859,0.88019576,-1.48465147
1.29964982,1.36920884,-3.42487666,0.02679502,-0.01804854,0.03365007,-0.06717422,0.18091017,-0.79251425,0.35555529,-1.65938598,0.10863725,-0.19612292,0.00000000,-0.00000000,0.23375806,-0.39210133,0.83691691,-1.46906052
1.30565283,1.31647833,-3.38163807,0.02669468,-0.01774767,0.03345591,-0.06621171,0.16635219,-0.76941008,0.34427461,-1.63770644,0.10476244,-0.19106768,0.00000000,-0.00000000,0.22297332,-0.38470338,0.79899134,-1.45454825
1.31165583,1.27180295,-3.34073927,0.02659325,-0.01741014,0.03343541,-0.06526529,0.15350501,-0.74682274,0.33450232,-1.61659780,0.10147093,-0.18619146,0.00000000,-0.00000000,0.21333852,-0.37707550,0.76678544,-1.44198715
1.31765883,1.23544400,-3.30375994,0.02648339,-0.01705109,0.03356434,-0.06435382,0.14236171,-0.72509963,0.32619274,-1.59667096,0.09876079,-0.18156934,0.00000000,-0.00000000,0.20494497,-0.36932473,0.74063785,-1.43223352
1.32366183,1.20763241,-3.27223012,0.02635731,-0.01668661,0.03381862,-0.06349416,0.13291788,-0.70456785,0.31930020,-1.57853430,0.09662259,-0.17727280,0.00000000,-0.00000000,0.19787665,-0.36156187,0.72085912,-1.42609382
1.32966483,1.18857361,-3.24756973,0.02620711,-0.01633340,0.03417529,-0.06270062,0.12517098,-0.68552387,0.31378207,-1.56276834,0.09504127,-0.17336779,0.00000000,-0.00000000,0.19221049,-0.35389896,0.70773107,-1.42429251
1.33566783,1.17845168,-3.23103155,0.02602514,-0.01600824,0.03461332,-0.06198451,0.11911938,-0.66822441,0.30960169,-1.54990115,0.09399812,-0.16991312,0.00000000,-0.00000000,0.18801670,-0.34644689,0.70150584,-1.42744230
1.34167084,1.17743227,-3.22364956,0.02580445,-0.01572760,0.03511440,-0.06135387,0.11476120,-0.65287880,0.30673092,-1.54038552,0.09347280,-0.16695891,0.00000000,-0.00000000,0.18535897,-0.33931299,0.70240400,-1.43601804
1.34767384,1.18566366,-3.22619490,0.02553921,-0.01550718,0.03566353,-0.06081323,0.11209284,-0.63964293,0.30515236,-1.53457880,0.09344522,-0.16454531,0.00000000,-0.00000000,0.18429450,-0.33259893,0.71061170,-1.45033523
1.35367684,1.20327566,-3.23914097,0.02522520,-0.01536148,0.03624962,-0.06036364,0.11110738,-0.62861514,0.30486091,-1.53272620,0.09389719,-0.16270151,0.00000000,-0.00000000,0.18487367,-0.32639873,0.72627656,-1.47053407
1.35967984,1.23037580,-3.26263929,0.02486016,-0.01530340,0.03686581,-0.06000265,0.11179280,-0.61983388,0.30586462,-1.53494825,0.09481379,-0.16144492,0.00000000,-0.00000000,0.18713949,-0.32079713,0.74950210,-1.49656963
1.36568284,1.26704264,-3.29650710,0.02444425,-0.01534387,0.03750967,-0.05972458,0.11413013,-0.61327736,0.30818470,-1.54123292,0.09618433,-0.16078078,0.00000000,-0.00000000,0.19112649,-0.31586814,0.78034084,-1.52820886
1.37168584,1.31331622,-3.34022734,0.02398027,-0.01549159,0.03818326,-0.05952076,0.11809152,-0.60886517,0.31185444,-1.55143274,0.09800288,-0.16070200,0.00000000,-0.00000000,0.19685938,-0.31167409,0.81878601,-1.56503454
1.37768884,1.36918580,-3.39296135,0.02347394,-0.01575270,0.03889294,-0.05937997,0.12363834,-0.60646158,0.31691729,-1.56526707,0.10026841,-0.16118941,0.00000000,-0.00000000,0.20435116,-0.30826496,0.86476223,-1.60645632
1.38369185,1.43457524,-3.45357382,0.02293397,-0.01613063,0.03964908,-0.05928892,0.13071928,-0.60588072,0.32342385,-1.58232949,0.10298434,-0.16221222,0.00000000,-0.00000000,0.21360099,-0.30567814,0.91811545,-1.65172848
1.38969485,1.50932685,-3.52066935,0.02237208,-0.01662596,0.04046556,-0.05923280,0.13926871,-0.60689323,0.33142796,-1.60209993,0.10615781,-0.16372896,0.00000000,-0.00000000,0.22459182,-0.30393860,0.97860270,-1.69997407
1.39569785,1.59318432,-3.59263919,0.02180283,-0.01723640,0.04135914,-0.05919587,0.14920520,-0.60923418,0.34098206,-1.62396121,0.10979853,-0.16568861,0.00000000,-0.00000000,0.23728791,-0.30305941,1.04588223,-1.75021445
1.40170085,1.68577588,-3.66771655,0.02124343,-0.01795676,0.04234874,-0.05916213,0.16043041,-0.61261216,0.35213192,-1.64721919,0.11391730,-0.16803211,0.00000000,-0.00000000,0.25163241,-0.30304275,1.11950475,-1.80140324
