energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-3.81490745,4.94197683,4.21990847,2.17811857,0.07566160,0.31958480,1.66881127,0.00000000
-3.80890445,4.93312299,4.24114336,2.16689834,0.08168990,0.31764834,1.67108964,0.00000000
-3.80290145,4.91268498,4.25297956,2.15075300,0.08791638,0.31486849,1.66942532,0.00000000
-3.79689845,4.88173143,4.25642394,2.13021291,0.09432605,0.31135685,1.66412516,0.00000000
-3.79089545,4.84147319,4.25260638,2.10586217,0.10090233,0.30723789,1.65554129,0.00000000
-3.78489245,4.79323651,4.24274380,2.07832704,0.10762675,0.30264631,1.64406075,0.00000000
-3.77888944,4.73843272,4.22810219,2.04826309,0.11447862,0.29772435,1.63009405,0.00000000
-3.77288644,4.67852514,4.20995788,2.01634143,0.12143475,0.29261885,1.61406315,0.00000000
-3.76688344,4.61499455,4.18955969,1.98323434,0.12846922,0.28747822,1.59638934,0.00000000
-3.76088044,4.54930419,4.16809339,1.94960084,0.13555325,0.28244944,1.57748158,0.00000000
-3.75487744,4.48286551,4.14664971,1.91607256,0.14265517,0.27767496,1.55772587,0.00000000
-3.74887444,4.41700599,4.12619696,1.88324033,0.14974056,0.27328983,1.53747592,0.00000000
-3.74287144,4.35293980,4.10755903,1.85164190,0.15677245,0.26941880,1.51704573,0.00000000
-3.73686843,4.29174230,4.09139901,1.82175116,0.16371172,0.26617367,1.49670402,0.00000000
-3.73086543,4.23432875,4.07820864,1.79396897,0.17051755,0.26365085,1.47667086,0.00000000
-3.72486243,4.18143767,4.06830313,1.76861584,0.17714795,0.26192907,1.45711617,0.00000000
-3.71885943,4.13361886,4.06182089,1.74592647,0.18356037,0.26106741,1.43816011,0.00000000
-3.71285643,4.09122580,4.05872729,1.72604618,0.18971219,0.26110356,1.41987496,0.00000000
-3.70685343,4.05441227,4.05882177,1.70902906,0.19556132,0.26205244,1.40228814,0.00000000
-3.70085043,4.02313268,4.06174724,1.69483783,0.20106654,0.26390511,1.38538594,0.00000000
-3.69484742,3.99714581,4.06700115,1.68334528,0.20618791,0.26662810,1.36911763,0.00000000
-3.68884442,3.97602141,4.07394758,1.67433712,0.21088690,0.27016320,1.35339959,0.00000000
-3.68284142,3.95914966,4.08183005,1.66751633,0.21512650,0.27442767,1.33811916,0.00000000
-3.67683842,3.94575326,4.08978488,1.66250879,0.21887124,0.27931506,1.32313811,0.00000000
-3.67083542,3.93490217,4.09685528,1.65887049,0.22208709,0.28469662,1.30829568,0.00000000
-3.66483242,3.92553121,4.10200654,1.65609604,0.22474140,0.29042331,1.29341128,0.00000000
-3.65882941,3.91646079,4.10414275,1.65362884,0.22680282,0.29632855,1.27828699,0.00000000
-3.65282641,3.90642086,4.10212558,1.65087275,0.22824139,0.30223152,1.26271016,0.00000000
-3.64682341,3.89407834,4.09479556,1.64720535,0.22902870,0.30794121,1.24645629,0.00000000
-3.64082041,3.87806793,4.08099620,1.64199271,0.22913826,0.31326096,1.22929262,0.00000000
-3.63481741,3.85702610,4.05960091,1.63460535,0.22854608,0.31799351,1.21098244,0.00000000
-3.62881441,3.82962765,4.02954241,1.62443522,0.22723144,0.32194634,1.19129038,0.00000000
-3.62281141,3.79462398,3.98984414,1.61091325,0.22517783,0.32493721,1.16998874,0.00000000
-3.61680840,3.75088200,3.93965253,1.59352673,0.22237406,0.32679961,1.14686468,0.00000000
-3.61080540,3.69742219,3.87826898,1.57183620,0.21881546,0.32738796,1.12172800,0.00000000
-3.60480240,3.63345409,3.80517987,1.54549077,0.21450507,0.32658237,1.09441939,0.00000000
-3.59879940,3.55840784,3.72008326,1.51424145,0.20945472,0.32429261,1.06481843,0.00000000
-3.59279640,3.47195973,3.62291027,1.47795162,0.20368600,0.32046130,1.03285111,0.00000000
-3.58679340,3.37405060,3.51384003,1.43660413,0.19723093,0.31506596,0.99849622,0.00000000
