energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
5.33966983,0.22263829,0.00680177,0.02564979,0.21640036,0.03306926,0.04836591,0.00574625,0.04904662,0.00000000
5.34567284,0.21646604,0.00595483,0.02338475,0.22076852,0.03092487,0.05026706,0.00576119,0.04871981,0.00000000
5.35167584,0.21336237,0.00517592,0.02142300,0.22852603,0.02919422,0.05293106,0.00586696,0.04910178,0.00000000
5.35767884,0.21336439,0.00446658,0.01976734,0.23970292,0.02788230,0.05637048,0.00606329,0.05020143,0.00000000
5.36368184,0.21644688,0.00382678,0.01841461,0.25426338,0.02698563,0.06058178,0.00634844,0.05201330,0.00000000
5.36968484,0.22252193,0.00325507,0.01735605,0.27210210,0.02649260,0.06554423,0.00671906,0.05451717,0.00000000
5.37568784,0.23143972,0.00274890,0.01657785,0.29304168,0.02638398,0.07121920,0.00717018,0.05767783,0.00000000
5.38169085,0.24299030,0.00230476,0.01606172,0.31683152,0.02663344,0.07754971,0.00769513,0.06144527,0.00000000
5.38769385,0.25690640,0.00191851,0.01578548,0.34314841,0.02720826,0.08446055,0.00828556,0.06575502,0.00000000
5.39369685,0.27286751,0.00158552,0.01572374,0.37159893,0.02807008,0.09185875,0.00893151,0.07052898,0.00000000
5.39969985,0.29050517,0.00130091,0.01584853,0.40172411,0.02917571,0.09963468,0.00962152,0.07567650,0.00000000
5.40570285,0.30940950,0.00105973,0.01612995,0.43300621,0.03047806,0.10766372,0.01034277,0.08109588,0.00000000
5.41170585,0.32913707,0.00085706,0.01653686,0.46487786,0.03192709,0.11580844,0.01108131,0.08667634,0.00000000
5.41770885,0.34921999,0.00068818,0.01703747,0.49673344,0.03347087,0.12392150,0.01182234,0.09230017,0.00000000
5.42371186,0.36917606,0.00054860,0.01760004,0.52794246,0.03505667,0.13184891,0.01255049,0.09784543,0.00000000
5.42971486,0.38851991,0.00043420,0.01819348,0.55786466,0.03663207,0.13943384,0.01325024,0.10318877,0.00000000
5.43571786,0.40677469,0.00034118,0.01878794,0.58586644,0.03814615,0.14652073,0.01390623,0.10820853,0.00000000
5.44172086,0.42348409,0.00026616,0.01935538,0.61133796,0.03955059,0.15295961,0.01450374,0.11278794,0.00000000
5.44772386,0.43822424,0.00020615,0.01987014,0.63371043,0.04080079,0.15861040,0.01502903,0.11681829,0.00000000
5.45372686,0.45061507,0.00015852,0.02030934,0.65247267,0.04185690,0.16334714,0.01546978,0.12020197,0.00000000
5.45972986,0.46033061,0.00012102,0.02065339,0.66718646,0.04268472,0.16706183,0.01581543,0.12285529,0.00000000
5.46573287,0.46710789,0.00009173,0.02088621,0.67749988,0.04325647,0.16966781,0.01605747,0.12471087,0.00000000
5.47173587,0.47075396,0.00006903,0.02099555,0.68315799,0.04355141,0.17110245,0.01618975,0.12571959,0.00000000
5.47773887,0.47115076,0.00005157,0.02097310,0.68401043,0.04355618,0.17132913,0.01620858,0.12585193,0.00000000
5.48374187,0.46825754,0.00003825,0.02081451,0.68001544,0.04326501,0.17033824,0.01611291,0.12509868,0.00000000
5.48974487,0.46211077,0.00002817,0.02051932,0.67124025,0.04267960,0.16814731,0.01590424,0.12347094,0.00000000
