energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-5.72386193,0.46897626,0.43271103,0.10068011,0.00226445,0.01739842,0.00184965,0.32262060,0.05811087,0.04108720
-5.71785893,0.49478163,0.46481516,0.10178732,0.00225095,0.01887161,0.00194744,0.34200454,0.06254089,0.04450681
-5.71185593,0.52513082,0.49972921,0.10435993,0.00228219,0.02041717,0.00207304,0.36435937,0.06789818,0.04812171
-5.70585293,0.55990176,0.53724797,0.10839989,0.00235646,0.02203112,0.00222429,0.38959394,0.07416165,0.05191836
-5.69984992,0.59896338,0.57715824,0.11390614,0.00247158,0.02370985,0.00239895,0.41761084,0.08130425,0.05588486
-5.69384692,0.64217485,0.61923701,0.12087555,0.00262490,0.02545024,0.00259468,0.44830559,0.08929118,0.06001103
-5.68784392,0.68938382,0.66324923,0.12930352,0.00281327,0.02724951,0.00280894,0.48156522,0.09807814,0.06428829
-5.68184092,0.74042394,0.70894516,0.13918426,0.00303304,0.02910514,0.00303900,0.51726646,0.10760993,0.06870950
-5.67583792,0.79511169,0.75605769,0.15051074,0.00328006,0.03101469,0.00328187,0.55527356,0.11781932,0.07326871
-5.66983492,0.85324304,0.80429969,0.16327433,0.00354968,0.03297560,0.00353434,0.59543608,0.12862626,0.07796081
-5.66383192,0.91459007,0.85336179,0.17746428,0.00383682,0.03498490,0.00379296,0.63758675,0.13993779,0.08278113
-5.65782891,0.97889812,0.90291103,0.19306710,0.00413599,0.03703892,0.00405408,0.68153977,0.15164827,0.08772499
-5.65182591,1.04588382,0.95259055,0.21006580,0.00444138,0.03913305,0.00431388,0.72708979,0.16364048,0.09278723
-5.64582291,1.11523440,1.00202069,0.22843936,0.00474692,0.04126144,0.00456842,0.77401189,0.17578717,0.09796172
-5.63981991,1.18660858,1.05080191,0.24816214,0.00504644,0.04341676,0.00481374,0.82206258,0.18795336,0.10324103
-5.63381691,1.25963922,1.09851934,0.26920359,0.00533377,0.04559011,0.00504593,0.87098209,0.19999915,0.10861597
-5.62781391,1.33393782,1.14474934,0.29152812,0.00560288,0.04777082,0.00526122,0.92049798,0.21178306,0.11407545
-5.62181091,1.40910072,1.18906770,0.31509508,0.00584802,0.04994656,0.00545609,0.97032982,0.22316568,0.11960621
-5.61580790,1.48471673,1.23105929,0.33985899,0.00606392,0.05210333,0.00562737,1.02019485,0.23401363,0.12519286
-5.60980490,1.56037588,1.27032889,0.36576975,0.00624587,0.05422573,0.00577231,1.06981440,0.24420344,0.13081784
-5.60380190,1.63567861,1.30651245,0.39277285,0.00638993,0.05629714,0.00588870,1.11892049,0.25362532,0.13646157
-5.59779890,1.71024491,1.33928841,0.42080947,0.00649299,0.05830015,0.00597492,1.16726234,0.26218667,0.14210263
-5.59179590,1.78372265,1.36838834,0.44981636,0.00655294,0.06021687,0.00602996,1.21461228,0.26981490,0.14771796
-5.58579290,1.85579465,1.39360632,0.47972539,0.00656869,0.06202943,0.00605353,1.26077067,0.27645971,0.15328308
-5.57978989,1.92618370,1.41480642,0.51046279,0.00654022,0.06372034,0.00604598,1.30556943,0.28209456,0.15877230
-5.57378689,1.99465543,1.43192793,0.54194788,0.00646863,0.06527296,0.00600832,1.34887386,0.28671719,0.16415889
-5.56778389,2.06101856,1.44498796,0.57409159,0.00635609,0.06667188,0.00594219,1.39058277,0.29034934,0.16941520
-5.56178089,2.12512261,1.45408125,0.60679457,0.00620581,0.06790321,0.00584977,1.43062672,0.29303558,0.17451271
-5.55577789,2.18685327,1.45937718,0.63994512,0.00602193,0.06895489,0.00573371,1.46896468,0.29484135,0.17942216
-5.54977489,2.24612587,1.46111431,0.67341717,0.00580942,0.06981684,0.00559701,1.50557923,0.29585032,0.18411350
-5.54377189,2.30287732,1.45959264,0.70706838,0.00557399,0.07048112,0.00544295,1.54047085,0.29616127,0.18855600
-5.53776888,2.35705752,1.45516419,0.74073861,0.00532188,0.07094191,0.00527495,1.57365168,0.29588467,0.19271829
-5.53176588,2.40862069,1.44822238,0.77424906,0.00505974,0.07119556,0.00509648,1.60513928,0.29513903,0.19656862
-5.52576288,2.45751763,1.43919090,0.80740214,0.00479445,0.07124050,0.00491093,1.63495094,0.29404735,0.20007509
-5.51975988,2.50368940,1.42851246,0.83998232,0.00453299,0.07107712,0.00472154,1.66309889,0.29273379,0.20320609
-5.51375688,2.54706298,1.41663804,0.87175804,0.00428223,0.07070771,0.00453131,1.68958692,0.29132053,0.20593088
-5.50775388,2.58754940,1.40401705,0.90248472,0.00404883,0.07013630,0.00434293,1.71440847,0.28992518,0.20822032
-5.50175088,2.62504422,1.39108844,0.93190884,0.00383904,0.06936854,0.00415877,1.73754629,0.28865855,0.21004766
-5.49574787,2.65943035,1.37827304,0.95977287,0.00365863,0.06841164,0.00398081,1.75897361,0.28762284,0.21138949
-5.48974487,2.69058286,1.36596705,0.98582107,0.00351275,0.06727426,0.00381065,1.77865654,0.28691025,0.21222670
-5.48374187,2.71837517,1.35453631,1.00980562,0.00340581,0.06596640,0.00364955,1.79655719,0.28660191,0.21254538
-5.47773887,2.74268581,1.34431138,1.03149299,0.00334143,0.06449941,0.00349837,1.81263728,0.28676697,0.21233769
-5.47173587,2.76340525,1.33558290,1.05067010,0.00332233,0.06288583,0.00335769,1.82686142,0.28746187,0.21160252
-5.46573287,2.78044164,1.32859703,1.06714995,0.00335030,0.06113937,0.00322780,1.83919982,0.28872950,0.21034593
-5.45972986,2.79372503,1.32355071,1.08077638,0.00342614,0.05927480,0.00310872,1.84962978,0.29059846,0.20858138
-5.45372686,2.80320950,1.32058670,1.09142779,0.00354961,0.05730777,0.00300028,1.85813586,0.29308205,0.20632954
-5.44772386,2.80887272,1.31978826,1.09901947,0.00371944,0.05525469,0.00290214,1.86470828,0.29617731,0.20361792
-5.44172086,2.81071302,1.32117375,1.10350450,0.00393332,0.05313248,0.00281381,1.86933991,0.29986386,0.20048002
-5.43571786,2.80874416,1.32469156,1.10487329,0.00418790,0.05095836,0.00273471,1.87202181,0.30410290,0.19695438
-5.42971486,2.80298821,1.33021553,1.10315165,0.00447883,0.04874954,0.00266415,1.87273780,0.30883627,0.19308325
-5.42371186,2.79346726,1.33754181,1.09839774,0.00480084,0.04652293,0.00260139,1.87145860,0.31398589,0.18891117
-5.41770885,2.78019492,1.34638750,1.09069807,0.00514779,0.04429485,0.00254560,1.86813626,0.31945365,0.18448348
-5.41170585,2.76316843,1.35639173,1.08016283,0.00551281,0.04208074,0.00249594,1.86269940,0.32512196,0.17984488
-5.40570285,2.74236250,1.36711985,1.06692100,0.00588839,0.03989485,0.00245151,1.85505011,0.33085504,0.17503798
-5.39969985,2.71772567,1.37807094,1.05111546,0.00626659,0.03775007,0.00241141,1.84506307,0.33650113,0.17010225
-5.39369685,2.68918002,1.38868906,1.03289856,0.00663916,0.03565776,0.00237470,1.83258735,0.34189566,0.16507303
-5.38769385,2.65662465,1.39837807,1.01242831,0.00699781,0.03362760,0.00234047,1.81745112,0.34686528,0.15998105
-5.38169085,2.61994319,1.40651985,0.98986552,0.00733435,0.03166763,0.00230784,1.79946952,0.35123276,0.15485221
-5.37568784,2.57901527,1.41249544,0.96537192,0.00764095,0.02978430,0.00227598,1.77845536,0.35482269,0.14970779
-5.36968484,2.53373143,1.41570834,0.93910947,0.00791035,0.02798257,0.00224414,1.75423233,0.35746753,0.14456499
-5.36368184,2.48401097,1.41560907,0.91124060,0.00813609,0.02626615,0.00221171,1.72665014,0.35901407,0.13943780
-5.35767884,2.42982149,1.41171991,0.88192939,0.00831264,0.02463775,0.00217823,1.69560079,0.35932978,0.13433819
-5.35167584,2.37119931,1.40365865,0.85134355,0.00843564,0.02309937,0.00214343,1.66103513,0.35830885,0.12927741
-5.34567284,2.30826931,1.39116038,0.81965672,0.00850200,0.02165264,0.00210726,1.62297873,0.35587763,0.12426747
-5.33966983,2.24126310,1.37409602,0.78705107,0.00850998,0.02029916,0.00206995,1.58154613,0.35199913,0.11932262
-5.33366683,2.17053420,1.35248683,0.75371971,0.00845927,0.01904081,0.00203201,1.53695267,0.34667650,0.11446076
-5.32766383,2.09656942,1.32651411,0.71986868,0.00835100,0.01788004,0.00199425,1.48952304,0.33995505,0.10970473
-5.32166083,2.01999549,1.29652355,0.68571841,0.00818769,0.01682013,0.00195780,1.43969611,0.33192303,0.10508335
-5.31565783,1.94158037,1.26302412,0.65150420,0.00797314,0.01586537,0.00192413,1.38802554,0.32271079,0.10063225
-5.30965483,1.86222909,1.22668129,0.61747581,0.00771239,0.01502120,0.00189502,1.33517615,0.31248867,0.09639430
-5.30365183,1.78297407,1.18830504,0.58389596,0.00741147,0.01429423,0.00187257,1.28191593,0.30146348,0.09241974
-5.29764882,1.70496018,1.14883306,0.55103792,0.00707730,0.01369228,0.00185914,1.22910413,0.28987381,0.08876600
-5.29164582,1.62942502,1.10930977,0.51918195,0.00671744,0.01322419,0.00185739,1.17767564,0.27798441,0.08549711
-5.28564282,1.55767520,1.07086201,0.48861110,0.00633991,0.01289975,0.00187019,1.12862233,0.26607978,0.08268277
-5.27963982,1.49105930,1.03467211,0.45960623,0.00595296,0.01272938,0.00190061,1.08297202,0.25445731,0.08039715
-5.27363682,1.43093844,1.00194932,0.43244066,0.00556489,0.01272388,0.00195186,1.04176551,0.24342003,0.07871742
-5.26763382,1.37865534,0.97390043,0.40737452,0.00518385,0.01289403,0.00202725,1.00603268,0.23326947,0.07772194
-5.26163082,1.33550274,0.95170024,0.38464911,0.00481765,0.01325027,0.00213017,0.97676800,0.22429853,0.07748839
-5.25562781,1.30269186,0.93646258,0.36448147,0.00447363,0.01380219,0.00226397,0.95490624,0.21678467,0.07809158
-5.24962481,1.28132169,0.92921251,0.34705925,0.00415856,0.01455812,0.00243200,0.94129881,0.21098359,0.07960123
-5.24362181,1.27234978,0.93086012,0.33253620,0.00387846,0.01552463,0.00263748,0.93669123,0.20712338,0.08207965
-5.23761881,1.27656482,0.94217624,0.32102820,0.00363863,0.01670609,0.00288345,0.94170207,0.20539922,0.08557939
-5.23161581,1.29456165,0.96377042,0.31261009,0.00344347,0.01810418,0.00317275,0.95680371,0.20596875,0.09014082
-5.22561281,1.32671911,0.99607146,0.30731322,0.00329657,0.01971750,0.00350792,0.98230528,0.20894804,0.09578989
-5.21960980,1.37318089,1.03931070,0.30512383,0.00320057,0.02154110,0.00389112,1.01833793,0.21440817,0.10253595
-5.21360680,1.43384000,1.09350831,0.30598226,0.00315723,0.02356621,0.00432406,1.06484288,0.22237259,0.11036976
-5.20760380,1.50832718,1.15846288,0.30978287,0.00316739,0.02577995,0.00480794,1.12156245,0.23281501,0.11926178
-5.20160080,1.59600354,1.23374474,0.31637482,0.00323095,0.02816510,0.00534332,1.18803440,0.24565819,0.12916079
-5.19559780,1.69595817,1.31869324,0.32556355,0.00334692,0.03070012,0.00593004,1.26358998,0.26077346,0.13999294
-5.18959480,1.80701087,1.41241845,0.33711296,0.00351342,0.03335910,0.00656715,1.34735608,0.27798109,0.15166132
-5.18359180,1.92772077,1.51380772,0.35074837,0.00372766,0.03611198,0.00725278,1.43826168,0.29705170,0.16404605
-5.17758879,2.05640100,1.62153745,0.36616005,0.00398599,0.03892486,0.00798410,1.53504907,0.31770871,0.17700505
-5.17158579,2.19113983,1.73409025,0.38300756,0.00428395,0.04176043,0.00875718,1.63629002,0.33963187,0.19037555
-5.16558279,2.32982848,1.84977781,0.40092460,0.00461624,0.04457861,0.00956701,1.74040693,0.36246205,0.20397620
-5.15957979,2.47019541,1.96676934,0.41952457,0.00497688,0.04733728,0.01040740,1.84569900,0.38580725,0.21761003
-5.15357679,2.60984691,2.08312538,0.43840673,0.00535917,0.04999312,0.01127102,1.95037315,0.40924969,0.23106801
-5.14757379,2.74631339,2.19683648,0.45716284,0.00575589,0.05250257,0.01214940,2.05257919,0.43235418,0.24413328
-5.14157079,2.87710045,2.30586605,0.47538429,0.00615934,0.05482294,0.01303299,2.15044866,0.45467731,0.25658594
-5.13556778,2.99974359,2.40819631,0.49266957,0.00656152,0.05691341,0.01391129,2.24213627,0.47577745,0.26820819
-5.12956478,3.11186501,2.50187609,0.50863193,0.00695425,0.05873617,0.01477299,2.32586293,0.49522529,0.27878977
-5.12356178,3.21123097,2.58506906,0.52290711,0.00732940,0.06025749,0.01560617,2.39995909,0.51261448,0.28813347
-5.11755878,3.29580760,2.65610080,0.53516089,0.00767901,0.06144870,0.01639851,2.46290677,0.52757208,0.29606047
-5.11155578,3.36381347,2.71350287,0.54509627,0.00799554,0.06228707,0.01713757,2.51337909,0.53976856,0.30241542
-5.10555278,3.41376664,2.75605252,0.55246004,0.00827200,0.06275656,0.01781112,2.55027547,0.54892666,0.30707094
-5.09954977,3.44452465,2.78280612,0.55704853,0.00850221,0.06284834,0.01840740,2.57275148,0.55482908,0.30993143
-5.09354677,3.45531559,2.79312515,0.55871229,0.00868090,0.06256120,0.01891551,2.58024176,0.55732441,0.31093600
-5.08754377,3.44575893,2.78669364,0.55735953,0.00880391,0.06190161,0.01932565,2.57247527,0.55633122,0.31006044
-5.08154077,3.41587533,2.76352608,0.55295812,0.00886825,0.06088370,0.01962952,2.54948207,0.55183996,0.30731799
-5.07553777,3.36608463,2.72396561,0.54553608,0.00887224,0.05952886,0.01982049,2.51159128,0.54391268,0.30275912
-5.06953477,3.29719226,2.66867243,0.53518044,0.00881551,0.05786528,0.01989393,2.45942022,0.53268052,0.29647011
-5.06353177,3.21036437,2.59860282,0.52203457,0.00869900,0.05592717,0.01984728,2.39385524,0.51833911,0.28857052
-5.05752876,3.10709271,2.51497967,0.50629391,0.00852492,0.05375388,0.01968025,2.31602480,0.50114192,0.27920980
-5.05152576,2.98915061,2.41925568,0.48820040,0.00829668,0.05138891,0.01939481,2.22726594,0.48139211,0.26856297
-5.04552276,2.85854174,2.31307072,0.46803559,0.00801876,0.04887873,0.01899517,2.12908558,0.45943297,0.25682568
-5.03951976,2.71744373,2.19820504,0.44611289,0.00769651,0.04627169,0.01848767,2.02311799,0.43563747,0.24420882
-5.03351676,2.56814877,2.07653015,0.42276909,0.00733604,0.04361676,0.01788062,1.91108014,0.41039734,0.23093284
-5.02751376,2.41300338,1.94995928,0.39835554,0.00694398,0.04096244,0.01718405,1.79472663,0.38411209,0.21722201
-5.02151076,2.25434958,1.82039908,0.37322920,0.00652727,0.03835561,0.01640943,1.67580583,0.35717842,0.20329890
-5.01550775,2.09446935,1.68970438,0.34774405,0.00609300,0.03584059,0.01556931,1.55601857,0.32998036,0.18937906
-5.00950475,1.93553432,1.55963735,0.32224292,0.00564815,0.03345817,0.01467703,1.43698091,0.30288053,0.17566634
-5.00350175,1.77956187,1.43183221,0.29705022,0.00519944,0.03124490,0.01374627,1.32019186,0.27621265,0.16234871
-4.99749875,1.62837902,1.30776638,0.27246560,0.00475318,0.02923246,0.01279077,1.20700694,0.25027571,0.14959483
-4.99149575,1.48359457,1.18873859,0.24875880,0.00431513,0.02744719,0.01182391,1.09861798,0.22532959,0.13755140
-4.98549275,1.34657986,1.07585415,0.22616580,0.00389036,0.02590977,0.01085842,0.99603946,0.20159249,0.12634133
-4.97948974,1.21845819,0.97001721,0.20488622,0.00348323,0.02463503,0.00990614,0.90010120,0.17923981,0.11606262
-4.97348674,1.10010221,0.87192970,0.18508202,0.00309734,0.02363195,0.00897772,0.81144710,0.15840457,0.10678810
-4.96748374,0.99213900,0.78209626,0.16687747,0.00273549,0.02290375,0.00808250,0.73053940,0.13917914,0.09856577
-4.96148074,0.89496145,0.70083444,0.15036015,0.00239973,0.02244810,0.00722835,0.65766776,0.12161798,0.09141989
-4.95547774,0.80874524,0.62828905,0.13558300,0.00209136,0.02225744,0.00642165,0.59296220,0.10574133,0.08535249
-4.94947474,0.73346998,0.56444997,0.12256711,0.00181107,0.02231945,0.00566726,0.53640919,0.09153942,0.08034539
-4.94347174,0.66894351,0.50917206,0.11130507,0.00155891,0.02261750,0.00496855,0.48786981,0.07897711,0.07636256
-4.93746873,0.61482789,0.46219643,0.10176482,0.00133448,0.02313131,0.00432748,0.44709919,0.06799860,0.07335272
-4.93146573,0.57066629,0.42317207,0.09389365,0.00113695,0.02383755,0.00374476,0.41376632,0.05853212,0.07125210
-4.92546273,0.53590945,0.39167697,0.08762224,0.00096518,0.02471054,0.00321994,0.38747354,0.05049432,0.06998725
-4.91945973,0.50994106,0.36723811,0.08286861,0.00081781,0.02572299,0.00275159,0.36777499,0.04379436,0.06947789
-4.91345673,0.49210124,0.34934978,0.07954176,0.00069334,0.02684676,0.00233750,0.35419361,0.03833738,0.06963958
-4.90745373,0.48170759,0.33748969,0.07754502,0.00059021,0.02805360,0.00197479,0.34623618,0.03402752,0.07038637
-4.90145073,0.47807338,0.33113273,0.07677888,0.00050686,0.02931588,0.00166014,0.34340621,0.03077032,0.07163307
-4.89544772,0.48052270,0.32976217,0.07714339,0.00044178,0.03060738,0.00138991,0.34521448,0.02847446,0.07329750
-4.88944472,0.48840247,0.33287830,0.07854003,0.00039355,0.03190386,0.00116027,0.35118727,0.02705304,0.07530220
-4.88344172,0.50109140,0.34000458,0.08087303,0.00036088,0.03318376,0.00096736,0.36087225,0.02642428,0.07757608
-4.87743872,0.51800591,0.35069153,0.08405028,0.00034261,0.03442870,0.00080737,0.37384228,0.02651173,0.08005556
-4.87143572,0.53860352,0.36451851,0.08798375,0.00033772,0.03562397,0.00067661,0.38969724,0.02724415,0.08268548
-4.86543272,0.56238379,0.38109381,0.09258956,0.00034533,0.03675883,0.00057161,0.40806423,0.02855507,0.08541965
-4.85942971,0.58888737,0.40005327,0.09778775,0.00036467,0.03782680,0.00048911,0.42859644,0.03038212,0.08822106
-4.85342671,0.61769346,0.42105792,0.10350180,0.00039508,0.03882579,0.00042614,0.45097102,0.03266619,0.09106184
-4.84742371,0.64841616,0.44379082,0.10965804,0.00043595,0.03975809,0.00038000,0.47488619,0.03535060,0.09392292
-4.84142071,0.68070010,0.46795354,0.11618495,0.00048673,0.04063025,0.00034826,0.50005799,0.03838017,0.09679341
-4.83541771,0.71421561,0.49326263,0.12301249,0.00054685,0.04145288,0.00032876,0.52621704,0.04170044,0.09966980
-4.82941471,0.74865406,0.51944617,0.13007144,0.00061572,0.04224027,0.00031957,0.55310526,0.04525697,0.10255498
-4.82341171,0.78372326,0.54624080,0.13729291,0.00069269,0.04300993,0.00031899,0.58047312,0.04899478,0.10545712
-4.81740870,0.81914346,0.57338925,0.14460797,0.00077699,0.04378201,0.00032553,0.60807733,0.05285801,0.10838839
-4.81140570,0.85464393,0.60063861,0.15194743,0.00086775,0.04457865,0.00033786,0.63567910,0.05678979,0.11136369
-4.80540270,0.88996024,0.62773922,0.15924184,0.00096398,0.04542318,0.00035477,0.66304319,0.06073224,0.11439925
-4.79939970,0.92483237,0.65444441,0.16642166,0.00106450,0.04633929,0.00037521,0.68993747,0.06462684,0.11751134
-4.79339670,0.95900345,0.68051077,0.17341758,0.00116802,0.04735019,0.00039819,0.71613319,0.06841486,0.12071485
-4.78739370,0.99221932,0.70569921,0.18016103,0.00127309,0.04847760,0.00042282,0.74140582,0.07203807,0.12402209
-4.78139070,1.02422858,0.72977635,0.18658483,0.00137813,0.04974090,0.00044829,0.76553623,0.07543958,0.12744152
-4.77538769,1.05478326,0.75251647,0.19262388,0.00148147,0.05115612,0.00047382,0.78831237,0.07856479,0.13097669
-4.76938469,1.08363985,0.77370361,0.19821596,0.00158136,0.05273514,0.00049872,0.80953106,0.08136253,0.13462531
-4.76338169,1.11056083,0.79313395,0.20330260,0.00167602,0.05448486,0.00052234,0.82900002,0.08378609,0.13837843
-4.75737869,1.13531639,0.81061820,0.20782991,0.00176372,0.05640657,0.00054406,0.84653989,0.08579442,0.14221997
-4.75137569,1.15768649,0.82598402,0.21174940,0.00184275,0.05849540,0.00056338,0.86198633,0.08735319,0.14612630
-4.74537269,1.17746331,0.83907837,0.21501883,0.00191155,0.06074011,0.00057981,0.87519200,0.08843578,0.15006628
-4.73936968,1.19445382,0.84976976,0.21760294,0.00196871,0.06312293,0.00059296,0.88602861,0.08902416,0.15400152
-4.73336668,1.20848291,0.85795037,0.21947415,0.00201305,0.06561982,0.00060253,0.89438881,0.08910961,0.15788694
-4.72736368,1.21939670,0.86353813,0.22061323,0.00204362,0.06820096,0.00060829,0.90018817,0.08869315,0.16167177
-4.72136068,1.22706637,0.86647859,0.22100985,0.00205977,0.07083146,0.00061012,0.90336707,0.08778588,0.16530077
-4.71535768,1.23139230,0.86674672,0.22066305,0.00206114,0.07347245,0.00060798,0.90389264,0.08640897,0.16871586
-4.70935468,1.23230856,0.86434859,0.21958166,0.00204770,0.07608236,0.00060195,0.90176074,0.08459337,0.17185801
-4.70335168,1.22978757,0.85932292,0.21778461,0.00201975,0.07861843,0.00059219,0.89699788,0.08237942,0.17466936
-4.69734867,1.22384494,0.85174242,0.21530109,0.00197788,0.08103840,0.00057896,0.88966308,0.07981601,0.17709552
-4.69134567,1.21454407,0.84171488,0.21217066,0.00192296,0.08330223,0.00056263,0.87984961,0.07695973,0.17908793
-4.68534267,1.20200035,0.82938394,0.20844314,0.00185614,0.08537392,0.00054362,0.86768645,0.07387363,0.18060616
-4.67933967,1.18638471,0.81492935,0.20417841,0.00177878,0.08722318,0.00052245,0.85333929,0.07062601,0.18162018
-4.67333667,1.16792609,0.79856666,0.19944592,0.00169241,0.08882694,0.00049967,0.83701100,0.06728894,0.18211222
-4.66733367,1.14691249,0.78054620,0.19432411,0.00159866,0.09017063,0.00047591,0.81894133,0.06393681,0.18207835
-4.66133067,1.12369039,0.76115112,0.18889944,0.00149926,0.09124911,0.00045183,0.79940560,0.06064481,0.18152956
-4.65532766,1.09866216,0.74069455,0.18326534,0.00139595,0.09206718,0.00042808,0.77871242,0.05748741,0.18049227
-4.64932466,1.07228130,0.71951552,0.17752075,0.00129042,0.09263967,0.00040536,0.75720007,0.05453688,0.17900818
-4.64332166,1.04504541,0.69797397,0.17176850,0.00118430,0.09299103,0.00038434,0.73523165,0.05186195,0.17713347
