energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-0.29114557,1.28756771,0.21711992,0.00000000,0.01201190,0.12842021,0.62119000,0.82735085
-0.28514257,1.31343420,0.22192738,0.00000000,0.01214398,0.13319606,0.62706647,0.84318380
-0.27913957,1.33794228,0.22684186,0.00000000,0.01228944,0.13794642,0.63200315,0.85801408
-0.27313657,1.36057219,0.23179201,0.00000000,0.01244147,0.14260290,0.63587037,0.87147021
-0.26713357,1.38081232,0.23669412,0.00000000,0.01259304,0.14709514,0.63854279,0.88319518
-0.26113057,1.39817074,0.24145385,0.00000000,0.01273708,0.15135204,0.63990213,0.89285502
-0.25512756,1.41218747,0.24596865,0.00000000,0.01286666,0.15530325,0.63983995,0.90014750
-0.24912456,1.42244710,0.25013060,0.00000000,0.01297515,0.15888079,0.63826067,0.90481055
-0.24312156,1.42859141,0.25382984,0.00000000,0.01305644,0.16202073,0.63508460,0.90663035
-0.23711856,1.43033154,0.25695824,0.00000000,0.01310504,0.16466505,0.63025104,0.90544866
-0.23111556,1.42745936,0.25941339,0.00000000,0.01311627,0.16676343,0.62372128,0.90116926
-0.22511256,1.41985750,0.26110250,0.00000000,0.01308637,0.16827502,0.61548134,0.89376309
-0.21910955,1.40750776,0.26194628,0.00000000,0.01301263,0.16917010,0.60554447,0.88327220
-0.21310655,1.39049728,0.26188251,0.00000000,0.01289346,0.16943158,0.59395307,0.86981191
-0.20710355,1.36902233,0.26086911,0.00000000,0.01272842,0.16905613,0.58078005,0.85357146
-0.20110055,1.34338918,0.25888657,0.00000000,0.01251831,0.16805509,0.56612936,0.83481266
-0.19509755,1.31401202,0.25593969,0.00000000,0.01226507,0.16645489,0.55013565,0.81386682
-0.18909455,1.28140762,0.25205842,0.00000000,0.01197181,0.16429707,0.53296294,0.79112964
-0.18309155,1.24618683,0.24729773,0.00000000,0.01164268,0.16163774,0.51480226,0.76705442
-0.17708854,1.20904297,0.24173662,0.00000000,0.01128278,0.15854660,0.49586824,0.74214346
-0.17108554,1.17073732,0.23547611,0.00000000,0.01089801,0.15510547,0.47639474,0.71693788
-0.16508254,1.13208205,0.22863646,0.00000000,0.01049487,0.15140634,0.45662965,0.69200622
-0.15907954,1.09392110,0.22135356,0.00000000,0.01008032,0.14754904,0.43682896,0.66793189
-0.15307654,1.05710957,0.21377472,0.00000000,0.00966154,0.14363858,0.41725032,0.64529992
-0.14707354,1.02249212,0.20605408,0.00000000,0.00924573,0.13978230,0.39814645,0.62468335
-0.14107054,0.99088129,0.19834770,0.00000000,0.00883993,0.13608686,0.37975850,0.60662958
-0.13506753,0.96303624,0.19080866,0.00000000,0.00845077,0.13265527,0.36230970,0.59164711
-0.12906453,0.93964273,0.18358228,0.00000000,0.00808434,0.12958395,0.34599960,0.58019306
-0.12306153,0.92129495,0.17680169,0.00000000,0.00774602,0.12696012,0.33099907,0.57266177
-0.11705853,0.90847977,0.17058388,0.00000000,0.00744034,0.12485934,0.31744624,0.56937485
-0.11105553,0.90156400,0.16502648,0.00000000,0.00717089,0.12334357,0.30544363,0.57057298
-0.10505253,0.90078489,0.16020516,0.00000000,0.00694027,0.12245960,0.29505638,0.57640969
-0.09904952,0.90624435,0.15617196,0.00000000,0.00675005,0.12223792,0.28631182,0.58694724
