energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
4.24112056,0.51089522,0.06326210,0.00000000,0.37327261,0.00193767,0.01532441,0.00000000
4.24712356,0.51794848,0.06470918,0.00000000,0.38125883,0.00193179,0.01497523,0.00000000
4.25312656,0.52521450,0.06619680,0.00000000,0.38951984,0.00193208,0.01476335,0.00000000
4.25912956,0.53239270,0.06768884,0.00000000,0.39784713,0.00193649,0.01467351,0.00000000
4.26513257,0.53926194,0.06916222,0.00000000,0.40610411,0.00194327,0.01469477,0.00000000
4.27113557,0.54569191,0.07060861,0.00000000,0.41423515,0.00195111,0.01482112,0.00000000
4.27713857,0.55165092,0.07203560,0.00000000,0.42227180,0.00195913,0.01505199,0.00000000
4.28314157,0.55720979,0.07346746,0.00000000,0.43033563,0.00196690,0.01539262,0.00000000
4.28914457,0.56254150,0.07494517,0.00000000,0.43863783,0.00197445,0.01585425,0.00000000
4.29514757,0.56791665,0.07652601,0.00000000,0.44747522,0.00198223,0.01645419,0.00000000
4.30115058,0.57369469,0.07828247,0.00000000,0.45722286,0.00199114,0.01721573,0.00000000
4.30715358,0.58031116,0.08030069,0.00000000,0.46832342,0.00200239,0.01816789,0.00000000
4.31315658,0.58826150,0.08267825,0.00000000,0.48127345,0.00201753,0.01934501,0.00000000
4.31915958,0.59808175,0.08552159,0.00000000,0.49660715,0.00203830,0.02078620,0.00000000
4.32516258,0.61032707,0.08894295,0.00000000,0.51487794,0.00206661,0.02253463,0.00000000
4.33116558,0.62554872,0.09305702,0.00000000,0.53663854,0.00210445,0.02463665,0.00000000
4.33716858,0.64427034,0.09797729,0.00000000,0.56242011,0.00215376,0.02714073,0.00000000
4.34317159,0.66696466,0.10381229,0.00000000,0.59271119,0.00221639,0.03009631,0.00000000
4.34917459,0.69403121,0.11066170,0.00000000,0.62793712,0.00229400,0.03355238,0.00000000
4.35517759,0.72577621,0.11861260,0.00000000,0.66844056,0.00238798,0.03755604,0.00000000
4.36118059,0.76239520,0.12773573,0.00000000,0.71446383,0.00249939,0.04215079,0.00000000
4.36718359,0.80395923,0.13808206,0.00000000,0.76613364,0.00262888,0.04737480,0.00000000
4.37318659,0.85040502,0.14967966,0.00000000,0.82344868,0.00277667,0.05325904,0.00000000
4.37918959,0.90152963,0.16253087,0.00000000,0.88627060,0.00294251,0.05982537,0.00000000
4.38519260,0.95698965,0.17661014,0.00000000,0.95431854,0.00312565,0.06708462,0.00000000
4.39119560,1.01630511,0.19186221,0.00000000,1.02716759,0.00332485,0.07503475,0.00000000
4.39719860,1.07886781,0.20820107,0.00000000,1.10425118,0.00353835,0.08365911,0.00000000
4.40320160,1.14395386,0.22550950,0.00000000,1.18486745,0.00376396,0.09292493,0.00000000
4.40920460,1.21073995,0.24363941,0.00000000,1.26818941,0.00399904,0.10278209,0.00000000
4.41520760,1.27832262,0.26241292,0.00000000,1.35327884,0.00424058,0.11316228,0.00000000
4.42121061,1.34574006,0.28162428,0.00000000,1.43910343,0.00448524,0.12397864,0.00000000
4.42721361,1.41199551,0.30104258,0.00000000,1.52455691,0.00472944,0.13512599,0.00000000
4.43321661,1.47608159,0.32041535,0.00000000,1.60848169,0.00496940,0.14648154,0.00000000
4.43921961,1.53700469,0.33947288,0.00000000,1.68969340,0.00520128,0.15790649,0.00000000
4.44522261,1.59380875,0.35793335,0.00000000,1.76700684,0.00542121,0.16924810,0.00000000
4.45122561,1.64559765,0.37550859,0.00000000,1.83926265,0.00562542,0.18034258,0.00000000
4.45722861,1.69155566,0.39191041,0.00000000,1.90535402,0.00581029,0.19101856,0.00000000
4.46323162,1.73096539,0.40685729,0.00000000,1.96425270,0.00597248,0.20110115,0.00000000
4.46923462,1.76322279,0.42008136,0.00000000,2.01503368,0.00610897,0.21041640,0.00000000
4.47523762,1.78784894,0.43133528,0.00000000,2.05689770,0.00621714,0.21879611,0.00000000
4.48124062,1.80449835,0.44039903,0.00000000,2.08919099,0.00629486,0.22608274,0.00000000
4.48724362,1.81296379,0.44708617,0.00000000,2.11142154,0.00634051,0.23213424,0.00000000
4.49324662,1.81317744,0.45124936,0.00000000,2.12327134,0.00635304,0.23682867,0.00000000
4.49924962,1.80520879,0.45278508,0.00000000,2.12460419,0.00633201,0.24006826,0.00000000
4.50525263,1.78925911,0.45163706,0.00000000,2.11546860,0.00627754,0.24178290,0.00000000
4.51125563,1.76565311,0.44779850,0.00000000,2.09609584,0.00619040,0.24193274,0.00000000
4.51725863,1.73482787,0.44131283,0.00000000,2.06689290,0.00607190,0.24050989,0.00000000
4.52326163,1.69731962,0.43227293,0.00000000,2.02843079,0.00592390,0.23753904,0.00000000
4.52926463,1.65374878,0.42081889,0.00000000,1.98142838,0.00574878,0.23307701,0.00000000
4.53526763,1.60480369,0.40713433,0.00000000,1.92673251,0.00554930,0.22721124,0.00000000
4.54127064,1.55122368,0.39144137,0.00000000,1.86529500,0.00532863,0.22005725,0.00000000
4.54727364,1.49378190,0.37399455,0.00000000,1.79814750,0.00509017,0.21175530,0.00000000
4.55327664,1.43326847,0.35507380,0.00000000,1.72637511,0.00483755,0.20246615,0.00000000
4.55927964,1.37047441,0.33497690,0.00000000,1.65108970,0.00457446,0.19236645,0.00000000
4.56528264,1.30617687,0.31401160,0.00000000,1.57340406,0.00430463,0.18164366,0.00000000
4.57128564,1.24112583,0.29248777,0.00000000,1.49440761,0.00403172,0.17049091,0.00000000
4.57728864,1.17603284,0.27070996,0.00000000,1.41514454,0.00375925,0.15910186,0.00000000
4.58329165,1.11156165,0.24897046,0.00000000,1.33659494,0.00349050,0.14766599,0.00000000
4.58929465,1.04832112,0.22754332,0.00000000,1.25965952,0.00322851,0.13636414,0.00000000
4.59529765,0.98686022,0.20667938,0.00000000,1.18514782,0.00297601,0.12536478,0.00000000
4.60130065,0.92766501,0.18660241,0.00000000,1.11377021,0.00273537,0.11482093,0.00000000
4.60730365,0.87115743,0.16750658,0.00000000,1.04613337,0.00250862,0.10486773,0.00000000
4.61330665,0.81769567,0.14955514,0.00000000,0.98273890,0.00229740,0.09562088,0.00000000
4.61930965,0.76757572,0.13288022,0.00000000,0.92398456,0.00210301,0.08717573,0.00000000
4.62531266,0.72103376,0.11758380,0.00000000,0.87016765,0.00192641,0.07960703,0.00000000
4.63131566,0.67824920,0.10373950,0.00000000,0.82148993,0.00176822,0.07296936,0.00000000
4.63731866,0.63934782,0.09139513,0.00000000,0.77806349,0.00162877,0.06729790,0.00000000
4.64332166,0.60440503,0.08057576,0.00000000,0.73991706,0.00150812,0.06260977,0.00000000
4.64932466,0.57344881,0.07128704,0.00000000,0.70700244,0.00140610,0.05890547,0.00000000
4.65532766,0.54646240,0.06351863,0.00000000,0.67920076,0.00132234,0.05617056,0.00000000
4.66133067,0.52338664,0.05724750,0.00000000,0.65632838,0.00125630,0.05437748,0.00000000
4.66733367,0.50412200,0.05244091,0.00000000,0.63814253,0.00120729,0.05348720,0.00000000
4.67333667,0.48853043,0.04905897,0.00000000,0.62434670,0.00117450,0.05345099,0.00000000
4.67933967,0.47643720,0.04705667,0.00000000,0.61459616,0.00115703,0.05421193,0.00000000
4.68534267,0.46763289,0.04638525,0.00000000,0.60850366,0.00115388,0.05570637,0.00000000
4.69134567,0.46187584,0.04699301,0.00000000,0.60564576,0.00116400,0.05786522,0.00000000
4.69734867,0.45889503,0.04882550,0.00000000,0.60557001,0.00118627,0.06061511,0.00000000
4.70335168,0.45839387,0.05182516,0.00000000,0.60780320,0.00121951,0.06387943,0.00000000
4.70935468,0.46005470,0.05593056,0.00000000,0.61186071,0.00126250,0.06757927,0.00000000
4.71535768,0.46354429,0.06107529,0.00000000,0.61725717,0.00131398,0.07163432,0.00000000
4.72136068,0.46852019,0.06718678,0.00000000,0.62351810,0.00137266,0.07596372,0.00000000
4.72736368,0.47463790,0.07418501,0.00000000,0.63019252,0.00143721,0.08048689,0.00000000
4.73336668,0.48155876,0.08198157,0.00000000,0.63686608,0.00150630,0.08512441,0.00000000
4.73936968,0.48895824,0.09047888,0.00000000,0.64317426,0.00157857,0.08979892,0.00000000
4.74537269,0.49653456,0.09957006,0.00000000,0.64881527,0.00165270,0.09443607,0.00000000
4.75137569,0.50401724,0.10913931,0.00000000,0.65356206,0.00172737,0.09896553,0.00000000
4.75737869,0.51117527,0.11906302,0.00000000,0.65727289,0.00180133,0.10332208,0.00000000
4.76338169,0.51782480,0.12921168,0.00000000,0.65989992,0.00187338,0.10744661,0.00000000
4.76938469,0.52383578,0.13945238,0.00000000,0.66149546,0.00194242,0.11128731,0.00000000
4.77538769,0.52913757,0.14965218,0.00000000,0.66221538,0.00200749,0.11480068,0.00000000
4.78139070,0.53372304,0.15968192,0.00000000,0.66231938,0.00206778,0.11795255,0.00000000
4.78739370,0.53765114,0.16942051,0.00000000,0.66216802,0.00212263,0.12071897,0.00000000
4.79339670,0.54104763,0.17875944,0.00000000,0.66221619,0.00217160,0.12308699,0.00000000
4.79939970,0.54410399,0.18760735,0.00000000,0.66300331,0.00221450,0.12505515,0.00000000
4.80540270,0.54707424,0.19589430,0.00000000,0.66514004,0.00225134,0.12663377,0.00000000
4.81140570,0.55026981,0.20357557,0.00000000,0.66929209,0.00228240,0.12784496,0.00000000
4.81740870,0.55405242,0.21063477,0.00000000,0.67616109,0.00230823,0.12872227,0.00000000
4.82341171,0.55882493,0.21708595,0.00000000,0.68646319,0.00232961,0.12930996,0.00000000
4.82941471,0.56502051,0.22297462,0.00000000,0.70090578,0.00234756,0.12966199,0.00000000
4.83541771,0.57309007,0.22837745,0.00000000,0.72016296,0.00236333,0.12984053,0.00000000
4.84142071,0.58348845,0.23340073,0.00000000,0.74485044,0.00237833,0.12991432,0.00000000
4.84742371,0.59665949,0.23817738,0.00000000,0.77550057,0.00239413,0.12995652,0.00000000
4.85342671,0.61302052,0.24286273,0.00000000,0.81253838,0.00241236,0.13004255,0.00000000
4.85942971,0.63294664,0.24762925,0.00000000,0.85625940,0.00243471,0.13024767,0.00000000
4.86543272,0.65675531,0.25266014,0.00000000,0.90681021,0.00246282,0.13064453,0.00000000
4.87143572,0.68469184,0.25814242,0.00000000,0.96417245,0.00249824,0.13130082,0.00000000
4.87743872,0.71691628,0.26425947,0.00000000,1.02815122,0.00254238,0.13227698,0.00000000
4.88344172,0.75349226,0.27118353,0.00000000,1.09836856,0.00259640,0.13362428,0.00000000
4.88944472,0.79437840,0.27906842,0.00000000,1.17426254,0.00266120,0.13538316,0.00000000
4.89544772,0.83942263,0.28804273,0.00000000,1.25509244,0.00273736,0.13758203,0.00000000
4.90145073,0.88835996,0.29820388,0.00000000,1.33995031,0.00282511,0.14023655,0.00000000
4.90745373,0.94081380,0.30961318,0.00000000,1.42777869,0.00292427,0.14334941,0.00000000
4.91345673,0.99630122,0.32229213,0.00000000,1.51739449,0.00303430,0.14691066,0.00000000
4.91945973,1.05424195,0.33622018,0.00000000,1.60751827,0.00315425,0.15089856,0.00000000
4.92546273,1.11397118,0.35133378,0.00000000,1.69680822,0.00328280,0.15528087,0.00000000
4.93146573,1.17475571,0.36752706,0.00000000,1.78389786,0.00341831,0.16001659,0.00000000
4.93746873,1.23581332,0.38465379,0.00000000,1.86743616,0.00355887,0.16505807,0.00000000
4.94347174,1.29633448,0.40253074,0.00000000,1.94612872,0.00370230,0.17035337,0.00000000
4.94947474,1.35550606,0.42094218,0.00000000,2.01877863,0.00384632,0.17584877,0.00000000
4.95547774,1.41253619,0.43964537,0.00000000,2.08432556,0.00398855,0.18149144,0.00000000
4.96148074,1.46667958,0.45837689,0.00000000,2.14188150,0.00412662,0.18723211,0.00000000
4.96748374,1.51726240,0.47685951,0.00000000,2.19076211,0.00425827,0.19302765,0.00000000
4.97348674,1.56370604,0.49480948,0.00000000,2.23051240,0.00438140,0.19884354,0.00000000
4.97948974,1.60554890,0.51194404,0.00000000,2.26092584,0.00449418,0.20465619,0.00000000
4.98549275,1.64246558,0.52798875,0.00000000,2.28205632,0.00459509,0.21045501,0.00000000
4.99149575,1.67428262,0.54268478,0.00000000,2.29422246,0.00468303,0.21624418,0.00000000
4.99749875,1.70099032,0.55579570,0.00000000,2.29800420,0.00475730,0.22204413,0.00000000
5.00350175,1.72275007,0.56711371,0.00000000,2.29423165,0.00481771,0.22789265,0.00000000
5.00950475,1.73989671,0.57646522,0.00000000,2.28396656,0.00486453,0.23384551,0.00000000
5.01550775,1.75293553,0.58371550,0.00000000,2.26847687,0.00489853,0.23997668,0.00000000
5.02151076,1.76253381,0.58877241,0.00000000,2.24920487,0.00492099,0.24637786,0.00000000
5.02751376,1.76950660,0.59158896,0.00000000,2.22772984,0.00493360,0.25315743,0.00000000
5.03351676,1.77479683,0.59216470,0.00000000,2.20572576,0.00493848,0.26043864,0.00000000
5.03951976,1.77944994,0.59054579,0.00000000,2.18491528,0.00493808,0.26835699,0.00000000
5.04552276,1.78458334,0.58682378,0.00000000,2.16702062,0.00493511,0.27705668,0.00000000
5.05152576,1.79135130,0.58113287,0.00000000,2.15371265,0.00493244,0.28668627,0.00000000
5.05752876,1.80090594,0.57364598,0.00000000,2.14655925,0.00493304,0.29739330,0.00000000
5.06353177,1.81435543,0.56456943,0.00000000,2.14697404,0.00493980,0.30931826,0.00000000
5.06953477,1.83272052,0.55413642,0.00000000,2.15616702,0.00495549,0.32258768,0.00000000
5.07553777,1.85689091,0.54259962,0.00000000,2.17509837,0.00498260,0.33730681,0.00000000
5.08154077,1.88758288,0.53022286,0.00000000,2.20443706,0.00502325,0.35355203,0.00000000
5.08754377,1.92530018,0.51727247,0.00000000,2.24452566,0.00507906,0.37136323,0.00000000
5.09354677,1.97029964,0.50400832,0.00000000,2.29535319,0.00515110,0.39073672,0.00000000
5.09954977,2.02256350,0.49067518,0.00000000,2.35653712,0.00523979,0.41161884,0.00000000
5.10555278,2.08178000,0.47749454,0.00000000,2.42731625,0.00534484,0.43390083,0.00000000
5.11155578,2.14733361,0.46465740,0.00000000,2.50655518,0.00546522,0.45741536,0.00000000
5.11755878,2.21830610,0.45231824,0.00000000,2.59276145,0.00559917,0.48193495,0.00000000
5.12356178,2.29348915,0.44059061,0.00000000,2.68411531,0.00574420,0.50717268,0.00000000
5.12956478,2.37140860,0.42954435,0.00000000,2.77851215,0.00589717,0.53278543,0.00000000
5.13556778,2.45036015,0.41920476,0.00000000,2.87361668,0.00605433,0.55837960,0.00000000
5.14157079,2.52845564,0.40955369,0.00000000,2.96692742,0.00621145,0.58351934,0.00000000
5.14757379,2.60367839,0.40053240,0.00000000,3.05584964,0.00636396,0.60773717,0.00000000
5.15357679,2.67394565,0.39204630,0.00000000,3.13777426,0.00650704,0.63054656,0.00000000
5.15957979,2.73717592,0.38397104,0.00000000,3.21015973,0.00663587,0.65145614,0.00000000
5.16558279,2.79135832,0.37615982,0.00000000,3.27061367,0.00674568,0.66998487,0.00000000
5.17158579,2.83462104,0.36845153,0.00000000,3.31697118,0.00683203,0.68567770,0.00000000
5.17758879,2.86529616,0.36067926,0.00000000,3.34736612,0.00689088,0.69812084,0.00000000
5.18359180,2.88197772,0.35267876,0.00000000,3.36029272,0.00691879,0.70695619,0.00000000
5.18959480,2.88357079,0.34429656,0.00000000,3.35465455,0.00691300,0.71189401,0.00000000
5.19559780,2.86932909,0.33539720,0.00000000,3.32979890,0.00687156,0.71272345,0.00000000
5.20160080,2.83887985,0.32586938,0.00000000,3.28553510,0.00679336,0.70932034,0.00000000
5.20760380,2.79223470,0.31563070,0.00000000,3.22213608,0.00667822,0.70165192,0.00000000
5.21360680,2.72978651,0.30463091,0.00000000,3.14032344,0.00652683,0.68977822,0.00000000
5.21960980,2.65229231,0.29285352,0.00000000,3.04123676,0.00634074,0.67385015,0.00000000
5.22561281,2.56084359,0.28031574,0.00000000,2.92638903,0.00612233,0.65410439,0.00000000
5.23161581,2.45682542,0.26706699,0.00000000,2.79761030,0.00587466,0.63085525,0.00000000
5.23761881,2.34186652,0.25318595,0.00000000,2.65698239,0.00560141,0.60448406,0.00000000
5.24362181,2.21778275,0.23877660,0.00000000,2.50676778,0.00530670,0.57542649,0.00000000
5.24962481,2.08651673,0.22396324,0.00000000,2.34933578,0.00499500,0.54415842,0.00000000
5.25562781,1.95007610,0.20888510,0.00000000,2.18708924,0.00467096,0.51118110,0.00000000
5.26163082,1.81047327,0.19369051,0.00000000,2.02239475,0.00433925,0.47700611,0.00000000
5.26763382,1.66966880,0.17853127,0.00000000,1.85751888,0.00400446,0.44214079,0.00000000
5.27363682,1.52952061,0.16355708,0.00000000,1.69457273,0.00367096,0.40707478,0.00000000
5.27963982,1.39174066,0.14891071,0.00000000,1.53546614,0.00334280,0.37226799,0.00000000
5.28564282,1.25786008,0.13472365,0.00000000,1.38187291,0.00302360,0.33814055,0.00000000
5.29164582,1.12920358,0.12111274,0.00000000,1.23520708,0.00271653,0.30506486,0.00000000
5.29764882,1.00687321,0.10817756,0.00000000,1.09661037,0.00242423,0.27335989,0.00000000
5.30365183,0.89174127,0.09599882,0.00000000,0.96695008,0.00214881,0.24328785,0.00000000
5.30965483,0.78445167,0.08463758,0.00000000,0.84682634,0.00189185,0.21505303,0.00000000
5.31565783,0.68542870,0.07413534,0.00000000,0.73658748,0.00165439,0.18880267,0.00000000
5.32166083,0.59489221,0.06451486,0.00000000,0.63635178,0.00143700,0.16462960,0.00000000
5.32766383,0.51287763,0.05578153,0.00000000,0.54603419,0.00123980,0.14257640,0.00000000
5.33366683,0.43925965,0.04792525,0.00000000,0.46537614,0.00106252,0.12264069,0.00000000
