energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-1.69584792,0.95558404,0.27788120,0.15282705,0.00772148,0.24536510,0.26500642,0.25033661,0.34977340,0.00000000
-1.68984492,0.96921496,0.28024854,0.15681098,0.00860945,0.24566515,0.26793396,0.25495399,0.35202508,0.00000000
-1.68384192,0.98673447,0.28291856,0.16145450,0.00972513,0.24624062,0.27157877,0.26128578,0.35511912,0.00000000
-1.67783892,1.00904686,0.28614178,0.16688500,0.01109484,0.24733550,0.27621065,0.26957376,0.35934275,0.00000000
-1.67183592,1.03705376,0.29018543,0.17323081,0.01274465,0.24919399,0.28210660,0.28004783,0.36499710,0.00000000
-1.66583292,1.07161763,0.29532352,0.18061510,0.01469977,0.25205103,0.28954148,0.29291677,0.37238445,0.00000000
-1.65982991,1.11352290,0.30182595,0.18914945,0.01698392,0.25612258,0.29877773,0.30835860,0.38179420,0.00000000
-1.65382691,1.16343640,0.30994700,0.19892711,0.01961855,0.26159612,0.31005446,0.32651067,0.39348830,0.00000000
-1.64782391,1.22186863,0.31991378,0.21001650,0.02262207,0.26862163,0.32357634,0.34746008,0.40768653,0.00000000
-1.64182091,1.28913769,0.33191498,0.22245502,0.02600894,0.27730348,0.33950273,0.37123473,0.42455251,0.00000000
-1.63581791,1.36533748,0.34609058,0.23624372,0.02978881,0.28769364,0.35793748,0.39779559,0.44418088,0.00000000
-1.62981491,1.45031194,0.36252276,0.25134296,0.03396570,0.29978651,0.37891994,0.42703058,0.46658640,0.00000000
-1.62381191,1.54363692,0.38122867,0.26766942,0.03853714,0.31351551,0.40241748,0.45875056,0.49169553,0.00000000
-1.61780890,1.64461071,0.40215526,0.28509463,0.04349355,0.32875193,0.42832022,0.49268772,0.51934091,0.00000000
-1.61180590,1.75225447,0.42517657,0.30344524,0.04881762,0.34530594,0.45643802,0.52849669,0.54925917,0.00000000
-1.60580290,1.86532296,0.45009357,0.32250513,0.05448401,0.36292982,0.48650027,0.56575855,0.58109243,0.00000000
-1.59979990,1.98232585,0.47663686,0.34201924,0.06045917,0.38132360,0.51815848,0.60398781,0.61439343,0.00000000
-1.59379690,2.10155917,0.50447189,0.36169926,0.06670146,0.40014273,0.55099187,0.64264220,0.64863447,0.00000000
-1.58779390,2.22114621,0.53320699,0.38123080,0.07316150,0.41900765,0.58451590,0.68113510,0.68321976,0.00000000
-1.58179090,2.33908662,0.56240352,0.40028202,0.07978287,0.43751502,0.61819342,0.71885022,0.71750099,0.00000000
-1.57578789,2.45331195,0.59158815,0.41851315,0.08650298,0.45525009,0.65144835,0.75515806,0.75079556,0.00000000
-1.56978489,2.56174571,0.62026666,0.43558685,0.09325425,0.47179985,0.68368123,0.78943345,0.78240684,0.00000000
-1.56378189,2.66236558,0.64793875,0.45117868,0.09996553,0.48676643,0.71428631,0.82107366,0.81164563,0.00000000
-1.55777889,2.75326540,0.67411330,0.46498752,0.10656357,0.49978023,0.74266940,0.84951617,0.83785217,0.00000000
-1.55177589,2.83271435,0.69832350,0.47674528,0.11297480,0.51051225,0.76826587,0.87425556,0.86041764,0.00000000
-1.54577289,2.89921109,0.72014127,0.48622575,0.11912699,0.51868520,0.79055811,0.89485860,0.87880447,0.00000000
