energy_ev,total_up,Ag_p_up,Ag_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.71785893,1.87067386,0.52793767,1.14691219,0.73154199,0.15125101,0.00087628,0.07819212,0.00193219,0.45983916
-5.71185593,1.77262612,0.49663537,1.09347453,0.68459924,0.14123253,0.00080281,0.07389112,0.00181388,0.43145085
-5.70585293,1.67482322,0.46508915,1.04002314,0.63753365,0.13141234,0.00073364,0.06959382,0.00170658,0.40321225
-5.69984992,1.57824618,0.43357886,0.98713941,0.59083640,0.12188906,0.00066909,0.06531633,0.00161269,0.37538721
-5.69384692,1.48390761,0.40238134,0.93544369,0.54497117,0.11275607,0.00060950,0.06107858,0.00153450,0.34823500
-5.68784392,1.39282326,0.37176289,0.88557749,0.50036428,0.10409953,0.00055521,0.05690307,0.00147416,0.32200317
-5.68184092,1.30598582,0.34197293,0.83818628,0.45739697,0.09599664,0.00050653,0.05281374,0.00143363,0.29692142
-5.67583792,1.22434137,0.31323889,0.79390328,0.41639980,0.08851441,0.00046371,0.04883493,0.00141468,0.27319662
-5.66983492,1.14876870,0.28576239,0.75333432,0.37764920,0.08170877,0.00042697,0.04499055,0.00141882,0.25100901
-5.66383192,1.08006151,0.25971667,0.71704396,0.34136595,0.07562398,0.00039644,0.04130321,0.00144729,0.23050946
-5.65782891,1.01891357,0.23524510,0.68554303,0.30771545,0.07029244,0.00037218,0.03779366,0.00150105,0.21181786
-5.65182591,0.96590648,0.21246071,0.65927748,0.27680946,0.06573463,0.00035419,0.03448022,0.00158072,0.19502238
-5.64582291,0.92150019,0.19144666,0.63861874,0.24870909,0.06195930,0.00034237,0.03137844,0.00168658,0.18017963
-5.63981991,0.88602583,0.17225728,0.62385550,0.22342867,0.05896379,0.00033655,0.02850077,0.00181851,0.16731540
-5.63381691,0.85968087,0.15491975,0.61518705,0.20094042,0.05673445,0.00033649,0.02585644,0.00197603,0.15642608
-5.62781391,0.84252648,0.13943617,0.61271820,0.18117936,0.05524714,0.00034187,0.02345138,0.00215820,0.14748041
-5.62181091,0.83448695,0.12578586,0.61645579,0.16404857,0.05446784,0.00035231,0.02128824,0.00236367,0.14042160
-5.61580790,0.83535122,0.11392781,0.62630707,0.14942436,0.05435320,0.00036736,0.01936646,0.00259065,0.13516968
-5.60980490,0.84477649,0.10380318,0.64207972,0.13716135,0.05485133,0.00038654,0.01768249,0.00283691,0.13162403
-5.60380190,0.86229390,0.09533777,0.66348395,0.12709729,0.05590252,0.00040931,0.01622994,0.00309979,0.12966601
-5.59779890,0.88731637,0.08844440,0.69013638,0.11905749,0.05744012,0.00043506,0.01499986,0.00337622,0.12916166
-5.59179590,0.91914848,0.08302512,0.72156602,0.11285899,0.05939152,0.00046320,0.01398105,0.00366279,0.12996449
-5.58579290,0.95699839,0.07897334,0.75722204,0.10831418,0.06167928,0.00049309,0.01316032,0.00395575,0.13191826
-5.57978989,0.99999167,0.07617571,0.79648340,0.10523408,0.06422231,0.00052406,0.01252288,0.00425111,0.13485981
-5.57378689,1.04718692,0.07451393,0.83867017,0.10343118,0.06693729,0.00055548,0.01205259,0.00454469,0.13862186
-5.56778389,1.09759271,0.07386631,0.88305618,0.10272193,0.06974010,0.00058668,0.01173236,0.00483222,0.14303576
-5.56178089,1.15018574,0.07410931,0.92888284,0.10292870,0.07254737,0.00061703,0.01154440,0.00510940,0.14793424
-5.55577789,1.20392961,0.07511884,0.97537367,0.10388161,0.07527815,0.00064594,0.01147056,0.00537203,0.15315401
-5.54977489,1.25779381,0.07677155,1.02174922,0.10541981,0.07785548,0.00067283,0.01149260,0.00561605,0.15853823
-5.54377189,1.31077242,0.07894599,1.06724191,0.10739261,0.08020798,0.00069720,0.01159243,0.00583771,0.16393874
-5.53776888,1.36190193,0.08152370,1.11111035,0.10966027,0.08227136,0.00071858,0.01175239,0.00603355,0.16921815
-5.53176588,1.41027781,0.08439024,1.15265270,0.11209456,0.08398969,0.00073658,0.01195542,0.00620057,0.17425153
-5.52576288,1.45506915,0.08743618,1.19121880,0.11457910,0.08531657,0.00075087,0.01218528,0.00633624,0.17892776
-5.51975988,1.49553119,0.09055798,1.22622059,0.11700949,0.08621594,0.00076121,0.01242671,0.00643856,0.18315061
-5.51375688,1.53101528,0.09365884,1.25714063,0.11929334,0.08666267,0.00076743,0.01266559,0.00650610,0.18683926
-5.50775388,1.56097609,0.09664947,1.28353856,0.12135009,0.08664276,0.00076943,0.01288906,0.00653803,0.18992857
-5.50175088,1.58497606,0.09944875,1.30505537,0.12311075,0.08615327,0.00076720,0.01308561,0.00653410,0.19236878
-5.49574787,1.60268700,0.10198436,1.32141555,0.12451757,0.08520187,0.00076080,0.01324520,0.00649465,0.19412503
-5.48974487,1.61388900,0.10419315,1.33242709,0.12552360,0.08380613,0.00075036,0.01335933,0.00642057,0.19517632
-5.48374187,1.61846703,0.10602159,1.33797967,0.12609226,0.08199248,0.00073606,0.01342104,0.00631327,0.19551441
-5.47773887,1.61640534,0.10742589,1.33804118,0.12619681,0.07979497,0.00071817,0.01342502,0.00617465,0.19514238
-5.47173587,1.60778024,0.10837213,1.33265283,0.12581986,0.07725385,0.00069697,0.01336751,0.00600701,0.19407307
-5.46573287,1.59275157,0.10883614,1.32192331,0.12495282,0.07441410,0.00067281,0.01324637,0.00581299,0.19232753
-5.45972986,1.57155337,0.10880333,1.30602213,0.12359533,0.07132376,0.00064605,0.01306099,0.00559554,0.18993341
-5.45372686,1.54448414,0.10826830,1.28517267,0.12175472,0.06803246,0.00061709,0.01281223,0.00535782,0.18692353
-5.44772386,1.51189710,0.10723442,1.25964501,0.11944545,0.06458991,0.00058632,0.01250232,0.00510314,0.18333454
-5.44172086,1.47419067,0.10571318,1.22974901,0.11668846,0.06104459,0.00055415,0.01213473,0.00483489,0.17920580
-5.43571786,1.43179968,0.10372356,1.19582757,0.11351058,0.05744256,0.00052099,0.01171404,0.00455646,0.17457845
-5.42971486,1.38518713,0.10129122,1.15825047,0.10994389,0.05382650,0.00048725,0.01124580,0.00427122,0.16949479
-5.42371186,1.33483691,0.09844775,1.11740862,0.10602499,0.05023500,0.00045328,0.01073630,0.00398242,0.16399783
-5.41770885,1.28124731,0.09522971,1.07370893,0.10179435,0.04670206,0.00041947,0.01019241,0.00369316,0.15813103
-5.41170585,1.22492533,0.09167781,1.02756958,0.09729548,0.04325678,0.00038615,0.00962140,0.00340633,0.15193822
-5.40570285,1.16638167,0.08783596,0.97941577,0.09257425,0.03992334,0.00035361,0.00903071,0.00312461,0.14546368
-5.39969985,1.10612637,0.08375039,0.92967583,0.08767802,0.03672108,0.00032214,0.00842779,0.00285038,0.13875222
-5.39369685,1.04466475,0.07946880,0.87877752,0.08265489,0.03366479,0.00029200,0.00781990,0.00258576,0.13184929
-5.38769385,0.98249376,0.07503945,0.82714454,0.07755291,0.03076513,0.00026338,0.00721397,0.00233254,0.12480113
-5.38169085,0.92009843,0.07051044,0.77519309,0.07241928,0.02802905,0.00023649,0.00661645,0.00209221,0.11765472
-5.37568784,0.85794851,0.06592894,0.72332851,0.06729967,0.02546037,0.00021149,0.00603320,0.00186593,0.11045771
-5.36968484,0.79649508,0.06134050,0.67194195,0.06223749,0.02306033,0.00018852,0.00546937,0.00165457,0.10325824
-5.36368184,0.73616733,0.05678848,0.62140718,0.05727337,0.02082810,0.00016770,0.00492938,0.00145870,0.09610461
-5.35767884,0.67736943,0.05231353,0.57207749,0.05244458,0.01876136,0.00014913,0.00441686,0.00127861,0.08904479
-5.35167584,0.62047765,0.04795317,0.52428287,0.04778465,0.01685671,0.00013294,0.00393464,0.00111433,0.08212594
-5.34567284,0.56583784,0.04374147,0.47832752,0.04332308,0.01511010,0.00011922,0.00348478,0.00096567,0.07539378
-5.33966983,0.51376335,0.03970883,0.43448787,0.03908512,0.01351725,0.00010809,0.00306860,0.00083225,0.06889200
-5.33366683,0.46453358,0.03588183,0.39301111,0.03509173,0.01207388,0.00009968,0.00268672,0.00071353,0.06266160
-5.32766383,0.41839329,0.03228328,0.35411444,0.03135961,0.01077599,0.00009415,0.00233916,0.00060882,0.05674043
-5.32166083,0.37555259,0.02893223,0.31798502,0.02790136,0.00962002,0.00009170,0.00202540,0.00051737,0.05116264
-5.31565783,0.33618784,0.02584419,0.28478065,0.02472573,0.00860303,0.00009255,0.00174448,0.00043833,0.04595841
-5.30965483,0.30044330,0.02303140,0.25463116,0.02183796,0.00772280,0.00009698,0.00149506,0.00037085,0.04115370
-5.30365183,0.26843357,0.02050311,0.22764047,0.01924019,0.00697786,0.00010531,0.00127557,0.00031404,0.03677024
-5.29764882,0.24024658,0.01826606,0.20388915,0.01693194,0.00636760,0.00011793,0.00108422,0.00026706,0.03282561
-5.29164582,0.21594707,0.01632482,0.18343733,0.01491063,0.00589223,0.00013526,0.00091917,0.00022908,0.02933348
-5.28564282,0.19558026,0.01468235,0.16632791,0.01317204,0.00555281,0.00015778,0.00077853,0.00019935,0.02630398
-5.27963982,0.17917567,0.01334039,0.15258961,0.01171094,0.00535123,0.00018603,0.00066048,0.00017716,0.02374416
-5.27363682,0.16675055,0.01229999,0.14223996,0.01052152,0.00529015,0.00022055,0.00056334,0.00016189,0.02165848
-5.26763382,0.15831304,0.01156190,0.13528779,0.00959794,0.00537294,0.00026195,0.00048558,0.00015298,0.02004943
-5.26163082,0.15386466,0.01112700,0.13173518,0.00893472,0.00560362,0.00031082,0.00042590,0.00014997,0.01891804
-5.25562781,0.15340197,0.01099662,0.13157873,0.00852720,0.00598669,0.00036774,0.00038331,0.00015244,0.01826442
-5.24962481,0.15691742,0.01117284,0.13481001,0.00837188,0.00652706,0.00043327,0.00035707,0.00016007,0.01808826
-5.24362181,0.16439923,0.01165873,0.14141516,0.00846666,0.00722986,0.00050792,0.00034685,0.00017258,0.01838921
-5.23761881,0.17583041,0.01245846,0.15137374,0.00881116,0.00810031,0.00059212,0.00035265,0.00018976,0.01916721
-5.23161581,0.19118685,0.01357740,0.16465682,0.00940685,0.00914347,0.00068618,0.00037490,0.00021143,0.02042272
-5.22561281,0.21043482,0.01502213,0.18122442,0.01025719,0.01036414,0.00079028,0.00041444,0.00023744,0.02215682
-5.21960980,0.23352786,0.01680038,0.20102258,0.01136777,0.01176661,0.00090445,0.00047257,0.00026769,0.02437126
-5.21360680,0.26040350,0.01892095,0.22398017,0.01274634,0.01335452,0.00102853,0.00055107,0.00030208,0.02706841
-5.20760380,0.29097980,0.02139348,0.25000572,0.01440283,0.01513070,0.00116217,0.00065220,0.00034052,0.03025114
-5.20160080,0.32515223,0.02422827,0.27898447,0.01634946,0.01709705,0.00130479,0.00077870,0.00038295,0.03392261
-5.19559780,0.36279083,0.02743603,0.31077581,0.01860063,0.01925442,0.00145560,0.00093384,0.00042931,0.03808603
-5.18959480,0.40373818,0.03102749,0.34521150,0.02117304,0.02160258,0.00161356,0.00112140,0.00047958,0.04274440
-5.18359180,0.44780803,0.03501312,0.38209451,0.02408560,0.02414018,0.00177744,0.00134566,0.00053373,0.04790017
-5.17758879,0.49478498,0.03940269,0.42119896,0.02735951,0.02686478,0.00194578,0.00161140,0.00059179,0.05355487
-5.17158579,0.54442504,0.04420479,0.46227089,0.03101817,0.02977289,0.00211694,0.00192388,0.00065385,0.05970879
-5.16558279,0.59645724,0.04942638,0.50503012,0.03508722,0.03286005,0.00228911,0.00228879,0.00072006,0.06636052
-5.15957979,0.65058610,0.05507221,0.54917294,0.03959448,0.03612093,0.00246037,0.00271228,0.00079066,0.07350657
-5.15357679,0.70649498,0.06114431,0.59437577,0.04456984,0.03954944,0.00262871,0.00320081,0.00086600,0.08114088
-5.14757379,0.76385009,0.06764133,0.64029940,0.05004523,0.04313883,0.00279205,0.00376119,0.00094658,0.08925443
-5.14157079,0.82230497,0.07455799,0.68659394,0.05605435,0.04688181,0.00294835,0.00440046,0.00103304,0.09783472
-5.13556778,0.88150541,0.08188454,0.73290400,0.06263246,0.05077063,0.00309559,0.00512582,0.00112620,0.10686538
-5.12956478,0.94109450,0.08960617,0.77887425,0.06981599,0.05479716,0.00323186,0.00594456,0.00122708,0.11632573
-5.12356178,1.00071768,0.09770263,0.82415493,0.07764210,0.05895293,0.00335537,0.00686395,0.00133688,0.12619044
-5.11755878,1.06002777,0.10614791,0.86840734,0.08614801,0.06322916,0.00346449,0.00789114,0.00145699,0.13642929
-5.11155578,1.11868971,0.11491002,0.91130911,0.09537024,0.06761680,0.00355784,0.00903307,0.00158901,0.14700703
-5.10555278,1.17638504,0.12395109,0.95255915,0.10534359,0.07210647,0.00363422,0.01029628,0.00173467,0.15788338
-5.09954977,1.23281600,0.13322751,0.99188218,0.11610005,0.07668852,0.00369271,0.01168683,0.00189586,0.16901321
-5.09354677,1.28770922,0.14269044,1.02903290,0.12766733,0.08135295,0.00373266,0.01321012,0.00207451,0.18034692
-5.08754377,1.34081889,0.15228642,1.06379949,0.14006731,0.08608944,0.00375366,0.01487072,0.00227260,0.19183095
-5.08154077,1.39192939,0.16195829,1.09600663,0.15331426,0.09088730,0.00375562,0.01667218,0.00249203,0.20340855
-5.07553777,1.44085728,0.17164620,1.12551778,0.16741283,0.09573550,0.00373868,0.01861681,0.00273456,0.21502059
-5.06953477,1.48745260,0.18128881,1.15223680,0.18235601,0.10062266,0.00370324,0.02070546,0.00300169,0.22660660
-5.06353177,1.53159928,0.19082454,1.17610863,0.19812286,0.10553701,0.00364996,0.02293727,0.00329461,0.23810571
-5.05752876,1.57321468,0.20019281,1.19711921,0.21467641,0.11046645,0.00357972,0.02530938,0.00361402,0.24945771
-5.05152576,1.61224806,0.20933526,1.21529430,0.23196151,0.11539845,0.00349359,0.02781670,0.00396006,0.26060399
-5.04552276,1.64867808,0.21819671,1.23069736,0.24990294,0.12032008,0.00339284,0.03045161,0.00433225,0.27148825
-5.03951976,1.68250913,0.22672607,1.24342628,0.26840390,0.12521794,0.00327889,0.03320373,0.00472934,0.28205717
-5.03351676,1.71376674,0.23487682,1.25360927,0.28734491,0.13007814,0.00315329,0.03605968,0.00514928,0.29226067
-5.02751376,1.74249222,0.24260731,1.26139964,0.30658333,0.13488622,0.00301770,0.03900291,0.00558919,0.30205205
-5.02151076,1.76873667,0.24988067,1.26697008,0.32595367,0.13962714,0.00287388,0.04201364,0.00604532,0.31138779
-5.01550775,1.79255491,0.25666451,1.27050631,0.34526873,0.14428537,0.00272363,0.04506882,0.00651311,0.32022716
-5.00950475,1.81399960,0.26293027,1.27220073,0.36432172,0.14884491,0.00256879,0.04814222,0.00698720,0.32853168
-5.00350175,1.83311622,0.26865250,1.27224624,0.38288941,0.15328960,0.00241122,0.05120473,0.00746157,0.33626454
-4.99749875,1.84993940,0.27380795,1.27083086,0.40073625,0.15760345,0.00225276,0.05422470,0.00792964,0.34338999
-4.99149575,1.86449108,0.27837480,1.26813340,0.41761958,0.16177118,0.00209522,0.05716846,0.00838443,0.34987296
-4.98549275,1.87678110,0.28233192,1.26432075,0.43329570,0.16577897,0.00194034,0.06000106,0.00881881,0.35567890
-4.97948974,1.88681049,0.28565842,1.25954704,0.44752666,0.16961538,0.00178982,0.06268703,0.00922562,0.36077405
-4.97348674,1.89457769,0.28833356,1.25395495,0.46008763,0.17327246,0.00164526,0.06519138,0.00959799,0.36512611
-4.96748374,1.90008776,0.29033705,1.24767936,0.47077460,0.17674708,0.00150814,0.06748065,0.00992951,0.36870546
-4.96148074,1.90336430,0.29164977,1.24085311,0.47941203,0.18004223,0.00137986,0.06952398,0.01021449,0.37148690
-4.95547774,1.90446371,0.29225509,1.23361497,0.48586019,0.18316855,0.00126170,0.07129430,0.01044815,0.37345184
-4.94947474,1.90349110,0.29214046,1.22611908,0.49002194,0.18614567,0.00115481,0.07276941,0.01062682,0.37459096
-4.94347174,1.90061687,0.29129949,1.21854565,0.49184851,0.18900349,0.00106023,0.07393301,0.01074805,0.37490706
-4.93746873,1.89609319,0.28973425,1.21111199,0.49134402,0.19178318,0.00097888,0.07477558,0.01081077,0.37441810
-4.93146573,1.89026887,0.28745765,1.20408327,0.48856864,0.19453790,0.00091157,0.07529513,0.01081530,0.37316008
-4.92546273,1.88360180,0.28449587,1.19778201,0.48363996,0.19733298,0.00085901,0.07549765,0.01076334,0.37118967
-4.91945973,1.87666759,0.28089053,1.19259561,0.47673269,0.20024569,0.00082180,0.07539737,0.01065797,0.36858631
-4.91345673,1.87016357,0.27670047,1.18898104,0.46807641,0.20336433,0.00080048,0.07501671,0.01050350,0.36545358
-4.90745373,1.86490716,0.27200302,1.18746600,0.45795167,0.20678679,0.00079548,0.07438594,0.01030534,0.36191965
-4.90145073,1.86182820,0.26689461,1.18864612,0.44668425,0.21061845,0.00080718,0.07354252,0.01006980,0.35813673
-4.89544772,1.86195492,0.26149056,1.19317773,0.43463806,0.21496957,0.00083589,0.07253029,0.00980391,0.35427935
-4.88944472,1.86639352,0.25592409,1.20176617,0.42220660,0.21995215,0.00088186,0.07139823,0.00951515,0.35054146
-4.88344172,1.87630199,0.25034442,1.21514979,0.40980359,0.22567641,0.00094528,0.07019923,0.00921121,0.34713247
-4.87743872,1.89285856,0.24491407,1.23407989,0.39785281,0.23224706,0.00102627,0.06898859,0.00889979,0.34427216
-4.87143572,1.91722616,0.23980542,1.25929737,0.38677761,0.23975941,0.00112491,0.06782249,0.00858835,0.34218475
-4.86543272,1.95051389,0.23519663,1.29150669,0.37699048,0.24829561,0.00124119,0.06675646,0.00828392,0.34109225
-4.85942971,1.99373704,0.23126706,1.33134823,0.36888284,0.25792109,0.00137500,0.06584388,0.00799298,0.34120738
-4.85342671,2.04777726,0.22819242,1.37937014,0.36281556,0.26868133,0.00152617,0.06513459,0.00772129,0.34272632
-4.84742371,2.11334438,0.22613981,1.43600068,0.35911026,0.28059928,0.00169439,0.06467375,0.00747384,0.34582155
-4.84142071,2.19094153,0.22526289,1.50152241,0.35804188,0.29367326,0.00187922,0.06450081,0.00725484,0.35063516
-4.83541771,2.28083501,0.22569730,1.57604919,0.35983237,0.30787571,0.00208007,0.06464878,0.00706770,0.35727277
-4.82941471,2.38303010,0.22755667,1.65950710,0.36464607,0.32315262,0.00229618,0.06514380,0.00691509,0.36579851
-4.82341171,2.49725397,0.23092923,1.75162025,0.37258644,0.33942376,0.00252661,0.06600494,0.00679903,0.37623104
-4.81740870,2.62294653,0.23587519,1.85190211,0.38369450,0.35658372,0.00277019,0.06724426,0.00672097,0.38854108
-4.81140570,2.75925955,0.24242510,1.95965293,0.39794889,0.37450358,0.00302553,0.06886716,0.00668196,0.40265033
-4.80540270,2.90506455,0.25057907,2.07396372,0.41526739,0.39303333,0.00329103,0.07087286,0.00668272,0.41843196
-4.79939970,3.05896906,0.26030693,2.19372671,0.43551006,0.41200474,0.00356482,0.07325510,0.00672379,0.43571266
-4.79339670,3.21934123,0.27154936,2.31765228,0.45848361,0.43123481,0.00384481,0.07600294,0.00680562,0.45427629
-4.78739370,3.38434182,0.28421979,2.44429200,0.48394713,0.45052946,0.00412867,0.07910151,0.00692870,0.47386881
-4.78139070,3.55196291,0.29820703,2.57206726,0.51161869,0.46968756,0.00441386,0.08253290,0.00709358,0.49420458
-4.77538769,3.72007211,0.31337842,2.69930258,0.54118292,0.48850503,0.00469764,0.08627683,0.00730091,0.51497361
-4.76938469,3.88646113,0.32958345,2.82426299,0.57229900,0.50677912,0.00497713,0.09031136,0.00755148,0.53584964
-4.76338169,4.04889704,0.34665749,2.94519403,0.60460917,0.52431250,0.00524932,0.09461325,0.00784617,0.55649871
-4.75737869,4.20517509,0.36442565,3.06036359,0.63774713,0.54091740,0.00551115,0.09915837,0.00818590,0.57658793
-4.75137569,4.35317121,0.38270641,3.16810403,0.67134639,0.55641950,0.00575955,0.10392172,0.00857154,0.59579415
-4.74537269,4.49089279,0.40131502,3.26685346,0.70504808,0.57066158,0.00599151,0.10887734,0.00900387,0.61381218
-4.73936968,4.61652630,0.42006648,3.35519497,0.73850819,0.58350689,0.00620415,0.11399812,0.00948340,0.63036242
-4.73336668,4.72848022,0.43877805,3.43189235,0.77140381,0.59484215,0.00639479,0.11925532,0.01001032,0.64519737
-4.72736368,4.82542200,0.45727120,3.49592142,0.80343843,0.60458009,0.00656098,0.12461816,0.01058436,0.65810721
-4.72136068,4.90630812,0.47537318,3.54649578,0.83434604,0.61266150,0.00670065,0.13005322,0.01120469,0.66892388
-4.71535768,4.97040616,0.49291803,3.58308619,0.86389395,0.61905666,0.00681208,0.13552407,0.01186987,0.67752395
-4.70935468,5.01730839,0.50974733,3.60543298,0.89188440,0.62376617,0.00689400,0.14099079,0.01257774,0.68382989
-4.70335168,5.04693645,0.52571078,3.61355098,0.91815494,0.62682097,0.00694559,0.14640979,0.01332540,0.68781013
-4.69734867,5.05953699,0.54066668,3.60772679,0.94257767,0.62828165,0.00696655,0.15173386,0.01410919,0.68947770
-4.69134567,5.05566866,0.55448253,3.58850860,0.96505748,0.62823686,0.00695708,0.15691239,0.01492469,0.68888783
-4.68534267,5.03618070,0.56703596,3.55668867,0.98552943,0.62680094,0.00691789,0.16189204,0.01576679,0.68613450
-4.67933967,5.00218407,0.57821599,3.51327923,1.00395556,0.62411066,0.00685015,0.16661759,0.01662967,0.68134632
-4.67333667,4.95501608,0.58792478,3.45948253,1.02032118,0.62032115,0.00675552,0.17103323,0.01750697,0.67468192
-4.66733367,4.89619969,0.59607986,3.39665606,1.03463104,0.61560123,0.00663602,0.17508407,0.01839180,0.66632494
-4.66133067,4.82739893,0.60261687,3.32627408,1.04690545,0.61012802,0.00649406,0.17871787,0.01927688,0.65647911
-4.65532766,4.75037186,0.60749262,3.24988681,1.05717660,0.60408129,0.00633232,0.18188698,0.02015467,0.64536331
-4.64932466,4.66692270,0.61068838,3.16907864,1.06548523,0.59763745,0.00615369,0.18455030,0.02101742,0.63320698
-4.64332166,4.57885460,0.61221321,3.08542662,1.07187782,0.59096375,0.00596119,0.18667526,0.02185736,0.62024587
