energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-5.51375688,1.78269450,0.15344041,1.62058614,0.01711462,0.00428055,0.03096070,0.02967533,0.15657476,0.00000000
-5.50775388,1.91565956,0.16502314,1.74154873,0.01838648,0.00466007,0.03338309,0.03181934,0.16789217,0.00000000
-5.50175088,2.04510173,0.17632464,1.85928944,0.01962268,0.00504027,0.03576051,0.03391291,0.17887284,0.00000000
-5.49574787,2.16907458,0.18717783,1.97202256,0.02080399,0.00541648,0.03805872,0.03593292,0.18935930,0.00000000
-5.48974487,2.28563762,0.19741614,2.07796294,0.02191108,0.00578400,0.04024337,0.03785911,0.19919888,0.00000000
-5.48374187,2.39291500,0.20687869,2.17537845,0.02292508,0.00613829,0.04228108,0.03967563,0.20824936,0.00000000
-5.47773887,2.48915685,0.21541572,2.26264462,0.02382811,0.00647515,0.04414061,0.04137255,0.21638483,0.00000000
-5.47173587,2.57280099,0.22289414,2.33829960,0.02460385,0.00679104,0.04579409,0.04294761,0.22350167,0.00000000
-5.46573287,2.64253281,0.22920298,2.40109722,0.02523802,0.00708326,0.04721825,0.04440795,0.22952435,0.00000000
-5.45972986,2.69734106,0.23425838,2.45005614,0.02571897,0.00735024,0.04839551,0.04577184,0.23441100,0.00000000
-5.45372686,2.73656714,0.23800826,2.48450307,0.02603800,0.00759180,0.04931513,0.04707042,0.23815835,0.00000000
-5.44772386,2.75994607,0.24043603,2.50410817,0.02618977,0.00780939,0.04997408,0.04834937,0.24080609,0.00000000
-5.44172086,2.76763728,0.24156366,2.50891114,0.02617252,0.00800633,0.05037784,0.04967044,0.24244034,0.00000000
-5.43571786,2.76024376,0.24145357,2.49933680,0.02598825,0.00818796,0.05054090,0.05111282,0.24319612,0.00000000
-5.42971486,2.73881886,0.24020945,2.47619925,0.02564271,0.00836186,0.05048711,0.05277430,0.24325872,0.00000000
-5.42371186,2.70485993,0.23797596,2.44069449,0.02514537,0.00853793,0.05024971,0.05477215,0.24286391,0.00000000
-5.41770885,2.66028914,0.23493715,2.39438133,0.02450920,0.00872847,0.04987113,0.05724358,0.24229685,0.00000000
-5.41170585,2.60742156,0.23131379,2.33915143,0.02375043,0.00894818,0.04940244,0.06034589,0.24188968,0.00000000
-5.40570285,2.54892176,0.22735953,2.27718918,0.02288816,0.00921411,0.04890267,0.06425604,0.24201790,0.00000000
-5.39969985,2.48774978,0.22335603,2.21092285,0.02194392,0.00954553,0.04843769,0.06916968,0.24309529,0.00000000
-5.39369685,2.42709829,0.21960719,2.14296858,0.02094121,0.00996373,0.04807903,0.07529955,0.24556768,0.00000000
-5.38769385,2.37032255,0.21643263,2.07606883,0.01990495,0.01049178,0.04790231,0.08287315,0.24990538,0.00000000
-5.38169085,2.32086499,0.21416046,2.01302741,0.01886097,0.01115415,0.04798559,0.09212963,0.25659449,0.00000000
-5.37568784,2.28217652,0.21311971,1.95664274,0.01783548,0.01197630,0.04840753,0.10331587,0.26612705,0.00000000
-5.36968484,2.25763626,0.21363232,1.90964136,0.01685454,0.01298420,0.04924542,0.11668170,0.27899020,0.00000000
-5.36368184,2.25047193,0.21600512,1.87461352,0.01594357,0.01420373,0.05057310,0.13247428,0.29565453,0.00000000
-5.35767884,2.26368240,0.22052185,1.85395231,0.01512691,0.01566006,0.05245893,0.15093168,0.31656164,0.00000000
-5.35167584,2.29996438,0.22743529,1.84979810,0.01442743,0.01737696,0.05496367,0.17227569,0.34211123,0.00000000
-5.34567284,2.36164479,0.23695991,1.86398938,0.01386613,0.01937605,0.05813851,0.19670404,0.37264802,0.00000000
-5.33966983,2.45062036,0.24926498,1.89802129,0.01346183,0.02167602,0.06202315,0.22438220,0.40844857,0.00000000
-5.33366683,2.56830605,0.26446851,1.95301276,0.01323089,0.02429186,0.06664415,0.25543491,0.44970868,0.00000000
-5.32766383,2.71559344,0.28263194,2.02968307,0.01318695,0.02723406,0.07201344,0.28993781,0.49653144,0.00000000
-5.32166083,2.89282049,0.30375601,2.12833835,0.01334071,0.03050789,0.07812717,0.32790931,0.54891658,0.00000000
-5.31565783,3.09975370,0.32777778,2.24886856,0.01369972,0.03411269,0.08496497,0.36930332,0.60675147,0.00000000
-5.30965483,3.33558362,0.35456900,2.39075502,0.01426821,0.03804131,0.09248955,0.41400281,0.66980423,0.00000000
-5.30365183,3.59893430,0.38393600,2.55308846,0.01504693,0.04227968,0.10064684,0.46181497,0.73771945,0.00000000
-5.29764882,3.88788712,0.41562108,2.73459734,0.01603302,0.04680645,0.10936661,0.51246795,0.81001686,0.00000000
-5.29164582,4.20001893,0.44930559,2.93368569,0.01721989,0.05159297,0.11856361,0.56560978,0.88609336,0.00000000
-5.28564282,4.53245397,0.48461468,3.14847963,0.01859714,0.05660337,0.12813927,0.62080954,0.96522856,0.00000000
-5.27963982,4.88192876,0.52112360,3.37688122,0.02015057,0.06179493,0.13798388,0.67756101,1.04659408,0.00000000
-5.27363682,5.24486811,0.55836562,3.61662792,0.02186218,0.06711872,0.14797923,0.73528902,1.12926653,0.00000000
-5.26763382,5.61747050,0.59584133,3.86535578,0.02371031,0.07252044,0.15800175,0.79335827,1.21224402,0.00000000
-5.26163082,5.99579996,0.63302905,4.12066401,0.02566979,0.07794152,0.16792579,0.85108474,1.29446598,0.00000000
-5.25562781,6.37588151,0.66939633,4.38017844,0.02771229,0.08332050,0.17762730,0.90774930,1.37483569,0.00000000
-5.24962481,6.75379669,0.70441189,4.64161133,0.02980665,0.08859451,0.18698741,0.96261322,1.45224498,0.00000000
-5.24362181,7.12577554,0.73755793,4.90281486,0.03191941,0.09370093,0.19589607,1.01493521,1.52560044,0.00000000
-5.23761881,7.48828145,0.76834234,5.16182601,0.03401542,0.09857914,0.20425541,1.06398936,1.59385007,0.00000000
-5.23161581,7.83808541,0.79631028,5.41690054,0.03605852,0.10317222,0.21198272,1.10908342,1.65600974,0.00000000
-5.22561281,8.17232652,0.82105501,5.66653469,0.03801234,0.10742870,0.21901306,1.14957680,1.71118826,0.00000000
-5.21960980,8.48855645,0.84222735,5.90947332,0.03984117,0.11130403,0.22530105,1.18489762,1.75861036,0.00000000
-5.21360680,8.78476603,0.85954365,6.14470433,0.04151081,0.11476196,0.23082216,1.21455812,1.79763657,0.00000000
-5.20760380,9.05939319,0.87279183,6.37143981,0.04298949,0.11777559,0.23557306,1.23816796,1.82777929,0.00000000
-5.20160080,9.31131263,0.88183544,6.58908516,0.04424877,0.12032810,0.23957126,1.25544474,1.84871453,0.00000000
-5.19559780,9.53980835,0.88661556,6.79719828,0.04526431,0.12241310,0.24285391,1.26622147,1.86028873,0.00000000
-5.18959480,9.74453122,0.88715054,6.99544164,0.04601667,0.12403463,0.24547585,1.27045062,1.86252053,0.00000000
-5.18359180,9.92544502,0.88353359,7.18353044,0.04649184,0.12520669,0.24750706,1.26820464,1.85559746,0.00000000
-5.17758879,10.08276431,0.87592843,7.36118061,0.04668173,0.12595251,0.24902944,1.25967289,1.83986774,0.00000000
-5.17158579,10.21688886,0.86456318,7.52806045,0.04658448,0.12630337,0.25013333,1.24515525,1.81582748,0.00000000
-5.16558279,10.32833878,0.84972281,7.68374957,0.04620450,0.12629719,0.25091367,1.22505256,1.78410408,0.00000000
-5.15957979,10.41769483,0.83174040,7.82770851,0.04555241,0.12597698,0.25146624,1.19985442,1.74543628,0.00000000
-5.15357679,10.48554787,0.81098769,7.95926168,0.04464472,0.12538908,0.25188389,1.17012476,1.70065197,0.00000000
-5.14757379,10.53246057,0.78786516,8.07759552,0.04350340,0.12458136,0.25225313,1.13648580,1.65064445,0.00000000
-5.14157079,10.55894395,0.76279207,8.18177279,0.04215517,0.12360162,0.25265114,1.09960116,1.59634824,0.00000000
-5.13556778,10.56544969,0.73619684,8.27076283,0.04063083,0.12249595,0.25314338,1.06015846,1.53871517,0.00000000
-5.12956478,10.55237848,0.70850791,8.34348633,0.03896426,0.12130740,0.25378176,1.01885240,1.47869177,0.00000000
-5.12356178,10.52010322,0.68014551,8.39887246,0.03719155,0.12007494,0.25460357,0.97636860,1.41719851,0.00000000
-5.11755878,10.46900461,0.65151432,8.43592494,0.03535001,0.11883264,0.25563108,0.93336877,1.35511166,0.00000000
-5.11155578,10.39951615,0.62299730,8.45379306,0.03347714,0.11760925,0.25687187,0.89047774,1.29324791,0.00000000
-5.10555278,10.31217431,0.59495064,8.45184307,0.03160972,0.11642801,0.25831965,0.84827244,1.23235237,0.00000000
-5.09954977,10.20766951,0.56769986,8.42972548,0.02978291,0.11530687,0.25995572,0.80727307,1.17308964,0.00000000
-5.09354677,10.08689333,0.54153693,8.38743329,0.02802950,0.11425879,0.26175072,0.76793664,1.11603815,0.00000000
-5.08754377,9.95097756,0.51671841,8.32534744,0.02637924,0.11329239,0.26366668,0.73065259,1.06168743,0.00000000
-5.08154077,9.80132108,0.49346442,8.24426566,0.02485828,0.11241259,0.26565920,0.69574064,1.01043798,0.00000000
-5.07553777,9.63960170,0.47195827,8.14541241,0.02348882,0.11162145,0.26767959,0.66345042,0.96260334,0.00000000
-5.06953477,9.46777073,0.45234669,8.03042841,0.02228884,0.11091883,0.26967693,0.63396274,0.91841386,0.00000000
-5.06353177,9.28802939,0.43474042,7.90133954,0.02127201,0.11030315,0.27159987,0.60739227,0.87802181,0.00000000
-5.05752876,9.10278759,0.41921520,7.76050616,0.02044769,0.10977193,0.27339821,0.58379122,0.84150727,0.00000000
-5.05152576,8.91460633,0.40581293,7.61055491,0.01982109,0.10932226,0.27502414,0.56315384,0.80888445,0.00000000
-5.04552276,8.72612679,0.39454307,7.45429638,0.01939348,0.10895107,0.27643313,0.54542144,0.78010818,0.00000000
-5.03951976,8.53998932,0.38538424,7.29463232,0.01916254,0.10865527,0.27758459,0.53048784,0.75508027,0.00000000
-5.03351676,8.35874701,0.37828598,7.13445736,0.01912273,0.10843178,0.27844221,0.51820488,0.73365563,0.00000000
-5.02751376,8.18477838,0.37317083,6.97655981,0.01926572,0.10827742,0.27897417,0.50838818,0.71564807,0.00000000
-5.02151076,8.02020399,0.36993671,6.82352654,0.01958089,0.10818873,0.27915323,0.50082277,0.70083588,0.00000000
-5.01550775,7.86681189,0.36845973,6.67765669,0.02005575,0.10816186,0.27895670,0.49526886,0.68896722,0.00000000
-5.00950475,7.72599583,0.36859739,6.54088809,0.02067648,0.10819243,0.27836657,0.49146748,0.67976541,0.00000000
-5.00350175,7.59870989,0.37019244,6.41473994,0.02142842,0.10827545,0.27736962,0.48914624,0.67293442,0.00000000
-4.99749875,7.48544213,0.37307716,6.30027421,0.02229648,0.10840546,0.27595769,0.48802507,0.66816451,0.00000000
-4.99149575,7.38620870,0.37707826,6.19807719,0.02326564,0.10857674,0.27412817,0.48782202,0.66513830,0.00000000
-4.98549275,7.30056902,0.38202230,6.10826175,0.02432136,0.10878372,0.27188457,0.48825909,0.66353727,0.00000000
-4.97948974,7.22766124,0.38774150,6.03048966,0.02544995,0.10902155,0.26923727,0.48906807,0.66304871,0.00000000
-4.97348674,7.16625647,0.39407986,5.96401260,0.02663892,0.10928687,0.26620437,0.48999634,0.66337303,0.00000000
-4.96748374,7.11482902,0.40089937,5.90772928,0.02787734,0.10957870,0.26281260,0.49081249,0.66423146,0.00000000
-4.96148074,7.07163931,0.40808614,5.86025597,0.02915603,0.10989935,0.25909820,0.49131168,0.66537372,0.00000000
-4.95547774,7.03482555,0.41555617,5.82000657,0.03046784,0.11025545,0.25510772,0.49132060,0.66658553,0.00000000
-4.94947474,7.00249970,0.42326046,5.78527853,0.03180777,0.11065896,0.25089859,0.49070180,0.66769572,0.00000000
-4.94347174,6.97284329,0.43118922,5.75434063,0.03317308,0.11112796,0.24653957,0.48935725,0.66858237,0.00000000
-4.93746873,6.94419869,0.43937492,5.72551851,0.03456331,0.11168741,0.24211069,0.48723104,0.66917789,0.00000000
-4.93146573,6.91515142,0.44789375,5.69727440,0.03598023,0.11236957,0.23770296,0.48431084,0.66947249,0.00000000
-4.92546273,6.88459998,0.45686550,5.66827753,0.03742772,0.11321412,0.23341749,0.48062827,0.66951584,0.00000000
-4.91945973,6.85180991,0.46645149,5.63746255,0.03891154,0.11426792,0.22936419,0.47625785,0.66941661,0.00000000
-4.91345673,6.81644972,0.47685050,5.60407361,0.04043907,0.11558434,0.22565999,0.47131457,0.66933972,0.00000000
-4.90745373,6.77860715,0.48829266,5.56769260,0.04201890,0.11722211,0.22242641,0.46595006,0.66950125,0.00000000
-4.90145073,6.73878501,0.50103134,5.52825078,0.04366044,0.11924377,0.21978680,0.46034747,0.67016091,0.00000000
-4.89544772,6.69787701,0.51533319,5.48602379,0.04537338,0.12171362,0.21786297,0.45471512,0.67161241,0.00000000
-4.88944472,6.65712469,0.53146660,5.44161061,0.04716719,0.12469526,0.21677158,0.44927909,0.67417179,0.00000000
-4.88344172,6.61805737,0.54968889,5.39589796,0.04905054,0.12824887,0.21662016,0.44427507,0.67816413,0.00000000
-4.87743872,6.58241823,0.57023268,5.35001209,0.05103072,0.13242812,0.21750298,0.43993961,0.68390921,0.00000000
-4.87143572,6.55207962,0.59329207,5.30526040,0.05311313,0.13727709,0.21949694,0.43650132,0.69170660,0.00000000
-4.86543272,6.52895174,0.61900900,5.26306584,0.05530073,0.14282706,0.22265757,0.43417210,0.70182078,0.00000000
-4.85942971,6.51488893,0.64746061,5.22489715,0.05759365,0.14909359,0.22701539,0.43313890,0.71446701,0.00000000
-4.85342671,6.51159764,0.67864814,5.19219825,0.05998881,0.15607379,0.23257271,0.43355637,0.72979856,0.00000000
-4.84742371,6.52055061,0.71248801,5.16631989,0.06247969,0.16374418,0.23930124,0.43554062,0.74789604,0.00000000
-4.84142071,6.54291093,0.74880557,5.14845654,0.06505618,0.17205913,0.24714042,0.43916439,0.76875919,0.00000000
-4.83541771,6.57946944,0.78733210,5.13959128,0.06770459,0.18095002,0.25599687,0.44445386,0.79230175,0.00000000
-4.82941471,6.63059827,0.82770528,5.14045078,0.07040772,0.19032538,0.26574492,0.45138713,0.81834970,0.00000000
-4.82341171,6.69622233,0.86947339,5.15147212,0.07314518,0.20007188,0.27622834,0.45989465,0.84664301,0.00000000
-4.81740870,6.77580991,0.91210324,5.17278247,0.07589361,0.21005628,0.28726332,0.46986120,0.87684097,0.00000000
-4.81140570,6.86838248,0.95499179,5.20419212,0.07862721,0.22012844,0.29864259,0.48112973,0.90853081,0.00000000
-4.80540270,6.97254296,0.99748097,5.24520069,0.08131821,0.23012503,0.31014071,0.49350648,0.94123950,0.00000000
-4.79939970,7.08652076,1.03887529,5.29501564,0.08393740,0.23987421,0.32152025,0.50676745,0.97444799,0.00000000
-4.79339670,7.20823137,1.07846168,5.35258200,0.08645476,0.24920067,0.33253874,0.52066569,1.00760753,0.00000000
-4.78739370,7.33534739,1.11553069,5.41662142,0.08884006,0.25793130,0.34295613,0.53493921,1.04015711,0.00000000
-4.78139070,7.46537790,1.14939821,5.48567866,0.09106341,0.26590083,0.35254244,0.54931919,1.07154156,0.00000000
-4.77538769,7.59575230,1.17942697,5.55817321,0.09309590,0.27295751,0.36108530,0.56353800,1.10122926,0.00000000
-4.76938469,7.72390529,1.20504674,5.63245388,0.09491008,0.27896841,0.36839714,0.57733694,1.12872882,0.00000000
-4.76338169,7.84735942,1.22577262,5.70685396,0.09648048,0.28382418,0.37432159,0.59047334,1.15360420,0.00000000
-4.75737869,7.96380212,1.24122055,5.77974504,0.09778405,0.28744302,0.37873904,0.60272672,1.17548735,0.00000000
-4.75137569,8.07115458,1.25111957,5.84958742,0.09880060,0.28977372,0.38157085,0.61390411,1.19408837,0.00000000
-4.74537269,8.16763038,1.25532028,5.91497573,0.09951308,0.29079765,0.38278231,0.62384415,1.20920245,0.00000000
-4.73936968,8.25178229,1.25379937,5.97467831,0.09990797,0.29052956,0.38238408,0.63242018,1.22071388,0.00000000
-4.73336668,8.32253646,1.24666018,6.02766950,0.09997548,0.28901730,0.38043212,0.63954225,1.22859678,0.00000000
-4.72736368,8.37921345,1.23412927,6.07315418,0.09970985,0.28634034,0.37702610,0.64515807,1.23291303,0.00000000
-4.72136068,8.42153650,1.21654952,6.11058425,0.09910944,0.28260735,0.37230649,0.64925313,1.23380751,0.00000000
-4.71535768,8.44962750,1.19436993,6.13966698,0.09817695,0.27795286,0.36645033,0.65184993,1.23150111,0.00000000
-4.70935468,8.46399155,1.16813299,6.16036525,0.09691946,0.27253322,0.35966596,0.65300663,1.22628194,0.00000000
-4.70335168,8.46549141,1.13845992,6.17289026,0.09534847,0.26652200,0.35218698,0.65281498,1.21849525,0.00000000
-4.69734867,8.45531303,1.10603461,6.17768687,0.09347985,0.26010515,0.34426547,0.65139792,1.20853253,0.00000000
-4.69134567,8.43492354,1.07158690,6.17541247,0.09133373,0.25347592,0.33616506,0.64890660,1.19682027,0.00000000
-4.68534267,8.40602319,1.03587562,6.16690988,0.08893427,0.24682994,0.32815378,0.64551710,1.18380868,0.00000000
-4.67933967,8.37049251,0.99967215,6.15317522,0.08630941,0.24036049,0.32049701,0.64142674,1.16996080,0.00000000
-4.67333667,8.33033615,0.96374469,6.13532168,0.08349042,0.23425400,0.31345087,0.63684999,1.15574220,0.00000000
-4.66733367,8.28762465,0.92884371,6.11454019,0.08051148,0.22868617,0.30725599,0.63201403,1.14161138,0.00000000
-4.66133067,8.24443552,0.89568873,6.09205822,0.07740905,0.22381840,0.30213194,0.62715388,1.12801105,0.00000000
-4.65532766,8.20279497,0.86495644,6.06909796,0.07422129,0.21979483,0.29827242,0.62250713,1.11536013,0.00000000
-4.64932466,8.16462164,0.83727042,6.04683515,0.07098730,0.21673984,0.29584116,0.61830834,1.10404669,0.00000000
