energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-4.91345673,3.98080278,0.01115028,0.23933704,0.12582079,2.61906724,0.82889707,0.46843331
-4.90745373,4.00182595,0.01133275,0.24370302,0.12828793,2.63120584,0.83229787,0.47539266
-4.90145073,4.03157107,0.01156880,0.24839867,0.13086367,2.64896324,0.83729761,0.48287022
-4.89544772,4.06562901,0.01184397,0.25315809,0.13340709,2.66945318,0.84303551,0.49034631
-4.88944472,4.09970255,0.01214319,0.25772500,0.13577973,2.68986166,0.84867704,0.49731897
-4.88344172,4.12974318,0.01245127,0.26186093,0.13784984,2.70753675,0.85344229,0.50331959
-4.87743872,4.15207521,0.01275337,0.26535259,0.13949637,2.72006987,0.85663145,0.50792724
-4.87143572,4.16350257,0.01303542,0.26801816,0.14061263,2.72536605,0.85764627,0.51078091
-4.86543272,4.16139484,0.01328455,0.26971239,0.14110931,2.72170030,0.85600690,0.51158940
-4.85942971,4.14374938,0.01348943,0.27033005,0.14091692,2.70775858,0.85136330,0.51013841
-4.85342671,4.10922793,0.01364058,0.26980789,0.13998741,2.68266187,0.84350131,0.50629467
-4.84742371,4.05716686,0.01373058,0.26812494,0.13829509,2.64597308,0.83234281,0.50000685
-4.84142071,3.98756143,0.01375420,0.26530106,0.13583662,2.59768697,0.81794060,0.49130357
-4.83541771,3.90102578,0.01370849,0.26139411,0.13263032,2.53820416,0.80046811,0.48028835
-4.82941471,3.79873101,0.01359273,0.25649558,0.12871467,2.46829083,0.78020470,0.46713207
-4.82341171,3.68232497,0.01340831,0.25072517,0.12414618,2.38902650,0.75751737,0.45206316
-4.81740870,3.55383801,0.01315860,0.24422443,0.11899674,2.30174258,0.73283976,0.43535622
-4.81140570,3.41557921,0.01284864,0.23714984,0.11335055,2.20795480,0.70664965,0.41731935
-4.80540270,3.27002830,0.01248490,0.22966564,0.10730076,2.10929267,0.67944582,0.39828110
-4.79939970,3.11972799,0.01207492,0.22193679,0.10094609,2.00742933,0.65172560,0.37857738
-4.79339670,2.96718164,0.01162698,0.21412231,0.09438739,1.90401464,0.62396386,0.35853907
-4.78739370,2.81476034,0.01114969,0.20636933,0.08772443,1.80061450,0.59659450,0.33848067
-4.78139070,2.66462298,0.01065172,0.19880809,0.08105296,1.69865849,0.56999509,0.31869062
-4.77538769,2.51865206,0.01014144,0.19154809,0.07446222,1.59939760,0.54447516,0.29942336
-4.76938469,2.37840699,0.00962664,0.18467544,0.06803281,1.50387336,0.52026853,0.28089359
-4.76338169,2.24509569,0.00911432,0.17825156,0.06183516,1.41289870,0.49752969,0.26327265
-4.75737869,2.11956436,0.00861052,0.17231312,0.05592847,1.32705054,0.47633426,0.24668708
-4.75137569,2.00230429,0.00812021,0.16687319,0.05036016,1.24667352,0.45668310,0.23121920
-4.74537269,1.89347403,0.00764722,0.16192344,0.04516585,1.17189356,0.43850961,0.21690952
-4.73936968,1.79293435,0.00719427,0.15743712,0.04036967,1.10263986,0.42168977,0.20376067
-4.73336668,1.70029311,0.00676301,0.15337273,0.03598504,1.03867336,0.40605402,0.19174250
-4.72736368,1.61495688,0.00635415,0.14967803,0.03201564,0.97961979,0.39140043,0.18079799
-4.72136068,1.53618612,0.00596755,0.14629415,0.02845660,0.92500511,0.37750823,0.17084963
-4.71535768,1.46315070,0.00560241,0.14315958,0.02529588,0.87429151,0.36415114,0.16180580
-4.70935468,1.39498295,0.00525741,0.14021385,0.02251557,0.82691203,0.35110977,0.15356696
-4.70335168,1.33082581,0.00493093,0.13740063,0.02009331,0.78230231,0.33818254,0.14603123
-4.69734867,1.26987418,0.00462113,0.13467021,0.01800353,0.73992810,0.32519473,0.13909923
-4.69134567,1.21140792,0.00432618,0.13198124,0.01621859,0.69930785,0.31200533,0.13267807
-4.68534267,1.15481598,0.00404431,0.12930168,0.01470987,0.66002956,0.29851155,0.12668420
-4.67933967,1.09961127,0.00377398,0.12660901,0.01344854,0.62176185,0.28465102,0.12104538
-4.67333667,1.04543664,0.00351388,0.12388976,0.01240627,0.58425945,0.27040171,0.11570159
-4.66733367,0.99206289,0.00326301,0.12113846,0.01155576,0.54736333,0.25577980,0.11060511
-4.66133067,0.93937973,0.00302069,0.11835610,0.01087110,0.51099636,0.24083592,0.10571979
-4.65532766,0.88738143,0.00278657,0.11554842,0.01032800,0.47515513,0.22564994,0.10101980
-4.64932466,0.83614837,0.00256054,0.11272395,0.00990393,0.43989894,0.21032488,0.09648798
-4.64332166,0.78582642,0.00234277,0.10989212,0.00957815,0.40533698,0.19498024,0.09211387
-4.63731866,0.73660548,0.00213360,0.10706162,0.00933173,0.37161448,0.17974524,0.08789181
-4.63131566,0.68869869,0.00193351,0.10423891,0.00914747,0.33889887,0.16475220,0.08381902
-4.62531266,0.64232338,0.00174303,0.10142726,0.00900986,0.30736662,0.15013052,0.07989397
-4.61930965,0.59768482,0.00156271,0.09862607,0.00890501,0.27719138,0.13600141,0.07611502
-4.61330665,0.55496329,0.00139309,0.09583082,0.00882060,0.24853392,0.12247356,0.07247943
-4.60730365,0.51430487,0.00123461,0.09303329,0.00874585,0.22153418,0.10963985,0.06898273
-4.60130065,0.47581598,0.00108759,0.09022229,0.00867150,0.19630550,0.09757517,0.06561854
-4.59529765,0.43956158,0.00095226,0.08738465,0.00858986,0.17293120,0.08633532,0.06237866
-4.58929465,0.40556662,0.00082866,0.08450647,0.00849476,0.15146323,0.07595681,0.05925348
-4.58329165,0.37382020,0.00071674,0.08157449,0.00838167,0.13192280,0.06645765,0.05623262
-4.57728864,0.34428199,0.00061629,0.07857753,0.00824775,0.11430269,0.05783870,0.05330569
-4.57128564,0.31689010,0.00052698,0.07550778,0.00809184,0.09857090,0.05008576,0.05046319
-4.56528264,0.29156991,0.00044839,0.07236209,0.00791460,0.08467539,0.04317184,0.04769729
-4.55927964,0.26824328,0.00038006,0.06914292,0.00771852,0.07254948,0.03705988,0.04500268
-4.55327664,0.24683753,0.00032145,0.06585908,0.00750797,0.06211772,0.03170536,0.04237721
-4.54727364,0.22729395,0.00027202,0.06252622,0.00728928,0.05330185,0.02705899,0.03982242
-4.54127064,0.20957550,0.00023127,0.05916699,0.00707073,0.04602677,0.02306924,0.03734394
-4.53526763,0.19367335,0.00019871,0.05581098,0.00686259,0.04022609,0.01968459,0.03495166
-4.52926463,0.17961244,0.00017396,0.05249434,0.00667716,0.03584737,0.01685555,0.03265978
-4.52326163,0.16745569,0.00015671,0.04925934,0.00652879,0.03285676,0.01453640,0.03048670
-4.51725863,0.15730713,0.00014678,0.04615362,0.00643388,0.03124298,0.01268652,0.02845482
-4.51125563,0.14931387,0.00014412,0.04322947,0.00641084,0.03102057,0.01127147,0.02659016
-4.50525263,0.14366681,0.00014882,0.04054298,0.00648017,0.03223233,0.01026376,0.02492201
-4.49924962,0.14060037,0.00016112,0.03815318,0.00666429,0.03495088,0.00964325,0.02348246
-4.49324662,0.14039092,0.00018142,0.03612117,0.00698755,0.03927920,0.00939739,0.02230593
-4.48724362,0.14335406,0.00021026,0.03450932,0.00747604,0.04535027,0.00952116,0.02142861
-4.48124062,0.14984050,0.00024834,0.03338036,0.00815740,0.05332536,0.01001673,0.02088793
-4.47523762,0.16023048,0.00029648,0.03279656,0.00906049,0.06339130,0.01089308,0.02072197
-4.46923462,0.17492660,0.00035557,0.03281884,0.01021501,0.07575636,0.01216521,0.02096878
-4.46323162,0.19434488,0.00042664,0.03350586,0.01165098,0.09064477,0.01385345,0.02166571
-4.45722861,0.21890402,0.00051069,0.03491295,0.01339806,0.10828998,0.01598241,0.02284857
-4.45122561,0.24901280,0.00060876,0.03709105,0.01548477,0.12892651,0.01857991,0.02455077
-4.44522261,0.28505580,0.00072183,0.04008546,0.01793759,0.15278064,0.02167587,0.02680232
-4.43921961,0.32737760,0.00085075,0.04393450,0.02077988,0.18006006,0.02530105,0.02962883
-4.43321661,0.37626590,0.00099623,0.04866817,0.02403081,0.21094273,0.02948588,0.03305032
-4.42721361,0.43193400,0.00115875,0.05430666,0.02770411,0.24556539,0.03425924,0.03708010
-4.42121061,0.49450354,0.00133847,0.06085906,0.03180696,0.28401205,0.03964746,0.04172367
-4.41520760,0.56398810,0.00153525,0.06832204,0.03633872,0.32630309,0.04567338,0.04697767
-4.40920460,0.64027878,0.00174850,0.07667894,0.04129000,0.37238541,0.05235574,0.05282901
-4.40320160,0.72313276,0.00197723,0.08589908,0.04664169,0.42212440,0.05970888,0.05925427
-4.39719860,0.81216571,0.00221993,0.09593766,0.05236439,0.47529816,0.06774271,0.06621937
-4.39119560,0.90684920,0.00247461,0.10673621,0.05841805,0.53159462,0.07646321,0.07367975
-4.38519260,1.00651369,0.00273879,0.11822371,0.06475199,0.59061200,0.08587338,0.08158090
-4.37918959,1.11035791,0.00300949,0.13031853,0.07130539,0.65186295,0.09597451,0.08985953
-4.37318659,1.21746468,0.00328328,0.14293114,0.07800808,0.71478252,0.10676807,0.09844522
-4.36718359,1.32682332,0.00355638,0.15596760,0.08478190,0.77873990,0.11825779,0.10726265
-4.36118059,1.43735799,0.00382467,0.16933374,0.09154236,0.84305382,0.13045214,0.11623431
-4.35517759,1.54796135,0.00408384,0.18294001,0.09820078,0.90701094,0.14336688,0.12528368
-4.34917459,1.65753201,0.00432950,0.19670670,0.10466662,0.96988668,0.15702760,0.13433867
-4.34317159,1.76501447,0.00455728,0.21056929,0.11085010,1.03096756,0.17147207,0.14333527
-4.33716858,1.86943933,0.00476301,0.22448385,0.11666493,1.08957404,0.18675213,0.15222118
-4.33116558,1.96996206,0.00494281,0.23843190,0.12203097,1.14508266,0.20293495,0.16095917
-4.32516258,2.06589780,0.00509326,0.25242467,0.12687682,1.19694642,0.22010350,0.16953015
-4.31915958,2.15675047,0.00521149,0.26650628,0.13114212,1.24471221,0.23835594,0.17793548
-4.31315658,2.24223401,0.00529534,0.28075558,0.13477948,1.28803430,0.25780387,0.18619858
