energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-5.39369685,1.99351570,0.58514715,1.29733763,0.00273452,0.03792844,0.00610688,0.49170330,0.38056262,0.11961603
-5.38769385,1.95837191,0.56664069,1.28772831,0.00260692,0.03639908,0.00582761,0.47571209,0.36230185,0.11489830
-5.38169085,1.92159920,0.54776917,1.27681189,0.00247590,0.03489887,0.00553662,0.45948204,0.34369252,0.11007346
-5.37568784,1.88380820,0.52880775,1.26487928,0.00234280,0.03344561,0.00523714,0.44322783,0.32493160,0.10520688
-5.36968484,1.84554532,0.51000529,1.25218458,0.00220887,0.03205439,0.00493245,0.42714409,0.30620998,0.10035904
-5.36368184,1.80727159,0.49157681,1.23893241,0.00207528,0.03073718,0.00462574,0.41139942,0.28770745,0.09558399
-5.35767884,1.76934600,0.47369758,1.22526804,0.00194309,0.02950257,0.00432009,0.39613149,0.26958821,0.09092803
-5.35167584,1.73201426,0.45649909,1.21127097,0.00181324,0.02835565,0.00401838,0.38144373,0.25199708,0.08642885
-5.34567284,1.69540344,0.44006708,1.19695232,0.00168654,0.02729803,0.00372321,0.36740357,0.23505665,0.08211497
-5.33966983,1.65952308,0.42444164,1.18225624,0.00156367,0.02632806,0.00343689,0.35404230,0.21886537,0.07800569
-5.33366683,1.62427244,0.40961938,1.16706541,0.00144518,0.02544114,0.00316140,0.34135664,0.20349668,0.07411130
-5.32766383,1.58945360,0.39555745,1.15121033,0.00133150,0.02463016,0.00289835,0.32931180,0.18899910,0.07043375
-5.32166083,1.55478978,0.38217916,1.13448195,0.00122298,0.02388609,0.00264898,0.31784581,0.17539739,0.06696754
-5.31565783,1.51994774,0.36938093,1.11664692,0.00111984,0.02319858,0.00241420,0.30687497,0.16269438,0.06370090
-5.30965483,1.48456307,0.35704005,1.09746483,0.00102222,0.02255661,0.00219455,0.29630001,0.15087356,0.06061715
-5.30365183,1.44826712,0.34502298,1.07670626,0.00093020,0.02194921,0.00199026,0.28601275,0.13990225,0.05769613
-5.29764882,1.41071392,0.33319365,1.05417090,0.00084380,0.02136608,0.00180128,0.27590267,0.12973496,0.05491568
-5.29164582,1.37160585,0.32142137,1.02970461,0.00076298,0.02079820,0.00162732,0.26586338,0.12031701,0.05225307
-5.28564282,1.33071666,0.30958806,1.00321453,0.00068765,0.02023837,0.00146785,0.25579838,0.11158802,0.04968629
-5.27963982,1.28791072,0.29759430,0.97468151,0.00061771,0.01968163,0.00132222,0.24562608,0.10348527,0.04719527
-5.27363682,1.24315752,0.28536422,0.94416914,0.00055301,0.01912558,0.00118964,0.23528374,0.09594670,0.04476277
-5.26763382,1.19654088,0.27284879,0.91182892,0.00049340,0.01857055,0.00106923,0.22473022,0.08891341,0.04237510
-5.26163082,1.14826253,0.26002768,0.87790147,0.00043870,0.01801968,0.00096008,0.21394755,0.08233177,0.04002266
-5.25562781,1.09863994,0.24690956,0.84271351,0.00038872,0.01747886,0.00086126,0.20294126,0.07615489,0.03770008
-5.24962481,1.04809891,0.23353100,0.80667110,0.00034328,0.01695652,0.00077186,0.19173959,0.07034359,0.03540630
-5.24362181,0.99716125,0.21995416,0.77024930,0.00030217,0.01646336,0.00069101,0.18039164,0.06486685,0.03314432
-5.23761881,0.94642845,0.20626338,0.73397899,0.00026522,0.01601197,0.00061789,0.16896478,0.05970182,0.03092084
-5.23161581,0.89656241,0.19256112,0.69843141,0.00023224,0.01561635,0.00055175,0.15754135,0.05483337,0.02874576
-5.22561281,0.84826404,0.17896329,0.66420133,0.00020306,0.01529144,0.00049189,0.14621505,0.05025347,0.02663158
-5.21960980,0.80225116,0.16559449,0.63188964,0.00017757,0.01505260,0.00043772,0.13508713,0.04596022,0.02459279
-5.21360680,0.75923650,0.15258323,0.60208607,0.00015564,0.01491505,0.00038869,0.12426258,0.04195684,0.02264517
-5.20760380,0.71990712,0.14005752,0.57535305,0.00013722,0.01489340,0.00034434,0.11384668,0.03825060,0.02080525
-5.20160080,0.68490591,0.12814089,0.55221122,0.00012233,0.01500113,0.00030426,0.10394184,0.03485178,0.01908970
-5.19559780,0.65481604,0.11694910,0.53312725,0.00011102,0.01525023,0.00026811,0.09464500,0.03177272,0.01751490
-5.18959480,0.63014885,0.10658761,0.51850444,0.00010347,0.01565081,0.00023560,0.08604559,0.02902700,0.01609655
-5.18359180,0.61133566,0.09714974,0.50867628,0.00009995,0.01621083,0.00020647,0.07822416,0.02662881,0.01484944
-5.17758879,0.59872332,0.08871573,0.50390333,0.00010087,0.01693595,0.00018051,0.07125158,0.02459246,0.01378721
-5.17158579,0.59257382,0.08135248,0.50437309,0.00010676,0.01782939,0.00015754,0.06518877,0.02293208,0.01292234
-5.16558279,0.59306733,0.07511385,0.51020298,0.00011836,0.01889194,0.00013740,0.06008699,0.02166148,0.01226612
-5.15957979,0.60030851,0.07004167,0.52144592,0.00013659,0.02012200,0.00011996,0.05598847,0.02079408,0.01182873
-5.15357679,0.61433525,0.06616693,0.53809806,0.00016258,0.02151576,0.00010513,0.05292730,0.02034305,0.01161928
-5.14757379,0.63512942,0.06351137,0.56010828,0.00019771,0.02306734,0.00009282,0.05093051,0.02032138,0.01164602
-5.14157079,0.66262857,0.06208912,0.58738867,0.00024362,0.02476905,0.00008297,0.05001917,0.02074205,0.01191633
-5.13556778,0.69673807,0.06190823,0.61982532,0.00030221,0.02661166,0.00007554,0.05020942,0.02161818,0.01243689
-5.12956478,0.73734260,0.06297219,0.65728893,0.00037567,0.02858466,0.00007052,0.05151333,0.02296303,0.01321367
-5.12356178,0.78431644,0.06528103,0.69964429,0.00046647,0.03067656,0.00006792,0.05393957,0.02479006,0.01425192
-5.11755878,0.83753168,0.06883213,0.74675818,0.00057733,0.03287511,0.00006778,0.05749366,0.02711276,0.01555609
-5.11155578,0.89686395,0.07362072,0.79850506,0.00071120,0.03516755,0.00007016,0.06217806,0.02994443,0.01712966
-5.10555278,0.96219495,0.07963976,0.85477018,0.00087125,0.03754078,0.00007515,0.06799182,0.03329776,0.01897495
-5.09954977,1.03341177,0.08687955,0.91544965,0.00106077,0.03998150,0.00008285,0.07492992,0.03718438,0.02109281
-5.09354677,1.11040261,0.09532688,0.98044745,0.00128311,0.04247629,0.00009339,0.08298235,0.04161419,0.02348233
-5.08754377,1.19304920,0.10496378,1.04966928,0.00154158,0.04501165,0.00010692,0.09213296,0.04659463,0.02614043
-5.08154077,1.28121601,0.11576602,1.12301353,0.00183933,0.04757401,0.00012356,0.10235808,0.05212985,0.02906152
-5.07553777,1.37473686,0.12770138,1.20035971,0.00217923,0.05014969,0.00014348,0.11362516,0.05821987,0.03223709
-5.06953477,1.47339954,0.14072781,1.28155480,0.00256370,0.05272483,0.00016682,0.12589127,0.06485965,0.03565538
-5.06353177,1.57692929,0.15479159,1.36639844,0.00299457,0.05528534,0.00019368,0.13910180,0.07203824,0.03930106
-5.05752876,1.68497200,0.16982556,1.45462762,0.00347292,0.05781681,0.00022417,0.15318926,0.07973795,0.04315497
-5.05152576,1.79707842,0.18574766,1.54590187,0.00399889,0.06030455,0.00025834,0.16807237,0.08793364,0.04719400
-5.04552276,1.91269023,0.20245968,1.63979007,0.00457156,0.06273348,0.00029619,0.18365547,0.09659212,0.05139102
-5.03951976,2.03112921,0.21984657,1.73575966,0.00518881,0.06508828,0.00033765,0.19982836,0.10567180,0.05571494
-5.03351676,2.15159057,0.23777624,1.83316948,0.00584718,0.06735337,0.00038262,0.21646658,0.11512244,0.06013095
-5.02751376,2.27314114,0.25609989,1.93126688,0.00654185,0.06951314,0.00043087,0.23343226,0.12488524,0.06460085
-5.02151076,2.39472348,0.27465319,2.02918993,0.00726656,0.07155210,0.00048214,0.25057540,0.13489317,0.06908355
-5.01550775,2.51516598,0.29325794,2.12597512,0.00801368,0.07345509,0.00053605,0.26773579,0.14507150,0.07353569
-5.00950475,2.63319948,0.31172458,2.22057083,0.00877427,0.07520761,0.00059215,0.28474536,0.15533872,0.07791241
-5.00350175,2.74748012,0.32985531,2.31185654,0.00953818,0.07679605,0.00064990,0.30143110,0.16560761,0.08216825
-4.99749875,2.85661795,0.34744776,2.39866732,0.01029432,0.07820802,0.00070872,0.31761828,0.17578668,0.08625808
-4.99149575,2.95921062,0.36429928,2.47982294,0.01103085,0.07943266,0.00076792,0.33313406,0.18578169,0.09013818
-4.98549275,3.05388084,0.38021145,2.55416072,0.01173549,0.08046086,0.00082678,0.34781132,0.19549742,0.09376729
-4.97948974,3.13931645,0.39499496,2.62057076,0.01239590,0.08128554,0.00088454,0.36149249,0.20483955,0.09710767
-4.97348674,3.21431135,0.40847443,2.67803212,0.01299998,0.08190182,0.00094043,0.37403347,0.21371656,0.10012612
