energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-1.55177589,4.27895530,0.02129696,0.18198466,0.35878801,1.14667965,0.01784752,0.52567889,0.78185726,2.52241852
-1.54577289,4.37791351,0.02152280,0.18202649,0.35467429,1.23331204,0.01899894,0.54445802,0.80215173,2.50813415
-1.53976988,4.49347475,0.02177882,0.18277141,0.35123692,1.32851509,0.02021981,0.56411506,0.82325246,2.50044193
-1.53376688,4.62415239,0.02205247,0.18413097,0.34836801,1.43207420,0.02150580,0.58443745,0.84494944,2.49841046
-1.52776388,4.76824440,0.02233015,0.18600223,0.34594286,1.54371019,0.02285278,0.60519285,0.86702866,2.50098925
-1.52176088,4.92390288,0.02259784,0.18827257,0.34382836,1.66308680,0.02425719,0.62613301,0.88927821,2.50705993
-1.51575788,5.08920211,0.02284169,0.19082454,0.34189126,1.78981712,0.02571626,0.64699819,0.91149374,2.51548643
-1.50975488,5.26220174,0.02304854,0.19354051,0.34000583,1.92346828,0.02722827,0.66752214,0.93348303,2.52516185
-1.50375188,5.44100210,0.02320648,0.19630712,0.33806063,2.06356394,0.02879270,0.68743759,0.95506945,2.53504985
-1.49774887,5.62378914,0.02330525,0.19901901,0.33596398,2.20958430,0.03041017,0.70648190,0.97609416,2.54421905
-1.49174587,5.80886740,0.02333654,0.20158205,0.33364804,2.36096336,0.03208238,0.72440297,0.99641719,2.55186911
-1.48574287,5.99467999,0.02329427,0.20391571,0.33107122,2.51708368,0.03381191,0.74096492,1.01591721,2.55734804
-1.47973987,6.17981563,0.02317469,0.20595463,0.32821902,2.67726893,0.03560182,0.75595357,1.03449031,2.56016041
-1.47373687,6.36300342,0.02297638,0.20764943,0.32510327,2.84077482,0.03745525,0.76918137,1.05204769,2.55996708
-1.46773387,6.54309705,0.02270019,0.20896663,0.32175992,3.00677934,0.03937484,0.78049163,1.06851285,2.55657695
-1.46173087,6.71905048,0.02234906,0.20988790,0.31824564,3.17437324,0.04136220,0.78976184,1.08381810,2.54993227
-1.45572786,6.88988797,0.02192778,0.21040872,0.31463347,3.34255199,0.04341727,0.79690598,1.09790098,2.54008870
-1.44972486,7.05467148,0.02144266,0.21053652,0.31100780,3.51021049,0.04553774,0.80187568,1.11070079,2.52719186
-1.44372186,7.21246873,0.02090126,0.21028846,0.30745900,3.67614168,0.04771848,0.80466021,1.12215539,2.51145214
-1.43771886,7.36232493,0.02031198,0.20968906,0.30407814,3.83904021,0.04995115,0.80528538,1.13219869,2.49311934
-1.43171586,7.50324114,0.01968372,0.20876774,0.30095191,3.99751206,0.05222384,0.80381128,1.14075898,2.47245875
-1.42571286,7.63416167,0.01902560,0.20755653,0.29815813,4.15009072,0.05452093,0.80032923,1.14775818,2.44972992
-1.41970985,7.75397208,0.01834660,0.20608787,0.29576206,4.29526024,0.05682313,0.79495793,1.15311232,2.42516931
-1.41370685,7.86150889,0.01765533,0.20439289,0.29381362,4.43148488,0.05910767,0.78783913,1.15673303,2.39897736
-1.40770385,7.95558115,0.01695985,0.20249991,0.29234557,4.55724494,0.06134873,0.77913308,1.15853027,2.37131050
-1.40170085,8.03500288,0.01626754,0.20043353,0.29137282,4.67107744,0.06351806,0.76901392,1.15841595,2.34227807
-1.39569785,8.09863521,0.01558493,0.19821401,0.29089262,4.77162057,0.06558574,0.75766537,1.15630838,2.31194388
-1.38969485,8.14543566,0.01491779,0.19585723,0.29088574,4.85765981,0.06752107,0.74527671,1.15213739,2.28033192
-1.38369185,8.17451191,0.01427102,0.19337491,0.29131831,4.92817382,0.06929363,0.73203942,1.14584962,2.24743531
-1.37768884,8.18517681,0.01364878,0.19077524,0.29214433,4.98237793,0.07087431,0.71814441,1.13741387,2.21322778
-1.37168584,8.17700127,0.01305456,0.18806370,0.29330848,5.01976304,0.07223637,0.70377993,1.12682612,2.17767654
-1.36568284,8.14986181,0.01249126,0.18524416,0.29474922,5.04012777,0.07335651,0.68913008,1.11411388,2.14075564
-1.35967984,8.10397971,0.01196132,0.18231987,0.29640179,5.04360217,0.07421579,0.67437394,1.09933966,2.10245894
-1.35367684,8.03994916,0.01146682,0.17929465,0.29820118,5.03066149,0.07480040,0.65968512,1.08260331,2.06281172
-1.34767384,7.95875264,0.01100961,0.17617388,0.30008472,5.00212893,0.07510232,0.64523156,1.06404302,2.02188062
-1.34167084,7.86176219,0.01059138,0.17296532,0.30199434,4.95916706,0.07511974,0.63117556,1.04383499,1.97978115
-1.33566783,7.75072632,0.01021376,0.16967985,0.30387839,4.90325782,0.07485725,0.61767367,1.02219176,1.93668269
-1.32966483,7.62774283,0.00987834,0.16633188,0.30569297,4.83617182,0.07432583,0.60487656,0.99935905,1.89281091
-1.32366183,7.49521884,0.00958675,0.16293953,0.30740280,4.75992798,0.07354260,0.59292852,0.97561162,1.84844766
-1.31765883,7.35581951,0.00934061,0.15952463,0.30898173,4.67674523,0.07253036,0.58196672,0.95124800,1.80392859
-1.31165583,7.21240808,0.00914156,0.15611243,0.31041281,4.58898789,0.07131694,0.57212003,0.92658447,1.75963871
-1.30565283,7.06797937,0.00899123,0.15273114,0.31168812,4.49910709,0.06993442,0.56350761,0.90194854,1.71600639
-1.29964982,6.92558970,0.00889114,0.14941130,0.31280834,4.40958038,0.06841818,0.55623708,0.87767214,1.67349604
-1.29364682,6.78828579,0.00884273,0.14618503,0.31378216,4.32285149,0.06680589,0.55040261,0.85408483,1.63259977
-1.28764382,6.65903499,0.00884717,0.14308524,0.31462558,4.24127265,0.06513649,0.54608276,0.83150709,1.59382832
-1.28164082,6.54065906,0.00890541,0.14014473,0.31536111,4.16705083,0.06344906,0.54333847,0.81024404,1.55770146
-1.27563782,6.43577313,0.00901801,0.13739537,0.31601690,4.10219961,0.06178185,0.54221104,0.79057957,1.52473786
-1.26963482,6.34673105,0.00918510,0.13486726,0.31662584,4.04849776,0.06017127,0.54272036,0.77277107,1.49544459
