energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-1.01150575,5.21245728,0.05398215,1.12986955,0.48753749,0.73737206,0.08108231,2.24404747,3.12411761,1.33074206
-1.00550275,5.15741199,0.05368782,1.10743259,0.46947006,0.73408226,0.08060479,2.21570974,3.09613246,1.32057280
-0.99949975,5.11669064,0.05331567,1.08860139,0.45329940,0.73323504,0.08045407,2.19295995,3.07883877,1.31372873
-0.99349675,5.09111921,0.05287222,1.07377877,0.43919019,0.73495721,0.08064011,2.17604619,3.07285091,1.31036619
-0.98749375,5.08112738,0.05236413,1.06325751,0.42725735,0.73930488,0.08116401,2.16508648,3.07845523,1.31055156
-0.98149075,5.08674026,0.05179804,1.05721204,0.41756496,0.74626165,0.08201802,2.16006945,3.09560066,1.31426069
-0.97548774,5.10757971,0.05118042,1.05569354,0.41012624,0.75573901,0.08318591,2.16085681,3.12389900,1.32137996
-0.96948474,5.14287480,0.05051742,1.05862813,0.40490461,0.76757892,0.08464342,2.16718779,3.16263452,1.33170875
-0.96348174,5.19148111,0.04981480,1.06581845,0.40181574,0.78155839,0.08635898,2.17868534,3.21078247,1.34496334
-0.95747874,5.25190806,0.04907783,1.07694824,0.40073041,0.79739601,0.08829460,2.19486394,3.26703589,1.36078208
-0.95147574,5.32235408,0.04831120,1.09158992,0.40147839,0.81476004,0.09040691,2.21513926,3.32983980,1.37873193
-0.94547274,5.40074865,0.04751898,1.10921497,0.40385292,0.83327792,0.09264821,2.23883957,3.39743193,1.39831622
-0.93946973,5.48480075,0.04670460,1.12920684,0.40761601,0.85254680,0.09496779,2.26521897,3.46788875,1.41898390
-0.93346673,5.57205279,0.04587082,1.15087612,0.41250432,0.87214475,0.09731310,2.29347247,3.53917567,1.44014018
-0.92746373,5.65993893,0.04501976,1.17347765,0.41823558,0.89164226,0.09963109,2.32275288,3.60920002,1.46115861
-0.92146073,5.74584686,0.04415295,1.19622920,0.42451547,0.91061362,0.10186947,2.35218927,3.67586544,1.48139449
-0.91545773,5.82718151,0.04327138,1.21833132,0.43104479,0.92864792,0.10397793,2.38090683,3.73712619,1.50019957
-0.90945473,5.90142924,0.04237562,1.23898778,0.43752670,0.94535914,0.10590936,2.40804757,3.79103996,1.51693778
-0.90345173,5.96622080,0.04146592,1.25742617,0.44367414,0.96039518,0.10762085,2.43279158,3.83581765,1.53100153
-0.89744872,6.01939136,0.04054234,1.27291812,0.44921681,0.97344538,0.10907470,2.45437786,3.86986881,1.54182830
-0.89144572,6.05903560,0.03960496,1.28479840,0.45390795,0.98424659,0.11023916,2.47212444,3.89184136,1.54891688
-0.88544272,6.08355625,0.03865397,1.29248253,0.45753037,0.99258740,0.11108911,2.48544652,3.90065456,1.55184272
-0.87943972,6.09170419,0.03768989,1.29548217,0.45990181,0.99831066,0.11160647,2.49387235,3.89552416,1.55027161
-0.87343672,6.08260884,0.03671370,1.29341785,0.46087923,1.00131416,0.11178041,2.49705581,3.87597921,1.54397127
-0.86743372,6.05579749,0.03572696,1.28602861,0.46036203,1.00154975,0.11160747,2.49478519,3.84186989,1.53282008
-0.86143072,6.01120289,0.03473193,1.27317819,0.45829401,0.99902086,0.11109131,2.48698772,3.79336648,1.51681246
-0.85542771,5.94915876,0.03373162,1.25485751,0.45466398,0.99377880,0.11024241,2.47372955,3.73094935,1.49606068
-0.84942471,5.87038324,0.03272982,1.23118347,0.44950515,0.98591789,0.10907749,2.45521108,3.65539072,1.47079261
-0.84342171,5.77595107,0.03173108,1.20239398,0.44289306,0.97556997,0.10761886,2.43175787,3.56772874,1.44134563
-0.83741871,5.66725552,0.03074063,1.16883955,0.43494241,0.96289830,0.10589358,2.40380736,3.46923501,1.40815668
-0.83141571,5.54596151,0.02976426,1.13097168,0.42580274,0.94809126,0.10393255,2.37189210,3.36137670,1.37174876
-0.82541271,5.41395200,0.02880818,1.08932859,0.41565321,0.93135613,0.10176951,2.33662024,3.24577457,1.33271459
-0.81940970,5.27326948,0.02787881,1.04451879,0.40469667,0.91291312,0.09944008,2.29865397,3.12415847,1.29169778
-0.81340670,5.12605518,0.02698258,0.99720311,0.39315322,0.89298984,0.09698077,2.25868712,2.99832173,1.24937258
-0.80740370,4.97448799,0.02612570,0.94807595,0.38125355,0.87181639,0.09442801,2.21742263,2.87007582,1.20642285
-0.80140070,4.82072558,0.02531392,0.89784637,0.36923228,0.84962112,0.09181733,2.17555108,2.74120681,1.16352118
-0.79539770,4.66684962,0.02455239,0.84721958,0.35732148,0.82662722,0.08918260,2.13373094,2.61343474,1.12130906
-0.78939470,4.51481695,0.02384535,0.79687973,0.34574462,0.80304998,0.08655542,2.09257137,2.48837704,1.08037887
-0.78339170,4.36641830,0.02319611,0.74747418,0.33471118,0.77909480,0.08396466,2.05261818,2.36751682,1.04125838
-0.77738869,4.22324543,0.02260683,0.69959996,0.32441190,0.75495598,0.08143610,2.01434329,2.25217676,1.00439833
-0.77138569,4.08666758,0.02207852,0.65379266,0.31501490,0.73081601,0.07899233,1.97813797,2.14349905,0.97016362
-0.76538269,3.95781750,0.02161100,0.61051796,0.30666275,0.70684548,0.07665268,1.94430987,2.04243155,0.93882814
-0.75937969,3.83758692,0.02120294,0.57016594,0.29947038,0.68320336,0.07443341,1.91308371,1.94972038,0.91057367
-0.75337669,3.72663120,0.02085195,0.53304823,0.29352398,0.66003771,0.07234790,1.88460541,1.86590858,0.88549234
