energy_ev,total_up,In_p_up,In_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
2.48824412,1.43082920,0.33301259,0.00009422,0.39281895,1.18972175,0.00320473,0.10103075
2.49424712,1.33912596,0.31433638,0.00008762,0.37001163,1.11139031,0.00281375,0.09537302
2.50025013,1.25715443,0.29799241,0.00008144,0.34988043,1.04141614,0.00250087,0.08994042
2.50625313,1.18506944,0.28396982,0.00007567,0.33254890,0.97994646,0.00226401,0.08478384
2.51225613,1.12304968,0.27225665,0.00007032,0.31812154,0.92715217,0.00210212,0.07996291
2.51825913,1.07130061,0.26284176,0.00006537,0.30668600,0.88323035,0.00201530,0.07554507
2.52426213,1.03005481,0.25571648,0.00006084,0.29831541,0.84840423,0.00200486,0.07160431
2.53026513,0.99956982,0.25087615,0.00005673,0.29307086,0.82292067,0.00207335,0.06821976
2.53626813,0.98012355,0.24832127,0.00005303,0.29100363,0.80704534,0.00222457,0.06547406
2.54227114,0.97200724,0.24805855,0.00004975,0.29215710,0.80105545,0.00246352,0.06345163
2.54827414,0.97551596,0.25010145,0.00004689,0.29656809,0.80523017,0.00279634,0.06223676
2.55427714,0.99093663,0.25447031,0.00004444,0.30426753,0.81983865,0.00323011,0.06191167
2.56028014,1.01853346,0.26119185,0.00004240,0.31528003,0.84512581,0.00377271,0.06255435
2.56628314,1.05853079,0.27029792,0.00004076,0.32962262,0.88129577,0.00443253,0.06423640
2.57228614,1.11109345,0.28182342,0.00003952,0.34730209,0.92849338,0.00521815,0.06702073
2.57828914,1.17630498,0.29580324,0.00003866,0.36831135,0.98678391,0.00613796,0.07095923
2.58429215,1.25414382,0.31226813,0.00003818,0.39262450,1.05613149,0.00719973,0.07609038
2.59029515,1.34445844,0.33123970,0.00003805,0.42019094,1.13637690,0.00841013,0.08243689
2.59629815,1.44694204,0.35272433,0.00003826,0.45092871,1.22721561,0.00977421,0.09000342
2.60230115,1.56110794,0.37670649,0.00003879,0.48471734,1.32817699,0.01129485,0.09877443
2.60830415,1.68626705,0.40314140,0.00003961,0.52139058,1.43860587,0.01297222,0.10871231
2.61430715,1.82150884,0.43194769,0.00004069,0.56072962,1.55764782,0.01480333,0.11975585
2.62031016,1.96568733,0.46300012,0.00004201,0.60245713,1.68423938,0.01678150,0.13181918
2.62631316,2.11741370,0.49612319,0.00004352,0.64623275,1.81710462,0.01889603,0.14479127
2.63231616,2.27505702,0.53108579,0.00004521,0.69165059,1.95475904,0.02113192,0.15853611
2.63831916,2.43675429,0.56759757,0.00004701,0.73823911,2.09552206,0.02346973,0.17289371
2.64432216,2.60043069,0.60530748,0.00004891,0.78546379,2.23753836,0.02588560,0.18768186
2.65032516,2.76383063,0.64380477,0.00005084,0.83273293,2.37880861,0.02835148,0.20269876
2.65632816,2.92455931,0.68262266,0.00005278,0.87940652,2.51722920,0.03083543,0.21772657
2.66233117,3.08013441,0.72124507,0.00005467,0.92480828,2.65064024,0.03330224,0.23253564
2.66833417,3.22804637,0.75911607,0.00005648,0.96824050,2.77688054,0.03571415,0.24688954
2.67433717,3.36582557,0.79565203,0.00005816,1.00900131,2.89384783,0.03803172,0.26055060
2.68034017,3.49111389,0.83025616,0.00005968,1.04640369,2.99956189,0.04021489,0.27328581
2.68634317,3.60173782,0.86233469,0.00006099,1.07979560,3.09222809,0.04222406,0.28487297
2.69234617,3.69577979,0.89131436,0.00006207,1.10858016,3.17029844,0.04402129,0.29510662
2.69834917,3.77164464,0.91666011,0.00006290,1.13223526,3.23252724,0.04557149,0.30380386
2.70435218,3.82811761,0.93789244,0.00006345,1.15033130,3.27801858,0.04684351,0.31080941
2.71035518,3.86441106,0.95460350,0.00006371,1.16254650,3.30626294,0.04781123,0.31600008
2.71635818,3.88019710,0.96647110,0.00006368,1.16867879,3.31716084,0.04845439,0.31928815
2.72236118,3.87562419,0.97326991,0.00006335,1.16865375,3.31103190,0.04875933,0.32062373
2.72836418,3.85131633,0.97487946,0.00006275,1.16252811,3.28860822,0.04871948,0.31999578
2.73436718,3.80835442,0.97128821,0.00006188,1.15048852,3.25101209,0.04833555,0.31743205
2.74037019,3.74824019,0.96259386,0.00006077,1.13284571,3.19971832,0.04761555,0.31299761
2.74637319,3.67284398,0.94899949,0.00005945,1.11002421,3.13650277,0.04657450,0.30679231
2.75237619,3.58433855,0.93080605,0.00005794,1.08254799,3.06337906,0.04523389,0.29894715
2.75837919,3.48512159,0.90840135,0.00005630,1.05102283,2.98252600,0.04362095,0.28961979
2.76438219,3.37773059,0.88224623,0.00005454,1.01611609,2.89620906,0.04176775,0.27898942
2.77038519,3.26475364,0.85285853,0.00005272,0.97853481,2.80669934,0.03971010,0.26725111
2.77638819,3.14874012,0.82079561,0.00005087,0.93900311,2.71619337,0.03748645,0.25461003
2.78239120,3.03211541,0.78663624,0.00004903,0.89823984,2.62673769,0.03513666,0.24127567
2.78839420,2.91710303,0.75096271,0.00004722,0.85693738,2.54016107,0.03270084,0.22745629
2.79439720,2.80565768,0.71434385,0.00004547,0.81574252,2.45801754,0.03021825,0.21335386
2.80040020,2.69941165,0.67731963,0.00004381,0.77523992,2.38154238,0.02772629,0.19915952
2.80640320,2.59963677,0.64038796,0.00004226,0.73593886,2.31162283,0.02525958,0.18504984
2.81240620,2.50722281,0.60399406,0.00004081,0.69826364,2.24878439,0.02284932,0.17118385
2.81840920,2.42267289,0.56852267,0.00003948,0.66254774,2.19319286,0.02052270,0.15770089
2.82441221,2.34611526,0.53429319,0.00003826,0.62903173,2.14467161,0.01830258,0.14471934
2.83041521,2.27733043,0.50155778,0.00003715,0.59786498,2.10273282,0.01620730,0.13233614
2.83641821,2.21579151,0.47050219,0.00003613,0.56911062,2.06662069,0.01425070,0.12062700
2.84242121,2.16071567,0.44124909,0.00003518,0.54275351,2.03536454,0.01244226,0.10964733
2.84842421,2.11112377,0.41386352,0.00003430,0.51871060,2.00783876,0.01078741,0.09943364
2.85442721,2.06590514,0.38836004,0.00003346,0.49684329,1.98282710,0.00928786,0.09000547
2.86043022,2.02388456,0.36471116,0.00003264,0.47697094,1.95908800,0.00794213,0.08136748
2.86643322,1.98388843,0.34285654,0.00003182,0.45888519,1.93541834,0.00674600,0.07351188
2.87243622,1.94480726,0.32271258,0.00003098,0.44236435,1.91071294,0.00569306,0.06642087
2.87843922,1.90565227,0.30418205,0.00003011,0.42718744,1.88401741,0.00477526,0.06006910
2.88444222,1.86560392,0.28716318,0.00002919,0.41314733,1.85457265,0.00398337,0.05442602
2.89044522,1.82405102,0.27155831,0.00002822,0.40006274,1.82184950,0.00330750,0.04945810
2.89644822,1.78061936,0.25728145,0.00002719,0.38778858,1.78557273,0.00273751,0.04513085
2.90245123,1.73518944,0.24426496,0.00002610,0.37622466,1.74573399,0.00226336,0.04141052
2.90845423,1.68790336,0.23246497,0.00002495,0.36532248,1.70259392,0.00187545,0.03826566
2.91445723,1.63916136,0.22186570,0.00002374,0.35508999,1.65667389,0.00156487,0.03566826
2.92046023,1.58960879,0.21248251,0.00002250,0.34559452,1.60873851,0.00132358,0.03359470
2.92646323,1.54011492,0.20436388,0.00002121,0.33696380,1.55977002,0.00114458,0.03202639
2.93246623,1.49174474,0.19759215,0.00001991,0.32938513,1.51093613,0.00102200,0.03095019
2.93846923,1.44572536,0.19228336,0.00001861,0.32310297,1.46355289,0.00095119,0.03035851
2.94447224,1.40340868,0.18858600,0.00001732,0.31841503,1.41904421,0.00092869,0.03024932
2.95047524,1.36623162,0.18667892,0.00001605,0.31566697,1.37889969,0.00095229,0.03062584
2.95647824,1.33567559,0.18676835,0.00001483,0.31524588,1.34463223,0.00102097,0.03149616
2.96248124,1.31322630,0.18908412,0.00001367,0.31757271,1.31773665,0.00113487,0.03287270
2.96848424,1.30033494,0.19387513,0.00001259,0.32309370,1.29965065,0.00129518,0.03477153
2.97448724,1.29838177,0.20140404,0.00001159,0.33227089,1.29171880,0.00150414,0.03721161
2.98049025,1.30864261,0.21194120,0.00001069,0.34557187,1.29516040,0.00176485,0.04021391
2.98649325,1.33225860,0.22575797,0.00000989,0.36345864,1.31104148,0.00208119,0.04380051
2.99249625,1.37020965,0.24311919,0.00000921,0.38637585,1.34025130,0.00245766,0.04799358
2.99849925,1.42329146,0.26427511,0.00000866,0.41473829,1.38348331,0.00289921,0.05281429
3.00450225,1.49209606,0.28945267,0.00000822,0.44891788,1.44122046,0.00341105,0.05828169
3.01050525,1.57699583,0.31884632,0.00000791,0.48923009,1.51372464,0.00399841,0.06441148
3.01650825,1.67813071,0.35260844,0.00000772,0.53592017,1.60102990,0.00466634,0.07121473
3.02251126,1.79539841,0.39083963,0.00000766,0.58914926,1.70293915,0.00541935,0.07869655
3.02851426,1.92844747,0.43357906,0.00000772,0.64898083,1.81902397,0.00626123,0.08685475
3.03451726,2.07667314,0.48079520,0.00000789,0.71536775,1.94862720,0.00719464,0.09567839
3.04052026,2.23921600,0.53237720,0.00000817,0.78814051,2.09086812,0.00822088,0.10514648
3.04652326,2.41496340,0.58812747,0.00000855,0.86699710,2.24464995,0.00933953,0.11522661
3.05252626,2.60255409,0.64775563,0.00000902,0.95149518,2.40866970,0.01054823,0.12587378
3.05852926,2.80038615,0.71087444,0.00000957,1.04104712,2.58143034,0.01184237,0.13702944
3.06453227,3.00662864,0.77699806,0.00001019,1.13491845,2.76125530,0.01321490,0.14862063
3.07053527,3.21923752,0.84554295,0.00001087,1.23223039,2.94630563,0.01465621,0.16055965
3.07653827,3.43597598,0.91583178,0.00001160,1.33196678,3.13459983,0.01615408,0.17274399
3.08254127,3.65443970,0.98710060,0.00001236,1.43298584,3.32403669,0.01769366,0.18505678
3.08854427,3.87208719,1.05850920,0.00001314,1.53403685,3.51242120,0.01925763,0.19736775
3.09454727,4.08627529,1.12915490,0.00001392,1.63378167,3.69749366,0.02082643,0.20953478
3.10055028,4.29429964,1.19808938,0.00001469,1.73082087,3.87696194,0.02237858,0.22140596
3.10655328,4.49343974,1.26433823,0.00001544,1.82372392,4.04853666,0.02389115,0.23282229
3.11255628,4.68100793,1.32692294,0.00001615,1.91106266,4.20996903,0.02534024,0.24362081
3.11855928,4.85440133,1.38488435,0.00001681,1.99144696,4.35909063,0.02670164,0.25363824
