energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.92796398,1.32548848,-1.93186004,1.03007922,-2.42244034,0.41335857,-0.52119772,0.00744304,-0.00221778,0.30593993,-0.57699323,0.24859582,-0.30779099,0.07318971,-0.06387367,0.00968701,-0.00684897,0.51383305,-0.67379007
-5.92196098,1.29535779,-1.82429710,1.02121137,-2.22391383,0.39160021,-0.49942473,0.00823033,-0.00212710,0.29003985,-0.54133525,0.24455471,-0.29267086,0.07408862,-0.06270637,0.01053593,-0.00631948,0.51521207,-0.63936831
-5.91595798,1.27601645,-1.72833624,1.02026560,-2.03793874,0.37331321,-0.47976259,0.00908158,-0.00208078,0.27690770,-0.50754254,0.24201932,-0.28066486,0.07557800,-0.06224932,0.01152062,-0.00584225,0.52041733,-0.61092694
-5.90995498,1.26741693,-1.64553279,1.02695548,-1.86616977,0.35854719,-0.46273881,0.00999304,-0.00207915,0.26653946,-0.47617761,0.24098910,-0.27196251,0.07764554,-0.06253070,0.01264175,-0.00542138,0.52940410,-0.58888761
-5.90395198,1.26922297,-1.57715786,1.04078413,-1.70987290,0.34725680,-0.44881465,0.01095929,-0.00212248,0.25885597,-0.44772807,0.24141967,-0.26670003,0.08026391,-0.06356814,0.01389689,-0.00506048,0.54202622,-0.57356067
-5.89794897,1.28082255,-1.52418020,1.06105653,-1.56993142,0.33930727,-0.43837360,0.01197318,-0.00221095,0.25370850,-0.42259740,0.24322434,-0.26495952,0.08339111,-0.06536870,0.01528021,-0.00476264,0.55803796,-0.56514390
-5.89194597,1.30134809,-1.48725509,1.08689805,-1.44686157,0.33448210,-0.43171212,0.01302584,-0.00234456,0.25088609,-0.40109816,0.24627703,-0.26676890,0.08697117,-0.06792894,0.01678229,-0.00453051,0.57709883,-0.56372340
-5.88594297,1.32970333,-1.46672001,1.11727865,-1.34083611,0.33249260,-0.42903261,0.01410673,-0.00252319,0.25012432,-0.38344758,0.25041629,-0.27210250,0.09093522,-0.07123512,0.01839003,-0.00436633,0.59878103,-0.56927610
-5.87993997,1.36459587,-1.46259655,1.15104183,-1.25171405,0.33298898,-0.43043872,0.01520377,-0.00274650,0.25111512,-0.36976571,0.25545047,-0.28088209,0.09520300,-0.07526360,0.02008667,-0.00427200,0.62257959,-0.58167382
-5.87393697,1.40457458,-1.47459801,1.18693763,-1.17907470,0.33557256,-0.43593318,0.01630347,-0.00301394,0.25351741,-0.36007581,0.26116365,-0.29297848,0.09968459,-0.07998115,0.02185193,-0.00424918,0.64792458,-0.60068835
-5.86793397,1.44807067,-1.50214232,1.22365848,-1.12225455,0.33980876,-0.44541792,0.01739123,-0.00332471,0.25696827,-0.35430707,0.26732229,-0.30821332,0.10428251,-0.08534553,0.02366227,-0.00429940,0.67419543,-0.62599748
-5.86193097,1.49344142,-1.54436969,1.25987675,-1.08038519,0.34524059,-0.45869680,0.01845155,-0.00367777,0.26109422,-0.35229947,0.27368223,-0.32636142,0.10889403,-0.09130594,0.02549128,-0.00442417,0.70073669,-0.65719174
-5.85592796,1.53901536,-1.60016468,1.29428296,-1.05243139,0.35140214,-0.47548047,0.01946843,-0.00407178,0.26552241,-0.35381055,0.27999591,-0.34715340,0.11341368,-0.09780372,0.02731020,-0.00462502,0.72687498,-0.69378177
-5.84992496,1.58313770,-1.66818225,1.32562324,-1.03722794,0.35783180,-0.49539370,0.02042567,-0.00450518,0.26989128,-0.35852401,0.28601959,-0.37027884,0.11773588,-0.10477298,0.02908856,-0.00490365,0.75193666,-0.73520632
-5.84392196,1.62421466,-1.74687753,1.35273497,-1.03351480,0.36408496,-0.51798466,0.02130732,-0.00497613,0.27386063,-0.36605988,0.29152026,-0.39538993,0.12175757,-0.11214139,0.03079494,-0.00526195,0.77526565,-0.78084080
-5.83791896,1.66075570,-1.83453885,1.37457928,-1.03996979,0.36974559,-0.54273631,0.02209806,-0.00548259,0.27712053,-0.37598605,0.29628220,-0.42210582,0.12538093,-0.11983103,0.03239777,-0.00570201,0.79624092,-0.83000648
-5.83191596,1.69141219,-1.92932379,1.39026943,-1.05523870,0.37443678,-0.56907938,0.02278363,-0.00602233,0.27939904,-0.38783091,0.30011289,-0.45001759,0.12851587,-0.12775935,0.03386624,-0.00622617,0.81429320,-0.88198038
-5.82591296,1.71501158,-2.02929756,1.39909414,-1.07796250,0.37782959,-0.59640692,0.02335122,-0.00659296,0.28046850,-0.40109685,0.30284811,-0.47869402,0.13108247,-0.13584021,0.03517115,-0.00683692,0.82892034,-0.93600578
-5.81990995,1.73058606,-2.13247332,1.40053508,-1.10680174,0.37965035,-0.62408993,0.02378984,-0.00719200,0.28015010,-0.41527424,0.30435615,-0.50768808,0.13301303,-0.14398503,0.03628581,-0.00753683,0.83970082,-0.99130347
-5.81390695,1.73739475,-2.23685362,1.39427788,-1.14045818,0.37968591,-0.65149368,0.02409067,-0.00781692,0.27831684,-0.42985559,0.30454108,-0.53654415,0.13425389,-0.15210405,0.03718690,-0.00832841,0.84630504,-1.04708350
-5.80790395,1.73493889,-2.34047205,1.38021666,-1.17769362,0.37778697,-0.67799437,0.02424728,-0.00846512,0.27489458,-0.44434955,0.30334481,-0.56480586,0.13476685,-0.16010759,0.03785517,-0.00921398,0.84850395,-1.10255743
-5.80190095,1.72296959,-2.44143415,1.35845167,-1.21734623,0.37386931,-0.70299558,0.02425590,-0.00913405,0.26986145,-0.45829426,0.30074811,-0.59202434,0.13453011,-0.16790743,0.03827607,-0.01019535,0.84617479,-1.15695076
-5.79589795,1.70148790,-2.53795643,1.32928058,-1.25834425,0.36791298,-0.72594394,0.02411550,-0.00982114,0.26324547,-0.47126968,0.29677046,-0.61776678,0.13353873,-0.17541815,0.03844025,-0.01127367,0.83930362,-1.20951531
-5.78989495,1.67073738,-2.62840239,1.29318365,-1.29971710,0.35995952,-0.74634356,0.02382785,-0.01052384,0.25512073,-0.48290859,0.29146875,-0.64162496,0.13180468,-0.18255841,0.03834383,-0.01244907,0.82798465,-1.25954122
-5.78389195,1.63118952,-2.71131422,1.25080362,-1.34060406,0.35010743,-0.76376871,0.02339749,-0.01123956,0.24560222,-0.49290570,0.28493497,-0.66322348,0.12935626,-0.18925220,0.03798854,-0.01372039,0.81241633,-1.30636816
-5.77788894,1.58352261,-2.78543910,1.20292117,-1.38026008,0.33850605,-0.77787420,0.02283157,-0.01196562,0.23483953,-0.50102465,0.27729284,-0.68222743,0.12623713,-0.19542994,0.03738162,-0.01508484,0.79289428,-1.34939546
-5.77188594,1.52859495,-2.84974931,1.15042691,-1.41805902,0.32534807,-0.78840307,0.02213968,-0.01269922,0.22300990,-0.50710258,0.26869365,-0.69834913,0.12250484,-0.20102939,0.03653558,-0.01653775,0.76980137,-1.38809071
-5.76588294,1.46741334,-2.90345500,1.09429107,-1.45349386,0.31086122,-0.79519136,0.02133356,-0.01343729,0.21031067,-0.51105208,0.25931126,-0.71135370,0.11822899,-0.20599640,0.03546774,-0.01807222,0.74359525,-1.42199665
-5.75987994,1.40109832,-2.94600949,1.03553210,-1.48617403,0.29529911,-0.79816962,0.02042675,-0.01417641,0.19695167,-0.51286039,0.24933655,-0.72106330,0.11348903,-0.21028537,0.03419966,-0.01967896,0.71479374,-1.45073593
-5.75387694,1.33084709,-2.97710676,0.97518520,-1.51581981,0.27893198,-0.79736119,0.01943422,-0.01491272,0.18314773,-0.51258587,0.23897150,-0.72735968,0.10837181,-0.21385957,0.03275639,-0.02134608,0.68395866,-1.47401387
-5.74787394,1.25789578,-2.99667134,0.91427197,-1.54225379,0.26203734,-0.79287732,0.01837193,-0.01564180,0.16911160,-0.51035189,0.22842296,-0.73018509,0.10296897,-0.21669112,0.03116567,-0.02305902,0.65167859,-1.49161892
-5.74187094,1.18348221,-3.00484115,0.85377214,-1.56538967,0.24489111,-0.78490927,0.01725643,-0.01635857,0.15504764,-0.50633829,0.21789635,-0.72954156,0.09737427,-0.21876078,0.02945702,-0.02480055,0.61855121,-1.50342107
-5.73586793,1.10881037,-3.00194430,0.79459815,-1.58521870,0.22775937,-0.77371791,0.01610438,-0.01705724,0.14114627,-0.50077093,0.20758964,-0.72548835,0.09168088,-0.22005761,0.02766087,-0.02655090,0.58516579,-1.50936844
-5.72986493,1.03501795,-2.98847097,0.73757340,-1.60179427,0.21089105,-0.75962111,0.01493216,-0.01773129,0.12757954,-0.49390959,0.19768748,-0.71813806,0.08597891,-0.22057838,0.02580768,-0.02828799,0.55208651,-1.50948216
-5.72386193,0.96314759,-2.96504181,0.68341446,-1.61521517,0.19451172,-0.74297966,0.01375549,-0.01837349,0.11449771,-0.48603489,0.18835596,-0.70765135,0.08035298,-0.22032695,0.02392706,-0.02998779,0.51983701,-1.50385014
-5.71785893,0.89412285,-2.93237456,0.63271779,-1.62560829,0.17881867,-0.72418226,0.01258907,-0.01897590,0.10202704,-0.47743475,0.17973801,-0.69423060,0.07488019,-0.21931357,0.02204706,-0.03162479,0.48888680,-1.49261997
-5.71185593,0.82872941,-2.89125054,0.58595090,-1.63311160,0.16397725,-0.70363042,0.01144629,-0.01953009,0.09026859,-0.46839104,0.17194950,-0.67811293,0.06962836,-0.21755420,0.02019347,-0.03317256,0.45963995,-1.47599153
-5.70585293,0.76760174,-2.84248253,0.54344800,-1.63785813,0.15011861,-0.68172368,0.01033902,-0.02002724,0.07929810,-0.45916697,0.16507644,-0.65956274,0.06465471,-0.21506986,0.01838935,-0.03460448,0.43242622,-1.45420956
-5.69984992,0.71121542,-2.78688568,0.50541002,-1.63996184,0.13733873,-0.65884607,0.00927742,-0.02045837,0.06916671,-0.44999589,0.15917300,-0.63886422,0.06000486,-0.21188612,0.01665456,-0.03589438,0.40749504,-1.42755679
-5.69384692,0.65988506,-2.72525262,0.47190850,-1.63950620,0.12569867,-0.63535422,0.00826988,-0.02081463,0.05990256,-0.44107180,0.15426071,-0.61631408,0.05571237,-0.20803263,0.01500559,-0.03701741,0.38501237,-1.39634767
-5.68784392,0.61376747,-2.65833372,0.44289320,-1.63653598,0.11522596,-0.61156758,0.00732294,-0.02108757,0.05151283,-0.43254225,0.15032868,-0.59221475,0.05179860,-0.20354287,0.01345537,-0.03795075,0.36506040,-1.36092313
-5.68184092,0.57286956,-2.58682314,0.41820273,-1.63105284,0.10591689,-0.58776109,0.00644135,-0.02126948,0.04398638,-0.42450368,0.14733487,-0.56686841,0.04827304,-0.19845398,0.01201331,-0.03867440,0.34764010,-1.32164631
-5.67583792,0.53706058,-2.51135082,0.39757767,-1.62301502,0.09773969,-0.56416055,0.00562814,-0.02135368,0.03729650,-0.41699946,0.14520842,-0.54057174,0.04513401,-0.19280669,0.01068544,-0.03917188,0.33267632,-1.27889927
-5.66983492,0.50608776,-2.43248034,0.38067582,-1.61234100,0.09063820,-0.54094064,0.00488473,-0.02133484,0.03140394,-0.41002064,0.14385282,-0.51361177,0.04236962,-0.18664536,0.00947460,-0.03943079,0.32002517,-1.23308067
-5.66383192,0.47959480,-2.35071206,0.36708868,-1.59891711,0.08453607,-0.51822553,0.00421110,-0.02120924,0.02625980,-0.40350927,0.14314993,-0.48626259,0.03995904,-0.18001809,0.00838079,-0.03944334,0.30948344,-1.18460399
-5.65782891,0.45714224,-2.26649074,0.35635882,-1.58260855,0.07934115,-0.49609181,0.00360598,-0.02097500,0.02180834,-0.39736407,0.14296466,-0.45878311,0.03787401,-0.17297671,0.00740148,-0.03920662,0.30079942,-1.13389626
-5.65182591,0.43822898,-2.18021659,0.34799745,-1.56327315,0.07494994,-0.47457352,0.00306700,-0.02063224,0.01798958,-0.39144806,0.14315005,-0.43141554,0.03608044,-0.16557685,0.00653205,-0.03872280,0.29368492,-1.08139684
-5.64582291,0.42231415,-2.09225853,0.34150175,-1.54077698,0.07125208,-0.45366864,0.00259097,-0.02018317,0.01474157,-0.38559768,0.14355270,-0.40438467,0.03454007,-0.15787777,0.00576622,-0.03799910,0.28782782,-1.02755600
-5.63981991,0.40883858,-2.00296839,0.33637135,-1.51501083,0.06813447,-0.43334678,0.00217400,-0.01963210,0.01200236,-0.37963294,0.14401827,-0.37789764,0.03321221,-0.14994216,0.00509642,-0.03704759,0.28290477,-0.97283301
-5.63381691,0.39724511,-1.91269482,0.33212361,-1.48590659,0.06548514,-0.41355739,0.00181176,-0.01898536,0.00971163,-0.37336797,0.14439686,-0.35214409,0.03205537,-0.14183569,0.00451425,-0.03588486,0.27859362,-0.91769342
-5.62781391,0.38699726,-1.82179563,0.32830731,-1.45345215,0.06319675,-0.39423810,0.00149961,-0.01825121,0.00781196,-0.36662148,0.14454805,-0.32729650,0.03102881,-0.13362639,0.00401082,-0.03453145,0.27458494,-0.86260554
-5.62181091,0.37759579,-1.73064779,0.32451444,-1.41770416,0.06116955,-0.37532265,0.00123279,-0.01743954,0.00624978,-0.35922653,0.14434550,-0.30351057,0.03009392,-0.12538381,0.00357707,-0.03301128,0.27059263,-0.80803585
-5.61580790,0.36859253,-1.63965413,0.32038981,-1.37879748,0.05931374,-0.35674807,0.00100653,-0.01656164,0.00497600,-0.35103930,0.14368084,-0.28092553,0.02921543,-0.11717806,0.00320413,-0.03135084,0.26636289,-0.75444347
-5.60980490,0.35960159,-1.54924638,0.31563835,-1.33695068,0.05755147,-0.33846072,0.00081619,-0.01562989,0.00394643,-0.34194616,0.14246683,-0.25966419,0.02836239,-0.10907864,0.00288348,-0.02957845,0.26168163,-0.70227375
-5.60380190,0.35030753,-1.45988430,0.31003013,-1.29246719,0.05581808,-0.32042100,0.00065732,-0.01465733,0.00312189,-0.33186915,0.14063960,-0.23983288,0.02750891,-0.10115319,0.00260717,-0.02772336,0.25638004,-0.65195117
-5.59779890,0.34047054,-1.37205099,0.30340286,-1.24573175,0.05406292,-0.30260653,0.00052578,-0.01365738,0.00246823,-0.32076932,0.13816003,-0.22152097,0.02663472,-0.09346614,0.00236798,-0.02581495,0.25033822,-0.60387176
-5.59179590,0.32992885,-1.28624465,0.29566229,-1.19720235,0.05224965,-0.28501384,0.00041772,-0.01264336,0.00195617,-0.30864812,0.13501419,-0.20480022,0.02572541,-0.08607746,0.00215947,-0.02388194,0.24348693,-0.55839551
-5.58579290,0.31859845,-1.20296748,0.28678041,-1.14739784,0.05035607,-0.26765861,0.00032966,-0.01162823,0.00156104,-0.29554676,0.13121281,-0.18972396,0.02477252,-0.07904130,0.00197605,-0.02195163,0.23580758,-0.51583880
-5.57978989,0.30647044,-1.12271228,0.27679178,-1.09688201,0.04837356,-0.25057444,0.00025849,-0.01062420,0.00126243,-0.28154372,0.12679001,-0.17632610,0.02377340,-0.07240493,0.00181299,-0.02004929,0.22733055,-0.47646756
-5.57378689,0.29360639,-1.04594771,0.26578843,-1.04624476,0.04630624,-0.23381063,0.00020146,-0.00964248,0.00104392,-0.26675067,0.12180131,-0.16462013,0.02273090,-0.06620768,0.00166640,-0.01819763,0.21813213,-0.44049116
-5.56778389,0.28013211,-0.97310314,0.25391333,-0.99608139,0.04416980,-0.21742892,0.00015619,-0.00869305,0.00089265,-0.25130710,0.11632097,-0.15459822,0.02165297,-0.06048017,0.00153316,-0.01641640,0.20833026,-0.40805760
-5.56178089,0.26623025,-0.90455391,0.24135315,-0.94697114,0.04199021,-0.20149969,0.00012064,-0.00778446,0.00079900,-0.23537395,0.11043896,-0.14623055,0.02055207,-0.05524382,0.00141087,-0.01472213,0.19807945,-0.37925001
-5.55577789,0.25213220,-0.84060792,0.22833045,-0.89945607,0.03980238,-0.18609779,0.00009309,-0.00692377,0.00075625,-0.21912673,0.10425765,-0.13946493,0.01944462,-0.05051051,0.00129780,-0.01312797,0.18756515,-0.35408482
-5.54977489,0.23810959,-0.78149438,0.21509565,-0.85402132,0.03764862,-0.17129827,0.00007215,-0.00611648,0.00076032,-0.20274847,0.09788832,-0.13422685,0.01835031,-0.04628260,0.00119276,-0.01164371,0.17699779,-0.33251174
-5.54377189,0.22446585,-0.72735519,0.20191919,-0.81107783,0.03557732,-0.15717240,0.00005669,-0.00536651,0.00080947,-0.18642275,0.09144781,-0.13042005,0.01729150,-0.04255321,0.00109503,-0.01027582,0.16660683,-0.31441542
-5.53776888,0.21152815,-0.67823962,0.18908412,-0.77094838,0.03364153,-0.14378399,0.00004585,-0.00467630,0.00090410,-0.17032730,0.08505518,-0.12792760,0.01629255,-0.03930671,0.00100428,-0.00902771,0.15663503,-0.29961895
-5.53176588,0.19963973,-0.63410239,0.17687922,-0.73385750,0.03189770,-0.13118637,0.00003901,-0.00404693,0.00104658,-0.15462834,0.07882882,-0.12661372,0.01537928,-0.03651952,0.00092050,-0.00789995,0.14733301,-0.28788912
-5.52576288,0.18915309,-0.59480535,0.16559295,-0.69992588,0.03040456,-0.11942004,0.00003583,-0.00347817,0.00124106,-0.13947577,0.07288379,-0.12632600,0.01457839,-0.03416101,0.00084389,-0.00689059,0.13895437,-0.27894313
-5.51975988,0.18042371,-0.56012267,0.15550815,-0.66916934,0.02922203,-0.10851115,0.00003615,-0.00296873,0.00149337,-0.12499960,0.06732967,-0.12689837,0.01391699,-0.03219468,0.00077483,-0.00599558,0.13175128,-0.27245670
-5.51375688,0.17380463,-0.52974926,0.14689761,-0.64150235,0.02841034,-0.09847069,0.00004011,-0.00251639,0.00181093,-0.11130734,0.06226875,-0.12815452,0.01342218,-0.03057936,0.00071383,-0.00520913,0.12597058,-0.26807329
-5.50775388,0.16964151,-0.50331193,0.14002034,-0.61674584,0.02802911,-0.08929458,0.00004807,-0.00211821,0.00220260,-0.09848264,0.05779478,-0.12991174,0.01312067,-0.02927055,0.00066143,-0.00452409,0.12185038,-0.26541408
-5.50175088,0.16826822,-0.48038295,0.13511855,-0.59463880,0.02813660,-0.08096435,0.00006069,-0.00177066,0.00267865,-0.08658497,0.05399200,-0.13198514,0.01303839,-0.02822176,0.00061823,-0.00393234,0.11961695,-0.26408852
-5.49574787,0.17000268,-0.46049525,0.13241509,-0.57485303,0.02878890,-0.07344849,0.00007891,-0.00146986,0.00325066,-0.07565022,0.05093463,-0.13419201,0.01320022,-0.02738587,0.00058484,-0.00342516,0.11948190,-0.26370491
-5.48974487,0.17514279,-0.44315853,0.13211127,-0.55701009,0.03003919,-0.06670427,0.00010405,-0.00121168,0.00393142,-0.06569216,0.04868656,-0.13635624,0.01362965,-0.02671639,0.00056183,-0.00299355,0.12163948,-0.26388096
-5.48374187,0.18396229,-0.42787580,0.13438490,-0.54069986,0.03193691,-0.06067993,0.00013783,-0.00099191,0.00473487,-0.05670457,0.04730133,-0.13831261,0.01434845,-0.02616870,0.00054976,-0.00262851,0.12626376,-0.26425370
-5.47773887,0.19670647,-0.41415952,0.13938832,-0.52549942,0.03452689,-0.05531703,0.00018240,-0.00080637,0.00567599,-0.04866375,0.04682225,-0.13991088,0.01537636,-0.02570109,0.00054916,-0.00232127,0.13350586,-0.26448865
-5.47173587,0.21358760,-0.40154664,0.14724649,-0.51099170,0.03784845,-0.05055297,0.00024046,-0.00065100,0.00677071,-0.04153147,0.04728256,-0.14101934,0.01673075,-0.02527571,0.00056049,-0.00206350,0.14349091,-0.26428790
-5.46573287,0.23478006,-0.38961225,0.15805495,-0.49678284,0.04193442,-0.04632340,0.00031527,-0.00052197,0.00803579,-0.03525792,0.04870571,-0.14152789,0.01842623,-0.02485935,0.00058423,-0.00184747,0.15631489,-0.26339685
-5.45972986,0.26041542,-0.37798116,0.17187773,-0.48251760,0.04681016,-0.04256448,0.00041078,-0.00041569,0.00948874,-0.02978473,0.05110556,-0.14135043,0.02047428,-0.02442399,0.00062077,-0.00166611,0.17204136,-0.26160944
-5.45372686,0.29057748,-0.36633713,0.18874523,-0.46789232,0.05249255,-0.03921498,0.00053165,-0.00032890,0.01114768,-0.02504784,0.05448666,-0.14042645,0.02288292,-0.02394724,0.00067050,-0.00151315,0.19069821,-0.25877179
-5.44772386,0.32529752,-0.35442967,0.20865222,-0.45266489,0.05898908,-0.03621801,0.00068333,-0.00025864,0.01303129,-0.02098012,0.05884438,-0.13872187,0.02565631,-0.02341255,0.00073380,-0.00138309,0.21227457,-0.25478421
-5.44172086,0.36455025,-0.34207814,0.23155618,-0.43666153,0.06629701,-0.03352245,0.00087210,-0.00020233,0.01515863,-0.01751371,0.06416521,-0.13622900,0.02879449,-0.02280924,0.00081104,-0.00127123,0.23671820,-0.24960148
-5.43571786,0.40825061,-0.32917339,0.25737600,-0.41978044,0.07440275,-0.03108407,0.00110514,-0.00015769,0.01754910,-0.01458200,0.07042689,-0.13296577,0.03229311,-0.02213240,0.00090258,-0.00117366,0.26393338,-0.24323165
-5.42971486,0.45625179,-0.31567701,0.28599150,-0.40199219,0.08328148,-0.02886621,0.00139048,-0.00012278,0.02022226,-0.01212127,0.07759879,-0.12897412,0.03614333,-0.02138263,0.00100883,-0.00108719,0.29377989,-0.23573339
-5.42371186,0.50834497,-0.30161848,0.31724378,-0.38333735,0.09289704,-0.02684030,0.00173700,-0.00009600,0.02319778,-0.01007193,0.08564223,-0.12431785,0.04033177,-0.02056567,0.00113022,-0.00100932,0.32607301,-0.22721217
-5.41770885,0.56426085,-0.28709054,0.35093667,-0.36392157,0.10320225,-0.02498590,0.00215438,-0.00007605,0.02649522,-0.00837948,0.09451104,-0.11907984,0.04484065,-0.01969193,0.00126727,-0.00093815,0.36058497,-0.21781543
-5.41170585,0.62367323,-0.27224328,0.38683938,-0.34390869,0.11413955,-0.02329066,0.00265296,-0.00006191,0.03013389,-0.00699509,0.10415220,-0.11335896,0.04964802,-0.01877599,0.00142056,-0.00087236,0.39704787,-0.20772710
-5.40570285,0.68620481,-0.25727719,0.42469049,-0.32351234,0.12564206,-0.02175000,0.00324357,-0.00005287,0.03413256,-0.00587600,0.11450672,-0.10726669,0.05472824,-0.01783600,0.00159081,-0.00081106,0.43515827,-0.19716166
-5.39969985,0.75143494,-0.24243582,0.46420310,-0.30298662,0.13763508,-0.02036667,0.00393731,-0.00004847,0.03850918,-0.00498559,0.12551060,-0.10092365,0.06005247,-0.01689316,0.00177888,-0.00075379,0.47458334,-0.18635809
-5.39369685,0.81890935,-0.22799819,0.50507124,-0.28261640,0.15003790,-0.01915020,0.00474527,-0.00004855,0.04328046,-0.00429340,0.13709605,-0.09445623,0.06558939,-0.01597117,0.00198580,-0.00070042,0.51496853,-0.17557388
-5.38769385,0.88815140,-0.21427145,0.54697716,-0.26270769,0.16276587,-0.01811630,0.00567818,-0.00005322,0.04846135,-0.00377490,0.14919271,-0.08799337,0.07130595,-0.01509570,0.00221281,-0.00065109,0.55594646,-0.16507942
-5.38169085,0.95867430,-0.20158401,0.58959942,-0.24357855,0.17573275,-0.01728620,0.00674595,-0.00006291,0.05406444,-0.00341126,0.16172902,-0.08166365,0.07716826,-0.01429393,0.00246137,-0.00060615,0.59714681,-0.15515282
-5.37568784,1.02999403,-0.19027931,0.63262123,-0.22555079,0.18885308,-0.01668605,0.00795728,-0.00007834,0.06009919,-0.00318897,0.17463354,-0.07559277,0.08314237,-0.01359419,0.00273322,-0.00056613,0.63820682,-0.14607530
-5.36968484,1.10164203,-0.18071021,0.67573890,-0.20894278,0.20204458,-0.01634620,0.00931913,-0.00010062,0.06657110,-0.00309953,0.18783621,-0.06990145,0.08919516,-0.01302559,0.00303034,-0.00053168,0.67878181,-0.13812722
-5.36368184,1.17317724,-0.17323425,0.71866981,-0.19406338,0.21523043,-0.01630059,0.01083617,-0.00013122,0.07348078,-0.00313908,0.20126949,-0.06470378,0.09529503,-0.01261773,0.00335502,-0.00050352,0.71855544,-0.13158473
-5.35767884,1.24419681,-0.16820936,0.76115959,-0.18120708,0.22834125,-0.01658608,0.01251030,-0.00017207,0.08082292,-0.00330798,0.21486932,-0.06010604,0.10141254,-0.01240049,0.00370982,-0.00048247,0.75724905,-0.12671690
-5.35167584,1.31434492,-0.16599014,0.80298824,-0.17065014,0.24131682,-0.01724174,0.01434012,-0.00022561,0.08858533,-0.00361050,0.22857584,-0.05620587,0.10752089,-0.01240378,0.00409757,-0.00046936,0.79462972,-0.12378324
-5.34567284,1.38331938,-0.16692427,0.84397475,-0.16264779,0.25410730,-0.01830811,0.01632046,-0.00029481,0.09674792,-0.00405444,0.24233387,-0.05309185,0.11359618,-0.01265739,0.00452132,-0.00046505,0.83051666,-0.12303146
