energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.57378689,0.86148985,0.17432167,0.60211057,0.00004721,0.02407133,0.00083077,0.20300023,0.08955340,0.05876899
-5.56778389,0.86127014,0.17237515,0.59952564,0.00003687,0.02518472,0.00097601,0.20199248,0.09297990,0.05880174
-5.56178089,0.86187831,0.17036785,0.59707221,0.00002860,0.02645041,0.00113913,0.20116109,0.09689619,0.05903407
-5.55577789,0.86361358,0.16836608,0.59493570,0.00002205,0.02788060,0.00132051,0.20058876,0.10134039,0.05949698
-5.54977489,0.86676166,0.16643398,0.59330675,0.00001688,0.02948422,0.00152022,0.20035106,0.10633973,0.06021601
-5.54377189,0.87158096,0.16463122,0.59237272,0.00001286,0.03126627,0.00173788,0.20051334,0.11190812,0.06121011
-5.53776888,0.87828922,0.16301071,0.59230903,0.00000974,0.03322713,0.00197270,0.20112765,0.11804383,0.06249063
-5.53176588,0.88705109,0.16161643,0.59327096,0.00000736,0.03536205,0.00222336,0.20223004,0.12472756,0.06406057
-5.52576288,0.89796741,0.16048154,0.59538620,0.00000557,0.03766080,0.00248803,0.20383827,0.13192101,0.06591395
-5.51975988,0.91106705,0.15962675,0.59874885,0.00000425,0.04010739,0.00276432,0.20595003,0.13956602,0.06803552
-5.51375688,0.92630174,0.15905915,0.60341508,0.00000331,0.04268012,0.00304932,0.20854195,0.14758442,0.07040077
-5.50775388,0.94354464,0.15877163,0.60940097,0.00000270,0.04535182,0.00333963,0.21156937,0.15587873,0.07297629
-5.50175088,0.96259291,0.15874283,0.61668281,0.00000236,0.04809035,0.00363136,0.21496709,0.16433365,0.07572044
-5.49574787,0.98317457,0.15893780,0.62519988,0.00000229,0.05085930,0.00392027,0.21865096,0.17281851,0.07858448
-5.48974487,1.00495955,0.15930928,0.63485984,0.00000248,0.05361904,0.00420182,0.22252056,0.18119043,0.08151394
-5.48374187,1.02757457,0.15979969,0.64554647,0.00000296,0.05632788,0.00447129,0.22646266,0.18929839,0.08445042
-5.47773887,1.05062147,0.16034363,0.65712948,0.00000377,0.05894346,0.00472390,0.23035549,0.19698780,0.08733354
-5.47173587,1.07369799,0.16087089,0.66947590,0.00000500,0.06142424,0.00495499,0.23407368,0.20410563,0.09010317
-5.46573287,1.09642012,0.16130986,0.68246233,0.00000677,0.06373105,0.00516010,0.23749352,0.21050570,0.09270176
-5.45972986,1.11844483,0.16159107,0.69598751,0.00000921,0.06582862,0.00533516,0.24049853,0.21605408,0.09507664
-5.45372686,1.13949196,0.16165084,0.70998429,0.00001254,0.06768697,0.00547659,0.24298482,0.22063425,0.09718227
-5.44772386,1.15936398,0.16143469,0.72443023,0.00001701,0.06928274,0.00558147,0.24486622,0.22415178,0.09898231
-5.44172086,1.17796250,0.16090048,0.73935619,0.00002296,0.07060014,0.00564757,0.24607878,0.22653832,0.10045140
-5.43571786,1.19530051,0.16002115,0.75485217,0.00003081,0.07163166,0.00567353,0.24658447,0.22775482,0.10157657
-5.42971486,1.21150946,0.15878668,0.77106998,0.00004107,0.07237847,0.00565879,0.24637390,0.22779355,0.10235824
-5.42371186,1.22684081,0.15720550,0.78822240,0.00005439,0.07285035,0.00560372,0.24546791,0.22667916,0.10281075
-5.41770885,1.24166166,0.15530510,0.80657866,0.00007154,0.07306529,0.00550954,0.24391806,0.22446849,0.10296237
-5.41170585,1.25644478,0.15313179,0.82645648,0.00009346,0.07304872,0.00537832,0.24180582,0.22124925,0.10285489
-5.40570285,1.27175331,0.15074981,0.84821092,0.00012126,0.07283236,0.00521290,0.23924071,0.21713759,0.10254270
-5.39969985,1.28822101,0.14823968,0.87222050,0.00015627,0.07245283,0.00501677,0.23635745,0.21227482,0.10209147
-5.39369685,1.30652900,0.14569596,0.89887143,0.00020002,0.07194995,0.00479400,0.23331214,0.20682325,0.10157654
-5.38769385,1.32738020,0.14322456,0.92854067,0.00025428,0.07136502,0.00454909,0.23027793,0.20096150,0.10108098
-5.38169085,1.35147272,0.14093967,0.96157865,0.00032107,0.07073894,0.00428685,0.22744012,0.19487946,0.10069358
-5.37568784,1.37947361,0.13896048,0.99829268,0.00040269,0.07011046,0.00401222,0.22499106,0.18877310,0.10050663
-5.36968484,1.41199410,0.13740789,1.03893183,0.00050166,0.06951447,0.00373020,0.22312507,0.18283929,0.10061386
-5.36368184,1.44956752,0.13640115,1.08367399,0.00062077,0.06898056,0.00344568,0.22203344,0.17727098,0.10110828
-5.35767884,1.49263078,0.13605479,1.13261579,0.00076304,0.06853186,0.00316333,0.22189975,0.17225265,0.10208027
-5.35167584,1.54151011,0.13647566,1.18576584,0.00093167,0.06818420,0.00288755,0.22289568,0.16795641,0.10361582
-5.34567284,1.59641136,0.13776039,1.24304143,0.00113003,0.06794561,0.00262235,0.22517718,0.16453849,0.10579488
-5.33966983,1.65741494,0.13999298,1.30426875,0.00136156,0.06781625,0.00237131,0.22888128,0.16213657,0.10869001
-5.33366683,1.72447536,0.14324296,1.36918644,0.00162973,0.06778867,0.00213758,0.23412334,0.16086748,0.11236518
-5.32766383,1.79742463,0.14756365,1.43745212,0.00193792,0.06784849,0.00192382,0.24099478,0.16082559,0.11687468
-5.32166083,1.87597922,0.15299082,1.50865136,0.00228933,0.06797530,0.00173226,0.24956126,0.16208167,0.12226227
-5.31565783,1.95974948,0.15954162,1.58230841,0.00268684,0.06814390,0.00156466,0.25986126,0.16468215,0.12856037
-5.30965483,2.04825097,0.16721377,1.65789812,0.00313291,0.06832563,0.00142239,0.27190492,0.16864871,0.13578936
-5.30365183,2.14091661,0.17598486,1.73485814,0.00362941,0.06848994,0.00130643,0.28567320,0.17397819,0.14395696
-5.29764882,2.23710905,0.18581207,1.81260107,0.00417752,0.06860585,0.00121746,0.30111730,0.18064274,0.15305761
-5.29164582,2.33613255,0.19663194,1.89052560,0.00477753,0.06864347,0.00115583,0.31815830,0.18859006,0.16307199
-5.28564282,2.43724390,0.20836052,1.96802657,0.00542878,0.06857538,0.00112165,0.33668720,0.19774399,0.17396652
-5.27963982,2.53966205,0.22089374,2.04450337,0.00612951,0.06837785,0.00111479,0.35656518,0.20800521,0.18569301
-5.27363682,2.64257652,0.23410817,2.11936677,0.00687675,0.06803180,0.00113490,0.37762434,0.21925219,0.19818837
-5.26763382,2.74515449,0.24786218,2.19204409,0.00766629,0.06752359,0.00118144,0.39966897,0.23134247,0.21137460
-5.26163082,2.84654707,0.26199747,2.26198292,0.00849260,0.06684548,0.00125367,0.42247734,0.24411433,0.22515885
-5.25562781,2.94589506,0.27634118,2.32865379,0.00934888,0.06599581,0.00135064,0.44580420,0.25738881,0.23943389
-5.24962481,3.04233472,0.29070846,2.39155203,0.01022706,0.06497898,0.00147118,0.46938393,0.27097225,0.25407874
-5.24362181,3.13500403,0.30490556,2.45019946,0.01111792,0.06380515,0.00161389,0.49293446,0.28465933,0.26895977
-5.23761881,3.22305007,0.31873342,2.50414612,0.01201118,0.06248970,0.00177712,0.51616193,0.29823661,0.28393211
-5.23161581,3.30563774,0.33199168,2.55297269,0.01289572,0.06105261,0.00195897,0.53876596,0.31148654,0.29884144
-5.22561281,3.38196021,0.34448306,2.59629362,0.01375977,0.05951766,0.00215724,0.56044551,0.32419190,0.31352623
-5.21960980,3.45125114,0.35601800,2.63376150,0.01459116,0.05791156,0.00236949,0.58090521,0.33614062,0.32782026
-5.21360680,3.51279859,0.36641934,2.66507236,0.01537759,0.05626311,0.00259300,0.59986195,0.34713071,0.34155559
-5.20760380,3.56596032,0.37552702,2.68997210,0.01610696,0.05460234,0.00282483,0.61705150,0.35697533,0.35456569
-5.20160080,3.61018002,0.38320257,2.70826370,0.01676764,0.05295971,0.00306184,0.63223501,0.36550770,0.36668896
-5.19559780,3.64500385,0.38933323,2.71981473,0.01734881,0.05136545,0.00330076,0.64520523,0.37258577,0.37777225
-5.18959480,3.67009647,0.39383553,2.72456496,0.01784075,0.04984896,0.00353826,0.65579200,0.37809637,0.38767451
-5.18359180,3.68525590,0.39665829,2.72253331,0.01823513,0.04843841,0.00377100,0.66386708,0.38195877,0.39627043
-5.17758879,3.69042625,0.39778482,2.71382369,0.01852521,0.04716043,0.00399578,0.66934804,0.38412748,0.40345382
-5.17158579,3.68570759,0.39723432,2.69862925,0.01870611,0.04603994,0.00420961,0.67220096,0.38459409,0.40914085
