energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-3.49674837,3.58233745,0.01848420,0.83667514,0.08163792,1.08987666,1.26049677,0.68717729
-3.49074537,3.58821370,0.01759227,0.84570456,0.08330019,1.08130876,1.26258454,0.68852737
-3.48474237,3.59279924,0.01672564,0.85399788,0.08496867,1.07310997,1.26473910,0.68954946
-3.47873937,3.59600855,0.01590075,0.86145742,0.08663941,1.06536224,1.26689578,0.69021832
-3.47273637,3.59779302,0.01513208,0.86800353,0.08830606,1.05814384,1.26902349,0.69052002
-3.46673337,3.59816494,0.01443206,0.87358045,0.08996031,1.05153665,1.27113604,0.69045691
-3.46073037,3.59722048,0.01381101,0.87816175,0.09159259,1.04563367,1.27330161,0.69005238
-3.45472736,3.59516088,0.01327727,0.88175510,0.09319289,1.04054609,1.27564998,0.68935513
-3.44872436,3.59231141,0.01283740,0.88440655,0.09475182,1.03640997,1.27837732,0.68844297
-3.44272136,3.58913738,0.01249647,0.88620405,0.09626166,1.03339194,1.28174831,0.68742606
-3.43671836,3.58625651,0.01225840,0.88728021,0.09771761,1.03169372,1.28609548,0.68644929
-3.43071536,3.58444699,0.01212635,0.88781412,0.09911889,1.03155510,1.29181570,0.68569401
-3.42471236,3.58465032,0.01210309,0.88803216,0.10046990,1.03325508,1.29936370,0.68537857
-3.41870935,3.58796805,0.01219142,0.88820745,0.10178111,1.03711080,1.30924266,0.68575782
-3.41270635,3.59565178,0.01239440,0.88865793,0.10306975,1.04347403,1.32199186,0.68712123
-3.40670335,3.60908543,0.01271571,0.88974270,0.10436024,1.05272513,1.33817160,0.68978946
-3.40070035,3.62975960,0.01315972,0.89185655,0.10568420,1.06526428,1.35834556,0.69410939
-3.39469735,3.65923753,0.01373156,0.89542249,0.10708009,1.08150006,1.38306099,0.70044735
-3.38869435,3.69911306,0.01443709,0.90088221,0.10859236,1.10183566,1.41282728,0.70918067
-3.38269135,3.75096127,0.01528268,0.90868466,0.11027018,1.12665301,1.44809351,0.72068755
-3.37668834,3.81628277,0.01627491,0.91927275,0.11216582,1.15629538,1.48922584,0.73533548
-3.37068534,3.89644380,0.01742016,0.93306863,0.11433248,1.19104914,1.53648578,0.75346846
