energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,Te_p_up,Te_d_up
-4.96748374,5.24170177,1.11833359,4.02068009,0.08383138,0.00000000,0.79273339,0.00000000
-4.96148074,4.96238021,1.04362211,3.80093095,0.07860687,0.00000000,0.75469823,0.00000000
-4.95547774,4.69877768,0.97741257,3.59164252,0.07408785,0.00000000,0.71928264,0.00000000
-4.94947474,4.45384188,0.92029025,3.39516547,0.07030821,0.00000000,0.68691959,0.00000000
-4.94347174,4.22992041,0.87264141,3.21339312,0.06728627,0.00000000,0.65796252,0.00000000
-4.93746873,4.02875017,0.83465922,3.04774752,0.06502552,0.00000000,0.63268653,0.00000000
-4.93146573,3.85146658,0.80635390,2.89918178,0.06351568,0.00000000,0.61129172,0.00000000
-4.92546273,3.69863048,0.78756645,2.76819714,0.06273392,0.00000000,0.59390819,0.00000000
-4.91945973,3.57026990,0.77798547,2.65487270,0.06264641,0.00000000,0.58060242,0.00000000
-4.91345673,3.46593372,0.77716631,2.55890546,0.06320992,0.00000000,0.57138439,0.00000000
-4.90745373,3.38475421,0.78455204,2.47965811,0.06437363,0.00000000,0.56621511,0.00000000
-4.90145073,3.32551533,0.79949564,2.41621234,0.06608094,0.00000000,0.56501413,0.00000000
-4.89544772,3.28672400,0.82128266,2.36742506,0.06827139,0.00000000,0.56766673,0.00000000
-4.88944472,3.26668174,0.84915402,2.33198553,0.07088246,0.00000000,0.57403056,0.00000000
-4.88344172,3.26355424,0.88232808,2.30847129,0.07385144,0.00000000,0.58394146,0.00000000
-4.87743872,3.27543689,0.92002155,2.29540140,0.07711706,0.00000000,0.59721845,0.00000000
-4.87143572,3.30041468,0.96146872,2.29128527,0.08062104,0.00000000,0.61366774,0.00000000
-4.86543272,3.33661484,1.00593835,2.29466619,0.08430939,0.00000000,0.63308582,0.00000000
-4.85942971,3.38225132,1.05274785,2.30415837,0.08813349,0.00000000,0.65526159,0.00000000
-4.85342671,3.43566022,1.10127427,2.31847708,0.09205081,0.00000000,0.67997763,0.00000000
-4.84742371,3.49532570,1.15096188,2.33646126,0.09602538,0.00000000,0.70701070,0.00000000
-4.84142071,3.55989613,1.20132608,2.35708856,0.10002789,0.00000000,0.73613156,0.00000000
-4.83541771,3.62819059,1.25195367,2.37948278,0.10403537,0.00000000,0.76710425,0.00000000
-4.82941471,3.69919614,1.30249959,2.40291407,0.10803066,0.00000000,0.79968488,0.00000000
-4.82341171,3.77205668,1.35268040,2.42679243,0.11200148,0.00000000,0.83362030,0.00000000
-4.81740870,3.84605434,1.40226512,2.45065530,0.11593928,0.00000000,0.86864654,0.00000000
-4.81140570,3.92058488,1.45106390,2.47415025,0.11983795,0.00000000,0.90448742,0.00000000
-4.80540270,3.99512880,1.49891544,2.49701387,0.12369231,0.00000000,0.94085340,0.00000000
-4.79939970,4.06921994,1.54567397,2.51904848,0.12749672,0.00000000,0.97744098,0.00000000
-4.79339670,4.14241368,1.59119667,2.54009771,0.13124365,0.00000000,1.01393265,0.00000000
-4.78739370,4.21425676,1.63533252,2.56002279,0.13492255,0.00000000,1.04999787,0.00000000
-4.78139070,4.28426082,1.67791335,2.57868076,0.13851885,0.00000000,1.08529490,0.00000000
-4.77538769,4.35188131,1.71874781,2.59590601,0.14201341,0.00000000,1.11947390,0.00000000
-4.76938469,4.41650358,1.75761875,2.61149616,0.14538229,0.00000000,1.15218116,0.00000000
-4.76338169,4.47743699,1.79428433,2.62520321,0.14859696,0.00000000,1.18306454,0.00000000
-4.75737869,4.53391791,1.82848292,2.63673049,0.15162494,0.00000000,1.21178009,0.00000000
-4.75137569,4.58512157,1.85994139,2.64573541,0.15443087,0.00000000,1.23799958,0.00000000
-4.74537269,4.63018230,1.88838659,2.65183802,0.15697787,0.00000000,1.26141873,0.00000000
-4.73936968,4.66822120,1.91355888,2.65463452,0.15922920,0.00000000,1.28176592,0.00000000
-4.73336668,4.69837953,1.93522717,2.65371508,0.16115018,0.00000000,1.29881082,0.00000000
-4.72736368,4.71985587,1.95320412,2.64868453,0.16271005,0.00000000,1.31237256,0.00000000
-4.72136068,4.73194482,1.96736050,2.63918466,0.16388386,0.00000000,1.32232705,0.00000000
-4.71535768,4.73407457,1.97763753,2.62491652,0.16465420,0.00000000,1.32861281,0.00000000
-4.70935468,4.72584099,1.98405619,2.60566126,0.16501263,0.00000000,1.33123498,0.00000000
-4.70335168,4.70703584,1.98672267,2.58129804,0.16496074,0.00000000,1.33026711,0.00000000
-4.69734867,4.67766697,1.98582930,2.55181769,0.16451075,0.00000000,1.32585039,0.00000000
