energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-5.23161581,9.72938234,1.34713066,7.61500865,0.03030244,0.17336476,0.86615378,0.46049074,0.06233122,1.25431898
-5.22561281,9.68319239,1.33584431,7.56977014,0.03095996,0.16849233,0.85532120,0.46561003,0.06410753,1.25516627
-5.21960980,9.65168575,1.32775527,7.53498639,0.03163031,0.16425883,0.84755169,0.47189352,0.06600831,1.25758753
-5.21360680,9.63627503,1.32281425,7.51210424,0.03230772,0.16068414,0.84276811,0.47933837,0.06802291,1.26158911
-5.20760380,9.63794842,1.32089667,7.50224417,0.03298646,0.15777423,0.84084676,0.48791582,0.07013769,1.26713609
-5.20160080,9.65722623,1.32180544,7.50615687,0.03366100,0.15552108,0.84162066,0.49757084,0.07233614,1.27415067
-5.19559780,9.69413287,1.32527580,7.52419211,0.03432598,0.15390302,0.84488393,0.50822251,0.07459893,1.28251205
-5.18959480,9.74818504,1.33098206,7.55628084,0.03497631,0.15288544,0.85039694,0.51976533,0.07690417,1.29205794
-5.18359180,9.81839648,1.33854608,7.60193113,0.03560715,0.15242173,0.85789214,0.53207109,0.07922769,1.30258746
-5.17758879,9.90329910,1.34754697,7.66023813,0.03621398,0.15245459,0.86708027,0.54499152,0.08154349,1.31386543
-5.17158579,10.00097943,1.35753192,7.72990735,0.03679258,0.15291759,0.87765671,0.55836148,0.08382409,1.32562773
-5.16558279,10.10912919,1.36802762,7.80929059,0.03733900,0.15373688,0.88930787,0.57200254,0.08604114,1.33758766
-5.15957979,10.22510784,1.37855201,7.89643293,0.03784961,0.15483313,0.90171734,0.58572700,0.08816593,1.34944292
-5.15357679,10.34601503,1.38862613,7.98912899,0.03832100,0.15612355,0.91457168,0.59934202,0.09016998,1.36088304
-5.14757379,10.46877008,1.39778554,8.08498639,0.03875001,0.15752399,0.92756570,0.61265389,0.09202564,1.37159692
-5.14157079,10.59019584,1.40559116,8.18149404,0.03913366,0.15895109,0.94040715,0.62547224,0.09370671,1.38128023
-5.13556778,10.70710395,1.41163926,8.27609276,0.03946917,0.16032433,0.95282069,0.63761405,0.09518897,1.38964254
-5.12956478,10.81637853,1.41557029,8.36624574,0.03975388,0.16156805,0.96455124,0.64890744,0.09645077,1.39641371
-5.12356178,10.91505584,1.41707645,8.44950655,0.03998525,0.16261328,0.97536648,0.65919504,0.09747345,1.40134973
-5.11755878,11.00039722,1.41590778,8.52358246,0.04016089,0.16339943,0.98505882,0.66833693,0.09824178,1.40423750
-5.11155578,11.06995355,1.41187674,8.58639118,0.04027852,0.16387570,0.99344658,0.67621305,0.09874429,1.40489878
-5.10555278,11.12161928,1.40486115,8.63610949,0.04033600,0.16400222,1.00037474,0.68272511,0.09897350,1.40319306
-5.09954977,11.15367525,1.39480555,8.67121268,0.04033137,0.16375092,1.00571516,0.68779783,0.09892606,1.39901949
-5.09354677,11.16481933,1.38172097,8.69050395,0.04026289,0.16310598,1.00936645,0.69137971,0.09860279,1.39231781
-5.08754377,11.15418490,1.36568329,8.69313364,0.04012909,0.16206406,1.01125361,0.69344313,0.09800861,1.38306848
-5.08154077,11.12134725,1.34683007,8.67860809,0.03992886,0.16063402,1.01132745,0.69398404,0.09715244,1.37129192
-5.07553777,11.06631871,1.32535625,8.64678882,0.03966152,0.15883646,1.00956398,0.69302100,0.09604692,1.35704722
-5.06953477,10.98953315,1.30150873,8.59788244,0.03932691,0.15670284,1.00596376,0.69059396,0.09470812,1.34043013
-5.06353177,10.89182115,1.27558001,8.53242235,0.03892548,0.15427429,1.00055120,0.68676254,0.09315516,1.32157069
