energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-5.31565783,2.45183276,0.68991964,0.36746920,0.00067522,0.06283766,0.26564833,1.33492321,1.12301911,0.00000000
-5.30965483,2.38227596,0.65062605,0.35329304,0.00063428,0.05979209,0.25603317,1.31808192,1.07910540,0.00000000
-5.30365183,2.31125101,0.61142957,0.33867876,0.00059266,0.05657388,0.24654753,1.30128222,1.03343601,0.00000000
-5.29764882,2.23988242,0.57273663,0.32385287,0.00055071,0.05322726,0.23731086,1.28491207,0.98670720,0.00000000
-5.29164582,2.16921480,0.53492980,0.30902914,0.00050876,0.04979678,0.22843244,1.26930134,0.93959848,0.00000000
-5.28564282,2.10018334,0.49835916,0.29440309,0.00046719,0.04632619,0.22000834,1.25471116,0.89275340,0.00000000
-5.27963982,2.03358953,0.46333477,0.28014735,0.00042637,0.04285735,0.21211898,1.24132621,0.84676228,0.00000000
-5.27363682,1.97008269,0.43012045,0.26640814,0.00038665,0.03942931,0.20482723,1.22925037,0.80214767,0.00000000
-5.26763382,1.91014786,0.39892918,0.25330287,0.00034838,0.03607753,0.19817720,1.21850547,0.75935269,0.00000000
-5.26163082,1.85410025,0.36992000,0.24091886,0.00031184,0.03283324,0.19219359,1.20903334,0.71873291,0.00000000
-5.25562781,1.80208594,0.34319676,0.22931319,0.00027728,0.02972303,0.18688172,1.20070074,0.68055163,0.00000000
-5.24962481,1.75408870,0.31880846,0.21851369,0.00024489,0.02676860,0.18222814,1.19330692,0.64497872,0.00000000
-5.24362181,1.70994209,0.29675125,0.20852075,0.00021481,0.02398668,0.17820174,1.18659334,0.61209279,0.00000000
-5.23761881,1.66934621,0.27697191,0.19931001,0.00018713,0.02138915,0.17475539,1.18025501,0.58188649,0.00000000
-5.23161581,1.63188805,0.25937269,0.19083574,0.00016190,0.01898327,0.17182788,1.17395302,0.55427441,0.00000000
-5.22561281,1.59706451,0.24381715,0.18303464,0.00013910,0.01677205,0.16934625,1.16732759,0.52910332,0.00000000
-5.21960980,1.56430707,0.23013698,0.17582995,0.00011867,0.01475467,0.16722834,1.16001118,0.50616398,0.00000000
-5.21360680,1.53300695,0.21813929,0.16913572,0.00010054,0.01292707,0.16538549,1.15164117,0.48520414,0.00000000
-5.20760380,1.50254000,0.20761424,0.16286099,0.00008457,0.01128243,0.16372524,1.14187166,0.46594199,0.00000000
-5.20160080,1.47229027,0.19834267,0.15691380,0.00007064,0.00981177,0.16215414,1.13038417,0.44807967,0.00000000
-5.19559780,1.44167168,0.19010355,0.15120490,0.00005859,0.00850449,0.16058038,1.11689672,0.43131618,0.00000000
-5.18959480,1.41014705,0.18268080,0.14565095,0.00004825,0.00734889,0.15891631,1.10117145,0.41535932,0.00000000
-5.18359180,1.37724415,0.17586958,0.14017728,0.00003945,0.00633262,0.15708076,1.08302040,0.39993624,0.00000000
-5.17758879,1.34256841,0.16948157,0.13471999,0.00003203,0.00544312,0.15500110,1.06230964,0.38480224,0.00000000
-5.17158579,1.30581216,0.16334931,0.12922755,0.00002582,0.00466796,0.15261497,1.03896158,0.36974781,0.00000000
-5.16558279,1.26676040,0.15732948,0.12366166,0.00002066,0.00399508,0.14987167,1.01295581,0.35460352,0.00000000
-5.15957979,1.22529315,0.15130497,0.11799761,0.00001642,0.00341308,0.14673320,0.98432833,0.33924295,0.00000000
-5.15357679,1.18138467,0.14518593,0.11222406,0.00001295,0.00291131,0.14317493,0.95316949,0.32358362,0.00000000
-5.14757379,1.13509971,0.13890974,0.10634230,0.00001015,0.00248003,0.13918582,0.91962073,0.30758614,0.00000000
-5.14157079,1.08658730,0.13243998,0.10036514,0.00000789,0.00211041,0.13476829,0.88387034,0.29125163,0.00000000
-5.13556778,1.03607237,0.12576460,0.09431539,0.00000609,0.00179461,0.12993772,0.84614828,0.27461788,0.00000000
-5.12956478,0.98384568,0.11889338,0.08822419,0.00000467,0.00152576,0.12472160,0.80672040,0.25775436,0.00000000
-5.12356178,0.93025249,0.11185494,0.08212911,0.00000355,0.00129790,0.11915837,0.76588207,0.24075653,0.00000000
-5.11755878,0.87568050,0.10469329,0.07607220,0.00000269,0.00110599,0.11329604,0.72395147,0.22373967,0.00000000
-5.11155578,0.82054731,0.09746431,0.07009812,0.00000202,0.00094581,0.10719060,0.68126256,0.20683259,0.00000000
-5.10555278,0.76528812,0.09023220,0.06425229,0.00000150,0.00081398,0.10090429,0.63815811,0.19017156,0.00000000
-5.09954977,0.71034374,0.08306607,0.05857931,0.00000111,0.00070787,0.09450383,0.59498265,0.17389464,0.00000000
-5.09354677,0.65614945,0.07603684,0.05312153,0.00000081,0.00062556,0.08805867,0.55207576,0.15813659,0.00000000
-5.08754377,0.60312501,0.06921451,0.04791789,0.00000059,0.00056585,0.08163928,0.50976567,0.14302471,0.00000000
-5.08154077,0.55166592,0.06266588,0.04300309,0.00000043,0.00052822,0.07531560,0.46836334,0.12867544,0.00000000
-5.07553777,0.50213622,0.05645285,0.03840705,0.00000031,0.00051279,0.06915571,0.42815730,0.11519206,0.00000000
-5.06953477,0.45486295,0.05063112,0.03415457,0.00000022,0.00052039,0.06322461,0.38940913,0.10266326,0.00000000
-5.06353177,0.41013225,0.04524954,0.03026541,0.00000016,0.00055246,0.05758338,0.35234986,0.09116266,0.00000000
-5.05752876,0.36818709,0.04034983,0.02675444,0.00000011,0.00061114,0.05228853,0.31717732,0.08074919,0.00000000
-5.05152576,0.32922660,0.03596676,0.02363212,0.00000008,0.00069922,0.04739160,0.28405445,0.07146808,0.00000000
-5.04552276,0.29340685,0.03212864,0.02090504,0.00000005,0.00082012,0.04293900,0.25310859,0.06335254,0.00000000
-5.03951976,0.26084279,0.02885813,0.01857659,0.00000004,0.00097790,0.03897213,0.22443171,0.05642569,0.00000000
-5.03351676,0.23161124,0.02617307,0.01664766,0.00000003,0.00117717,0.03552753,0.19808161,0.05070277,0.00000000
-5.02751376,0.20575464,0.02408751,0.01511735,0.00000002,0.00142308,0.03263721,0.17408380,0.04619339,0.00000000
-5.02151076,0.18328520,0.02261262,0.01398357,0.00000001,0.00172119,0.03032909,0.15243413,0.04290361,0.00000000
-5.01550775,0.16418928,0.02175747,0.01324361,0.00000001,0.00207733,0.02862730,0.13310193,0.04083773,0.00000000
-5.00950475,0.14843160,0.02152973,0.01289451,0.00000001,0.00249749,0.02755252,0.11603347,0.03999974,0.00000000
-5.00350175,0.13595915,0.02193597,0.01293329,0.00000001,0.00298760,0.02712214,0.10115568,0.04039413,0.00000000
-4.99749875,0.12670446,0.02298178,0.01335701,0.00000001,0.00355327,0.02735030,0.08837980,0.04202625,0.00000000
-4.99149575,0.12058815,0.02467152,0.01416265,0.00000001,0.00419959,0.02824773,0.07760499,0.04490188,0.00000000
-4.98549275,0.11752060,0.02700784,0.01534673,0.00000002,0.00493082,0.02982131,0.06872163,0.04902628,0.00000000
-4.97948974,0.11740269,0.02999076,0.01690491,0.00000003,0.00575006,0.03207354,0.06161424,0.05440263,0.00000000
-4.97348674,0.12012552,0.03361665,0.01883128,0.00000004,0.00665897,0.03500168,0.05616399,0.06102979,0.00000000
-4.96748374,0.12556943,0.03787692,0.02111768,0.00000006,0.00765746,0.03859683,0.05225067,0.06889981,0.00000000
-4.96148074,0.13360213,0.04275660,0.02375292,0.00000008,0.00874341,0.04284287,0.04975411,0.07799497,0.00000000
-4.95547774,0.14407643,0.04823292,0.02672193,0.00000012,0.00991239,0.04771531,0.04855521,0.08828471,0.00000000
-4.94947474,0.15682753,0.05427383,0.03000503,0.00000016,0.01115751,0.05318023,0.04853636,0.09972257,0.00000000
-4.94347174,0.17167043,0.06083685,0.03357729,0.00000023,0.01246924,0.05919334,0.04958167,0.11224334,0.00000000
-4.93746873,0.18839751,0.06786797,0.03740799,0.00000033,0.01383545,0.06569919,0.05157674,0.12576056,0.00000000
-4.93146573,0.20677669,0.07530107,0.04146039,0.00000046,0.01524135,0.07263074,0.05440836,0.14016467,0.00000000
-4.92546273,0.22655048,0.08305768,0.04569168,0.00000064,0.01666978,0.07990926,0.05796411,0.15532182,0.00000000
-4.91945973,0.24743609,0.09104720,0.05005323,0.00000088,0.01810136,0.08744469,0.06213204,0.17107373,0.00000000
-4.91345673,0.26912686,0.09916775,0.05449122,0.00000121,0.01951496,0.09513648,0.06680047,0.18723843,0.00000000
-4.90745373,0.29129515,0.10730756,0.05894754,0.00000164,0.02088813,0.10287492,0.07185804,0.20361219,0.00000000
-4.90145073,0.31359675,0.11534681,0.06336102,0.00000222,0.02219768,0.11054307,0.07719415,0.21997262,0.00000000
-4.89544772,0.33567670,0.12316015,0.06766898,0.00000297,0.02342034,0.11801900,0.08269970,0.23608273,0.00000000
-4.88944472,0.35717660,0.13061952,0.07180903,0.00000395,0.02453343,0.12517862,0.08826819,0.25169615,0.00000000
-4.88344172,0.37774300,0.13759741,0.07572106,0.00000522,0.02551554,0.13189876,0.09379734,0.26656313,0.00000000
-4.87743872,0.39703674,0.14397033,0.07934936,0.00000684,0.02634730,0.13806046,0.09919089,0.28043720,0.00000000
-4.87143572,0.41474280,0.14962235,0.08264476,0.00000891,0.02701196,0.14355242,0.10436073,0.29308230,0.00000000
-4.86543272,0.43058023,0.15444863,0.08556677,0.00001151,0.02749601,0.14827433,0.10922926,0.30427999,0.00000000
-4.85942971,0.44431184,0.15835873,0.08808550,0.00001477,0.02778968,0.15214010,0.11373166,0.31383649,0.00000000
-4.85342671,0.45575299,0.16127954,0.09018337,0.00001882,0.02788724,0.15508062,0.11781825,0.32158928,0.00000000
-4.84742371,0.46477916,0.16315773,0.09185648,0.00002380,0.02778731,0.15704621,0.12145646,0.32741282,0.00000000
-4.84142071,0.47133188,0.16396161,0.09311557,0.00002989,0.02749284,0.15800835,0.12463258,0.33122333,0.00000000
-4.83541771,0.47542256,0.16368228,0.09398640,0.00003727,0.02701109,0.15796077,0.12735292,0.33298209,0.00000000
-4.82941471,0.47713403,0.16233401,0.09450971,0.00004613,0.02635336,0.15691988,0.12964437,0.33269744,0.00000000
-4.82341171,0.47661956,0.15995383,0.09474057,0.00005669,0.02553460,0.15492429,0.13155427,0.33042502,0.00000000
-4.81740870,0.47409929,0.15660042,0.09474709,0.00006917,0.02457295,0.15203371,0.13314946,0.32626646,0.00000000
-4.81140570,0.46985413,0.15235221,0.09460865,0.00008379,0.02348914,0.14832706,0.13451454,0.32036645,0.00000000
-4.80540270,0.46421730,0.14730492,0.09441366,0.00010077,0.02230577,0.14389999,0.13574932,0.31290825,0.00000000
-4.79939970,0.45756376,0.14156853,0.09425674,0.00012032,0.02104671,0.13886184,0.13696552,0.30410803,0.00000000
-4.79339670,0.45029795,0.13526400,0.09423577,0.00014263,0.01973631,0.13333226,0.13828282,0.29420796,0.00000000
-4.78739370,0.44284030,0.12851958,0.09444849,0.00016786,0.01839876,0.12743753,0.13982434,0.28346874,0.00000000
-4.78139070,0.43561313,0.12146727,0.09498922,0.00019614,0.01705747,0.12130684,0.14171180,0.27216155,0.00000000
-4.77538769,0.42902641,0.11423929,0.09594547,0.00022753,0.01573455,0.11506861,0.14406056,0.26055997,0.00000000
-4.76938469,0.42346413,0.10696479,0.09739486,0.00026206,0.01445031,0.10884705,0.14697467,0.24893221,0.00000000
-4.76338169,0.41927192,0.09976701,0.09940230,0.00029966,0.01322300,0.10275905,0.15054224,0.23753390,0.00000000
-4.75737869,0.41674636,0.09276099,0.10201778,0.00034019,0.01206857,0.09691164,0.15483143,0.22660181,0.00000000
-4.75137569,0.41612671,0.08605183,0.10527467,0.00038343,0.01100061,0.09139985,0.15988713,0.21634879,0.00000000
-4.74537269,0.41758929,0.07973367,0.10918883,0.00042907,0.01003038,0.08630543,0.16572869,0.20696004,0.00000000
-4.73936968,0.42124511,0.07388937,0.11375852,0.00047669,0.00916703,0.08169602,0.17234880,0.19859087,0.00000000
-4.73336668,0.42714069,0.06859099,0.11896525,0.00052580,0.00841778,0.07762513,0.17971369,0.19136612,0.00000000
