energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-0.15907954,3.62615059,-3.07409413,0.00246016,-0.00321247,0.05045111,-0.10220489,0.64717405,-0.57963623,2.76132479,-1.57668966,0.30453619,-0.40199407,0.44701766,-0.83970733,0.29669324,-0.47038532,0.00000000,-0.00000000
-0.15307654,3.53184583,-2.95481113,0.00229212,-0.00317245,0.04743901,-0.09766028,0.62063466,-0.56112069,2.70548767,-1.51722446,0.29835638,-0.38586942,0.42632186,-0.80268625,0.28385361,-0.45492354,0.00000000,-0.00000000
-0.14707354,3.43185216,-2.83705748,0.00213533,-0.00314828,0.04446627,-0.09299241,0.59391868,-0.54295795,2.64217271,-1.45692014,0.29210406,-0.37030238,0.40681782,-0.76727994,0.27110548,-0.43973901,0.00000000,-0.00000000
-0.14107054,3.32637343,-2.72252713,0.00198940,-0.00314251,0.04155529,-0.08828452,0.56710875,-0.52545504,2.57151064,-1.39676082,0.28577568,-0.35552008,0.38851062,-0.73389298,0.25852236,-0.42504649,0.00000000,-0.00000000
-0.13506753,3.21580392,-2.61283111,0.00185399,-0.00315744,0.03872740,-0.08361665,0.54030875,-0.50891221,2.49383174,-1.33772200,0.27937494,-0.34171934,0.37140048,-0.70288354,0.24617852,-0.41105095,0.00000000,-0.00000000
-0.12906453,3.10072566,-2.50946638,0.00172879,-0.00319500,0.03600253,-0.07906386,0.51364435,-0.49361613,2.40966625,-1.28074868,0.27291206,-0.32906338,0.35548126,-0.67455833,0.23414769,-0.39794394,0.00000000,-0.00000000
-0.12306153,2.98189814,-2.41378945,0.00161360,-0.00325678,0.03339897,-0.07469469,0.48726269,-0.47983360,2.31973700,-1.22673583,0.26640291,-0.31767965,0.34073904,-0.64916910,0.22250175,-0.38590034,0.00000000,-0.00000000
-0.11705853,2.86024111,-2.32699520,0.00150827,-0.00334396,0.03093314,-0.07056998,0.46133110,-0.46780622,2.22494469,-1.17651158,0.25986797,-0.30765869,0.32715078,-0.62691045,0.21130942,-0.37507578,0.00000000,-0.00000000
-0.11105553,2.73681163,-2.25010116,0.00141278,-0.00345731,0.02861955,-0.06674202,0.43603520,-0.45774595,2.12634671,-1.13082352,0.25333127,-0.29905410,0.31468341,-0.60791904,0.20063521,-0.36560453,0.00000000,-0.00000000
-0.10505253,2.61277666,-2.18393713,0.00132722,-0.00359719,0.02647073,-0.06325399,0.41157638,-0.44983163,2.02513056,-1.09032819,0.24681929,-0.29188348,0.30329326,-0.59227402,0.19053847,-0.35759806,0.00000000,-0.00000000
