energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,W_p_up,W_d_up
0.76538269,3.30891868,0.00260304,0.08638024,0.01568012,1.14656998,1.04652889,2.40446491
0.77138569,3.32369609,0.00253725,0.08804947,0.01646252,1.15085417,1.04537415,2.41469352
0.77738869,3.32825664,0.00247222,0.08936155,0.01727324,1.15042007,1.04022457,2.41827367
0.78339170,3.32267045,0.00241030,0.09031089,0.01811432,1.14534713,1.03119143,2.41523222
0.78939470,3.30719102,0.00235372,0.09089861,0.01898783,1.13580775,1.01845592,2.40570913
0.79539770,3.28223911,0.00230457,0.09113245,0.01989558,1.12205998,1.00226203,2.38994673
0.80140070,3.24838392,0.00226472,0.09102640,0.02083884,1.10443826,0.98290851,2.36827778
0.80740370,3.20632244,0.00223577,0.09060026,0.02181807,1.08334254,0.96074001,2.34111287
0.81340670,3.15685736,0.00221900,0.08987893,0.02283266,1.05922604,0.93613767,2.30892720
0.81940970,3.10087415,0.00221540,0.08889173,0.02388071,1.03258213,0.90950938,2.27224734
0.82541271,3.03931758,0.00222556,0.08767144,0.02495883,1.00393066,0.88128002,2.23163768
0.83141571,2.97316818,0.00224976,0.08625333,0.02606199,0.97380408,0.85188158,2.18768703
0.83741871,2.90341885,0.00228789,0.08467418,0.02718346,0.94273370,0.82174358,2.14099531
0.84342171,2.83105189,0.00233951,0.08297119,0.02831479,0.91123641,0.79128383,2.09216030
0.84942471,2.75701684,0.00240387,0.08118091,0.02944587,0.87980216,0.76089958,2.04176473
0.85542771,2.68220948,0.00247988,0.07933826,0.03056502,0.84888252,0.73095939,1.99036383
0.86143072,2.60745221,0.00256619,0.07747554,0.03165919,0.81888054,0.70179568,1.93847337
0.86743372,2.53347652,0.00266121,0.07562162,0.03271421,0.79014216,0.67369826,1.88655871
0.87343672,2.46090771,0.00276311,0.07380117,0.03371512,0.76294941,0.64690886,1.83502496
0.87943972,2.39025267,0.00286993,0.07203413,0.03464645,0.73751549,0.62161700,1.78420870
0.88544272,2.32189091,0.00297952,0.07033526,0.03549267,0.71398207,0.59795708,1.73437162
0.89144572,2.25606948,0.00308967,0.06871391,0.03623856,0.69241858,0.57600711,1.68569637
0.89744872,2.19290208,0.00319811,0.06717403,0.03686965,0.67282389,0.55578899,1.63828498
0.90345173,2.13237250,0.00330254,0.06571432,0.03737257,0.65513004,0.53727037,1.59216001
0.90945473,2.07434259,0.00340070,0.06432856,0.03773550,0.63920815,0.52036827,1.54726854
0.91545773,2.01856449,0.00349041,0.06300617,0.03794847,0.62487615,0.50495415,1.50348903
0.92146073,1.96469698,0.00356959,0.06173287,0.03800368,0.61190830,0.49086051,1.46064080
0.92746373,1.91232521,0.00363633,0.06049154,0.03789575,0.60004593,0.47788868,1.41849594
0.93346673,1.86098326,0.00368889,0.05926313,0.03762187,0.58900923,0.46581753,1.37679301
0.93946973,1.81017853,0.00372580,0.05802762,0.03718197,0.57850957,0.45441295,1.33525222
0.94547274,1.75941705,0.00374582,0.05676511,0.03657870,0.56826181,0.44343746,1.29359119
0.95147574,1.70822848,0.00374803,0.05545674,0.03581742,0.55799630,0.43265981,1.25154074
0.95747874,1.65618984,0.00373182,0.05408572,0.03490611,0.54746990,0.42186407,1.20885991
0.96348174,1.60294689,0.00369690,0.05263817,0.03385519,0.53647569,0.41085780,1.16534956
0.96948474,1.54823201,0.00364334,0.05110384,0.03267731,0.52485093,0.39947908,1.12086380
0.97548774,1.49187812,0.00357154,0.04947680,0.03138708,0.51248295,0.38760198,1.07531893
0.98149075,1.43382776,0.00348223,0.04775582,0.03000073,0.49931279,0.37514037,1.02869928
0.98749375,1.37413711,0.00337647,0.04594463,0.02853584,0.48533642,0.36204992,0.98105982
0.99349675,1.31297482,0.00325558,0.04405206,0.02701094,0.47060347,0.34832820,0.93252554
0.99949975,1.25061585,0.00312117,0.04209193,0.02544518,0.45521375,0.33401301,0.88328751
1.00550275,1.18743070,0.00297503,0.04008279,0.02385796,0.43931159,0.31917904,0.83359614
1.01150575,1.12387060,0.00281913,0.03804751,0.02226861,0.42307838,0.30393307,0.78375178
1.01750875,1.06044966,0.00265557,0.03601278,0.02069609,0.40672373,0.28840803,0.73409346
1.02351176,0.99772462,0.00248647,0.03400845,0.01915866,0.39047559,0.27275627,0.68498610
1.02951476,0.93627350,0.00231401,0.03206682,0.01767364,0.37456993,0.25714223,0.63680707
1.03551776,0.87667394,0.00214030,0.03022189,0.01625723,0.35924033,0.24173511,0.58993259
1.04152076,0.81948235,0.00196735,0.02850852,0.01492425,0.34470805,0.22670171,0.54472471
1.04752376,0.76521466,0.00179706,0.02696167,0.01368807,0.33117299,0.21219977,0.50151932
1.05352676,0.71432943,0.00163115,0.02561552,0.01256044,0.31880575,0.19837218,0.46061577
1.05952976,0.66721400,0.00147112,0.02450274,0.01155140,0.30774139,0.18534210,0.42226838
1.06553277,0.62417390,0.00131828,0.02365370,0.01066927,0.29807470,0.17320933,0.38668011
1.07153577,0.58542584,0.00117368,0.02309575,0.00992054,0.28985741,0.16204779,0.35399850
1.07753877,0.55109435,0.00103815,0.02285250,0.00930993,0.28309722,0.15190432,0.32431390
1.08354177,0.52121180,0.00091226,0.02294324,0.00884031,0.27775855,0.14279862,0.29765990
1.08954477,0.49572159,0.00079636,0.02338229,0.00851275,0.27376494,0.13472427,0.27401568
1.09554777,0.47448417,0.00069060,0.02417854,0.00832652,0.27100291,0.12765072,0.25331013
1.10155078,0.45728532,0.00059493,0.02533495,0.00827914,0.26932696,0.12152602,0.23542733
1.10755378,0.44384633,0.00050913,0.02684822,0.00836639,0.26856547,0.11628017,0.22021315
1.11355678,0.43383540,0.00043284,0.02870857,0.00858240,0.26852730,0.11182883,0.20748254
1.11955978,0.42687993,0.00036559,0.03089959,0.00891969,0.26900859,0.10807732,0.19702730
1.12556278,0.42257921,0.00030682,0.03339830,0.00936933,0.26979981,0.10492451,0.18862392
1.13156578,0.42051703,0.00025592,0.03617542,0.00992105,0.27069248,0.10226678,0.18204133
1.13756878,0.42027409,0.00021223,0.03919572,0.01056340,0.27148558,0.10000157,0.17704829
1.14357179,0.42143963,0.00017509,0.04241877,0.01128403,0.27199143,0.09803071,0.17342034
1.14957479,0.42362251,0.00014385,0.04579970,0.01206986,0.27204088,0.09626325,0.17094606
1.15557779,0.42646111,0.00011786,0.04929038,0.01290747,0.27148765,0.09461787,0.16943270
1.16158079,0.42963234,0.00009654,0.05284065,0.01378341,0.27021197,0.09302479,0.16871105
1.16758379,0.43285940,0.00007933,0.05639981,0.01468454,0.26812326,0.09142714,0.16863946
1.17358679,0.43591838,0.00006574,0.05991824,0.01559848,0.26516199,0.08978191,0.16910714
1.17958979,0.43864349,0.00005530,0.06334901,0.01651395,0.26130068,0.08806039,0.17003660
1.18559280,0.44093094,0.00004765,0.06664962,0.01742117,0.25654415,0.08624818,0.17138524
1.19159580,0.44274134,0.00004244,0.06978357,0.01831221,0.25092896,0.08434478,0.17314611
1.19759880,0.44410058,0.00003940,0.07272182,0.01918125,0.24452218,0.08236289,0.17534777
1.20360180,0.44509897,0.00003830,0.07544399,0.02002482,0.23741954,0.08032732,0.17805327
1.20960480,0.44588876,0.00003896,0.07793932,0.02084188,0.22974299,0.07827362,0.18135815
1.21560780,0.44667989,0.00004124,0.08020712,0.02163384,0.22163779,0.07624656,0.18538756
1.22161081,0.44773385,0.00004503,0.08225694,0.02240440,0.21326916,0.07429832,0.19029241
1.22761381,0.44935599,0.00005022,0.08410816,0.02315935,0.20481859,0.07248660,0.19624456
1.23361681,0.45188599,0.00005677,0.08578918,0.02390615,0.19647983,0.07087257,0.20343117
1.23961981,0.45568699,0.00006459,0.08733612,0.02465345,0.18845472,0.06951883,0.21204825
1.24562281,0.46113345,0.00007366,0.08879115,0.02541048,0.18094884,0.06848730,0.22229352
1.25162581,0.46859803,0.00008389,0.09020043,0.02618642,0.17416711,0.06783719,0.23435876
1.25762881,0.47843798,0.00009523,0.09161182,0.02698965,0.16830938,0.06762303,0.24842188
1.26363182,0.49098137,0.00010759,0.09307245,0.02782711,0.16356608,0.06789283,0.26463884
1.26963482,0.50651366,0.00012089,0.09462625,0.02870354,0.16011403,0.06868648,0.28313585
1.27563782,0.52526513,0.00013499,0.09631160,0.02962097,0.15811237,0.07003433,0.30400196
1.28164082,0.54739957,0.00014977,0.09815918,0.03057816,0.15769889,0.07195605,0.32728246
1.28764382,0.57300490,0.00016506,0.10019020,0.03157034,0.15898646,0.07445981,0.35297334
1.29364682,0.60208581,0.00018068,0.10241503,0.03258903,0.16206006,0.07754180,0.38101705
1.29964982,0.63455916,0.00019642,0.10483240,0.03362205,0.16697411,0.08118608,0.41129984
1.30565283,0.67025211,0.00021209,0.10742918,0.03465385,0.17375031,0.08536482,0.44365086
1.31165583,0.70890330,0.00022745,0.11018075,0.03566588,0.18237611,0.09003886,0.47784316
1.31765883,0.75016712,0.00024229,0.11305193,0.03663730,0.19280370,0.09515866,0.51359666
1.32366183,0.79362097,0.00025641,0.11599859,0.03754580,0.20494974,0.10066556,0.55058303
1.32966483,0.83877535,0.00026960,0.11896966,0.03836850,0.21869582,0.10649330,0.58843257
1.33566783,0.88508653,0.00028171,0.12190954,0.03908301,0.23388961,0.11256978,0.62674270
1.34167084,0.93197139,0.00029262,0.12476086,0.03966855,0.25034695,0.11881903,0.66508804
1.34767384,0.97882389,0.00030225,0.12746736,0.04010693,0.26785462,0.12516334,0.70303169
1.35367684,1.02503272,0.00031058,0.12997674,0.04038360,0.28617401,0.13152531,0.74013730
1.35967984,1.06999951,0.00031767,0.13224354,0.04048854,0.30504554,0.13783007,0.77598171
1.36568284,1.11315686,0.00032364,0.13423156,0.04041692,0.32419382,0.14400730,0.81016756
1.37168584,1.15398578,0.00032871,0.13591610,0.04016965,0.34333340,0.14999316,0.84233556
1.37768884,1.19203166,0.00033317,0.13728556,0.03975364,0.36217508,0.15573199,0.87217582
1.38369185,1.22691846,0.00033740,0.13834263,0.03918184,0.38043251,0.16117772,0.89943804
1.38969485,1.25836034,0.00034188,0.13910472,0.03847303,0.39782898,0.16629503,0.92393993
1.39569785,1.28617046,0.00034715,0.13960388,0.03765131,0.41410413,0.17106010,0.94557361
1.40170085,1.31026655,0.00035386,0.13988597,0.03674548,0.42902042,0.17546093,0.96430976
1.40770385,1.33067288,0.00036270,0.14000927,0.03578807,0.44236907,0.17949727,0.98019909
1.41370685,1.34751858,0.00037444,0.14004252,0.03481431,0.45397521,0.18318017,0.99337123
1.41970985,1.36103231,0.00038988,0.14006243,0.03386099,0.46370213,0.18653100,1.00403070
1.42571286,1.37153314,0.00040984,0.14015081,0.03296514,0.47145436,0.18958013,1.01245019
1.43171586,1.37941819,0.00043518,0.14039143,0.03216281,0.47717943,0.19236523,1.01896119
1.43771886,1.38514701,0.00046670,0.14086662,0.03148781,0.48086829,0.19492920,1.02394218
1.44372186,1.38922345,0.00050517,0.14165393,0.03097050,0.48255418,0.19731791,1.02780473
1.44972486,1.39217544,0.00055131,0.14282275,0.03063676,0.48231023,0.19957770,1.03097791
1.45572786,1.39453340,0.00060573,0.14443122,0.03050703,0.48024557,0.20175282,1.03389149
1.46173087,1.39680805,0.00066891,0.14652340,0.03059562,0.47650034,0.20388287,1.03695861
1.46773387,1.39946845,0.00074119,0.14912691,0.03091011,0.47123968,0.20600041,1.04055837
1.47373687,1.40292117,0.00082270,0.15225108,0.03145108,0.46464696,0.20812872,1.04501926
1.47973987,1.40749141,0.00091341,0.15588573,0.03221199,0.45691664,0.21027998,1.05060390
1.48574287,1.41340690,0.00101303,0.16000066,0.03317932,0.44824686,0.21245386,1.05749592
1.49174587,1.42078543,0.00112103,0.16454578,0.03433294,0.43883238,0.21463662,1.06578944
1.49774887,1.42962658,0.00123666,0.16945210,0.03564667,0.42885786,0.21680082,1.07548195
1.50375188,1.43980819,0.00135888,0.17463331,0.03708900,0.41849204,0.21890564,1.08647072
1.50975488,1.45108785,0.00148640,0.17998821,0.03862407,0.40788286,0.22089790,1.09855335
1.51575788,1.46310957,0.00161772,0.18540363,0.04021272,0.39715379,0.22271357,1.11143224
1.52176088,1.47541546,0.00175111,0.19075798,0.04181360,0.38640157,0.22428000,1.12472334
1.52776388,1.48746213,0.00188464,0.19592517,0.04338445,0.37569522,0.22551855,1.13796864
