energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.59179590,11.02237190,0.00894823,2.89533518,6.20570604,4.79792728,0.06789904,2.46981258,1.10868853,0.46961676
-5.58579290,11.00310680,0.00832743,2.88277287,6.24158164,4.76397695,0.06789573,2.48464896,1.11559706,0.46872427
-5.57978989,10.95439406,0.00778081,2.86009910,6.26012215,4.71348088,0.06803319,2.49633777,1.12067300,0.46696531
-5.57378689,10.87924436,0.00731482,2.82832387,6.26301612,4.64820889,0.06833248,2.50513763,1.12405170,0.46439461
-5.56778389,10.78105969,0.00693439,2.78858430,6.25222963,4.57011531,0.06881602,2.51136343,1.12589675,0.46108239
-5.56178089,10.66353348,0.00664299,2.74210692,6.22993505,4.48127696,0.06950792,2.51538183,1.12639522,0.45711388
-5.55577789,10.53054364,0.00644269,2.69016918,6.19843232,4.38383161,0.07043403,2.51760322,1.12575114,0.45258800
-5.54977489,10.38604233,0.00633428,2.63406148,6.16006614,4.27991915,0.07162185,2.51847039,1.12417754,0.44761523
-5.54377189,10.23394630,0.00631735,2.57505108,6.11714244,4.17162740,0.07310010,2.51844442,1.12188744,0.44231479
-5.53776888,10.07803172,0.00639037,2.51434914,6.07184773,4.06094411,0.07489811,2.51798835,1.11908412,0.43681132
-5.53176588,9.92183709,0.00655079,2.45308169,6.02617466,3.94971627,0.07704494,2.51754971,1.11595145,0.43123115
-5.52576288,9.76857762,0.00679512,2.39226552,5.98185704,3.83961751,0.07956828,2.51754277,1.11264463,0.42569847
-5.51975988,9.62107390,0.00711899,2.33278930,5.94031685,3.73212397,0.08249326,2.51833158,1.10928210,0.42033158
-5.51375688,9.48169696,0.00751720,2.27540035,5.90262552,3.62849857,0.08584105,2.52021504,1.10593916,0.41523952
-5.50775388,9.35233126,0.00798380,2.22069701,5.86948074,3.52978329,0.08962756,2.52341467,1.10264367,0.41051917
-5.50175088,9.23435629,0.00851216,2.16912642,5.84119947,3.43679876,0.09386202,2.52806613,1.09937430,0.40625317
-5.49574787,9.12864658,0.00909503,2.12098742,5.81772716,3.35015046,0.09854581,2.53421497,1.09606156,0.40250857
-5.48974487,9.03558935,0.00972462,2.07643777,5.79866210,3.27024016,0.10367131,2.54181690,1.09259158,0.39933647
-5.48374187,8.95511816,0.01039273,2.03550539,5.78329353,3.19728180,0.10922107,2.55074278,1.08881260,0.39677251
-5.47773887,8.88676032,0.01109082,1.99810240,5.77065109,3.13132038,0.11516724,2.56078794,1.08454389,0.39483831
-5.47173587,8.82969532,0.01181022,1.96404156,5.75956324,3.07225302,0.12147127,2.57168545,1.07958669,0.39354359
-5.46573287,8.78282133,0.01254219,1.93305397,5.74872146,3.01985075,0.12808398,2.58312260,1.07373653,0.39288885
-5.45972986,8.74482627,0.01327818,1.90480742,5.73674717,2.97378050,0.13494600,2.59475961,1.06679640,0.39286854
-5.45372686,8.71426026,0.01400995,1.87892454,5.72225836,2.93362618,0.14198846,2.60624955,1.05858992,0.39347428
-5.44772386,8.68960619,0.01472975,1.85500014,5.70393282,2.89890833,0.14913415,2.61725838,1.04897390,0.39469804
-5.44172086,8.66934538,0.01543052,1.83261721,5.68056544,2.86910187,0.15629886,2.62748382,1.03784949,0.39653497
-5.43571786,8.65201589,0.01610601,1.81136112,5.65111746,2.84365162,0.16339304,2.63667225,1.02517129,0.39898571
-5.42971486,8.63626129,0.01675097,1.79083170,5.61475587,2.82198537,0.17032362,2.64463233,1.01095391,0.40205793
-5.42371186,8.62086845,0.01736118,1.77065312,5.57088199,2.80352465,0.17699604,2.65124491,0.99527560,0.40576704
-5.41770885,8.60479366,0.01793358,1.75048144,5.51914874,2.78769318,0.18331629,2.65646846,0.97827862,0.41013590
-5.41170585,8.58717666,0.01846627,1.73000994,5.45946670,2.77392336,0.18919304,2.66033979,0.96016632,0.41519355
-5.40570285,8.56734322,0.01895849,1.70897241,5.39199965,2.76166102,0.19453963,2.66297007,0.94119713,0.42097302
-5.39969985,8.54479726,0.01941057,1.68714464,5.31715064,2.75036890,0.19927605,2.66453635,0.92167562,0.42750826
-5.39369685,8.51920403,0.01982382,1.66434439,5.23554016,2.73952922,0.20333068,2.66526914,0.90194112,0.43483040
-5.38769385,8.49036629,0.02020037,1.64043021,5.14797802,2.72864575,0.20664181,2.66543670,0.88235452,0.44296354
-5.38169085,8.45819576,0.02054305,1.61529940,5.05543086,2.71724584,0.20915887,2.66532712,0.86328387,0.45192028
-5.37568784,8.42268212,0.02085515,1.58888546,4.95898707,2.70488257,0.21084347,2.66522910,0.84508955,0.46169739
-5.36968484,8.38386199,0.02114022,1.56115530,4.85982100,2.69113754,0.21166996,2.66541262,0.82810979,0.47227172
-5.36368184,8.34179010,0.02140189,1.53210645,4.75915789,2.67562426,0.21162573,2.66611072,0.81264721,0.48359679
-5.35767884,8.29651462,0.02164367,1.50176445,4.65824091,2.65799237,0.21071123,2.66750342,0.79895722,0.49560029
-5.35167584,8.24805828,0.02186873,1.47018051,4.55830131,2.63793264,0.20893956,2.66970474,0.78723868,0.50818260
-5.34567284,8.19640648,0.02207982,1.43742949,4.46053239,2.61518270,0.20633587,2.67275365,0.77762745,0.52121668
-5.33966983,8.14150292,0.02227914,1.40360820,4.36606764,2.58953318,0.20293640,2.67660955,0.77019300,0.53454920
