energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-5.80190095,0.88254026,0.10425761,0.75820972,0.00241014,0.00396294,0.00165167,0.11661757,0.04854178,0.02537842
-5.79589795,0.91738557,0.11181239,0.78478882,0.00242035,0.00459482,0.00169957,0.12401113,0.05120345,0.02654173
-5.78989495,0.95105249,0.11986057,0.80964649,0.00241628,0.00532767,0.00174575,0.13174043,0.05405103,0.02774470
-5.78389195,0.98339619,0.12838795,0.83265167,0.00239783,0.00616434,0.00178906,0.13979147,0.05705899,0.02898485
-5.77788894,1.01430577,0.13737960,0.85370689,0.00236523,0.00710706,0.00182842,0.14815129,0.06020324,0.03026059
-5.77188594,1.04369880,0.14681773,0.87274550,0.00231901,0.00815709,0.00186280,0.15680593,0.06346024,0.03157072
-5.76588294,1.07151486,0.15667950,0.88972812,0.00226000,0.00931441,0.00189126,0.16573832,0.06680629,0.03291398
-5.75987994,1.09770859,0.16693504,0.90463827,0.00218925,0.01057737,0.00191297,0.17492623,0.07021683,0.03428849
-5.75387694,1.12224254,0.17754553,0.91747772,0.00210803,0.01194239,0.00192716,0.18434039,0.07366599,0.03569128
-5.74787394,1.14508018,0.18846166,0.92826160,0.00201777,0.01340380,0.00193322,0.19394274,0.07712622,0.03711792
-5.74187094,1.16617951,0.19962229,0.93701372,0.00191999,0.01495355,0.00193063,0.20368507,0.08056811,0.03856208
-5.73586793,1.18548758,0.21095366,0.94376223,0.00181627,0.01658115,0.00191904,0.21350799,0.08396033,0.04001534
-5.72986493,1.20293610,0.22236900,0.94853577,0.00170823,0.01827363,0.00189825,0.22334041,0.08726975,0.04146697
-5.72386193,1.21843844,0.23376867,0.95136037,0.00159743,0.02001553,0.00186822,0.23309944,0.09046167,0.04290392
-5.71785893,1.23188808,0.24504085,0.95225708,0.00148538,0.02178910,0.00182909,0.24269095,0.09350018,0.04431087
-5.71185593,1.24315867,0.25606281,0.95124054,0.00137348,0.02357445,0.00178118,0.25201052,0.09634867,0.04567048
-5.70585293,1.25210557,0.26670272,0.94831826,0.00126301,0.02534988,0.00172496,0.26094508,0.09897037,0.04696363
-5.69984992,1.25856882,0.27682195,0.94349082,0.00115509,0.02709230,0.00166108,0.26937494,0.10132902,0.04816992
-5.69384692,1.26237754,0.28627780,0.93675286,0.00105072,0.02877762,0.00159032,0.27717636,0.10338955,0.04926815
-5.68784392,1.26335535,0.29492673,0.92809466,0.00095069,0.03038138,0.00151358,0.28422435,0.10511880,0.05023690
-5.68184092,1.26132672,0.30262769,0.91750438,0.00085566,0.03187920,0.00143189,0.29039591,0.10648630,0.05105519
-5.67583792,1.25612404,0.30924575,0.90497078,0.00076612,0.03324747,0.00134632,0.29557331,0.10746497,0.05170308
-5.66983492,1.24759495,0.31465576,0.89048617,0.00068241,0.03446392,0.00125799,0.29964747,0.10803178,0.05216239
-5.66383192,1.23560984,0.31874585,0.87404972,0.00060474,0.03550819,0.00116805,0.30252122,0.10816845,0.05241726
-5.65782891,1.22006905,0.32142080,0.85567073,0.00053319,0.03636241,0.00107762,0.30411242,0.10786197,0.05245473
-5.65182591,1.20090960,0.32260506,0.83537190,0.00046772,0.03701169,0.00098777,0.30435669,0.10710506,0.05226520
-5.64582291,1.17811115,0.32224526,0.81319231,0.00040822,0.03744456,0.00089951,0.30320975,0.10589656,0.05184284
-5.63981991,1.15170090,0.32031224,0.78919016,0.00035450,0.03765327,0.00081374,0.30064924,0.10424160,0.05118582
-5.63381691,1.12175720,0.31680240,0.76344495,0.00030630,0.03763404,0.00073126,0.29667590,0.10215175,0.05029644
-5.62781391,1.08841182,0.31173831,0.73605911,0.00026332,0.03738719,0.00065275,0.29131414,0.09964493,0.04918121
-5.62181091,1.05185059,0.30516871,0.70715892,0.00022522,0.03691713,0.00057876,0.28461193,0.09674521,0.04785064
-5.61580790,1.01231239,0.29716760,0.67689464,0.00019165,0.03623225,0.00050970,0.27663997,0.09348244,0.04631909
-5.60980490,0.97008664,0.28783276,0.64543993,0.00016225,0.03534470,0.00044585,0.26749029,0.08989181,0.04460438
-5.60380190,0.92550904,0.27728353,0.61299026,0.00013665,0.03427009,0.00038738,0.25727412,0.08601317,0.04272736
-5.59779890,0.87895601,0.26565800,0.57976071,0.00011449,0.03302705,0.00033433,0.24611939,0.08189036,0.04071140
-5.59179590,0.83083783,0.25310973,0.54598290,0.00009541,0.03163677,0.00028665,0.23416766,0.07757033,0.03858183
-5.58579290,0.78159071,0.23980410,0.51190132,0.00007909,0.03012250,0.00024421,0.22157083,0.07310234,0.03636531
-5.57978989,0.73166833,0.22591440,0.47776923,0.00006521,0.02850894,0.00020680,0.20848761,0.06853701,0.03408927
-5.57378689,0.68153284,0.21161789,0.44384415,0.00005347,0.02682175,0.00017418,0.19507993,0.06392542,0.03178128
-5.56778389,0.63164598,0.19709181,0.41038326,0.00004359,0.02508695,0.00014605,0.18150947,0.05931833,0.02946850
-5.56178089,0.58246047,0.18250967,0.37763891,0.00003535,0.02333045,0.00012210,0.16793426,0.05476533,0.02717718
-5.55577789,0.53441222,0.16803781,0.34585436,0.00002849,0.02157757,0.00010203,0.15450577,0.05031417,0.02493224
-5.54977489,0.48791337,0.15383241,0.31526003,0.00002284,0.01985270,0.00008554,0.14136621,0.04601028,0.02275690
-5.54377189,0.44334682,0.14003696,0.28607037,0.00001820,0.01817898,0.00007236,0.12864644,0.04189632,0.02067244
-5.53776888,0.40106202,0.12678037,0.25848154,0.00001441,0.01657807,0.00006224,0.11646440,0.03801196,0.01869803
-5.53176588,0.36137247,0.11417567,0.23266996,0.00001135,0.01507008,0.00005499,0.10492399,0.03439385,0.01685068
-5.52576288,0.32455486,0.10231929,0.20879176,0.00000888,0.01367353,0.00005045,0.09411468,0.03107570,0.01514521
-5.51975988,0.29084967,0.09129101,0.18698323,0.00000691,0.01240541,0.00004854,0.08411149,0.02808853,0.01359441
-5.51375688,0.26046336,0.08115441,0.16736204,0.00000534,0.01128130,0.00004922,0.07497555,0.02546106,0.01220918
-5.50775388,0.23357172,0.07195776,0.15002928,0.00000410,0.01031560,0.00005251,0.06675505,0.02322022,0.01099874
-5.50175088,0.21032427,0.06373544,0.13507218,0.00000313,0.00952175,0.00005849,0.05948650,0.02139165,0.00997088
-5.49574787,0.19084926,0.05650951,0.12256714,0.00000237,0.00891250,0.00006731,0.05319626,0.02000027,0.00913224
-5.48974487,0.17525907,0.05029150,0.11258317,0.00000179,0.00850017,0.00007916,0.04790213,0.01907082,0.00848856
-5.48374187,0.16365555,0.04508439,0.10518523,0.00000134,0.00829690,0.00009430,0.04361501,0.01862831,0.00804488
-5.47773887,0.15613492,0.04088435,0.10043749,0.00000100,0.00831486,0.00011300,0.04034044,0.01869834,0.00780579
-5.47173587,0.15279204,0.03768252,0.09840613,0.00000074,0.00856639,0.00013560,0.03808001,0.01930726,0.00777549
-5.46573287,0.15372357,0.03546651,0.09916161,0.00000055,0.00906405,0.00016244,0.03683241,0.02048209,0.00795790
-5.45972986,0.15902990,0.03422157,0.10278023,0.00000041,0.00982064,0.00019389,0.03659425,0.02225025,0.00835660
-5.45372686,0.16881568,0.03393149,0.10934481,0.00000032,0.01084907,0.00023029,0.03736046,0.02463896,0.00897477
-5.44772386,0.18318875,0.03457904,0.11894447,0.00000025,0.01216211,0.00027198,0.03912432,0.02767444,0.00981498
-5.44172086,0.20225760,0.03614614,0.13167346,0.00000022,0.01377211,0.00031924,0.04187712,0.03138083,0.01087893
-5.43571786,0.22612723,0.03861356,0.14762903,0.00000022,0.01569052,0.00037232,0.04560736,0.03577878,0.01216715
-5.42971486,0.25489378,0.04196034,0.16690846,0.00000024,0.01792746,0.00043136,0.05029979,0.04088399,0.01367862
-5.42371186,0.28863796,0.04616290,0.18960525,0.00000031,0.02049109,0.00049642,0.05593408,0.04670550,0.01541037
-5.41770885,0.32741764,0.05119396,0.21580468,0.00000042,0.02338699,0.00056743,0.06248340,0.05324392,0.01735711
-5.41170585,0.37125990,0.05702135,0.24557885,0.00000059,0.02661755,0.00064420,0.06991287,0.06048970,0.01951084
-5.40570285,0.42015288,0.06360667,0.27898134,0.00000084,0.03018129,0.00072636,0.07817816,0.06842142,0.02186051
-5.39969985,0.47403790,0.07090416,0.31604182,0.00000120,0.03407230,0.00081341,0.08722413,0.07700442,0.02439179
-5.39369685,0.53280200,0.07885956,0.35676055,0.00000173,0.03827964,0.00090466,0.09698381,0.08618953,0.02708688
-5.38769385,0.59627159,0.08740932,0.40110318,0.00000247,0.04278691,0.00099928,0.10737769,0.09591237,0.02992447
-5.38169085,0.66420713,0.09648003,0.44899590,0.00000351,0.04757190,0.00109624,0.11831351,0.10609300,0.03287985
-5.37568784,0.73629953,0.10598830,0.50032112,0.00000495,0.05260639,0.00119439,0.12968648,0.11663618,0.03592507
-5.36968484,0.81216811,0.11584103,0.55491389,0.00000694,0.05785611,0.00129244,0.14138011,0.12743222,0.03902935
-5.36368184,0.89136064,0.12593611,0.61255913,0.00000966,0.06328082,0.00138897,0.15326759,0.13835838,0.04215956
-5.35767884,0.97335530,0.13616361,0.67298978,0.00001336,0.06883465,0.00148253,0.16521372,0.14928097,0.04528081
-5.35167584,1.05756477,0.14640748,0.73588620,0.00001834,0.07446650,0.00157158,0.17707735,0.16005802,0.04835720
-5.34567284,1.14334240,0.15654755,0.80087663,0.00002499,0.08012074,0.00165461,0.18871430,0.17054242,0.05135263
-5.33966983,1.22999046,0.16646197,0.86753918,0.00003383,0.08573796,0.00173016,0.19998063,0.18058551,0.05423163
-5.33366683,1.31677032,0.17602997,0.93540516,0.00004546,0.09125591,0.00179682,0.21073615,0.19004102,0.05696031
-5.32766383,1.40291456,0.18513478,1.00396419,0.00006067,0.09661058,0.00185336,0.22084813,0.19876916,0.05950716
-5.32166083,1.48764077,0.19366666,1.07267089,0.00008039,0.10173732,0.00189867,0.23019498,0.20664071,0.06184401
-5.31565783,1.57016694,0.20152605,1.14095349,0.00010578,0.10657210,0.00193189,0.23866982,0.21354102,0.06394671
-5.30965483,1.64972820,0.20862649,1.20822427,0.00013820,0.11105278,0.00195237,0.24618386,0.21937368,0.06579593
-5.30365183,1.72559472,0.21489749,1.27389185,0.00017928,0.11512041,0.00195974,0.25266938,0.22406382,0.06737771
-5.29764882,1.79709038,0.22028705,1.33737520,0.00023095,0.11872050,0.00195388,0.25808226,0.22756077,0.06868392
-5.29164582,1.86361193,0.22476379,1.39811925,0.00029542,0.12180426,0.00193497,0.26240401,0.22984006,0.06971263
-5.28564282,1.92464817,0.22831867,1.45561169,0.00037522,0.12432978,0.00190347,0.26564313,0.23090468,0.07046833
-5.27963982,1.97979865,0.23096618,1.50940054,0.00047324,0.12626306,0.00186009,0.26783587,0.23078554,0.07096191
-5.27363682,2.02879120,0.23274496,1.55911196,0.00059266,0.12757902,0.00180578,0.26904622,0.22954102,0.07121064
-5.26763382,2.07149765,0.23371773,1.60446751,0.00073702,0.12826220,0.00174171,0.26936529,0.22725579,0.07123793
-5.26163082,2.10794697,0.23397071,1.64530005,0.00091011,0.12830742,0.00166923,0.26890993,0.22403876,0.07107294
-5.25562781,2.13833503,0.23361221,1.68156749,0.00111596,0.12772015,0.00158983,0.26782064,0.22002040,0.07075010
-5.24962481,2.16303002,0.23277076,1.71336331,0.00135879,0.12651674,0.00150507,0.26625885,0.21534938,0.07030853
-5.24362181,2.18257304,0.23159241,1.74092305,0.00164286,0.12472434,0.00141658,0.26440365,0.21018873,0.06979122
-5.23761881,2.19767292,0.23023761,1.76462589,0.00197241,0.12238062,0.00132600,0.26244780,0.20471157,0.06924427
-5.23161581,2.20919484,0.22887747,1.78499074,0.00235150,0.11953329,0.00123491,0.26059342,0.19909666,0.06871590
-5.22561281,2.21814262,0.22768961,1.80266618,0.00278384,0.11623928,0.00114483,0.25904719,0.19352375,0.06825541
-5.21960980,2.22563446,0.22685367,1.81841432,0.00327265,0.11256386,0.00105717,0.25801523,0.18816896,0.06791207
-5.21360680,2.23287255,0.22654662,1.83308851,0.00382042,0.10857938,0.00097321,0.25769785,0.18320038,0.06773396
-5.20760380,2.24110727,0.22693802,1.84760537,0.00442878,0.10436404,0.00089405,0.25828423,0.17877379,0.06776677
-5.20160080,2.25159694,0.22818535,1.86291214,0.00509824,0.10000034,0.00082065,0.25994715,0.17502895,0.06805259
-5.19559780,2.26556456,0.23042974,1.87995030,0.00582806,0.09557360,0.00075377,0.26283808,0.17208625,0.06862877
-5.18959480,2.28415308,0.23379205,1.89961700,0.00661607,0.09117040,0.00069398,0.26708271,0.17004401,0.06952685
-5.18359180,2.30838137,0.23836977,1.92272610,0.00745854,0.08687700,0.00064170,0.27277701,0.16897645,0.07077162
-5.17758879,2.33910268,0.24423463,1.94997046,0.00835008,0.08277787,0.00059717,0.27998430,0.16893245,0.07238036
-5.17158579,2.37696777,0.25143136,1.98188762,0.00928364,0.07895436,0.00056047,0.28873316,0.16993500,0.07436233
-5.16558279,2.42239475,0.25997750,2.01883052,0.01025049,0.07548351,0.00053157,0.29901657,0.17198163,0.07671848
-5.15957979,2.47554736,0.26986451,2.06094509,0.01124035,0.07243708,0.00051030,0.31079231,0.17504555,0.07944156
-5.15357679,2.53632309,0.28105998,2.10815603,0.01224154,0.06988080,0.00049643,0.32398462,0.17907764,0.08251645
-5.14757379,2.60435222,0.29351126,2.16016179,0.01324118,0.06787388,0.00048966,0.33848725,0.18400929,0.08592088
-5.14157079,2.67900815,0.30714996,2.21643947,0.01422554,0.06646880,0.00048965,0.35416777,0.18975580,0.08962653
-5.13556778,2.75942894,0.32189755,2.27625942,0.01518036,0.06571127,0.00049606,0.37087301,0.19622047,0.09360029
-5.12956478,2.84454942,0.33767146,2.33870945,0.01609126,0.06564049,0.00050854,0.38843547,0.20329907,0.09780588
-5.12356178,2.93314228,0.35439161,2.40272732,0.01694418,0.06628947,0.00052680,0.40668037,0.21088459,0.10220560
-5.11755878,3.02386656,0.37198689,2.46714030,0.01772586,0.06768561,0.00055058,0.42543308,0.21887208,0.10676214
-5.11155578,3.11532108,0.39040120,2.53070985,0.01842426,0.06985114,0.00057970,0.44452655,0.22716336,0.11144043
-5.10555278,3.20610009,0.40959861,2.59217924,0.01902900,0.07280376,0.00061404,0.46380830,0.23567136,0.11620934
-5.09954977,3.29484848,0.42956730,2.65032194,0.01953175,0.07655700,0.00065358,0.48314664,0.24432388,0.12104310
-5.09354677,3.38031358,0.45032187,2.70398817,0.01992655,0.08112052,0.00069836,0.50243566,0.25306664,0.12592248
-5.08754377,3.46139084,0.47190369,2.75214759,0.02021005,0.08650018,0.00074851,0.52159873,0.26186531,0.13083550
-5.08154077,3.53716112,0.49437913,2.79392582,0.02038166,0.09269780,0.00080420,0.54059021,0.27070645,0.13577759
-5.07553777,3.60691749,0.51783552,2.82863332,0.02044359,0.09971059,0.00086566,0.55939514,0.27959730,0.14075133
-5.06953477,3.67018035,0.54237487,2.85578514,0.02040078,0.10753036,0.00093313,0.57802696,0.28856424,0.14576554
-5.06353177,3.72670001,0.56810553,2.87511090,0.02026074,0.11614226,0.00100684,0.59652308,0.29765013,0.15083387
-5.05752876,3.77644694,0.59513204,2.88655468,0.02003330,0.12552341,0.00108700,0.61493873,0.30691037,0.15597289
-5.05152576,3.81959022,0.62354365,2.89026522,0.01973020,0.13564117,0.00117373,0.63333914,0.31640810,0.16119985
-5.04552276,3.85646573,0.65340201,2.88657714,0.01936472,0.14645141,0.00126706,0.65179055,0.32620848,0.16653013
-5.03951976,3.88753606,0.68472872,2.87598458,0.01895116,0.15789666,0.00136687,0.67035050,0.33637250,0.17197451
-5.03351676,3.91334453,0.71749339,2.85910885,0.01850435,0.16990454,0.00147291,0.68905797,0.34695051,0.17753656
-5.02751376,3.93446616,0.75160298,2.83666205,0.01803914,0.18238626,0.00158471,0.70792387,0.35797591,0.18321021
-5.02151076,3.95145857,0.78689313,2.80940868,0.01756991,0.19523573,0.00170163,0.72692263,0.36945922,0.18897761
-5.01550775,3.96481572,0.82312213,2.77812746,0.01711010,0.20832910,0.00182280,0.74598521,0.38138296,0.19480761
-5.00950475,3.97492720,0.85996810,2.74357522,0.01667186,0.22152503,0.00194716,0.76499432,0.39369762,0.20065483
-5.00350175,3.98204555,0.89702974,2.70645479,0.01626570,0.23466571,0.00207344,0.78378199,0.40631902,0.20645945
-4.99749875,3.98626344,0.93383099,2.66738840,0.01590031,0.24757875,0.00220023,0.80212991,0.41912723,0.21214791
-4.99149575,3.98750209,0.96982958,2.62689761,0.01558239,0.26007995,0.00232595,0.81977264,0.43196729,0.21763429
-4.98549275,3.98551154,1.00442933,2.58539067,0.01531666,0.27197678,0.00244895,0.83640365,0.44465163,0.22282259
-4.97948974,3.97988274,1.03699585,2.54315748,0.01510590,0.28307277,0.00256753,0.85168404,0.45696434,0.22760966
-4.97348674,3.97007064,1.06687501,2.50037202,0.01495110,0.29317243,0.00267999,0.86525361,0.46866704,0.23188876
-4.96748374,3.95542705,1.09341360,2.45710171,0.01485168,0.30208662,0.00278473,0.87674372,0.47950616,0.23555354
-4.96148074,3.93524121,1.11598110,2.41332274,0.01480575,0.30963820,0.00288026,0.88579149,0.48922146,0.23850225
-4.95547774,3.90878575,1.13399180,2.36894029,0.01481040,0.31566767,0.00296528,0.89205456,0.49755521,0.24064202
-4.94947474,3.87536550,1.14692612,2.32381196,0.01486202,0.32003851,0.00303872,0.89522574,0.50426180,0.24189300
-4.94347174,3.83436625,1.15435021,2.27777319,0.01495661,0.32264211,0.00309983,0.89504686,0.50911735,0.24219205
-4.93746873,3.78530086,1.15593294,2.23066286,0.01509004,0.32340186,0.00314812,0.89132109,0.51192875,0.24149601
-4.93146573,3.72785012,1.15145944,2.18234769,0.01525833,0.32227634,0.00318348,0.88392315,0.51254183,0.23978409
-4.92546273,3.66189625,1.14084057,2.13274408,0.01545780,0.31926139,0.00320612,0.87280691,0.51084827,0.23705958
-4.91945973,3.58754719,1.12411788,2.08183621,0.01568525,0.31439096,0.00321659,0.85800999,0.50679083,0.23335055
-4.91345673,3.50515059,1.10146396,2.02968948,0.01593799,0.30773661,0.00321574,0.83965523,0.50036685,0.22870960
-4.90745373,3.41529682,1.07317803,1.97645884,0.01621386,0.29940581,0.00320473,0.81794890,0.49162969,0.22321270
-4.90145073,3.31881092,1.03967720,1.92239161,0.01651122,0.28953895,0.00318492,0.79317580,0.48068817,0.21695718
-4.89544772,3.21673425,1.00148374,1.86782486,0.01682883,0.27830537,0.00315786,0.76569150,0.46770406,0.21005881
-4.88944472,3.11029664,0.95920901,1.81317777,0.01716569,0.26589840,0.00312526,0.73591218,0.45288762,0.20264840
-4.88344172,3.00088079,0.91353494,1.75893941,0.01752096,0.25252977,0.00308884,0.70430248,0.43649166,0.19486779
-4.87743872,2.88998067,0.86519376,1.70565286,0.01789374,0.23842359,0.00305035,0.67136202,0.41880417,0.18686553
-4.87143572,2.77915600,0.81494695,1.65389659,0.01828292,0.22381012,0.00301149,0.63761112,0.40014000,0.17879253
-4.86543272,2.66998492,0.76356433,1.60426407,0.01868707,0.20891967,0.00297385,0.60357641,0.38083189,0.17079759
-4.85942971,2.56401711,0.71180409,1.55734275,0.01910428,0.19397679,0.00293886,0.56977686,0.36122128,0.16302325
-4.85342671,2.46272920,0.66039442,1.51369347,0.01953213,0.17919497,0.00290778,0.53671081,0.34164921,0.15560199
-4.84742371,2.36748433,0.61001748,1.47383118,0.01996759,0.16477211,0.00288166,0.50484434,0.32244766,0.14865281
-4.84142071,2.27949727,0.56129597,1.43820789,0.02040710,0.15088676,0.00286131,0.47460144,0.30393161,0.14227849
-4.83541771,2.19980622,0.51478277,1.40719850,0.02084654,0.13769529,0.00284733,0.44635613,0.28639210,0.13656341
-4.82941471,2.12925207,0.47095359,1.38109006,0.02128139,0.12532998,0.00284011,0.42042668,0.27009040,0.13157204
-4.82341171,2.06846532,0.43020265,1.36007473,0.02170675,0.11389810,0.00283980,0.39707195,0.25525338,0.12734812
-4.81740870,2.01786087,0.39284128,1.34424671,0.02211758,0.10348176,0.00284636,0.37648975,0.24207020,0.12391451
-4.81140570,1.97764008,0.35909903,1.33360292,0.02250875,0.09413862,0.00285961,0.35881705,0.23069026,0.12127357
-4.80540270,1.94779979,0.32912693,1.32804730,0.02287527,0.08590321,0.00287918,0.34413191,0.22122234,0.11940824
-4.79939970,1.92814707,0.30300267,1.32739852,0.02321241,0.07878879,0.00290459,0.33245674,0.21373479,0.11828343
-4.79339670,1.91831909,0.28073686,1.33140028,0.02351581,0.07278961,0.00293525,0.32376268,0.20825679,0.11784802
-4.78739370,1.91780657,0.26228045,1.33973393,0.02378166,0.06788341,0.00297048,0.31797484,0.20478035,0.11803699
-4.78139070,1.92597995,0.24753239,1.35203261,0.02400675,0.06403402,0.00300953,0.31497801,0.20326294,0.11877397
-4.77538769,1.94211679,0.23634754,1.36789609,0.02418855,0.06119393,0.00305160,0.31462271,0.20363075,0.11997383
-4.76938469,1.96542942,0.22854443,1.38690587,0.02432526,0.05930686,0.00309585,0.31673131,0.20578220,0.12154543
-4.76338169,1.99509156,0.22391256,1.40863944,0.02441584,0.05830997,0.00314138,0.32110393,0.20959172,0.12339432
-4.75737869,2.03026303,0.22221915,1.43268336,0.02445999,0.05813599,0.00318728,0.32752418,0.21491360,0.12542540
-4.75137569,2.07011159,0.22321534,1.45864436,0.02445812,0.05871495,0.00323261,0.33576436,0.22158597,0.12754545
-4.74537269,2.11383121,0.22664159,1.48615797,0.02441135,0.05997561,0.00327645,0.34559031,0.22943448,0.12966543
-4.73936968,2.16065633,0.23223248,1.51489437,0.02432142,0.06184667,0.00331782,0.35676561,0.23827607,0.13170254
-4.73336668,2.20987167,0.23972081,1.54456121,0.02419062,0.06425756,0.00335580,0.36905528,0.24792235,0.13358204
-4.72736368,2.26081763,0.24884116,1.57490328,0.02402177,0.06713905,0.00338946,0.38222884,0.25818281,0.13523864
-4.72136068,2.31289132,0.25933288,1.60569928,0.02381812,0.07042357,0.00341792,0.39606286,0.26886777,0.13661757
-4.71535768,2.36554371,0.27094263,1.63675593,0.02358328,0.07404537,0.00344033,0.41034295,0.27979097,0.13767533
-4.70935468,2.41827333,0.28342646,1.66789999,0.02332115,0.07794051,0.00345592,0.42486521,0.29077186,0.13837999
-4.70335168,2.47061755,0.29655162,1.69896875,0.02303585,0.08204676,0.00346401,0.43943726,0.30163763,0.13871111
-4.69734867,2.52214210,0.31009788,1.72979997,0.02273167,0.08630343,0.00346399,0.45387886,0.31222485,0.13865938
-4.69134567,2.57243012,0.32385861,1.76022186,0.02241301,0.09065117,0.00345540,0.46802214,0.32238088,0.13822589
-4.68534267,2.62107173,0.33764158,1.79004433,0.02208429,0.09503189,0.00343787,0.48171164,0.33196502,0.13742110
-4.67933967,2.66765510,0.35126934,1.81905201,0.02174994,0.09938858,0.00341119,0.49480408,0.34084937,0.13626366
-4.67333667,2.71176017,0.36457944,1.84700008,0.02141434,0.10366539,0.00337527,0.50716808,0.34891952,0.13477897
-4.66733367,2.75295559,0.37742427,1.87361327,0.02108179,0.10780773,0.00333019,0.51868374,0.35607517,0.13299771
-4.66133067,2.79079961,0.38967070,1.89858854,0.02075643,0.11176250,0.00327615,0.52924239,0.36223044,0.13095426
-4.65532766,2.82484496,0.40119957,1.92160140,0.02044227,0.11547849,0.00321348,0.53874627,0.36731433,0.12868520
-4.64932466,2.85464780,0.41190489,1.94231577,0.02014310,0.11890688,0.00314267,0.54710844,0.37127090,0.12622783
-4.64332166,2.87978017,0.42169305,1.96039674,0.01986253,0.12200184,0.00306431,0.55425287,0.37405953,0.12361885
