energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-4.00100050,3.31565577,0.01180925,0.14322912,0.38366646,0.08185752,0.67320770,3.11547966,0.22422012,0.00000000
-3.99499750,3.23980001,0.01200180,0.14534130,0.39216104,0.08132251,0.64949282,3.02850783,0.21956193,0.00000000
-3.98899450,3.16143411,0.01224636,0.14727303,0.40116010,0.08074835,0.62600011,2.93881314,0.21519032,0.00000000
-3.98299150,3.08138711,0.01253625,0.14900933,0.41055936,0.08015024,0.60296206,2.84728143,0.21117653,0.00000000
-3.97698849,3.00063817,0.01286497,0.15053828,0.42027184,0.07954435,0.58064254,2.75495674,0.20759826,0.00000000
-3.97098549,2.92028482,0.01322642,0.15185111,0.43022860,0.07894716,0.55932751,2.66300921,0.20453592,0.00000000
-3.96498249,2.84150515,0.01361490,0.15294226,0.44037824,0.07837483,0.53931426,2.57269633,0.20206866,0.00000000
-3.95897949,2.76551564,0.01402526,0.15380933,0.45068537,0.07784259,0.52089972,2.48531931,0.20027023,0.00000000
-3.95297649,2.69352628,0.01445294,0.15445304,0.46112812,0.07736424,0.50436827,2.40217645,0.19920494,0.00000000
-3.94697349,2.62669515,0.01489401,0.15487707,0.47169470,0.07695166,0.48997960,2.32451555,0.19892390,0.00000000
-3.94097049,2.56608414,0.01534522,0.15508777,0.48237933,0.07661442,0.47795711,2.25348748,0.19946167,0.00000000
-3.93496748,2.51261788,0.01580399,0.15509387,0.49317766,0.07635945,0.46847743,2.19010296,0.20083358,0.00000000
-3.92896448,2.46704763,0.01626845,0.15490602,0.50408192,0.07619083,0.46166140,2.13519437,0.20303376,0.00000000
-3.92296148,2.42992158,0.01673731,0.15453624,0.51507613,0.07610967,0.45756708,2.08938438,0.20603411,0.00000000
-3.91695848,2.40156306,0.01720993,0.15399737,0.52613161,0.07611404,0.45618499,2.05306266,0.20978419,0.00000000
-3.91095548,2.38205746,0.01768617,0.15330236,0.53720310,0.07619902,0.45743594,2.02637165,0.21421221,0.00000000
-3.90495248,2.37124843,0.01816639,0.15246371,0.54822577,0.07635691,0.46117155,2.00920201,0.21922692,0.00000000
-3.89894947,2.36874376,0.01865133,0.15149278,0.55911333,0.07657738,0.46717748,2.00119782,0.22472066,0.00000000
-3.89294647,2.37393034,0.01914207,0.15039933,0.56975750,0.07684788,0.47517940,2.00177131,0.23057313,0.00000000
-3.88694347,2.38599789,0.01963993,0.14919107,0.58002887,0.07715403,0.48485138,2.01012627,0.23665606,0.00000000
-3.88094047,2.40397010,0.02014641,0.14787343,0.58977930,0.07748013,0.49582649,2.02528906,0.24283836,0.00000000
-3.87493747,2.42674205,0.02066311,0.14644952,0.59884570,0.07780967,0.50770920,2.04614580,0.24899171,0.00000000
-3.86893447,2.45312190,0.02119167,0.14492022,0.60705519,0.07812596,0.52008906,2.07148387,0.25499622,0.00000000
-3.86293147,2.48187521,0.02173368,0.14328454,0.61423127,0.07841271,0.53255512,2.10003601,0.26074600,0.00000000
