energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.67933967,9.42516418,0.40533557,5.95344216,0.05450440,0.67768114,2.57845400,1.79939661,0.07482163,0.97756983
-4.67333667,9.42398193,0.39195957,5.98205205,0.05488362,0.67160412,2.53037516,1.78679935,0.07450559,0.96730975
-4.66733367,9.40532973,0.37790344,5.99880479,0.05511091,0.66505666,2.47970435,1.77074464,0.07411716,0.95509307
-4.66133067,9.36753731,0.36323874,6.00229454,0.05517695,0.65800294,2.42651489,1.75116254,0.07363830,0.94082225
-4.65532766,9.30953264,0.34807246,5.99144939,0.05507265,0.65045790,2.37109200,1.72812799,0.07305193,0.92446935
-4.64932466,9.23088599,0.33254147,5.96557560,0.05478958,0.64248382,2.31391331,1.70186393,0.07234268,0.90607712
-4.64332166,9.13183126,0.31680616,5.92438847,0.05432041,0.63418478,2.25562218,1.67273895,0.07149758,0.88575809
-4.63731866,9.01326258,0.30104355,5.86802764,0.05365944,0.62569932,2.19699513,1.64125954,0.07050672,0.86369175
-4.63131566,8.87670571,0.28544006,5.79705587,0.05280306,0.61719142,2.13890456,1.60805699,0.06936378,0.84011957
-4.62531266,8.72426472,0.27018431,5.71244102,0.05175025,0.60884039,2.08227826,1.57386939,0.06806640,0.81533805
-4.61930965,8.55854586,0.25546023,5.61552172,0.05050301,0.60083003,2.02805734,1.53951944,0.06661645,0.78968991
-4.61330665,8.38256180,0.24144061,5.50795839,0.04906660,0.59333758,1.97715416,1.50588874,0.06502009,0.76355354
-4.60730365,8.19962035,0.22828144,5.39167180,0.04744980,0.58652297,1.93041209,1.47388980,0.06328769,0.73733116
-4.60130065,8.01320263,0.21611708,5.26877213,0.04566492,0.58051896,1.88856865,1.44443687,0.06143357,0.71143606
-4.59529765,7.82683659,0.20505646,5.14148200,0.04372772,0.57542261,1.85222354,1.41841678,0.05947562,0.68627917
-4.58929465,7.64397168,0.19518043,5.01205733,0.04165712,0.57128869,1.82181308,1.39666120,0.05743481,0.66225587
-4.58329165,7.46786077,0.18654022,4.88270978,0.03947489,0.56812517,1.79759199,1.37992154,0.05533459,0.63973307
-4.57728864,7.30145510,0.17915705,4.75553466,0.03720503,0.56589146,1.77962361,1.36884758,0.05320031,0.61903756
-4.57128564,7.14731711,0.17302283,4.63244775,0.03487329,0.56449910,1.76777878,1.36397087,0.05105854,0.60044579
