energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.55777889,0.28923795,0.06751630,0.00000000,0.00002328,0.04024380,0.10968275,0.24308139
1.56378189,0.32597578,0.07640294,0.00000000,0.00003219,0.04464754,0.12178850,0.27595861
1.56978489,0.36514078,0.08593906,0.00000000,0.00004419,0.04918786,0.13429342,0.31144686
1.57578789,0.40654902,0.09609011,0.00000000,0.00006023,0.05381417,0.14706279,0.34946291
1.58179090,0.44996444,0.10680814,0.00000000,0.00008150,0.05847005,0.15994605,0.38987552
1.58779390,0.49510122,0.11803190,0.00000000,0.00010950,0.06309464,0.17278056,0.43250442
1.59379690,0.54162807,0.12968733,0.00000000,0.00014606,0.06762427,0.18539622,0.47712076
1.59979990,0.58917440,0.14168853,0.00000000,0.00019342,0.07199445,0.19762085,0.52344894
1.60580290,0.63733819,0.15393916,0.00000000,0.00025431,0.07614200,0.20928624,0.57117012
1.61180590,0.68569555,0.16633423,0.00000000,0.00033195,0.08000736,0.22023454,0.61992721
1.61780890,0.73381146,0.17876237,0.00000000,0.00043020,0.08353691,0.23032484,0.66933137
1.62381191,0.78125158,0.19110834,0.00000000,0.00055351,0.08668525,0.23943954,0.71896989
1.62981491,0.82759452,0.20325583,0.00000000,0.00070706,0.08941729,0.24749036,0.76841527
1.63581791,0.87244433,0.21509042,0.00000000,0.00089672,0.09171009,0.25442343,0.81723524
1.64182091,0.91544246,0.22650261,0.00000000,0.00112908,0.09355428,0.26022350,0.86500337
1.64782391,0.95627894,0.23739081,0.00000000,0.00141145,0.09495507,0.26491671,0.91131007
1.65382691,0.99470217,0.24766412,0.00000000,0.00175176,0.09593271,0.26857191,0.95577338
1.65982991,1.03052679,0.25724484,0.00000000,0.00215851,0.09652233,0.27130018,0.99804935
1.66583292,1.06363945,0.26607066,0.00000000,0.00264061,0.09677328,0.27325272,1.03784139
1.67183592,1.09400181,0.27409620,0.00000000,0.00320719,0.09674775,0.27461682,1.07490832
1.67783892,1.12165083,0.28129413,0.00000000,0.00386736,0.09651890,0.27561015,1.10907064
1.68384192,1.14669596,0.28765551,0.00000000,0.00462994,0.09616845,0.27647344,1.14021459
1.68984492,1.16931329,0.29318948,0.00000000,0.00550308,0.09578380,0.27746189,1.16829388
1.69584792,1.18973669,0.29792227,0.00000000,0.00649391,0.09545488,0.27883538,1.19332873
1.70185093,1.20824619,0.30189539,0.00000000,0.00760813,0.09527073,0.28084805,1.21540208
1.70785393,1.22515393,0.30516329,0.00000000,0.00884953,0.09531597,0.28373757,1.23465316
1.71385693,1.24078805,0.30779036,0.00000000,0.01021958,0.09566738,0.28771447,1.25126838
1.71985993,1.25547533,0.30984749,0.00000000,0.01171702,0.09639062,0.29295210,1.26546987
1.72586293,1.26952299,0.31140825,0.00000000,0.01333746,0.09753724,0.29957750,1.27750214
1.73186593,1.28320075,0.31254499,0.00000000,0.01507306,0.09914222,0.30766377,1.28761744
1.73786893,1.29672371,0.31332486,0.00000000,0.01691229,0.10122197,0.31722420,1.29606034
1.74387194,1.31023702,0.31380614,0.00000000,0.01883984,0.10377304,0.32820853,1.30305245
1.74987494,1.32380330,0.31403485,0.00000000,0.02083662,0.10677151,0.34050151,1.30877799
1.75587794,1.33739330,0.31404211,0.00000000,0.02287988,0.11017317,0.35392403,1.31337110
1.76188094,1.35088068,0.31384208,0.00000000,0.02494360,0.11391447,0.36823677,1.31690556
1.76788394,1.36404134,0.31343094,0.00000000,0.02699890,0.11791419,0.38314633,1.31938767
1.77388694,1.37655751,0.31278673,0.00000000,0.02901471,0.12207588,0.39831375,1.32075285
1.77988994,1.38802680,0.31187030,0.00000000,0.03095856,0.12629091,0.41336496,1.32086623
1.78589295,1.39797587,0.31062719,0.00000000,0.03279743,0.13044200,0.42790304,1.31952750
1.79189595,1.40587845,0.30899048,0.00000000,0.03449880,0.13440724,0.44152158,1.31647983
1.79789895,1.41117689,0.30688453,0.00000000,0.03603167,0.13806429,0.45381875,1.31142261
1.80390195,1.41330641,0.30422923,0.00000000,0.03736767,0.14129466,0.46441152,1.30402747
1.80990495,1.41172098,0.30094486,0.00000000,0.03848205,0.14398794,0.47294928,1.29395673
1.81590795,1.40591963,0.29695701,0.00000000,0.03935470,0.14604576,0.47912656,1.28088350
1.82191096,1.39547197,0.29220159,0.00000000,0.03997102,0.14738534,0.48269398,1.26451235
1.82791396,1.38004172,0.28662947,0.00000000,0.04032261,0.14794244,0.48346730,1.24459955
1.83391696,1.35940706,0.28021063,0.00000000,0.04040784,0.14767371,0.48133396,1.22097165
1.83991996,1.33347695,0.27293760,0.00000000,0.04023215,0.14655825,0.47625697,1.19354175
1.84592296,1.30230250,0.26482798,0.00000000,0.03980821,0.14459831,0.46827606,1.16232238
1.85192596,1.26608303,0.25592603,0.00000000,0.03915579,0.14181925,0.45750593,1.12743441
1.85792896,1.22516656,0.24630311,0.00000000,0.03830147,0.13826863,0.44413203,1.08911169
1.86393197,1.18004469,0.23605719,0.00000000,0.03727810,0.13401456,0.42840382,1.04770114
1.86993497,1.13134233,0.22531127,0.00000000,0.03612412,0.12914341,0.41062611,1.00365833
1.87593797,1.07980277,0.21421096,0.00000000,0.03488272,0.12375696,0.39114880,0.95753895
1.88194097,1.02626886,0.20292127,0.00000000,0.03360088,0.11796912,0.37035558,0.90998658
1.88794397,0.97166124,0.19162285,0.00000000,0.03232832,0.11190240,0.34865210,0.86171738
1.89394697,0.91695457,0.18050783,0.00000000,0.03111642,0.10568422,0.32645406,0.81350251
1.89994997,0.86315276,0.16977536,0.00000000,0.03001710,0.09944329,0.30417583,0.76614902
1.90595298,0.81126421,0.15962723,0.00000000,0.02908172,0.09330608,0.28221988,0.72048006
1.91195598,0.76227782,0.15026345,0.00000000,0.02835999,0.08739357,0.26096751,0.67731509
1.91795898,0.71714063,0.14187815,0.00000000,0.02789895,0.08181834,0.24077102,0.63745080
1.92396198,0.67673758,0.13465571,0.00000000,0.02774201,0.07668214,0.22194753,0.60164331
1.92996498,0.64187375,0.12876735,0.00000000,0.02792803,0.07207383,0.20477458,0.57059203
1.93596798,0.61325953,0.12436800,0.00000000,0.02849051,0.06806791,0.18948741,0.54492542
1.94197099,0.59149853,0.12159362,0.00000000,0.02945682,0.06472347,0.17627783,0.52518901
1.94797399,0.57707838,0.12055888,0.00000000,0.03084755,0.06208369,0.16529467,0.51183543
1.95397699,0.57036427,0.12135517,0.00000000,0.03267591,0.06017574,0.15664539,0.50521668
1.95997999,0.57159495,0.12404886,0.00000000,0.03494726,0.05901114,0.15039882,0.50557839
1.96598299,0.58088103,0.12867988,0.00000000,0.03765869,0.05858640,0.14658867,0.51305603
1.97198599,0.59820542,0.13526054,0.00000000,0.04079882,0.05888410,0.14521767,0.52767291
1.97798899,0.62342558,0.14377457,0.00000000,0.04434762,0.05987411,0.14626195,0.54933980
1.98399200,0.65627758,0.15417643,0.00000000,0.04827643,0.06151513,0.14967570,0.57785631
1.98999500,0.69638178,0.16639098,0.00000000,0.05254819,0.06375626,0.15539566,0.61291371
1.99599800,0.74325008,0.18031344,0.00000000,0.05711779,0.06653878,0.16334549,0.65409946
2.00200100,0.79629474,0.19580990,0.00000000,0.06193269,0.06979796,0.17343977,0.70090330
2.00800400,0.85483874,0.21271827,0.00000000,0.06693367,0.07346483,0.18558754,0.75272508
2.01400700,0.91812764,0.23084981,0.00000000,0.07205588,0.07746793,0.19969533,0.80888426
2.02001001,0.98534290,0.24999146,0.00000000,0.07723004,0.08173505,0.21566960,0.86863123
2.02601301,1.05561649,0.26990864,0.00000000,0.08238382,0.08619472,0.23341845,0.93116021
2.03201601,1.12804662,0.29034895,0.00000000,0.08744340,0.09077761,0.25285268,0.99562371
2.03801901,1.20171442,0.31104643,0.00000000,0.09233514,0.09541776,0.27388610,1.06114841
2.04402201,1.27570093,0.33172639,0.00000000,0.09698732,0.10005346,0.29643507,1.12685189
