energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
0.88544272,4.69147365,0.00539322,0.15004822,0.13899517,2.01884879,0.16462592,1.76277793,0.73493332,0.67106539
0.89144572,4.80448060,0.00592642,0.15021034,0.13274361,2.06855117,0.17000437,1.82509665,0.76911664,0.67513279
0.89744872,4.92461835,0.00647883,0.15099071,0.12682788,2.12130634,0.17580698,1.88951200,0.80528494,0.67997974
0.90345173,5.05087794,0.00704240,0.15243306,0.12131644,2.17655935,0.18193232,1.95558974,0.84308806,0.68559590
0.90945473,5.18187037,0.00760832,0.15456192,0.11626163,2.23358638,0.18825746,2.02277420,0.88209674,0.69191971
0.91545773,5.31585097,0.00816721,0.15738220,0.11169892,2.29150829,0.19464087,2.09039648,0.92181009,0.69883956
0.92146073,5.45076188,0.00870928,0.16087945,0.10764685,2.34931236,0.20092644,2.15768843,0.96166657,0.70619741
0.92746373,5.58429074,0.00922460,0.16502079,0.10410769,2.40588128,0.20694833,2.22380169,1.00105807,0.71379473
0.93346673,5.71394280,0.00970334,0.16975639,0.10106868,2.46002815,0.21253663,2.28783116,1.03934663,0.72140022
0.93946973,5.83712320,0.01013607,0.17502150,0.09850373,2.51053591,0.21752341,2.34884163,1.07588314,0.72875920
0.94547274,5.95122511,0.01051403,0.18073869,0.09637553,2.55619922,0.22174900,2.40589639,1.11002714,0.73560371
0.95147574,6.05371983,0.01082940,0.18682052,0.09463785,2.59586689,0.22506824,2.45808645,1.14116713,0.74166319
0.95747874,6.14224416,0.01107554,0.19317221,0.09323804,2.62848276,0.22735617,2.50455903,1.16874019,0.74667494
0.96348174,6.21468136,0.01124725,0.19969439,0.09211940,2.65312320,0.22851324,2.54454397,1.19225037,0.75039386
0.96948474,6.26923180,0.01134089,0.20628586,0.09122355,2.66902943,0.22846940,2.57737709,1.21128496,0.75260120
0.97548774,6.30447056,0.01135454,0.21284606,0.09049250,2.67563333,0.22718720,2.60251938,1.22552787,0.75311171
0.98149075,6.31938978,0.01128809,0.21927753,0.08987051,2.67257577,0.22466355,2.61957149,1.23476982,0.75177919
0.98749375,6.31342450,0.01114316,0.22548801,0.08930561,2.65971665,0.22093008,2.62828310,1.23891475,0.74850005
0.99349675,6.28646156,0.01092312,0.23139237,0.08875074,2.63713672,0.21605220,2.62855711,1.23798240,0.74321512
0.99949975,6.23883219,0.01063296,0.23691417,0.08816463,2.60513124,0.21012679,2.62044862,1.23210697,0.73590955
1.00550275,6.17128940,0.01027905,0.24198709,0.08751230,2.56419622,0.20327864,2.60415937,1.22153203,0.72661109
1.01150575,6.08497208,0.00986900,0.24655592,0.08676523,2.51500806,0.19565597,2.58002797,1.20660196,0.71538698
1.01750875,5.98135826,0.00941135,0.25057741,0.08590138,2.45839790,0.18742498,2.54851669,1.18775034,0.70233973
1.02351176,5.86220994,0.00891532,0.25402075,0.08490489,2.39532191,0.17876392,2.51019560,1.16548582,0.68760205
1.02951476,5.72951243,0.00839049,0.25686783,0.08376568,2.32682901,0.16985685,2.46572480,1.14037604,0.67133131
1.03551776,5.58541076,0.00784650,0.25911314,0.08247893,2.25402742,0.16088733,2.41583547,1.11303024,0.65370379
1.04152076,5.43214562,0.00729283,0.26076348,0.08104447,2.17805135,0.15203232,2.36131044,1.08408117,0.63490899
1.04752376,5.27199117,0.00673845,0.26183723,0.07946611,2.10002904,0.14345660,2.30296476,1.05416688,0.61514416
1.05352676,5.10719642,0.00619168,0.26236341,0.07775102,2.02105314,0.13530779,2.24162694,1.02391301,0.59460931
1.05952976,4.93993164,0.00565993,0.26238042,0.07590906,1.94215432,0.12771225,2.17812095,0.99391616,0.57350272
1.06553277,4.77224109,0.00514965,0.26193445,0.07395220,1.86427863,0.12077195,2.11324950,0.96472860,0.55201709
1.07153577,4.60600250,0.00466613,0.26107767,0.07189391,1.78826906,0.11456232,2.04777868,0.93684494,0.53033623
1.07753877,4.44289411,0.00421353,0.25986621,0.06974866,1.71485151,0.10913120,1.98242420,0.91069100,0.50863248
1.08354177,4.28436929,0.00379485,0.25835799,0.06753141,1.64462526,0.10449892,1.91783929,0.88661507,0.48706463
1.08954477,4.13163889,0.00341196,0.25661052,0.06525724,1.57805781,0.10065923,1.85460459,0.86488191,0.46577645
1.09554777,3.98566139,0.00306567,0.25467872,0.06294091,1.51548402,0.09758132,1.79322002,0.84566947,0.44489573
1.10155078,3.84714060,0.00275586,0.25261293,0.06059660,1.45710916,0.09521254,1.73409894,0.82906850,0.42453382
1.10755378,3.71653075,0.00248156,0.25045718,0.05823767,1.40301569,0.09348182,1.67756472,0.81508495,0.40478562
1.11355678,3.59404882,0.00224111,0.24824777,0.05587639,1.35317336,0.09230364,1.62384993,0.80364514,0.38573007
1.11955978,3.47969359,0.00203230,0.24601240,0.05352394,1.30745216,0.09158232,1.57309827,0.79460354,0.36743105
1.12556278,3.37327090,0.00185253,0.24376977,0.05119024,1.26563773,0.09121647,1.52536936,0.78775276,0.34993874
1.13156578,3.27442453,0.00169892,0.24152972,0.04888403,1.22744871,0.09110358,1.48064619,0.78283565,0.33329137
1.13756878,3.18267172,0.00156848,0.23929395,0.04661292,1.19255543,0.09114434,1.43884533,0.77955882,0.31751735
1.14357179,3.09744210,0.00145821,0.23705730,0.04438351,1.16059941,0.09124676,1.39982928,0.77760732,0.30263781
1.14957479,3.01811884,0.00136524,0.23480937,0.04220156,1.13121289,0.09132987,1.36342078,0.77665970,0.28866926
1.15557779,2.94408029,0.00128685,0.23253657,0.04007219,1.10403785,0.09132682,1.32941833,0.77640294,0.27562653
1.16158079,2.87474044,0.00122062,0.23022433,0.03800010,1.07874370,0.09118747,1.29761223,0.77654657,0.26352566
1.16758379,2.80958628,0.00116442,0.22785935,0.03598978,1.05504299,0.09088014,1.26780029,0.77683536,0.25238667
1.17358679,2.74821044,0.00111650,0.22543172,0.03404572,1.03270447,0.09039272,1.23980250,0.77705996,0.24223610
1.17958979,2.69033718,0.00107545,0.22293680,0.03217255,1.01156302,0.08973298,1.21347365,0.77706496,0.23310903
1.18559280,2.63584032,0.00104023,0.22037660,0.03037518,0.99152583,0.08892801,1.18871324,0.77675396,0.22505052
1.19159580,2.58475210,0.00101017,0.21776073,0.02865883,0.97257456,0.08802307,1.16547204,0.77609141,0.21811626
1.19759880,2.53726199,0.00098491,0.21510656,0.02702907,0.95476349,0.08707962,1.14375481,0.77510100,0.21237239
1.20360180,2.49370540,0.00096437,0.21243891,0.02549168,0.93821342,0.08617273,1.12361896,0.77386073,0.20789422
1.20960480,2.45454258,0.00094873,0.20978893,0.02405257,0.92310178,0.08538797,1.10516908,0.77249492,0.20476407
1.21560780,2.42032842,0.00093834,0.20719248,0.02271752,0.90964934,0.08481788,1.08854772,0.77116343,0.20306807
1.22161081,2.39167473,0.00093371,0.20468796,0.02149199,0.89810399,0.08455804,1.07392280,0.77004885,0.20289196
1.22761381,2.36920666,0.00093540,0.20231384,0.02038082,0.88872265,0.08470298,1.06147245,0.76934217,0.20431620
1.23361681,2.35351556,0.00094399,0.20010596,0.01938794,0.88175190,0.08534208,1.05136803,0.76922779,0.20741036
1.23961981,2.34511079,0.00096004,0.19809485,0.01851606,0.87740852,0.08655549,1.04375659,0.76986870,0.21222725
1.24562281,2.34437296,0.00098398,0.19630324,0.01776648,0.87586084,0.08841023,1.03874358,0.77139269,0.21879679
1.25162581,2.35151138,0.00101613,0.19474388,0.01713879,0.87721195,0.09095676,1.03637715,0.77388020,0.22712022
1.25762881,2.36652799,0.00105663,0.19341801,0.01663075,0.88148558,0.09422595,1.03663484,0.77735480,0.23716477
1.26363182,2.38919006,0.00110538,0.19231434,0.01623819,0.88861547,0.09822668,1.03941368,0.78177652,0.24885911
1.26963482,2.41901328,0.00116208,0.19140883,0.01595500,0.89843897,0.10294415,1.04452441,0.78703872,0.26209009
1.27563782,2.45525664,0.00122614,0.19066526,0.01577317,0.91069509,0.10833899,1.05169017,0.79296846,0.27670078
1.28164082,2.49692964,0.00129676,0.19003654,0.01568298,0.92502733,0.11434727,1.06055003,0.79933059,0.29249022
1.28764382,2.54281195,0.00137288,0.18946671,0.01567318,0.94099131,0.12088133,1.07066726,0.80583526,0.30921491
1.29364682,2.59148494,0.00145321,0.18889360,0.01573135,0.95806679,0.12783160,1.08154202,0.81214851,0.32659226
1.29964982,2.64137386,0.00153629,0.18825188,0.01584418,0.97567377,0.13506930,1.09262791,0.81790545,0.34430584
1.30565283,2.69079905,0.00162050,0.18747651,0.01599796,0.99319192,0.14244983,1.10335168,0.82272534,0.36201245
1.31165583,2.73803389,0.00170411,0.18650618,0.01617893,1.00998249,0.14981710,1.11313514,0.82622789,0.37935071
1.31765883,2.78136700,0.00178536,0.18528685,0.01637378,1.02541180,0.15700820,1.12141809,0.82804988,0.39595094
1.32366183,2.81916592,0.00186250,0.18377486,0.01657004,1.03887518,0.16385871,1.12768136,0.82786148,0.41144603
1.32966483,2.84993928,0.00193385,0.18193968,0.01675651,1.04982039,0.17020806,1.13146860,0.82538125,0.42548266
1.33566783,2.87239479,0.00199786,0.17976613,0.01692359,1.05776932,0.17590501,1.13240596,0.82038938,0.43773271
1.34167084,2.88549010,0.00205320,0.17725584,0.01706360,1.06233711,0.18081289,1.13021849,0.81273839,0.44790397
1.34767384,2.88847443,0.00209877,0.17442790,0.01717098,1.06324768,0.18481444,1.12474252,0.80236089,0.45575013
