energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.47173587,1.92387375,-1.92387376,0.12168813,-0.12168813,0.00000000,-0.00000000,0.67739482,-0.67739482,0.60810847,-0.60810847,0.02612854,-0.02612854,1.03287785,-1.03287785
-5.46573287,1.89393130,-1.89393130,0.11950869,-0.11950869,0.00000000,-0.00000000,0.66876060,-0.66876060,0.60597663,-0.60597663,0.02589867,-0.02589867,1.01657469,-1.01657470
-5.45972986,1.85684729,-1.85684729,0.11672340,-0.11672340,0.00000000,-0.00000000,0.65729712,-0.65729712,0.60157107,-0.60157107,0.02556346,-0.02556346,0.99705885,-0.99705885
-5.45372686,1.81370143,-1.81370144,0.11340856,-0.11340856,0.00000000,-0.00000000,0.64328730,-0.64328730,0.59525360,-0.59525360,0.02514043,-0.02514043,0.97488425,-0.97488425
-5.44772386,1.76575233,-1.76575234,0.10965177,-0.10965177,0.00000000,-0.00000000,0.62708641,-0.62708641,0.58744592,-0.58744592,0.02464905,-0.02464905,0.95069883,-0.95069884
-5.44172086,1.71440225,-1.71440225,0.10554936,-0.10554936,0.00000000,-0.00000000,0.60911237,-0.60911237,0.57861707,-0.57861707,0.02411003,-0.02411003,0.92522655,-0.92522655
-5.43571786,1.66115758,-1.66115758,0.10120361,-0.10120361,0.00000000,-0.00000000,0.58983418,-0.58983418,0.56926918,-0.56926918,0.02354454,-0.02354454,0.89924677,-0.89924677
-5.42971486,1.60758654,-1.60758654,0.09671991,-0.09671991,0.00000000,-0.00000000,0.56975910,-0.56975910,0.55992228,-0.55992228,0.02297348,-0.02297348,0.87357205,-0.87357205
-5.42371186,1.55527574,-1.55527575,0.09220392,-0.09220392,0.00000000,-0.00000000,0.54941887,-0.54941887,0.55109865,-0.55109865,0.02241667,-0.02241667,0.84902501,-0.84902502
-5.41770885,1.50578703,-1.50578703,0.08775888,-0.08775888,0.00000000,-0.00000000,0.52935557,-0.52935557,0.54330724,-0.54330724,0.02189218,-0.02189218,0.82641514,-0.82641514
-5.41170585,1.46061614,-1.46061615,0.08348305,-0.08348305,0.00000000,-0.00000000,0.51010757,-0.51010757,0.53702885,-0.53702885,0.02141576,-0.02141576,0.80651636,-0.80651636
-5.40570285,1.42115439,-1.42115440,0.07946755,-0.07946755,0.00000000,-0.00000000,0.49219600,-0.49219600,0.53270243,-0.53270243,0.02100030,-0.02100030,0.79004606,-0.79004606
-5.39969985,1.38865439,-1.38865439,0.07579440,-0.07579440,0.00000000,-0.00000000,0.47611215,-0.47611215,0.53071299,-0.53071299,0.02065554,-0.02065554,0.77764611,-0.77764611
-5.39369685,1.36420054,-1.36420054,0.07253506,-0.07253506,0.00000000,-0.00000000,0.46230603,-0.46230604,0.53138140,-0.53138140,0.02038779,-0.02038779,0.76986642,-0.76986642
-5.38769385,1.34868489,-1.34868490,0.06974921,-0.06974921,0.00000000,-0.00000000,0.45117644,-0.45117644,0.53495635,-0.53495635,0.02019990,-0.02019990,0.76715127,-0.76715127
-5.38169085,1.34278854,-1.34278854,0.06748405,-0.06748405,0.00000000,-0.00000000,0.44306249,-0.44306249,0.54160851,-0.54160851,0.02009132,-0.02009132,0.76982867,-0.76982868
-5.37568784,1.34696855,-1.34696855,0.06577382,-0.06577382,0.00000000,-0.00000000,0.43823694,-0.43823694,0.55142693,-0.55142693,0.02005833,-0.02005833,0.77810278,-0.77810279
-5.36968484,1.36145038,-1.36145038,0.06463975,-0.06463975,0.00000000,-0.00000000,0.43690104,-0.43690104,0.56441766,-0.56441767,0.02009431,-0.02009431,0.79204931,-0.79204931
-5.36368184,1.38622529,-1.38622529,0.06409027,-0.06409027,0.00000000,-0.00000000,0.43918100,-0.43918100,0.58050437,-0.58050437,0.02019025,-0.02019025,0.81161382,-0.81161382
-5.35767884,1.42105248,-1.42105248,0.06412144,-0.06412144,0.00000000,-0.00000000,0.44512601,-0.44512601,0.59953075,-0.59953075,0.02033515,-0.02033515,0.83661278,-0.83661278
-5.35167584,1.46546545,-1.46546545,0.06471758,-0.06471758,0.00000000,-0.00000000,0.45470755,-0.45470755,0.62126468,-0.62126468,0.02051661,-0.02051661,0.86673701,-0.86673701
-5.34567284,1.51878213,-1.51878213,0.06585211,-0.06585211,0.00000000,-0.00000000,0.46782006,-0.46782006,0.64540355,-0.64540355,0.02072136,-0.02072136,0.90155743,-0.90155743
-5.33966983,1.58011839,-1.58011839,0.06748840,-0.06748840,0.00000000,-0.00000000,0.48428268,-0.48428268,0.67158095,-0.67158095,0.02093581,-0.02093581,0.94053291,-0.94053291
-5.33366683,1.64840460,-1.64840460,0.06958081,-0.06958081,0.00000000,-0.00000000,0.50384220,-0.50384220,0.69937410,-0.69937410,0.02114653,-0.02114653,0.98301990,-0.98301990
-5.32766383,1.72240496,-1.72240496,0.07207569,-0.07207569,0.00000000,-0.00000000,0.52617689,-0.52617689,0.72831222,-0.72831222,0.02134074,-0.02134074,1.02828384,-1.02828384
-5.32166083,1.80073943,-1.80073943,0.07491246,-0.07491246,0.00000000,-0.00000000,0.55090152,-0.55090152,0.75788541,-0.75788541,0.02150668,-0.02150668,1.07551211,-1.07551211
-5.31565783,1.88190807,-1.88190807,0.07802473,-0.07802473,0.00000000,-0.00000000,0.57757321,-0.57757321,0.78755414,-0.78755414,0.02163391,-0.02163391,1.12382855,-1.12382855
-5.30965483,1.96431777,-1.96431777,0.08134139,-0.08134139,0.00000000,-0.00000000,0.60569853,-0.60569853,0.81675912,-0.81675912,0.02171350,-0.02171350,1.17230927,-1.17230927
-5.30365183,2.04631111,-2.04631111,0.08478781,-0.08478781,0.00000000,-0.00000000,0.63474144,-0.63474144,0.84493163,-0.84493163,0.02173820,-0.02173820,1.21999982,-1.21999981
-5.29764882,2.12619726,-2.12619726,0.08828697,-0.08828697,0.00000000,-0.00000000,0.66413252,-0.66413252,0.87150413,-0.87150413,0.02170249,-0.02170249,1.26593337,-1.26593336
-5.29164582,2.20228462,-2.20228462,0.09176073,-0.09176073,0.00000000,-0.00000000,0.69327909,-0.69327909,0.89592109,-0.89592109,0.02160250,-0.02160250,1.30914993,-1.30914993
-5.28564282,2.27291471,-2.27291471,0.09513106,-0.09513106,0.00000000,-0.00000000,0.72157645,-0.72157645,0.91765006,-0.91765006,0.02143601,-0.02143601,1.34871612,-1.34871612
-5.27963982,2.33649693,-2.33649693,0.09832136,-0.09832136,0.00000000,-0.00000000,0.74841986,-0.74841986,0.93619260,-0.93619260,0.02120223,-0.02120223,1.38374518,-1.38374518
-5.27363682,2.39154324,-2.39154324,0.10125780,-0.10125780,0.00000000,-0.00000000,0.77321733,-0.77321733,0.95109512,-0.95109512,0.02090170,-0.02090170,1.41341688,-1.41341688
-5.26763382,2.43670209,-2.43670208,0.10387067,-0.10387067,0.00000000,-0.00000000,0.79540268,-0.79540268,0.96195916,-0.96195916,0.02053610,-0.02053610,1.43699666,-1.43699666
-5.26163082,2.47079049,-2.47079049,0.10609571,-0.10609571,0.00000000,-0.00000000,0.81444879,-0.81444879,0.96845103,-0.96845103,0.02010802,-0.02010802,1.45385352,-1.45385352
-5.25562781,2.49282328,-2.49282327,0.10787546,-0.10787546,0.00000000,-0.00000000,0.82988043,-0.82988043,0.97031032,-0.97031032,0.01962084,-0.01962084,1.46347600,-1.46347600
-5.24962481,2.50203828,-2.50203828,0.10916044,-0.10916044,0.00000000,-0.00000000,0.84128637,-0.84128637,0.96735705,-0.96735705,0.01907853,-0.01907853,1.46548563,-1.46548562
-5.24362181,2.49791655,-2.49791655,0.10991033,-0.10991033,0.00000000,-0.00000000,0.84833026,-0.84833026,0.95949706,-0.95949706,0.01848554,-0.01848554,1.45964726,-1.45964726
-5.23761881,2.48019653,-2.48019653,0.11009485,-0.11009485,0.00000000,-0.00000000,0.85075985,-0.85075985,0.94672542,-0.94672542,0.01784664,-0.01784664,1.44587584,-1.44587584
-5.23161581,2.44888146,-2.44888146,0.10969456,-0.10969456,0.00000000,-0.00000000,0.84841405,-0.84841405,0.92912750,-0.92912750,0.01716689,-0.01716689,1.42423912,-1.42423911
