energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Se_s_up,Se_p_up
4.96148074,4.93533546,0.02703316,0.29520302,2.53559879,3.43624111,0.54097175,0.11871720,0.47907843
4.96748374,5.04123386,0.02793710,0.30006316,2.59540018,3.51050995,0.54741061,0.12163502,0.49048864
4.97348674,5.14141831,0.02878430,0.30480106,2.65404651,3.58044935,0.55391279,0.12464190,0.50098094
4.97948974,5.23417438,0.02955982,0.30934156,2.71063206,3.64486511,0.56037016,0.12767403,0.51038036
4.98549275,5.31793954,0.03025058,0.31361797,2.76430344,3.70266807,0.56666380,0.13067180,0.51853134
4.99149575,5.39134296,0.03084563,0.31757362,2.81427895,3.75290425,0.57266721,0.13358118,0.52530217
4.99749875,5.45323933,0.03133637,0.32116290,2.85986534,3.79478105,0.57825006,0.13635495,0.53058872
5.00350175,5.50273549,0.03171664,0.32435172,2.90047135,3.82768831,0.58328216,0.13895355,0.53431737
5.00950475,5.53920866,0.03198283,0.32711739,2.93561752,3.85121346,0.58763756,0.14134586,0.53644694
5.01550775,5.56231547,0.03213379,0.32944800,2.96494201,3.86514985,0.59119854,0.14350944,0.53696954
5.02151076,5.57199155,0.03217077,0.33134122,2.98820243,3.86949808,0.59385933,0.14543065,0.53591029
5.02751376,5.56844178,0.03209726,0.33280277,3.00527354,3.86446011,0.59552924,0.14710430,0.53332588
5.03351676,5.55212156,0.03191869,0.33384446,3.01614140,3.85042656,0.59613529,0.14853308,0.52930205
5.03951976,5.52371043,0.03164222,0.33448215,3.02089412,3.82795772,0.59562400,0.14972667,0.52395010
5.04552276,5.48407898,0.03127636,0.33473359,3.01971001,3.79775927,0.59396237,0.15070063,0.51740256
5.05152576,5.43425098,0.03083066,0.33461639,3.01284378,3.76065378,0.59113805,0.15147511,0.50980826
5.05752876,5.37536236,0.03031534,0.33414620,3.00061139,3.71754938,0.58715866,0.15207340,0.50132695
5.06353177,5.30861901,0.02974098,0.33333521,2.98337445,3.66940692,0.58205046,0.15252043,0.49212380
5.06953477,5.23525531,0.02911821,0.33219113,2.96152483,3.61720720,0.57585629,0.15284137,0.48236396
5.07553777,5.15649506,0.02845743,0.33071663,2.93547011,3.56191955,0.56863319,0.15306015,0.47220742
5.08154077,5.07351650,0.02776865,0.32890932,2.90562045,3.50447299,0.56044966,0.15319826,0.46180446
5.08754377,4.98742258,0.02706131,0.32676222,2.87237738,3.44573114,0.55138284,0.15327373,0.45129173
5.09354677,4.89921762,0.02634423,0.32426475,2.83612470,3.38647161,0.54151577,0.15330026,0.44078923
5.09954977,4.80979068,0.02562560,0.32140406,2.79722183,3.32737053,0.53093496,0.15328679,0.43039824
5.10555278,4.71990621,0.02491304,0.31816679,2.75599965,3.26899240,0.51972823,0.15323730,0.42020016
5.11155578,4.63020161,0.02421374,0.31454090,2.71275864,3.21178548,0.50798317,0.15315090,0.41025643
5.11755878,4.54119137,0.02353464,0.31051772,2.66776950,3.15608227,0.49578608,0.15302232,0.40060933
5.12356178,4.45327704,0.02288268,0.30609383,2.62127569,3.10210488,0.48322149,0.15284261,0.39128359
5.12956478,4.36676216,0.02226502,0.30127300,2.57349779,3.04997452,0.47037227,0.15260017,0.38228876
5.13556778,4.28187086,0.02168934,0.29606765,2.52463942,2.99972436,0.45732016,0.15228197,0.37362204
5.14157079,4.19876917,0.02116414,0.29050020,2.47489402,2.95131508,0.44414677,0.15187486,0.36527162
5.14757379,4.11758746,0.02069898,0.28460391,2.42445250,2.90465193,0.43093474,0.15136706,0.35722002
5.15357679,4.03844299,0.02030473,0.27842334,2.37351093,2.85960270,0.41776911,0.15074960,0.34944763
5.15957979,3.96146126,0.01999373,0.27201432,2.32227815,2.81601543,0.40473860,0.15001766,0.34193591
5.16558279,3.88679496,0.01977995,0.26544351,2.27098257,2.77373537,0.39193665,0.14917187,0.33467040
5.17158579,3.81463965,0.01967900,0.25878751,2.21987800,2.73262008,0.37946222,0.14821925,0.32764311
5.17758879,3.74524527,0.01970805,0.25213154,2.16924779,2.69255246,0.36742006,0.14717397,0.32085452
5.18359180,3.67892277,0.01988573,0.24556774,2.11940714,2.65345085,0.35592046,0.14605768,0.31431474
5.18959480,3.61604556,0.02023177,0.23919318,2.07070313,2.61527616,0.34507829,0.14489946,0.30804406
