energy_ev,total_up,Au_p_up,Au_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-1.32966483,1.09677165,0.32934180,0.19739535,0.15997151,0.32250514,0.01944903,0.33240471,0.04208341,0.00000000
-1.32366183,1.09039099,0.32827370,0.19661928,0.15408988,0.31937030,0.01835221,0.33462170,0.03983197,0.00000000
-1.31765883,1.08540610,0.32816189,0.19631323,0.14830817,0.31715917,0.01728186,0.33679563,0.03784891,0.00000000
-1.31165583,1.08134519,0.32882386,0.19639304,0.14261649,0.31564414,0.01623604,0.33881607,0.03610004,0.00000000
-1.30565283,1.07776495,0.33005629,0.19677117,0.13701324,0.31461600,0.01521541,0.34057447,0.03455730,0.00000000
-1.29964982,1.07425645,0.33164233,0.19735836,0.13150510,0.31388539,0.01422310,0.34196671,0.03319854,0.00000000
-1.29364682,1.07045098,0.33335958,0.19806533,0.12610684,0.31328457,0.01326435,0.34289542,0.03200727,0.00000000
-1.28764382,1.06602591,0.33498848,0.19880467,0.12084123,0.31266914,0.01234633,0.34327222,0.03097260,0.00000000
-1.28164082,1.06071065,0.33632064,0.19949276,0.11573879,0.31192011,0.01147790,0.34301978,0.03008907,0.00000000
-1.27563782,1.05429259,0.33716697,0.20005189,0.11083753,0.31094592,0.01066936,0.34207365,0.02935671,0.00000000
-1.26963482,1.04662324,0.33736508,0.20041238,0.10618274,0.30968474,0.00993231,0.34038413,0.02878103,0.00000000
-1.26363182,1.03762417,0.33678590,0.20051479,0.10182672,0.30810664,0.00927952,0.33791784,0.02837316,0.00000000
-1.25762881,1.02729295,0.33533916,0.20031206,0.09782847,0.30621578,0.00872480,0.33465920,0.02815002,0.00000000
-1.25162581,1.01570850,0.33297752,0.19977165,0.09425350,0.30405234,0.00828296,0.33061179,0.02813456,0.00000000
-1.24562281,1.00303585,0.32969929,0.19887740,0.09117351,0.30169423,0.00796973,0.32579937,0.02835594,0.00000000
-1.23961981,0.98952984,0.32554968,0.19763127,0.08866613,0.29925816,0.00780173,0.32026668,0.02884984,0.00000000
-1.23361681,0.97553735,0.32062047,0.19605468,0.08681458,0.29690026,0.00779644,0.31407988,0.02965859,0.00000000
-1.22761381,0.96149781,0.31504828,0.19418937,0.08570721,0.29481583,0.00797209,0.30732653,0.03083132,0.00000000
-1.22161081,0.94794146,0.30901138,0.19209784,0.08543698,0.29323825,0.00834756,0.30011508,0.03242392,0.00000000
-1.21560780,0.93548512,0.30272537,0.18986311,0.08610076,0.29243679,0.00894224,0.29257380,0.03449887,0.00000000
-1.20960480,0.92482518,0.29643771,0.18758783,0.08779834,0.29271346,0.00977573,0.28484909,0.03712484,0.00000000
-1.20360180,0.91672762,0.29042141,0.18539278,0.09063130,0.29439854,0.01086756,0.27710319,0.04037606,0.00000000
-1.19759880,0.91201501,0.28496810,0.18341460,0.09470157,0.29784505,0.01223672,0.26951122,0.04433135,0.00000000
-1.19159580,0.91155047,0.28038062,0.18180283,0.10010963,0.30342194,0.01390116,0.26225771,0.04907292,0.00000000
-1.18559280,0.91621892,0.27696540,0.18071644,0.10695248,0.31150626,0.01587718,0.25553256,0.05468475,0.00000000
-1.17958979,0.92690576,0.27502480,0.18031969,0.11532123,0.32247427,0.01817867,0.24952662,0.06125071,0.00000000
-1.17358679,0.94447357,0.27484956,0.18077764,0.12529847,0.33669174,0.02081637,0.24442698,0.06885230,0.00000000
-1.16758379,0.96973727,0.27671156,0.18225131,0.13695534,0.35450355,0.02379705,0.24041205,0.07756621,0.00000000
-1.16158079,1.00343851,0.28085694,0.18489270,0.15034842,0.37622292,0.02712264,0.23764671,0.08746145,0.00000000
-1.15557779,1.04621988,0.28749973,0.18883973,0.16551650,0.40212045,0.03078947,0.23627752,0.09859650,0.00000000
-1.14957479,1.09859982,0.29681600,0.19421146,0.18247734,0.43241338,0.03478747,0.23642826,0.11101623,0.00000000
-1.14357179,1.16094903,0.30893870,0.20110345,0.20122439,0.46725528,0.03909957,0.23819590,0.12474879,0.00000000
-1.13756878,1.23346914,0.32395302,0.20958367,0.22172385,0.50672663,0.04370121,0.24164703,0.13980268,0.00000000
-1.13156578,1.31617441,0.34189256,0.21968896,0.24391189,0.55082658,0.04856009,0.24681505,0.15616394,0.00000000
-1.12556278,1.40887730,0.36273612,0.23142223,0.26769234,0.59946620,0.05363608,0.25369797,0.17379372,0.00000000
-1.11955978,1.51117835,0.38640535,0.24475040,0.29293498,0.65246362,0.05888150,0.26225707,0.19262616,0.00000000
-1.11355678,1.62246119,0.41276315,0.25960330,0.31947444,0.70954136,0.06424157,0.27241636,0.21256701,0.00000000
-1.10755378,1.74189286,0.44161309,0.27587350,0.34711000,0.77032591,0.06965529,0.28406287,0.23349274,0.00000000
-1.10155078,1.86842989,0.47269971,0.29341705,0.37560626,0.83435006,0.07505644,0.29704781,0.25525049,0.00000000
-1.09554777,2.00083027,0.50571007,0.31205526,0.40469478,0.90105778,0.08037500,0.31118858,0.27765881,0.00000000
-1.08954477,2.13767116,0.54027641,0.33157743,0.43407692,0.96981189,0.08553870,0.32627155,0.30050935,0.00000000
-1.08354177,2.27737232,0.57598020,0.35174445,0.46342771,1.03990438,0.09047475,0.34205570,0.32356938,0.00000000
-1.07753877,2.41822469,0.61235763,0.37229324,0.49240086,1.11056916,0.09511173,0.35827692,0.34658524,0.00000000
-1.07153577,2.55842367,0.64890647,0.39294193,0.52063485,1.18099711,0.09938149,0.37465303,0.36928676,0.00000000
-1.06553277,2.69610627,0.68509449,0.41339565,0.54776004,1.25035298,0.10322105,0.39088937,0.39139233,0.00000000
-1.05952976,2.82939130,0.72036929,0.43335272,0.57340658,1.31779366,0.10657433,0.40668485,0.41261478,0.00000000
-1.05352676,2.95642135,0.75416937,0.45251125,0.59721300,1.38248742,0.10939378,0.42173847,0.43266778,0.00000000
-1.04752376,3.07540559,0.78593636,0.47057577,0.61883527,1.44363340,0.11164169,0.43575594,0.45127264,0.00000000
-1.04152076,3.18466197,0.81512801,0.48726384,0.63795594,1.50048076,0.11329125,0.44845654,0.46816522,0.00000000
-1.03551776,3.28265755,0.84123169,0.50231240,0.65429320,1.55234688,0.11432722,0.45957972,0.48310298,0.00000000
-1.02951476,3.36804565,0.86377790,0.51548374,0.66760935,1.59863397,0.11474624,0.46889156,0.49587152,0.00000000
-1.02351176,3.43969859,0.88235335,0.52657082,0.67771859,1.63884342,0.11455677,0.47619063,0.50629084,0.00000000
-1.01750875,3.49673493,0.89661313,0.53540184,0.68449346,1.67258752,0.11377864,0.48131325,0.51422074,0.00000000
-1.01150575,3.53854009,0.90629145,0.54184391,0.68787001,1.69959794,0.11244222,0.48413784,0.51956526,0.00000000
-1.00550275,3.56477992,0.91121045,0.54580579,0.68785109,1.71973088,0.11058732,0.48458826,0.52227600,0.00000000
-0.99949975,3.57540633,0.91128672,0.54723944,0.68450778,1.73296847,0.10826181,0.48263589,0.52235417,0.00000000
