energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
4.12706353,6.21969635,1.14832336,5.79742848,0.20701509,0.55162454,0.09202126,0.56152255
4.13306653,6.36353160,1.19015046,5.92644330,0.21557945,0.54639876,0.09463332,0.58048425
4.13906953,6.50469736,1.22817616,6.05512472,0.22396601,0.54027640,0.09732977,0.59935180
4.14507254,6.64185092,1.26156295,6.18284810,0.23201194,0.53333044,0.10004580,0.61794269
4.15107554,6.77374315,1.28955123,6.30906224,0.23955565,0.52563999,0.10271518,0.63608807
4.15707854,6.89926863,1.31148351,6.43332055,0.24644119,0.51729016,0.10527190,0.65363882
4.16308154,7.01750915,1.32682535,6.55530571,0.25252249,0.50837196,0.10765195,0.67047089
4.16908454,7.12776749,1.33518201,6.67484528,0.25766731,0.49898207,0.10979486,0.68648953
4.17508754,7.22958914,1.33631021,6.79191642,0.26176071,0.48922242,0.11164523,0.70163205
4.18109055,7.32277019,1.33012442,6.90663849,0.26470799,0.47919943,0.11315404,0.71586905
4.18709355,7.40735057,1.31669766,7.01925300,0.26643705,0.46902279,0.11427966,0.72920391
4.19309655,7.48359281,1.29625676,7.13009183,0.26690008,0.45880382,0.11498878,0.74167062
4.19909955,7.55194744,1.26917242,7.23953494,0.26607453,0.44865332,0.11525694,0.75332993
4.20510255,7.61300689,1.23594484,7.34795994,0.26396344,0.43867909,0.11506888,0.76426413
4.21110555,7.66745087,1.19718544,7.45568678,0.26059508,0.42898312,0.11441858,0.77457065
4.21710855,7.71598639,1.15359577,7.56292070,0.25602191,0.41965864,0.11330903,0.78435480
4.22311156,7.75928613,1.10594459,7.66969757,0.25031907,0.41078720,0.11175185,0.79372219
4.22911456,7.79792915,1.05504411,7.77583517,0.24358224,0.40243595,0.10976661,0.80277099
4.23511756,7.83234736,1.00172642,7.88089401,0.23592517,0.39465527,0.10737999,0.81158474
4.24112056,7.86278126,0.94682111,7.98415071,0.22747688,0.38747697,0.10462487,0.82022583
4.24712356,7.88924754,0.89113479,8.08458614,0.21837856,0.38091310,0.10153925,0.82873012
4.25312656,7.91152058,0.83543319,8.18088991,0.20878040,0.37495563,0.09816515,0.83710308
4.25912956,7.92912894,0.78042631,8.27148146,0.19883834,0.36957680,0.09454745,0.84531734
4.26513257,7.94136701,0.72675693,8.35454749,0.18871091,0.36473042,0.09073283,0.85331215
4.27113557,7.94732119,0.67499245,8.42809398,0.17855612,0.36035383,0.08676869,0.86099443
4.27713857,7.94590906,0.62562008,8.49001069,0.16852860,0.35637062,0.08270215,0.86824154
4.28314157,7.93592924,0.57904512,8.53814497,0.15877693,0.35269386,0.07857924,0.87490561
4.28914457,7.91611928,0.53559185,8.57038144,0.14944131,0.34922969,0.07444407,0.88081904
4.29514757,7.88521828,0.49550672,8.58472355,0.14065139,0.34588114,0.07033822,0.88580116
4.30115058,7.84203095,0.45896327,8.57937339,0.13252455,0.34255198,0.06630022,0.88966547
4.30715358,7.78548980,0.42606817,8.55280567,0.12516434,0.33915039,0.06236515,0.89222732
4.31315658,7.71471227,0.39686801,8.50383269,0.11865927,0.33559228,0.05856433,0.89331148
4.31915958,7.62904998,0.37135626,8.43165735,0.11308178,0.33180411,0.05492513,0.89275947
4.32516258,7.52812789,0.34947996,8.33591185,0.10848748,0.32772516,0.05147084,0.89043611
4.33116558,7.41187153,0.33114604,8.21668059,0.10491454,0.32330905,0.04822065,0.88623525
4.33716858,7.28052121,0.31622673,8.07450651,0.10238322,0.31852459,0.04518957,0.88008414
4.34317159,7.13463283,0.30456422,7.91038075,0.10089569,0.31335581,0.04238855,0.87194654
4.34917459,6.97506539,0.29597433,7.72571635,0.10043581,0.30780141,0.03982450,0.86182428
4.35517759,6.80295607,0.29024947,7.52230732,0.10096927,0.30187344,0.03750036,0.84975733
4.36118059,6.61968417,0.28716080,7.30227495,0.10244376,0.29559553,0.03541531,0.83582223
4.36718359,6.42682588,0.28646001,7.06800376,0.10478954,0.28900070,0.03356481,0.82012919
4.37318659,6.22610185,0.28788081,6.82206971,0.10792012,0.28212884,0.03194088,0.80281785
4.37918959,6.01932018,0.29114050,6.56716363,0.11173336,0.27502407,0.03053223,0.78405197
4.38519260,5.80831740,0.29594177,6.30601295,0.11611294,0.26773212,0.02932459,0.76401333
4.39119560,5.59490007,0.30197514,6.04130462,0.12093012,0.26029788,0.02830100,0.74289508
4.39719860,5.38078955,0.30892201,5.77561223,0.12604605,0.25276312,0.02744217,0.72089493
4.40320160,5.16757231,0.31645867,5.51132996,0.13131438,0.24516467,0.02672694,0.69820846
4.40920460,4.95665797,0.32426113,5.25061565,0.13658430,0.23753307,0.02613273,0.67502294
4.41520760,4.74924655,0.33201101,4.99534493,0.14170394,0.22989162,0.02563610,0.65151187
4.42121061,4.54630636,0.33940211,4.74707789,0.14652395,0.22225608,0.02521328,0.62783050
4.42721361,4.34856310,0.34614773,4.50703908,0.15090130,0.21463479,0.02484081,0.60411262
4.43321661,4.15650038,0.35198842,4.27611121,0.15470303,0.20702938,0.02449614,0.58046864
4.43921961,3.97037131,0.35669987,4.05484223,0.15780998,0.19943577,0.02415818,0.55698504
4.44522261,3.79021999,0.36010071,3.84346491,0.16012014,0.19184563,0.02380787,0.53372511
4.45122561,3.61591186,0.36205975,3.64192752,0.16155170,0.18424799,0.02342872,0.51073102
4.45722861,3.44717066,0.36250253,3.44993373,0.16204544,0.17663103,0.02300718,0.48802687
4.46323162,3.28362021,0.36141669,3.26698950,0.16156657,0.16898381,0.02253303,0.46562253
4.46923462,3.12482846,0.35885605,3.09245447,0.16010577,0.16129799,0.02199954,0.44351811
4.47523762,2.97035165,0.35494307,2.92559520,0.15767936,0.15356923,0.02140368,0.42170859
4.48124062,2.81977605,0.34986957,2.76563769,0.15432880,0.14579843,0.02074605,0.40018845
4.48724362,2.67275547,0.34389561,2.61181674,0.15011922,0.13799250,0.02003078,0.37895591
4.49324662,2.52904248,0.33734651,2.46341998,0.14513730,0.13016486,0.01926532,0.35801665
4.49924962,2.38851217,0.33060792,2.31982471,0.13948848,0.12233540,0.01846013,0.33738669
4.50525263,2.25117741,0.32411909,2.18052645,0.13329360,0.11453021,0.01762820,0.31709431
4.51125563,2.11719521,0.31836443,2.04515813,0.12668517,0.10678080,0.01678466,0.29718105
4.51725863,1.98686420,0.31386336,1.91349988,0.11980335,0.09912312,0.01594618,0.27770158
4.52326163,1.86061375,0.31115874,1.78547956,0.11279187,0.09159633,0.01513046,0.25872266
4.52926463,1.73898565,0.31080399,1.66116485,0.10579400,0.08424135,0.01435561,0.24032118
4.53526763,1.62260951,0.31334899,1.54074794,0.09894867,0.07709943,0.01363961,0.22258154
4.54127064,1.51217344,0.31932518,1.42452434,0.09238693,0.07021068,0.01299976,0.20559240
4.54727364,1.40839162,0.32922979,1.31286742,0.08622881,0.06361268,0.01245215,0.18944316
4.55327664,1.31197031,0.34350982,1.20620048,0.08058061,0.05733928,0.01201121,0.17422027
4.55927964,1.22357423,0.36254573,1.10496800,0.07553279,0.05141956,0.01168929,0.16000366
4.56528264,1.14379460,0.38663558,1.00960778,0.07115835,0.04587705,0.01149628,0.14686335
4.57128564,1.07312042,0.41597974,0.92052544,0.06751175,0.04072924,0.01143941,0.13485655
4.57728864,1.01191409,0.45066695,0.83807245,0.06462841,0.03598730,0.01152295,0.12402525
4.58329165,0.96039246,0.49066201,0.76252867,0.06252472,0.03165614,0.01174816,0.11439451
4.58929465,0.91861394,0.53579608,0.69409005,0.06119847,0.02773462,0.01211319,0.10597143
4.59529765,0.88647225,0.58575978,0.63286180,0.06062985,0.02421603,0.01261317,0.09874482
4.60130065,0.86369700,0.64010013,0.57885722,0.06078274,0.02108872,0.01324030,0.09268567
4.60730365,0.84986118,0.69822153,0.53200181,0.06160641,0.01833688,0.01398414,0.08774828
4.61330665,0.84439521,0.75939150,0.49214253,0.06303758,0.01594136,0.01483185,0.08387204
4.61930965,0.84660745,0.82275132,0.45906139,0.06500276,0.01388063,0.01576867,0.08098381
4.62531266,0.85571011,0.88733183,0.43249277,0.06742077,0.01213166,0.01677840,0.07900075
4.63131566,0.87085025,0.95207418,0.41214369,0.07020554,0.01067083,0.01784396,0.07783357
4.63731866,0.89114449,1.01585526,0.39771612,0.07326903,0.00947476,0.01894808,0.07739004
4.64332166,0.91571655,1.07751711,0.38893030,0.07652420,0.00852113,0.02007399,0.07757869
4.64932466,0.94373628,1.13589960,0.38554839,0.07988803,0.00778933,0.02120615,0.07831246
4.65532766,0.97445877,1.18987502,0.38739721,0.08328441,0.00726107,0.02233102,0.07951243
4.66133067,1.00726203,1.23838355,0.39438934,0.08664693,0.00692085,0.02343775,0.08111113
4.66733367,1.04168185,1.28046802,0.40654167,0.08992138,0.00675632,0.02451893,0.08305571
4.67333667,1.07744213,1.31530647,0.42399044,0.09306783,0.00675856,0.02557109,0.08531057
4.67933967,1.11447935,1.34224113,0.44700209,0.09606239,0.00692217,0.02659522,0.08785937
4.68534267,1.15295978,1.36080238,0.47597909,0.09889828,0.00724529,0.02759709,0.09070654
4.69134567,1.19328822,1.37072655,0.51146022,0.10158639,0.00772952,0.02858739,0.09387788
4.69734867,1.23610736,1.37196656,0.55411472,0.10415508,0.00837969,0.02958162,0.09742046
4.70335168,1.28228713,1.36469498,0.60473000,0.10664935,0.00920352,0.03059987,0.10140162
4.70935468,1.33290370,1.34929906,0.66419279,0.10912928,0.01021121,0.03166629,0.10590707
4.71535768,1.38920834,1.32636801,0.73346358,0.11166776,0.01141487,0.03280834,0.11103821
4.72136068,1.45258654,1.29667303,0.81354490,0.11434765,0.01282796,0.03405585,0.11690858
4.72736368,1.52450834,1.26114086,0.90544379,0.11725839,0.01446452,0.03543995,0.12363956
4.73336668,1.60647125,1.22082208,1.01012934,0.12049220,0.01633844,0.03699170,0.13135548
4.73936968,1.69993752,1.17685552,1.12848641,0.12414006,0.01846261,0.03874077,0.14017821
4.74537269,1.80626767,1.13043026,1.26126682,0.12828751,0.02084807,0.04071394,0.15022141
4.75137569,1.92665270,1.08274689,1.40903975,0.13301057,0.02350316,0.04293367,0.16158468
4.75737869,2.06204740,1.03497953,1.57214295,0.13837186,0.02643267,0.04541669,0.17434769
4.76338169,2.21310745,0.98824006,1.75063684,0.14441714,0.02963700,0.04817270,0.18856467
4.76938469,2.38013267,0.94354594,1.94426355,0.15117233,0.03311147,0.05120326,0.20425930
4.77538769,2.56301908,0.90179267,2.15241267,0.15864124,0.03684566,0.05450095,0.22142037
4.78139070,2.76122182,0.86373155,2.37409593,0.16680402,0.04082292,0.05804870,0.23999825
4.78739370,2.97373105,0.82995356,2.60793221,0.17561645,0.04502004,0.06181954,0.25990251
4.79339670,3.19906204,0.80087930,2.85214454,0.18501006,0.04940706,0.06577670,0.28100066
4.79939970,3.43526079,0.77675517,3.10456991,0.19489306,0.05394732,0.06987395,0.30311822
4.80540270,3.67992542,0.75765535,3.36268261,0.20515212,0.05859774,0.07405646,0.32604021
4.81140570,3.93024342,0.74348936,3.62363115,0.21565482,0.06330923,0.07826187,0.34951396
4.81740870,4.18304390,0.73401419,3.88428817,0.22625275,0.06802746,0.08242181,0.37325329
4.82341171,4.43486370,0.72885060,4.14131234,0.23678509,0.07269369,0.08646354,0.39694398
4.82941471,4.68202553,0.72750252,4.39122074,0.24708265,0.07724594,0.09031198,0.42025037
4.83541771,4.92072569,0.72937880,4.63046934,0.25697198,0.08162020,0.09389174,0.44282288
4.84142071,5.14712873,0.73381646,4.85553933,0.26627980,0.08575185,0.09712934,0.46430627
4.84742371,5.35746597,0.74010453,5.06302620,0.27483720,0.08957719,0.09995536,0.48434845
4.85342671,5.54813447,0.74750781,5.24972847,0.28248377,0.09303493,0.10230655,0.50260937
4.85942971,5.71579327,0.75528990,5.41273297,0.28907148,0.09606780,0.10412774,0.51876991
4.86543272,5.85745334,0.76273477,5.54949342,0.29446813,0.09862403,0.10537359,0.53254035
4.87143572,5.97055825,0.76916641,5.65789929,0.29856039,0.10065871,0.10600988,0.54366814
4.87743872,6.05305271,0.77396629,5.73633246,0.30125632,0.10213510,0.10601468,0.55194472
4.88344172,6.10343642,0.77658800,5.78370942,0.30248734,0.10302563,0.10537887,0.55721116
