energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
3.60480240,1.13554722,0.15342842,0.00000000,0.90117179,0.59501213,0.04998126,0.12152948
3.61080540,1.14457212,0.15235020,0.00000000,0.89421618,0.60074521,0.05094372,0.12204164
3.61680840,1.15530907,0.15173209,0.00000000,0.89039893,0.60723503,0.05186080,0.12305194
3.62281141,1.16685631,0.15143673,0.00000000,0.88904942,0.61399751,0.05268729,0.12446784
3.62881441,1.17834941,0.15133068,0.00000000,0.88951489,0.62056864,0.05338154,0.12619676
3.63481741,1.18899302,0.15128936,0.00000000,0.89118766,0.62652102,0.05390663,0.12814900
3.64082041,1.19808845,0.15120146,0.00000000,0.89352884,0.63147835,0.05423124,0.13024027
3.64682341,1.20505586,0.15097245,0.00000000,0.89608729,0.63512705,0.05433054,0.13239362
3.65282641,1.20945043,0.15052720,0.00000000,0.89851337,0.63722477,0.05418665,0.13454084
3.65882941,1.21097177,0.14981163,0.00000000,0.90056681,0.63760538,0.05378900,0.13662319
3.66483242,1.20946656,0.14879326,0.00000000,0.90211886,0.63618042,0.05313428,0.13859165
3.67083542,1.20492449,0.14746084,0.00000000,0.90314859,0.63293705,0.05222628,0.14040650
3.67683842,1.19746804,0.14582304,0.00000000,0.90373394,0.62793270,0.05107533,0.14203660
3.68284142,1.18733694,0.14390628,0.00000000,0.90403814,0.62128705,0.04969765,0.14345822
3.68884442,1.17486821,0.14175196,0.00000000,0.90429233,0.61317152,0.04811441,0.14465369
3.69484742,1.16047312,0.13941308,0.00000000,0.90477551,0.60379731,0.04635077,0.14560991
3.70085043,1.14461235,0.13695064,0.00000000,0.90579283,0.59340229,0.04443480,0.14631691
3.70685343,1.12777058,0.13442983,0.00000000,0.90765337,0.58223780,0.04239632,0.14676652
3.71285643,1.11043191,0.13191633,0.00000000,0.91064871,0.57055572,0.04026590,0.14695131
3.71885943,1.09305721,0.12947280,0.00000000,0.91503309,0.55859667,0.03807379,0.14686375
3.72486243,1.07606439,0.12715574,0.00000000,0.92100625,0.54657976,0.03584914,0.14649577
3.73086543,1.05981235,0.12501289,0.00000000,0.92869963,0.53469425,0.03361921,0.14583867
3.73686843,1.04458911,0.12308124,0.00000000,0.93816653,0.52309358,0.03140883,0.14488334
3.74287144,1.03060449,0.12138563,0.00000000,0.94937649,0.51189168,0.02924008,0.14362085
3.74887444,1.01798714,0.11993813,0.00000000,0.96221402,0.50116180,0.02713200,0.14204318
3.75487744,1.00678592,0.11873809,0.00000000,0.97648163,0.49093758,0.02510067,0.14014427
3.76088044,0.99697501,0.11777273,0.00000000,0.99190677,0.48121616,0.02315923,0.13792100
3.76688344,0.98846231,0.11701847,0.00000000,1.00815222,0.47196313,0.02131819,0.13537423
3.77288644,0.98110034,0.11644259,0.00000000,1.02482942,0.46311877,0.01958570,0.13250981
3.77888944,0.97469895,0.11600541,0.00000000,1.04151385,0.45460524,0.01796802,0.12933930
3.78489245,0.96903902,0.11566260,0.00000000,1.05776179,0.44633435,0.01646988,0.12588054
3.79089545,0.96388638,0.11536775,0.00000000,1.07312771,0.43821534,0.01509492,0.12215797
3.79689845,0.95900537,0.11507489,0.00000000,1.08718142,0.43016232,0.01384617,0.11820260
3.80290145,0.95417132,0.11474096,0.00000000,1.09952426,0.42210114,0.01272634,0.11405172
3.80890445,0.94918163,0.11432803,0.00000000,1.10980389,0.41397516,0.01173818,0.10974832
3.81490745,0.94386490,0.11380535,0.00000000,1.11772682,0.40574989,0.01088472,0.10534029
3.82091046,0.93808804,0.11315091,0.00000000,1.12306867,0.39741625,0.01016944,0.10087933
3.82691346,0.93176127,0.11235272,0.00000000,1.12568157,0.38899234,0.00959637,0.09641982
3.83291646,0.92484078,0.11140956,0.00000000,1.12549870,0.38052381,0.00917011,0.09201752
3.83891946,0.91732944,0.11033141,0.00000000,1.12253603,0.37208273,0.00889574,0.08772822
3.84492246,0.90927550,0.10913931,0.00000000,1.11689121,0.36376518,0.00877875,0.08360641
3.85092546,0.90076963,0.10786492,0.00000000,1.10873991,0.35568765,0.00882480,0.07970407
3.85692846,0.89194047,0.10654961,0.00000000,1.09832991,0.34798251,0.00903951,0.07606945
3.86293147,0.88294903,0.10524338,0.00000000,1.08597321,0.34079269,0.00942817,0.07274603
3.86893447,0.87398227,0.10400333,0.00000000,1.07203659,0.33426585,0.00999545,0.06977169
3.87493747,0.86524598,0.10289212,0.00000000,1.05693108,0.32854838,0.01074502,0.06717791
3.88094047,0.85695744,0.10197616,0.00000000,1.04110058,0.32377934,0.01167929,0.06498931
3.88694347,0.84933802,0.10132384,0.00000000,1.02501014,0.32008469,0.01279902,0.06322325
3.89294647,0.84260584,0.10100364,0.00000000,1.00913427,0.31757205,0.01410304,0.06188962
3.89894947,0.83696896,0.10108242,0.00000000,0.99394544,0.31632612,0.01558796,0.06099090
3.90495248,0.83261898,0.10162366,0.00000000,0.97990316,0.31640499,0.01724795,0.06052225
3.91095548,0.82972543,0.10268595,0.00000000,0.96744377,0.31783745,0.01907457,0.06047184
3.91695848,0.82843084,0.10432145,0.00000000,0.95697111,0.32062143,0.02105663,0.06082129
3.92296148,0.82884673,0.10657470,0.00000000,0.94884814,0.32472348,0.02318016,0.06154623
3.92896448,0.83105052,0.10948137,0.00000000,0.94338960,0.33007942,0.02542846,0.06261700
3.93496748,0.83508326,0.11306731,0.00000000,0.94085566,0.33659602,0.02778218,0.06399937
3.94097049,0.84094823,0.11734766,0.00000000,0.94144662,0.34415361,0.03021954,0.06565541
3.94697349,0.84861044,0.12232606,0.00000000,0.94529848,0.35260946,0.03271656,0.06754435
3.95297649,0.85799673,0.12799403,0.00000000,0.95247961,0.36180178,0.03524741,0.06962347
3.95897949,0.86899661,0.13433037,0.00000000,0.96298816,0.37155418,0.03778477,0.07184900
3.96498249,0.88146366,0.14130078,0.00000000,0.97675045,0.38168024,0.04030025,0.07417700
3.97098549,0.89521739,0.14885752,0.00000000,0.99362034,0.39198821,0.04276488,0.07656414
3.97698849,0.91004553,0.15693925,0.00000000,1.01337950,0.40228554,0.04514955,0.07896852
3.98299150,0.92570685,0.16547104,0.00000000,1.03573888,0.41238304,0.04742552,0.08135030
3.98899450,0.94193426,0.17436471,0.00000000,1.06034136,0.42209872,0.04956490,0.08367230
3.99499750,0.95843857,0.18351933,0.00000000,1.08676591,0.43126118,0.05154112,0.08590056
4.00100050,0.97491270,0.19282222,0.00000000,1.11453336,0.43971253,0.05332940,0.08800475
4.00700350,0.99103671,0.20215024,0.00000000,1.14311395,0.44731080,0.05490717,0.08995863
4.01300650,1.00648360,0.21137165,0.00000000,1.17193696,0.45393213,0.05625451,0.09174034
4.01900950,1.02092612,0.22034837,0.00000000,1.20040241,0.45947260,0.05735449,0.09333285
4.02501251,1.03404462,0.22893882,0.00000000,1.22789486,0.46384997,0.05819358,0.09472430
4.03101551,1.04553604,0.23700121,0.00000000,1.25379942,0.46700533,0.05876195,0.09590847
4.03701851,1.05512400,0.24439726,0.00000000,1.27751949,0.46890495,0.05905374,0.09688527
4.04302151,1.06256988,0.25099630,0.00000000,1.29849615,0.46954211,0.05906737,0.09766132
4.04902451,1.06768470,0.25667962,0.00000000,1.31622859,0.46893927,0.05880574,0.09825058
4.05502751,1.07034138,0.26134492,0.00000000,1.33029495,0.46715028,0.05827639,0.09867511
4.06103052,1.07048711,0.26491063,0.00000000,1.34037285,0.46426271,0.05749163,0.09896573
4.06703352,1.06815509,0.26732012,0.00000000,1.34625880,0.46040014,0.05646862,0.09916281
4.07303652,1.06347524,0.26854531,0.00000000,1.34788551,0.45572422,0.05522930,0.09931678
4.07903952,1.05668303,0.26858977,0.00000000,1.34533622,0.45043619,0.05380033,0.09948872
4.08504252,1.04812588,0.26749093,0.00000000,1.33885511,0.44477784,0.05221288,0.09975050
4.09104552,1.03826644,0.26532141,0.00000000,1.32885315,0.43903133,0.05050232,0.10018475
4.09704852,1.02768219,0.26218918,0.00000000,1.31590847,0.43351788,0.04870787,0.10088434
4.10305153,1.01706085,0.25823668,0.00000000,1.30076104,0.42859502,0.04687204,0.10195150
4.10905453,1.00719134,0.25363864,0.00000000,1.28430119,0.42465215,0.04504005,0.10349627
4.11505753,0.99895010,0.24859881,0.00000000,1.26755210,0.42210447,0.04325916,0.10563456
4.12106053,0.99328293,0.24334557,0.00000000,1.25164644,0.42138501,0.04157781,0.10848554
4.12706353,0.99118244,0.23812657,0.00000000,1.23779765,0.42293514,0.04004481,0.11216851
4.13306653,0.99366181,0.23320251,0.00000000,1.22726670,0.42719346,0.03870843,0.11679933
4.13906953,1.00172547,0.22884031,0.00000000,1.22132524,0.43458338,0.03761536,0.12248642
4.14507254,1.01633751,0.22530583,0.00000000,1.22121635,0.44549995,0.03680980,0.12932652
4.15107554,1.03838906,0.22285647,0.00000000,1.22811418,0.46029602,0.03633243,0.13740029
4.15707854,1.06866569,0.22173371,0.00000000,1.24308391,0.47926863,0.03621945,0.14676804
4.16308154,1.10781598,0.22215603,0.00000000,1.26704358,0.50264580,0.03650167,0.15746565
4.16908454,1.15632287,0.22431236,0.00000000,1.30072900,0.53057462,0.03720358,0.16950098
4.17508754,1.21447860,0.22835618,0.00000000,1.34466340,0.56311096,0.03834265,0.18285096
4.18109055,1.28236476,0.23440072,0.00000000,1.39913282,0.60021158,0.03992861,0.19745945
4.18709355,1.35983825,0.24251505,0.00000000,1.46416850,0.64172880,0.04196289,0.21323623
4.19309655,1.44652409,0.25272160,0.00000000,1.53953691,0.68740850,0.04443829,0.23005701
4.19909955,1.54181552,0.26499487,0.00000000,1.62473820,0.73689142,0.04733868,0.24776470
4.20510255,1.64488194,0.27926157,0.00000000,1.71901316,0.78971802,0.05063905,0.26617193
4.21110555,1.75468434,0.29540216,0.00000000,1.82135877,0.84533693,0.05430559,0.28506480
4.21710855,1.86999825,0.31325374,0.00000000,1.93055193,0.90311678,0.05829617,0.30420768
4.22311156,1.98944325,0.33261420,0.00000000,2.04518064,0.96236103,0.06256093,0.32334909
4.22911456,2.11151835,0.35324756,0.00000000,2.16368160,1.02232545,0.06704308,0.34222822
4.23511756,2.23464175,0.37489031,0.00000000,2.28438309,1.08223750,0.07168001,0.36058206
4.24112056,2.35719375,0.39725850,0.00000000,2.40555138,1.14131699,0.07640454,0.37815274
4.24712356,2.47756103,0.42005550,0.00000000,2.52543907,1.19879715,0.08114635,0.39469477
4.25312656,2.59418065,0.44297989,0.00000000,2.64233363,1.25394534,0.08583357,0.40998194
4.25912956,2.70558199,0.46573354,0.00000000,2.75460411,1.30608246,0.09039443,0.42381354
4.26513257,2.81042499,0.48802935,0.00000000,2.86074436,1.35460035,0.09475901,0.43601964
4.27113557,2.90753325,0.50959838,0.00000000,2.95941111,1.39897651,0.09886094,0.44646522
4.27713857,2.99592061,0.53019628,0.00000000,3.04945541,1.43878540,0.10263901,0.45505305
4.28314157,3.07481028,0.54960862,0.00000000,3.12994633,1.47370611,0.10603873,0.46172514
4.28914457,3.14364600,0.56765498,0.00000000,3.20018623,1.50352595,0.10901358,0.46646272
4.29514757,3.20209488,0.58419170,0.00000000,3.25971713,1.52814016,0.11152608,0.46928497
4.30115058,3.25004221,0.59911320,0.00000000,3.30831826,1.54754765,0.11354860,0.47024642
4.30715358,3.28757873,0.61235182,0.00000000,3.34599531,1.56184327,0.11506376,0.46943330
4.31315658,3.31498135,0.62387635,0.00000000,3.37296227,1.57120706,0.11606456,0.46695904
4.31915958,3.33268850,0.63368931,0.00000000,3.38961699,1.57589114,0.11655419,0.46295915
4.32516258,3.34127160,0.64182313,0.00000000,3.39651206,1.57620498,0.11654542,0.45758583
4.33116558,3.34140430,0.64833568,0.00000000,3.39432276,1.57249980,0.11605980,0.45100249
4.33716858,3.33383100,0.65330517,0.00000000,3.38381370,1.56515302,0.11512657,0.44337842
4.34317159,3.31933654,0.65682489,0.00000000,3.36580617,1.55455339,0.11378137,0.43488397
4.34917459,3.29871823,0.65899806,0.00000000,3.34114766,1.54108759,0.11206485,0.42568631
4.35517759,3.27276180,0.65993308,0.00000000,3.31068522,1.52512886,0.11002121,0.41594588
4.36118059,3.24222204,0.65973942,0.00000000,3.27524367,1.50702807,0.10769677,0.40581370
4.36718359,3.20780888,0.65852427,0.00000000,3.23560953,1.48710750,0.10513857,0.39542957
4.37318659,3.17017928,0.65639029,0.00000000,3.19252115,1.46565746,0.10239317,0.38492098
4.37918959,3.12993461,0.65343432,0.00000000,3.14666478,1.44293558,0.09950559,0.37440291
4.38519260,3.08762336,0.64974712,0.00000000,3.09867651,1.41916870,0.09651843,0.36397812
4.39119560,3.04374824,0.64541404,0.00000000,3.04914893,1.39455675,0.09347131,0.35373805
4.39719860,2.99877658,0.64051648,0.00000000,2.99864156,1.36927829,0.09040042,0.34376401
4.40320160,2.95315305,0.63513393,0.00000000,2.94769369,1.34349709,0.08733834,0.33412855
4.40920460,2.90731307,0.62934623,0.00000000,2.89683809,1.31736907,0.08431409,0.32489685
4.41520760,2.86169568,0.62323594,0.00000000,2.84661407,1.29104904,0.08135321,0.31612798
4.42121061,2.81675460,0.61689040,0.00000000,2.79757847,1.26469665,0.07847806,0.30787592
4.42721361,2.77296626,0.61040331,0.00000000,2.75031324,1.23848099,0.07570812,0.30019026
4.43321661,2.73083382,0.60387553,0.00000000,2.70542861,1.21258352,0.07306034,0.29311644
4.43921961,2.69088673,0.59741501,0.00000000,2.66356118,1.18719899,0.07054943,0.28669564
4.44522261,2.65367528,0.59113568,0.00000000,2.62536658,1.16253418,0.06818811,0.28096423
4.45122561,2.61976038,0.58515532,0.00000000,2.59150671,1.13880462,0.06598731,0.27595284
4.45722861,2.58969875,0.57959251,0.00000000,2.56263216,1.11622931,0.06395624,0.27168521
4.46323162,2.56402439,0.57456266,0.00000000,2.53936047,1.09502381,0.06210239,0.26817676
4.46923462,2.54322716,0.57017347,0.00000000,2.52225145,1.07539206,0.06043142,0.26543313
4.47523762,2.52772964,0.56652004,0.00000000,2.51178084,1.05751748,0.05894703,0.26344875
4.48124062,2.51786371,0.56367979,0.00000000,2.50831379,1.04155387,0.05765072,0.26220555
4.48724362,2.51384803,0.56170770,0.00000000,2.51207980,1.02761658,0.05654162,0.26167193
4.49324662,2.51576783,0.56063205,0.00000000,2.52315040,1.01577469,0.05561625,0.26180211
4.49924962,2.52355827,0.56045097,0.00000000,2.54142106,1.00604445,0.05486839,0.26253589
4.50525263,2.53699233,0.56112999,0.00000000,2.56659852,0.99838456,0.05428899,0.26379893
4.51125563,2.55567411,0.56260088,0.00000000,2.59819417,0.99269357,0.05386615,0.26550347
4.51725863,2.57903805,0.56476175,0.00000000,2.63552433,0.98880946,0.05358525,0.26754964
4.52326163,2.60635433,0.56747857,0.00000000,2.67771743,0.98651174,0.05342916,0.26982722
4.52926463,2.63674042,0.57058796,0.00000000,2.72372813,0.98552569,0.05337850,0.27221777
4.53526763,2.66917843,0.57390126,0.00000000,2.77235788,0.98552887,0.05341212,0.27459723
4.54127064,2.70253769,0.57720961,0.00000000,2.82228130,0.98615941,0.05350749,0.27683869
4.54727364,2.73560184,0.58028990,0.00000000,2.87207741,0.98702593,0.05364127,0.27881536
4.55327664,2.76709928,0.58291127,0.00000000,2.92026459,0.98771856,0.05378985,0.28040363
4.55927964,2.79573619,0.58484201,0.00000000,2.96533821,0.98782062,0.05392990,0.28148605
4.56528264,2.82023066,0.58585647,0.00000000,3.00580939,0.98692066,0.05403893,0.28195421
4.57128564,2.83934709,0.58574175,0.00000000,3.04024385,0.98462421,0.05409573,0.28171136
4.57728864,2.85192951,0.58430405,0.00000000,3.06729949,0.98056503,0.05408087,0.28067476
4.58329165,2.85693282,0.58137430,0.00000000,3.08576160,0.97441534,0.05397701,0.27877758
4.58929465,2.85345112,0.57681301,0.00000000,3.09457454,0.96589484,0.05376919,0.27597049
4.59529765,2.84074214,0.57051428,0.00000000,3.09286926,0.95477818,0.05344507,0.27222269
4.60130065,2.81824722,0.56240868,0.00000000,3.07998571,0.94090072,0.05299499,0.26752251
4.60730365,2.78560626,0.55246518,0.00000000,3.05548966,0.92416252,0.05241206,0.26187750
4.61330665,2.74266735,0.54069200,0.00000000,3.01918374,0.90453041,0.05169211,0.25531410
4.61930965,2.68949088,0.52713642,0.00000000,2.97111229,0.88203827,0.05083365,0.24787679
4.62531266,2.62634808,0.51188367,0.00000000,2.91156029,0.85678546,0.04983770,0.23962692
