energy_ev,total_up,Ge_p_up,Ge_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-4.52926463,1.69720333,0.01616126,0.00000000,1.14441915,0.42026129,0.00854232,1.27294486
-4.52326163,1.67593588,0.01564082,0.00000000,1.14063090,0.41282755,0.00829053,1.25595146
-4.51725863,1.65188968,0.01509606,0.00000000,1.13590675,0.40514834,0.00803625,1.23691714
-4.51125563,1.62561253,0.01453491,0.00000000,1.13069076,0.39735137,0.00778446,1.21627070
-4.50525263,1.59764966,0.01396635,0.00000000,1.12539573,0.38956026,0.00754002,1.19443880
-4.49924962,1.56852259,0.01340011,0.00000000,1.12038050,0.38189121,0.00730750,1.17182984
-4.49324662,1.53871140,0.01284642,0.00000000,1.11593068,0.37445059,0.00709108,1.14882027
-4.48724362,1.50864105,0.01231577,0.00000000,1.11224382,0.36733336,0.00689448,1.12574408
-4.48124062,1.47867218,0.01181864,0.00000000,1.10941977,0.36062237,0.00672088,1.10288556
-4.47523762,1.44909646,0.01136537,0.00000000,1.10745657,0.35438838,0.00657288,1.08047556
-4.46923462,1.42013634,0.01096591,0.00000000,1.10625203,0.34869066,0.00645254,1.05869102
-4.46323162,1.39194867,0.01062971,0.00000000,1.10561080,0.34357816,0.00636136,1.03765751
-4.45722861,1.36463175,0.01036553,0.00000000,1.10525645,0.33909079,0.00630030,1.01745426
-4.45122561,1.33823483,0.01018136,0.00000000,1.10484767,0.33526098,0.00626986,0.99812117
-4.44522261,1.31276935,0.01008422,0.00000000,1.10399782,0.33211501,0.00627010,0.97966712
-4.43921961,1.28822095,0.01008011,0.00000000,1.10229656,0.32967432,0.00630071,0.96207885
-4.43321661,1.26456150,0.01017388,0.00000000,1.09933235,0.32795641,0.00636099,0.94533001
-4.42721361,1.24176018,0.01036906,0.00000000,1.09471463,0.32697548,0.00644996,0.92938943
-4.42121061,1.21979325,0.01066781,0.00000000,1.08809458,0.32674268,0.00656633,0.91422858
-4.41520760,1.19865170,0.01107079,0.00000000,1.07918321,0.32726602,0.00670850,0.89982741
-4.40920460,1.17834665,0.01157708,0.00000000,1.06776611,0.32855001,0.00687461,0.88617865
-4.40320160,1.15891226,0.01218407,0.00000000,1.05371405,0.33059503,0.00706248,0.87329029
-4.39719860,1.14040615,0.01288746,0.00000000,1.03698914,0.33339662,0.00726962,0.86118617
-4.39119560,1.12290737,0.01368121,0.00000000,1.01764624,0.33694460,0.00749319,0.84990502
-4.38519260,1.10651240,0.01455756,0.00000000,0.99582987,0.34122228,0.00773004,0.83949781
-4.37918959,1.09132932,0.01550709,0.00000000,0.97176690,0.34620574,0.00797665,0.83002398
-4.37318659,1.07747075,0.01651886,0.00000000,0.94575554,0.35186319,0.00822918,0.82154665
-4.36718359,1.06504591,0.01758053,0.00000000,0.91815142,0.35815451,0.00848347,0.81412722
-4.36118059,1.05415236,0.01867862,0.00000000,0.88935156,0.36503097,0.00873509,0.80781969
-4.35517759,1.04486794,0.01979877,0.00000000,0.85977713,0.37243506,0.00897941,0.80266503
-4.34917459,1.03724325,0.02092601,0.00000000,0.82985599,0.38030056,0.00921168,0.79868592
-4.34317159,1.03129515,0.02204523,0.00000000,0.80000584,0.38855262,0.00942711,0.79588211
-4.33716858,1.02700164,0.02314148,0.00000000,0.77061885,0.39710805,0.00962099,0.79422665
-4.33116558,1.02429835,0.02420048,0.00000000,0.74204843,0.40587567,0.00978881,0.79366321
-4.32516258,1.02307684,0.02520909,0.00000000,0.71459868,0.41475669,0.00992638,0.79410452
-4.31915958,1.02318497,0.02615575,0.00000000,0.68851697,0.42364533,0.01002996,0.79543227
-4.31315658,1.02442928,0.02703105,0.00000000,0.66398987,0.43242948,0.01009635,0.79749821
