energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-0.21310655,5.76839723,0.01719911,2.00038686,3.58049727,0.00000000,5.47277489,1.80891114
-0.20710355,5.71983855,0.01689269,1.92437638,3.56620203,0.00000000,5.28312343,1.80377784
-0.20110055,5.67321571,0.01662228,1.84783019,3.55327215,0.00000000,5.09315103,1.80003190
-0.19509755,5.62878127,0.01639075,1.77191508,3.54147368,0.00000000,4.90573059,1.79759373
-0.18909455,5.58647829,0.01619868,1.69772054,3.53037974,0.00000000,4.72351858,1.79624755
-0.18309155,5.54596260,0.01604439,1.62624218,3.51939743,0.00000000,4.54890980,1.79564977
-0.17708854,5.50664215,0.01592404,1.55836837,3.50780677,0.00000000,4.38400231,1.79534458
-0.17108554,5.46773086,0.01583185,1.49486976,3.49480936,0.00000000,4.23057226,1.79478545
-0.16508254,5.42831303,0.01576041,1.43639138,3.47958375,0.00000000,4.09005758,1.79336178
-0.15907954,5.38741421,0.01570106,1.38344691,3.46134412,0.00000000,3.96354971,1.79042880
-0.15307654,5.34407383,0.01564430,1.33641497,3.43939840,0.00000000,3.85179211,1.78533944
-0.14707354,5.29741500,0.01558029,1.29553697,3.41320228,0.00000000,3.75518449,1.77747610
-0.14107054,5.24670736,0.01549928,1.26091656,3.38240566,0.00000000,3.67379171,1.76628100
-0.13506753,5.19141912,0.01539212,1.23252063,3.34688851,0.00000000,3.60735673,1.75128323
-0.12906453,5.13125562,0.01525062,1.21018195,3.30678405,0.00000000,3.55531699,1.73212151
-0.12306153,5.06618255,0.01506798,1.19360363,3.26248772,0.00000000,3.51682405,1.70856138
-0.11705853,4.99643291,0.01483908,1.18236573,3.21465140,0.00000000,3.49076648,1.68050638
-0.11105553,4.92249818,0.01456071,1.17593422,3.16416337,0.00000000,3.47579618,1.64800286
-0.10505253,4.84510488,0.01423174,1.17367249,3.11211523,0.00000000,3.47035831,1.61123848
-0.09904952,4.76517886,0.01385317,1.17485563,3.05975787,0.00000000,3.47272525,1.57053493
-0.09304652,4.68380003,0.01342818,1.17868747,3.00844915,0.00000000,3.48103452,1.52633548
-0.08704352,4.60215098,0.01296200,1.18432019,2.95959646,0.00000000,3.49333081,1.47918851
-0.08104052,4.52146310,0.01246182,1.19087620,2.91459760,0.00000000,3.50761168,1.42972798
-0.07503752,4.44296361,0.01193663,1.19747183,2.87478312,0.00000000,3.52187630,1.37865213
-0.06903452,4.36782678,0.01139698,1.20324200,2.84136361,0.00000000,3.53417632,1.32670161
-0.06303152,4.29713214,0.01085482,1.20736521,2.81538447,0.00000000,3.54266751,1.27463813
-0.05702851,4.23183178,0.01032324,1.20908785,2.79769049,0.00000000,3.54566071,1.22322459
-0.05102551,4.17272805,0.00981631,1.20774680,2.78890176,0.00000000,3.54167011,1.17320752
-0.04502251,4.12046225,0.00934886,1.20278949,2.78940170,0.00000000,3.52945735,1.12530225
