energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.88194097,1.60346670,0.42974230,0.13156586,0.43242246,1.22373948,0.00189089,0.06466733,0.00718564,0.43212878
-1.87593797,1.68269381,0.45495555,0.14033737,0.45649029,1.27630969,0.00201778,0.06821611,0.00765588,0.45695181
-1.86993497,1.76356736,0.48074732,0.14930125,0.48086353,1.32977181,0.00214006,0.07185559,0.00811197,0.48243328
-1.86393197,1.84462694,0.50664626,0.15829694,0.50514783,1.38316755,0.00225527,0.07551510,0.00854451,0.50812303
-1.85792896,1.92430045,0.53215124,0.16715450,0.52892326,1.43545300,0.00236101,0.07911992,0.00894428,0.53354012
-1.85192596,2.00094913,0.55674461,0.17569876,0.55175656,1.48553116,0.00245506,0.08259328,0.00930258,0.55818545
-1.84592296,2.07291756,0.57990669,0.18375401,0.57321465,1.53228775,0.00253538,0.08585868,0.00961141,0.58155605
-1.83991996,2.13858648,0.60113090,0.19114902,0.59287893,1.57462876,0.00260023,0.08884224,0.00986377,0.60316045
-1.83391696,2.19642639,0.61993910,0.19772222,0.61035973,1.61151824,0.00264820,0.09147518,0.01005381,0.62253469
-1.82791396,2.24504966,0.63589627,0.20332679,0.62531044,1.64201449,0.00267825,0.09369621,0.01017707,0.63925817
-1.82191096,2.28325893,0.64862427,0.20783556,0.63744060,1.66530333,0.00268975,0.09545381,0.01023058,0.65296883
-1.81590795,2.31008979,0.65781380,0.21114538,0.64652755,1.68072680,0.00268254,0.09670822,0.01021297,0.66337692
-1.80990495,2.32484587,0.66323423,0.21318083,0.65242605,1.68780618,0.00265689,0.09743310,0.01012454,0.67027677
-1.80390195,2.32712497,0.66474086,0.21389715,0.65507565,1.68625854,0.00261353,0.09761686,0.00996718,0.67355610
-1.79789895,2.31683511,0.66227925,0.21328216,0.65450538,1.67600611,0.00255361,0.09726340,0.00974438,0.67320244
-1.79189595,2.29420025,0.65588656,0.21135718,0.65083574,1.65717845,0.00247870,0.09639246,0.00946106,0.66930635
-1.78589295,2.25975524,0.64568977,0.20817677,0.64427792,1.63010741,0.00239073,0.09503940,0.00912344,0.66206130
-1.77988994,2.21433086,0.63190105,0.20382753,0.63513035,1.59531553,0.00229194,0.09325442,0.00873883,0.65176028
-1.77388694,2.15902952,0.61481028,0.19842574,0.62377279,1.55349863,0.00218484,0.09110140,0.00831541,0.63878924
-1.76788394,2.09519304,0.59477536,0.19211419,0.61065812,1.50550354,0.00207213,0.08865619,0.00786198,0.62361749
-1.76188094,2.02436389,0.57221057,0.18505812,0.59630235,1.45230217,0.00195665,0.08600458,0.00738775,0.60678571
-1.75587794,1.94824167,0.54757354,0.17744059,0.58127299,1.39496314,0.00184130,0.08323994,0.00690204,0.58889167
-1.74987494,1.86863640,0.52135141,0.16945742,0.56617629,1.33462220,0.00172902,0.08046060,0.00641407,0.57057445
-1.74387194,1.78742056,0.49404669,0.16131182,0.55164359,1.27245252,0.00162270,0.07776713,0.00593277,0.55249748
-1.73786893,1.70648116,0.46616331,0.15320898,0.53831715,1.20963587,0.00152513,0.07525953,0.00546654,0.53533090
-1.73186593,1.62767345,0.43819344,0.14535070,0.52683575,1.14733556,0.00143896,0.07303445,0.00502316,0.51973397
-1.72586293,1.55277732,0.41060541,0.13793039,0.51782020,1.08667163,0.00136668,0.07118248,0.00460961,0.50633762
-1.71985993,1.48345730,0.38383298,0.13112829,0.51185904,1.02869880,0.00131055,0.06978563,0.00423197,0.49572791
-1.71385693,1.42122677,0.35826634,0.12510730,0.50949457,0.97438736,0.00127260,0.06891502,0.00389541,0.48843044
-1.70785393,1.36741685,0.33424494,0.12000930,0.51120934,0.92460691,0.00125457,0.06862884,0.00360412,0.48489627
-1.70185093,1.32315012,0.31205206,0.11595210,0.51741326,0.88011308,0.00125792,0.06897067,0.00336127,0.48548946
-1.69584792,1.28931930,0.29191141,0.11302704,0.52843154,0.84153684,0.00128377,0.06996805,0.00316906,0.49047649
-1.68984492,1.26657085,0.27398534,0.11129719,0.54449363,0.80937627,0.00133289,0.07163157,0.00302873,0.50001777
-1.68384192,1.25529345,0.25837477,0.11079628,0.56572345,0.78399053,0.00140569,0.07395428,0.00294055,0.51416147
-1.67783892,1.25561131,0.24512069,0.11152819,0.59213114,0.76559601,0.00150216,0.07691155,0.00290393,0.53283975
-1.67183592,1.26738236,0.23420686,0.11346713,0.62360681,0.75426428,0.00162187,0.08046137,0.00291737,0.55586750
-1.66583292,1.29020129,0.22556372,0.11655839,0.65991653,0.74992212,0.00176396,0.08454511,0.00297859,0.58294396
-1.65982991,1.32340758,0.21907332,0.12071971,0.70070098,0.75235351,0.00192710,0.08908871,0.00308453,0.61365696
-1.65382691,1.36609855,0.21457500,0.12584318,0.74547719,0.76120380,0.00210949,0.09400431,0.00323139,0.64749017
-1.64782391,1.41714771,0.21187165,0.13179780,0.79364362,0.77598615,0.00230886,0.09919230,0.00341471,0.68383310
-1.64182091,1.47522815,0.21073661,0.13843241,0.84448878,0.79609059,0.00252249,0.10454376,0.00362945,0.72199400
-1.63581791,1.53884114,0.21092077,0.14557926,0.89720356,0.82079565,0.00274721,0.10994321,0.00387002,0.76121529
-1.62981491,1.60634951,0.21215996,0.15305794,0.95089720,0.84928281,0.00297947,0.11527165,0.00413037,0.80069136
-1.62381191,1.67601550,0.21418234,0.16067967,1.00461660,0.88065360,0.00321538,0.12040980,0.00440412,0.83958840
-1.61780890,1.74604223,0.21671573,0.16825194,1.05736871,0.91394932,0.00345075,0.12524142,0.00468462,0.87706557
-1.61180590,1.81461792,0.21949472,0.17558328,1.10814526,0.94817291,0.00368125,0.12965665,0.00496513,0.91229722
-1.60580290,1.87996174,0.22226738,0.18248809,1.15594916,0.98231257,0.00390243,0.13355525,0.00523892,0.94449512
-1.59979990,1.94036980,0.22480136,0.18879139,1.19982166,1.01536649,0.00410989,0.13684961,0.00549941,0.97293022
-1.59379690,1.99425986,0.22688944,0.19433335,1.23886916,1.04636783,0.00429936,0.13946743,0.00574034,0.99695310
-1.58779390,2.04021308,0.22835403,0.19897344,1.27228875,1.07440918,0.00446682,0.14135392,0.00595591,1.01601220
-1.58179090,2.07701127,0.22905089,0.20259397,1.29939137,1.09866554,0.00460866,0.14247352,0.00614095,1.02966924
-1.57578789,2.10366812,0.22887162,0.20510305,1.31962149,1.11841495,0.00472174,0.14281096,0.00629100,1.03761124
-1.56978489,2.11945318,0.22774506,0.20643670,1.33257264,1.13305589,0.00480351,0.14237168,0.00640249,1.03965839
-1.56378189,2.12390746,0.22563746,0.20656008,1.33799797,1.14212076,0.00485209,0.14118153,0.00647278,1.03576772
-1.55777889,2.11685012,0.22255140,0.20546780,1.33581535,1.14528497,0.00486632,0.13928576,0.00650027,1.02603212
-1.55177589,2.09837584,0.21852367,0.20318328,1.32610694,1.14237112,0.00484580,0.13674732,0.00648439,1.01067500
-1.54577289,2.06884310,0.21362194,0.19975716,1.30911307,1.13334837,0.00479091,0.13364464,0.00642563,0.99004057
-1.53976988,2.02885396,0.20794062,0.19526489,1.28522101,1.11832699,0.00470276,0.13006869,0.00632548,0.96458032
-1.53376688,1.97922623,0.20159587,0.18980353,1.25494894,1.09754843,0.00458319,0.12611985,0.00618638,0.93483630
-1.52776388,1.92095937,0.19472014,0.18348803,1.21892607,1.07137161,0.00443467,0.12190425,0.00601161,0.90142173
-1.52176088,1.85519572,0.18745631,0.17644692,1.17786978,1.04025603,0.00426022,0.11753011,0.00580514,0.86500006
-1.51575788,1.78317877,0.17995184,0.16881786,1.13256083,1.00474259,0.00406332,0.11310401,0.00557155,0.82626306
-1.50975488,1.70621026,0.17235299,0.16074307,1.08381783,0.96543306,0.00384777,0.10872727,0.00531578,0.78590907
-1.50375188,1.62560806,0.16479948,0.15236485,1.03247189,0.92296916,0.00361761,0.10449270,0.00504303,0.74462213
-1.49774887,1.54266636,0.15741972,0.14382140,0.97934269,0.87801204,0.00337694,0.10048159,0.00475860,0.70305283
-1.49174587,1.45861973,0.15032689,0.13524306,0.92521662,0.83122317,0.00312985,0.09676140,0.00446768,0.66180149
-1.48574287,1.37461236,0.14361582,0.12674911,0.87082793,0.78324706,0.00288031,0.09338390,0.00417528,0.62140427
-1.47973987,1.29167323,0.13736100,0.11844521,0.81684332,0.73469662,0.00263207,0.09038403,0.00388608,0.58232256
-1.47373687,1.21069793,0.13161564,0.11042153,0.76385038,0.68614129,0.00238856,0.08777949,0.00360433,0.54493580
-1.46773387,1.13243736,0.12641179,0.10275165,0.71234986,0.63809826,0.00215287,0.08557090,0.00333387,0.50953783
-1.46173087,1.05749303,0.12176160,0.09549209,0.66275194,0.59102674,0.00192773,0.08374278,0.00307802,0.47633671
-1.45572786,0.98631893,0.11765945,0.08868257,0.61537609,0.54532522,0.00171543,0.08226500,0.00283967,0.44545755
-1.44972486,0.91922888,0.11408508,0.08234691,0.57045419,0.50133136,0.00151789,0.08109486,0.00262128,0.41694829
-1.44372186,0.85640898,0.11100742,0.07649431,0.52813641,0.45932431,0.00133669,0.08017957,0.00242499,0.39078769
-1.43771886,0.79793382,0.10838896,0.07112120,0.48849939,0.41952889,0.00117306,0.07945907,0.00225273,0.36689523
-1.43171586,0.74378567,0.10619061,0.06621326,0.45155599,0.38212139,0.00102799,0.07886898,0.00210634,0.34514220
-1.42571286,0.69387546,0.10437673,0.06174775,0.41726609,0.34723636,0.00090230,0.07834373,0.00198772,0.32536359
-1.41970985,0.64806451,0.10292025,0.05769580,0.38554789,0.31497406,0.00079669,0.07781958,0.00189906,0.30737015
-1.41370685,0.60618621,0.10180757,0.05402479,0.35628912,0.28540825,0.00071189,0.07723739,0.00184294,0.29096014
-1.40770385,0.56806653,0.10104323,0.05070056,0.32935788,0.25859380,0.00064868,0.07654524,0.00182259,0.27593038
-1.40170085,0.53354290,0.10065403,0.04768945,0.30461247,0.23457397,0.00060802,0.07570056,0.00184203,0.26208622
-1.39569785,0.50248072,0.10069254,0.04496008,0.28191021,0.21338707,0.00059115,0.07467186,0.00190626,0.24925009
-1.38969485,0.47478697,0.10123981,0.04248489,0.26111489,0.19507230,0.00059964,0.07343991,0.00202144,0.23726851
-1.38369185,0.45042081,0.10240717,0.04024129,0.24210274,0.17967459,0.00063548,0.07199841,0.00219499,0.22601739
-1.37768884,0.42940077,0.10433700,0.03821255,0.22476693,0.16724841,0.00070113,0.07035412,0.00243575,0.21540555
-1.37168584,0.41180851,0.10720241,0.03638826,0.20902056,0.15786032,0.00079956,0.06852644,0.00275401,0.20537650
-1.36568284,0.39778922,0.11120568,0.03476457,0.19479826,0.15159034,0.00093424,0.06654652,0.00316159,0.19590856
-1.35967984,0.38754865,0.11657544,0.03334402,0.18205644,0.14853202,0.00110918,0.06445593,0.00367176,0.18701344
-1.35367684,0.38134709,0.12356263,0.03213520,0.17077240,0.14879123,0.00132886,0.06230494,0.00429919,0.17873350
-1.34767384,0.37949048,0.13243500,0.03115205,0.16094243,0.15248367,0.00159815,0.06015058,0.00505984,0.17113774
-1.34167084,0.38231891,0.14347052,0.03041305,0.15257912,0.15973119,0.00192226,0.05805443,0.00597070,0.16431697
-1.33566783,0.39019308,0.15694941,0.02994017,0.14570797,0.17065697,0.00230653,0.05608039,0.00704950,0.15837820
-1.32966483,0.40347896,0.17314517,0.02975776,0.14036362,0.18537979,0.00275633,0.05429229,0.00831443,0.15343857
-1.32366183,0.42253131,0.19231468,0.02989129,0.13658582,0.20400748,0.00327678,0.05275175,0.00978362,0.14961904
-1.31765883,0.44767644,0.21468753,0.03036610,0.13441529,0.22662984,0.00387259,0.05151605,0.01147472,0.14703808
-1.31165583,0.47919500,0.24045506,0.03120617,0.13388975,0.25331136,0.00454774,0.05063623,0.01340433,0.14580554
-1.30565283,0.51730521,0.26975930,0.03243281,0.13504010,0.28408402,0.00530522,0.05015550,0.01558743,0.14601684
-1.29964982,0.56214733,0.30268223,0.03406360,0.13788709,0.31894058,0.00614677,0.05010797,0.01803675,0.14774781
