energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-5.20160080,1.18653184,0.85214648,0.38480058,0.62708949,0.00440339,0.00013195,0.31061025
-5.19559780,1.20924196,0.87199668,0.38920366,0.63358324,0.00456749,0.00014178,0.32450423
-5.18959480,1.22536678,0.88749114,0.39151456,0.63619209,0.00470812,0.00015127,0.33687274
-5.18359180,1.23455176,0.89829654,0.39165759,0.63483123,0.00482296,0.00016026,0.34749786
-5.17758879,1.23658525,0.90416815,0.38960467,0.62950551,0.00491022,0.00016858,0.35618777
-5.17158579,1.23140906,0.90495997,0.38537823,0.62031161,0.00496865,0.00017609,0.36278251
-5.16558279,1.21912429,0.90063171,0.37905241,0.60743716,0.00499767,0.00018264,0.36715909
-5.15957979,1.19999229,0.89125269,0.37075277,0.59115700,0.00499736,0.00018810,0.36923541
-5.15357679,1.17443081,0.87700230,0.36065445,0.57182652,0.00496850,0.00019237,0.36897314
-5.14757379,1.14300553,0.85816717,0.34897890,0.54987279,0.00491258,0.00019537,0.36637917
-5.14157079,1.10641752,0.83513505,0.33598940,0.52578359,0.00483179,0.00019706,0.36150573
-5.13556778,1.06548713,0.80838592,0.32198557,0.50009506,0.00472899,0.00019742,0.35444907
-5.12956478,1.02113512,0.77848047,0.30729716,0.47337851,0.00460767,0.00019647,0.34534684
-5.12356178,0.97436178,0.74604664,0.29227731,0.44622681,0.00447190,0.00019427,0.33437412
-5.11755878,0.92622483,0.71176459,0.27729570,0.41924108,0.00432625,0.00019090,0.32173848
-5.11155578,0.87781692,0.67635079,0.26273156,0.39301791,0.00417570,0.00018648,0.30767405
-5.10555278,0.83024333,0.64054161,0.24896701,0.36813764,0.00402558,0.00018117,0.29243495
-5.09954977,0.78460054,0.60507700,0.23638062,0.34515393,0.00388148,0.00017512,0.27628841
-5.09354677,0.74195601,0.57068475,0.22534144,0.32458463,0.00374908,0.00016854,0.25950764
-5.08754377,0.70332952,0.53806552,0.21620341,0.30690416,0.00363416,0.00016165,0.24236488
-5.08154077,0.66967627,0.50787909,0.20930022,0.29253731,0.00354239,0.00015465,0.22512489
-5.07553777,0.64187169,0.48073203,0.20494041,0.28185416,0.00347928,0.00014779,0.20803891
-5.06953477,0.62069788,0.45716673,0.20340284,0.27516623,0.00345007,0.00014128,0.19133952
-5.06353177,0.60683172,0.43765214,0.20493221,0.27272331,0.00345959,0.00013536,0.17523630
-5.05752876,0.60083421,0.42257599,0.20973464,0.27471111,0.00351221,0.00013023,0.15991259
-5.05152576,0.60314120,0.41223854,0.21797332,0.28124918,0.00361167,0.00012608,0.14552317
-5.04552276,0.61405506,0.40684791,0.22976404,0.29238931,0.00376103,0.00012310,0.13219311
-5.03951976,0.63373756,0.40651676,0.24517077,0.30811403,0.00396256,0.00012143,0.12001743
-5.03351676,0.66220375,0.41126051,0.26420131,0.32833543,0.00421762,0.00012120,0.10906181
-5.02751376,0.69931715,0.42099685,0.28680327,0.35289429,0.00452661,0.00012248,0.09936398
-5.02151076,0.74478649,0.43554677,0.31286035,0.38155959,0.00488888,0.00012535,0.09093571
-5.01550775,0.79816419,0.45463695,0.34218953,0.41402876,0.00530270,0.00012982,0.08376542
-5.00950475,0.85884726,0.47790380,0.37453922,0.44992876,0.00576519,0.00013587,0.07782097
-5.00350175,0.92608080,0.50489894,0.40958870,0.48881836,0.00627231,0.00014345,0.07305270
-4.99749875,0.99896474,0.53509643,0.44694938,0.53019181,0.00681891,0.00015248,0.06939653
-4.99149575,1.07646410,0.56790160,0.48616785,0.57348411,0.00739874,0.00016283,0.06677698
-4.98549275,1.15742312,0.60266166,0.52673118,0.61807812,0.00800454,0.00017436,0.06510993
-4.97948974,1.24058343,0.63867780,0.56807451,0.66331350,0.00862815,0.00018688,0.06430528
