energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
0.51925963,3.75872552,0.54738600,0.00000000,1.37931238,0.67215542,0.03888192,3.01974313
0.52526263,3.61763213,0.51658733,0.00000000,1.31752909,0.63503944,0.03658937,2.96062876
0.53126563,3.47831842,0.48569711,0.00000000,1.25667135,0.59967385,0.03424957,2.89780922
0.53726863,3.34245434,0.45525760,0.00000000,1.19755804,0.56637486,0.03190159,2.83241115
0.54327164,3.21171936,0.42581060,0.00000000,1.14100924,0.53544201,0.02958431,2.76562854
0.54927464,3.08779687,0.39788695,0.00000000,1.08783677,0.50715783,0.02733548,2.69871588
0.55527764,2.97237148,0.37199725,0.00000000,1.03883612,0.48178816,0.02519103,2.63298295
0.56128064,2.86712837,0.34862369,0.00000000,0.99477978,0.45958318,0.02318437,2.56979053
0.56728364,2.77375362,0.32821312,0.00000000,0.95641159,0.44077862,0.02134594,2.51054659
0.57328664,2.69393428,0.31117131,0.00000000,0.92444178,0.42559716,0.01970284,2.45670177
0.57928964,2.62935683,0.29785823,0.00000000,0.89954225,0.41424952,0.01827863,2.40974359
0.58529265,2.58170285,0.28858430,0.00000000,0.88234171,0.40693502,0.01709326,2.37118836
0.59129565,2.55264070,0.28360728,0.00000000,0.87342024,0.40384148,0.01616309,2.34257013
0.59729865,2.54381226,0.28312978,0.00000000,0.87330298,0.40514403,0.01550099,2.32542624
0.60330165,2.55681419,0.28729708,0.00000000,0.88245275,0.41100301,0.01511654,2.32127909
0.60930465,2.59317339,0.29619532,0.00000000,0.90126149,0.42156055,0.01501623,2.33161424
0.61530765,2.65431675,0.30984987,0.00000000,0.93004064,0.43693626,0.01520372,2.35785490
0.62131066,2.74153586,0.32822390,0.00000000,0.96901067,0.45722175,0.01568007,2.40133363
0.62731366,2.85594734,0.35121738,0.00000000,1.01829025,0.48247453,0.01644399,2.46326167
0.63331666,2.99845036,0.37866644,0.00000000,1.07788535,0.51271129,0.01749206,2.54469718
0.63931966,3.16968266,0.41034334,0.00000000,1.14767913,0.54790111,0.01881888,2.64651317
0.64532266,3.36997692,0.44595740,0.00000000,1.22742315,0.58795886,0.02041732,2.76936651
0.65132566,3.59931943,0.48515686,0.00000000,1.31673056,0.63273915,0.02227854,2.91366883
0.65732866,3.85731285,0.52753206,0.00000000,1.41507195,0.68203136,0.02439221,3.07956064
0.66333167,4.14314495,0.57262006,0.00000000,1.52177446,0.73555603,0.02674651,3.26688941
0.66933467,4.45556512,0.61991070,0.00000000,1.63602448,0.79296287,0.02932825,3.47519220
0.67533767,4.79286982,0.66885436,0.00000000,1.75687426,0.85383089,0.03212292,3.70368375
0.68134067,5.15289843,0.71887107,0.00000000,1.88325261,0.91767046,0.03511473,3.95124987
0.68734367,5.53304004,0.76936112,0.00000000,2.01397944,0.98392777,0.03828670,4.21644664
0.69334667,5.93025175,0.81971669,0.00000000,2.14778401,1.05199140,0.04162069,4.49750532
0.69934967,6.34108844,0.86933430,0.00000000,2.28332640,1.12120101,0.04509745,4.79234271
0.70535268,6.76174377,0.91762773,0.00000000,2.41922148,1.19085798,0.04869674,5.09857701
0.71135568,7.18810165,0.96404088,0.00000000,2.55406484,1.26023760,0.05239735,5.41354900
0.71735868,7.61579729,1.00806009,0.00000000,2.68645980,1.32860259,0.05617726,5.73434820
0.72336168,8.04028659,1.04922564,0.00000000,2.81504452,1.39521741,0.06001368,6.05784422
0.72936468,8.45692239,1.08714177,0.00000000,2.93851862,1.45936305,0.06388323,6.38072319
0.73536768,8.86103593,1.12148499,0.00000000,3.05566832,1.52035169,0.06776205,6.69952915
0.74137069,9.24802173,1.15201027,0.00000000,3.16538942,1.57754090,0.07162596,7.01071073
0.74737369,9.61342408,1.17855496,0.00000000,3.26670749,1.63034685,0.07545065,7.31067270
0.75337669,9.95302292,1.20104019,0.00000000,3.35879474,1.67825611,0.07921187,7.59583253
0.75937969,10.26291726,1.21946988,0.00000000,3.44098323,1.72083577,0.08288564,7.86268125
0.76538269,10.53960391,1.23392719,0.00000000,3.51277403,1.75774146,0.08644854,8.10784799
0.77138569,10.78004942,1.24456884,0.00000000,3.57384226,1.78872308,0.08987789,8.32816701
0.77738869,10.98175320,1.25161727,0.00000000,3.62403800,1.81362812,0.09315208,8.52074574
0.78339170,11.14279976,1.25535120,0.00000000,3.66338303,1.83240233,0.09625078,8.68303190
0.78939470,11.26189836,1.25609469,0.00000000,3.69206357,1.84508800,0.09915523,8.81287740
0.79539770,11.33840837,1.25420535,0.00000000,3.71041933,1.85181958,0.10184847,8.90859650
0.80140070,11.37234918,1.25006193,0.00000000,3.71892909,1.85281709,0.10431554,8.96901571
0.80740370,11.36439374,1.24405181,0.00000000,3.71819315,1.84837738,0.10654364,8.99351269
0.81340670,11.31584553,1.23655872,0.00000000,3.70891316,1.83886361,0.10852229,8.98204186
0.81940970,11.22859902,1.22795118,0.00000000,3.69186983,1.82469320,0.11024336,8.93514475
0.82541271,11.10508467,1.21857185,0.00000000,3.66789905,1.80632484,0.11170110,8.85394371
0.83141571,10.94819982,1.20872831,0.00000000,3.63786703,1.78424478,0.11289210,8.74011830
0.83741871,10.76122771,1.19868526,0.00000000,3.60264537,1.75895309,0.11381518,8.59586456
0.84342171,10.54774729,1.18865865,0.00000000,3.56308649,1.73095021,0.11447128,8.42383815
0.84942471,10.31153690,1.17881154,0.00000000,3.52000053,1.70072423,0.11486323,8.22708322
0.85542771,10.05647544,1.16925211,0.00000000,3.47413428,1.66873953,0.11499563,8.00894965
