energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.28414207,1.32913794,0.37553700,0.20662628,0.00105807,0.16943368,0.31679196,0.40401803,0.63201222,0.00000000
-2.27813907,1.31103844,0.36674272,0.20527089,0.00121316,0.16601303,0.31077927,0.40062859,0.61935739,0.00000000
-2.27213607,1.29221573,0.35866616,0.20390055,0.00138864,0.16291057,0.30425181,0.39610700,0.60526148,0.00000000
-2.26613307,1.27265679,0.35117817,0.20249251,0.00158687,0.16009715,0.29723082,0.39048446,0.58980909,0.00000000
-2.26013007,1.25240228,0.34415931,0.20103508,0.00181042,0.15754232,0.28975311,0.38382606,0.57311208,0.00000000
-2.25412706,1.23155645,0.33750697,0.19952986,0.00206218,0.15521714,0.28187300,0.37623120,0.55531216,0.00000000
-2.24812406,1.21029376,0.33114146,0.19799332,0.00234542,0.15309673,0.27366357,0.36783280,0.53658222,0.00000000
-2.24212106,1.18886225,0.32501072,0.19645752,0.00266377,0.15116242,0.26521730,0.35879521,0.51712656,0.00000000
-2.23611806,1.16758320,0.31909374,0.19497014,0.00302138,0.14940317,0.25664598,0.34931108,0.49717974,0.00000000
-2.23011506,1.14684732,0.31340224,0.19359377,0.00342293,0.14781658,0.24807995,0.33959719,0.47700420,0.00000000
-2.22411206,1.12710775,0.30798090,0.19240442,0.00387371,0.14640902,0.23966661,0.32988959,0.45688664,0.00000000
-2.21810905,1.10887007,0.30290606,0.19148945,0.00437969,0.14519528,0.23156842,0.32043816,0.43713333,0.00000000
-2.21210605,1.09267999,0.29828291,0.19094496,0.00494759,0.14419752,0.22396021,0.31150076,0.41806444,0.00000000
-2.20610305,1.07910925,0.29424156,0.19087276,0.00558489,0.14344373,0.21702616,0.30333745,0.40000781,0.00000000
-2.20010005,1.06874028,0.29093190,0.19137711,0.00629985,0.14296584,0.21095631,0.29620455,0.38329204,0.00000000
-2.19409705,1.06215014,0.28851777,0.19256121,0.00710145,0.14279754,0.20594278,0.29034909,0.36823949,0.00000000
-2.18809405,1.05989444,0.28717046,0.19452382,0.00799936,0.14297192,0.20217575,0.28600351,0.35515913,0.00000000
-2.18209105,1.06249151,0.28706187,0.19735575,0.00900375,0.14351925,0.19983920,0.28338080,0.34433952,0.00000000
-2.17608804,1.07040718,0.28835758,0.20113673,0.01012508,0.14446480,0.19910661,0.28267006,0.33604210,0.00000000
-2.17008504,1.08404058,0.29121004,0.20593231,0.01137385,0.14582697,0.20013645,0.28403256,0.33049493,0.00000000
-2.16408204,1.10371103,0.29575202,0.21179125,0.01276016,0.14761569,0.20306771,0.28759821,0.32788687,0.00000000
-2.15807904,1.12964612,0.30209059,0.21874309,0.01429335,0.14983136,0.20801534,0.29346249,0.32836252,0.00000000
-2.15207604,1.16197128,0.31030173,0.22679621,0.01598143,0.15246409,0.21506589,0.30168380,0.33201771,0.00000000
-2.14607304,1.20070074,0.32042571,0.23593624,0.01783050,0.15549346,0.22427314,0.31228121,0.33889592,0.00000000
-2.14007004,1.24573023,0.33246335,0.24612495,0.01984419,0.15888870,0.23565416,0.32523266,0.34898546,0.00000000
