energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-1.42571286,3.60543724,0.02485702,1.14358908,0.50548589,0.26773489,0.01470510,1.45150129,2.65736624,0.97456628
-1.41970985,3.50527876,0.02521265,1.08390642,0.49926032,0.26281337,0.01394767,1.42983583,2.55785413,0.95181551
-1.41370685,3.40334292,0.02554331,1.02362318,0.49172538,0.25797669,0.01321571,1.40633221,2.45749639,0.92939549
-1.40770385,3.29982132,0.02584000,0.96328317,0.48285298,0.25317850,0.01251418,1.38071955,2.35703727,0.90725910
-1.40170085,3.19487556,0.02609374,0.90340107,0.47263708,0.24836599,0.01184693,1.35275462,2.25714661,0.88534132
-1.39569785,3.08866062,0.02629591,0.84445938,0.46109646,0.24348374,0.01121676,1.32223817,2.15842327,0.86356819
-1.38969485,2.98134925,0.02643860,0.78690669,0.44827665,0.23847764,0.01062558,1.28902987,2.06140206,0.84186642
-1.38369185,2.87315576,0.02651496,0.73115725,0.43425107,0.23329876,0.01007445,1.25306106,1.96656307,0.82017289
-1.37768884,2.76435752,0.02651957,0.67759123,0.41912112,0.22790690,0.00956383,1.21434447,1.87434253,0.79844382
-1.37168584,2.65531294,0.02644865,0.62655558,0.40301529,0.22227368,0.00909366,1.17298057,1.78514407,0.77666303
-1.36568284,2.54647482,0.02630040,0.57836517,0.38608727,0.21638507,0.00866360,1.12916002,1.69934972,0.75484905
-1.35967984,2.43839836,0.02607507,0.53330396,0.36851304,0.21024319,0.00827310,1.08316229,1.61732974,0.73306075
-1.35367684,2.33174360,0.02577512,0.49162604,0.35048725,0.20386737,0.00792163,1.03535036,1.53945079,0.71140148
-1.34767384,2.22727209,0.02540521,0.45355646,0.33221880,0.19729441,0.00760877,0.98616199,1.46608197,0.69002148
-1.34167084,2.12583816,0.02497210,0.41929169,0.31392605,0.19057815,0.00733431,0.93609782,1.39759852,0.66911862
-1.33566783,2.02837534,0.02448455,0.38899972,0.29583163,0.18378830,0.00709835,0.88570706,1.33438308,0.64893766
-1.32966483,1.93587876,0.02395305,0.36281984,0.27815724,0.17700864,0.00690137,0.83557142,1.27682454,0.62976798
-1.32366183,1.84938431,0.02338956,0.34086198,0.26111852,0.17033480,0.00674423,0.78628800,1.22531465,0.61194004
-1.31765883,1.76994565,0.02280715,0.32320587,0.24492020,0.16387159,0.00662820,0.73845201,1.18024283,0.59582080
-1.31165583,1.69861018,0.02221961,0.30989985,0.22975178,0.15773012,0.00655495,0.69263989,1.14198931,0.58180828
-1.30565283,1.63639489,0.02164107,0.30095965,0.21578368,0.15202478,0.00652650,0.64939381,1.11091728,0.57032547
-1.29964982,1.58426311,0.02108556,0.29636697,0.20316422,0.14687030,0.00654516,0.60920781,1.08736435,0.56181386
-1.29364682,1.54310307,0.02056663,0.29606822,0.19201721,0.14237887,0.00661349,0.57251633,1.07163394,0.55672670
