energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-5.27963982,3.84557339,0.00075288,0.89656654,0.24586753,0.11181013,2.72836021,2.06302818,0.02843398,0.54105218
-5.27363682,3.98350971,0.00070756,0.93675547,0.24445131,0.11388479,2.84743794,2.16034620,0.02555003,0.54348260
-5.26763382,4.15610518,0.00067082,0.98321369,0.24603057,0.11756211,2.98563766,2.27537080,0.02304510,0.55288615
-5.26163082,4.36224186,0.00064269,1.03550812,0.25070819,0.12282268,3.14174268,2.40749190,0.02091083,0.56924226
-5.25562781,4.60015223,0.00062323,1.09305586,0.25854666,0.12962767,3.31413122,2.55573760,0.01913411,0.59244093
-5.24962481,4.86743498,0.00061249,1.15513077,0.26956614,0.13791887,3.50079816,2.71877978,0.01769773,0.62228370
-5.24362181,5.16108707,0.00061064,1.22087375,0.28374361,0.14761927,3.69938881,2.89494853,0.01658100,0.65848690
-5.23761881,5.47755215,0.00061796,1.28930667,0.30101297,0.15863448,3.90724411,3.08225586,0.01576047,0.70068714
-5.23161581,5.81278556,0.00063489,1.35934967,0.32126641,0.17085488,4.12145673,3.27842862,0.01521062,0.74844927
-5.22561281,6.16233530,0.00066212,1.42984179,0.34435675,0.18415868,4.33893695,3.48095064,0.01490445,0.80127687
-5.21960980,6.52143839,0.00070061,1.49956438,0.37010107,0.19841592,4.55648694,3.68711367,0.01481418,0.85862516
-5.21360680,6.88513110,0.00075166,1.56726704,0.39828533,0.21349333,4.77088194,3.89407640,0.01491182,0.91991639
-5.20760380,7.24837119,0.00081698,1.63169552,0.42867009,0.22926009,4.97895619,4.09893059,0.01516976,0.98455742
-5.20160080,7.60616946,0.00089872,1.69162096,0.46099709,0.24559431,5.17769150,4.29877269,0.01556131,1.05195915
-5.19559780,7.95372733,0.00099955,1.74586966,0.49499653,0.26239015,5.36430571,4.49077938,0.01606121,1.12155739
-5.18959480,8.28657654,0.00112266,1.79335278,0.53039495,0.27956529,5.53633854,4.67228466,0.01664614,1.19283448
-5.18359180,8.60071644,0.00127182,1.83309492,0.56692330,0.29706851,5.69173157,4.84085612,0.01729515,1.26534106
-5.17758879,8.89274402,0.00145139,1.86426061,0.60432503,0.31488708,5.82889965,4.99436760,0.01799013,1.33871701
-5.17158579,9.15997152,0.00166631,1.88617803,0.64236385,0.33305355,5.94679053,5.13106558,0.01871615,1.41271068
-5.16558279,9.40052651,0.00192209,1.89835873,0.68083078,0.35165164,6.04493029,5.24962632,0.01946178,1.48719561
-5.15957979,9.61342969,0.00222478,1.90051279,0.71955032,0.37082070,6.12345181,5.34920137,0.02021938,1.56218350
-5.15357679,9.79864604,0.00258085,1.89255852,0.75838531,0.39075848,6.18310464,5.42944889,0.02098525,1.63783290
-5.14757379,9.95710600,0.00299714,1.87462638,0.79724031,0.41172187,6.22524483,5.49054927,0.02175966,1.71445254
-5.14157079,10.09069409,0.00348073,1.84705655,0.83606319,0.43402512,6.25180422,5.53320359,0.02254689,1.79249894
-5.13556778,10.20220408,0.00403875,1.81039027,0.87484501,0.45803561,6.26523935,5.55861450,0.02335499,1.87256779
-5.12956478,10.29526084,0.00467820,1.76535506,0.91361788,0.48416676,6.26846127,5.56844981,0.02419550,1.95537891
-5.12356178,10.37421056,0.00540578,1.71284422,0.95245096,0.51286823,6.26474802,5.56478974,0.02508301,2.04175507
-5.11755878,10.44398262,0.00622761,1.65389130,0.99144475,0.54461342,6.25764283,5.55005968,0.02603455,2.13259487
