energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-5.23761881,5.41862348,0.29748007,0.00000000,0.04108260,0.79437183,0.13513713,2.87440565,3.08273361,1.20598207
-5.23161581,5.58292498,0.30872916,0.00000000,0.04262340,0.81596913,0.13811428,2.96525964,3.18603141,1.24163383
-5.22561281,5.73588266,0.31948443,0.00000000,0.04406143,0.83570799,0.14082288,3.05054352,3.28220882,1.27512652
-5.21960980,5.87521846,0.32956956,0.00000000,0.04538164,0.85332658,0.14322108,3.12896529,3.36977199,1.30603967
-5.21360680,5.99885768,0.33882256,0.00000000,0.04657226,0.86860010,0.14527108,3.19932910,3.44735441,1.33398577
-5.20760380,6.10500257,0.34710104,0.00000000,0.04762533,0.88134912,0.14694053,3.26057668,3.51376566,1.35862401
-5.20160080,6.19219759,0.35428685,0.00000000,0.04853698,0.89144623,0.14820371,3.31182490,3.56803452,1.37967258
-5.19559780,6.25938277,0.36028979,0.00000000,0.04930765,0.89882091,0.14904259,3.35239724,3.60944416,1.39691904
-5.18959480,6.30593211,0.36505018,0.00000000,0.04994197,0.90346199,0.14944762,3.38184774,3.63755745,1.41022799
-5.18359180,6.33167484,0.36854027,0.00000000,0.05044861,0.90541773,0.14941807,3.39997595,3.65223104,1.41954555
-5.17758879,6.33689838,0.37076435,0.00000000,0.05083983,0.90479321,0.14896220,3.40683221,3.65361734,1.42490052
-5.17158579,6.32233255,0.37175746,0.00000000,0.05113092,0.90174538,0.14809691,3.40271293,3.64215440,1.42640206
-5.16558279,6.28911615,0.37158304,0.00000000,0.05133943,0.89647578,0.14684707,3.38814626,3.61854426,1.42423393
-5.15957979,6.23874752,0.37032938,0.00000000,0.05148434,0.88922147,0.14524452,3.36386886,3.58372114,1.41864582
-5.15357679,6.17302199,0.36810524,0.00000000,0.05158515,0.88024464,0.14332682,3.33079519,3.53881111,1.40994213
-5.14757379,6.09395953,0.36503479,0.00000000,0.05166095,0.86982141,0.14113569,3.28998097,3.48508585,1.39846893
-5.14157079,6.00372652,0.36125217,0.00000000,0.05172945,0.85823055,0.13871544,3.24258273,3.42391265,1.38459978
-5.13556778,5.90455583,0.35689602,0.00000000,0.05180620,0.84574263,0.13611129,3.18981563,3.35670382,1.36872130
-5.12956478,5.79866913,0.35210411,0.00000000,0.05190378,0.83261032,0.13336770,3.13291156,3.28486771,1.35121916
-5.12356178,5.68820523,0.34700848,0.00000000,0.05203126,0.81906023,0.13052692,3.07307962,3.20976412,1.33246528
-5.11755878,5.57515774,0.34173124,0.00000000,0.05219378,0.80528669,0.12762766,3.01147059,3.13266583,1.31280680
-5.11155578,5.46132434,0.33638121,0.00000000,0.05239235,0.79144785,0.12470403,2.94914683,3.05472810,1.29255731
-5.10555278,5.34826950,0.33105154,0.00000000,0.05262381,0.77766401,0.12178486,2.88705867,2.97696694,1.27199058
-5.09954977,5.23730133,0.32581828,0.00000000,0.05288109,0.76401832,0.11889321,2.82602778,2.90024659,1.25133693
-5.09354677,5.12946246,0.32074009,0.00000000,0.05315357,0.75055949,0.11604626,2.76673761,2.82527609,1.23078227
-5.08754377,5.02553401,0.31585874,0.00000000,0.05342762,0.73730634,0.11325556,2.70973076,2.75261413,1.21046937
-5.08154077,4.92605103,0.31120049,0.00000000,0.05368733,0.72425369,0.11052739,2.65541241,2.68268103,1.19050133
-5.07553777,4.83132737,0.30677815,0.00000000,0.05391528,0.71137911,0.10786351,2.60405912,2.61577632,1.17094649
-5.06953477,4.74148725,0.30259350,0.00000000,0.05409337,0.69865002,0.10526188,2.55583168,2.55210009,1.15184455
-5.06353177,4.65650121,0.29864007,0.00000000,0.05420369,0.68603074,0.10271764,2.51079095,2.49177639,1.13321329
-5.05752876,4.57622353,0.29490587,0.00000000,0.05422931,0.67348885,0.10022399,2.46891530,2.43487676,1.11505540
-5.05152576,4.50042904,0.29137603,0.00000000,0.05415505,0.66100068,0.09777313,2.43011864,2.38144234,1.09736497
-5.04552276,4.42884710,0.28803514,0.00000000,0.05396810,0.64855546,0.09535704,2.39426788,2.33150316,1.08013347
-5.03951976,4.36119125,0.28486916,0.00000000,0.05365853,0.63615807,0.09296820,2.36119910,2.28509366,1.06335463
-5.03351676,4.29718350,0.28186678,0.00000000,0.05321968,0.62383034,0.09060013,2.33073173,2.24226367,1.04702845
-5.02751376,4.23657271,0.27902032,0.00000000,0.05264834,0.61161086,0.08824780,2.30268049,2.20308473,1.03116392
-5.02151076,4.17914705,0.27632604,0.00000000,0.05194484,0.59955347,0.08590785,2.27686470,2.16765185,1.01578076
-5.01550775,4.12474086,0.27378397,0.00000000,0.05111296,0.58772482,0.08357864,2.25311534,2.13608113,1.00091004
-5.00950475,4.07323681,0.27139742,0.00000000,0.05015970,0.57620101,0.08126025,2.23127969,2.10850403,0.98659400
-5.00350175,4.02456409,0.26917209,0.00000000,0.04909499,0.56506390,0.07895428,2.21122423,2.08505917,0.97288508
-4.99749875,3.97869406,0.26711514,0.00000000,0.04793132,0.55439729,0.07666367,2.19283585,2.06588274,0.95984450
-4.99149575,3.93563406,0.26523412,0.00000000,0.04668324,0.54428321,0.07439241,2.17602214,2.05109847,0.94754035
-4.98549275,3.89542070,0.26353606,0.00000000,0.04536692,0.53479878,0.07214526,2.16071073,2.04080811,0.93604556
-4.97948974,3.85811336,0.26202673,0.00000000,0.04399967,0.52601361,0.06992756,2.14684839,2.03508333,0.92543565
-4.97348674,3.82378838,0.26071009,0.00000000,0.04259948,0.51798807,0.06774497,2.13439984,2.03395953,0.91578647
-4.96748374,3.79253442,0.25958817,0.00000000,0.04118455,0.51077228,0.06560332,2.12334656,2.03743191,0.90717194
-4.96148074,3.76444903,0.25866117,0.00000000,0.03977298,0.50440599,0.06350858,2.11368559,2.04545398,0.89966173
-4.95547774,3.73963618,0.25792785,0.00000000,0.03838237,0.49891909,0.06146676,2.10542818,2.05793835,0.89331899
-4.94947474,3.71820438,0.25738626,0.00000000,0.03702954,0.49433271,0.05948398,2.09859831,2.07475941,0.88819800
-4.94347174,3.70026498,0.25703453,0.00000000,0.03573031,0.49066060,0.05756648,2.09323074,2.09575733,0.88434180
-4.93746873,3.68592992,0.25687179,0.00000000,0.03449932,0.48791073,0.05572075,2.08936845,2.12074285,0.88177980
-4.93146573,3.67530848,0.25689901,0.00000000,0.03334979,0.48608672,0.05395352,2.08705930,2.14950207,0.88052531
-4.92546273,3.66850241,0.25711974,0.00000000,0.03229347,0.48518907,0.05227189,2.08635168,2.18180057,0.88057314
-4.91945973,3.66559929,0.25754058,0.00000000,0.03134045,0.48521588,0.05068327,2.08728925,2.21738628,0.88189727
-4.91345673,3.66666374,0.25817133,0.00000000,0.03049907,0.48616301,0.04919533,2.08990455,2.25599079,0.88444877
-4.90745373,3.67172674,0.25902474,0.00000000,0.02977579,0.48802372,0.04781592,2.09421186,2.29732855,0.88815398
-4.90145073,3.68077344,0.26011588,0.00000000,0.02917512,0.49078751,0.04655285,2.10019943,2.34109429,0.89291323
-4.89544772,3.69372984,0.26146111,0.00000000,0.02869946,0.49443866,0.04541364,2.10782148,2.38695871,0.89860017
-4.88944472,3.71044935,0.26307661,0.00000000,0.02834901,0.49895408,0.04440527,2.11699048,2.43456280,0.90506183
-4.88344172,3.73070017,0.26497674,0.00000000,0.02812174,0.50430119,0.04353375,2.12757014,2.48351167,0.91211965
-4.87743872,3.75415439,0.26717209,0.00000000,0.02801323,0.51043551,0.04280386,2.13936985,2.53336852,0.91957143
-4.87143572,3.78038019,0.26966754,0.00000000,0.02801672,0.51729866,0.04221876,2.15214098,2.58364970,0.92719437
-4.86543272,3.80883802,0.27246037,0.00000000,0.02812309,0.52481668,0.04177973,2.16557570,2.63382183,0.93474922
-4.85942971,3.83888167,0.27553856,0.00000000,0.02832095,0.53289898,0.04148588,2.17930872,2.68330170,0.94198540
-4.85342671,3.86976507,0.27887950,0.00000000,0.02859673,0.54143823,0.04133403,2.19292224,2.73145995,0.94864709
-4.84742371,3.90065520,0.28244909,0.00000000,0.02893492,0.55031116,0.04131868,2.20595441,2.77762873,0.95448015
-4.84142071,3.93065111,0.28620158,0.00000000,0.02931836,0.55938043,0.04143204,2.21791107,2.82111384,0.95923965
-4.83541771,3.95880893,0.29007989,0.00000000,0.02972852,0.56849760,0.04166427,2.22828080,2.86121129,0.96269769
-4.82941471,3.98417209,0.29401674,0.00000000,0.03014598,0.57750711,0.04200382,2.23655257,2.89722774,0.96465140
-4.82341171,4.00580574,0.29793646,0.00000000,0.03055084,0.58625118,0.04243780,2.24223560,2.92850432,0.96493068
-4.81740870,4.02283403,0.30175737,0.00000000,0.03092327,0.59457537,0.04295257,2.24488045,2.95444272,0.96340540
-4.81140570,4.03447850,0.30539480,0.00000000,0.03124403,0.60233462,0.04353434,2.24410040,2.97453234,0.95999177
-4.80540270,4.04009579,0.30876445,0.00000000,0.03149500,0.60939940,0.04416978,2.23959219,2.98837697,0.95465748
-4.79939970,4.03921260,0.31178603,0.00000000,0.03165971,0.61566169,0.04484666,2.23115480,2.99571953,0.94742544
-4.79339670,4.03155604,0.31438704,0.00000000,0.03172386,0.62104046,0.04555444,2.21870535,2.99646328,0.93837584
