energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-4.03101551,0.84072045,0.00514010,0.12650163,0.00233042,0.40343553,0.19422079,0.20657109
-4.02501251,0.81394800,0.00479604,0.12867993,0.00253706,0.38630173,0.19308946,0.20171598
-4.01900950,0.79219075,0.00448377,0.13344457,0.00279170,0.36982810,0.19362607,0.19981933
-4.01300650,0.77626248,0.00420648,0.14103889,0.00310099,0.35431168,0.19607688,0.20116211
-4.00700350,0.76691757,0.00396677,0.15168633,0.00347139,0.34003529,0.20068319,0.20599474
-4.00100050,0.76483948,0.00376669,0.16558639,0.00390892,0.32726351,0.20767814,0.21453395
-3.99499750,0.77062823,0.00360778,0.18291022,0.00441895,0.31623835,0.21728302,0.22695939
-3.98899450,0.78478695,0.00349105,0.20379577,0.00500594,0.30717478,0.22970298,0.24340974
-3.98299150,0.80770783,0.00341702,0.22834268,0.00567318,0.30025607,0.24512242,0.26397855
-3.97698849,0.83965783,0.00338572,0.25660708,0.00642251,0.29562906,0.26370001,0.28870983
-3.97098549,0.88076475,0.00339664,0.28859649,0.00725411,0.29339961,0.28556362,0.31759365
-3.96498249,0.93100457,0.00344877,0.32426519,0.00816624,0.29362840,0.31080532,0.35056199
-3.95897949,0.99019070,0.00354054,0.36351017,0.00915509,0.29632730,0.33947668,0.38748519
-3.95297649,1.05796629,0.00366980,0.40616825,0.01021460,0.30145671,0.37158469,0.42816935
-3.94697349,1.13380036,0.00383382,0.45201435,0.01133640,0.30892402,0.40708839,0.47235486
-3.94097049,1.21698850,0.00402926,0.50076137,0.01250985,0.31858350,0.44589645,0.51971666
-3.93496748,1.30665893,0.00425223,0.55206176,0.01372205,0.33023789,0.48786592,0.56986610
-3.92896448,1.40178420,0.00449824,0.60551090,0.01495809,0.34364174,0.53280213,0.62235486
-3.92296148,1.50119876,0.00476236,0.66065227,0.01620124,0.35850669,0.58045986,0.67668078
-3.91695848,1.60362214,0.00503918,0.71698440,0.01743341,0.37450862,0.63054576,0.73229569
-3.91095548,1.70768737,0.00532304,0.77396923,0.01863549,0.39129659,0.68272184,0.78861490
-3.90495248,1.81197377,0.00560805,0.83104188,0.01978794,0.40850328,0.73661007,0.84502834
-3.89894947,1.91504303,0.00588832,0.88762119,0.02087136,0.42575673,0.79179774,0.90091261
-3.89294647,2.01547733,0.00615808,0.94312083,0.02186704,0.44269288,0.84784355,0.95564394
-3.88694347,2.11191798,0.00641189,0.99696057,0.02275768,0.45896847,0.90428413,1.00861118
-3.88094047,2.20310299,0.00664481,1.04857716,0.02352792,0.47427367,0.96064090,1.05922866
-3.87493747,2.28790210,0.00685257,1.09743466,0.02416495,0.48834405,1.01642697,1.10694822
-3.86893447,2.36534778,0.00703175,1.14303374,0.02465900,0.50097116,1.07115413,1.15127014
-3.86293147,2.43466077,0.00717987,1.18491979,0.02500374,0.51201124,1.12433965,1.19175257
-3.85692846,2.49526937,0.00729558,1.22268968,0.02519659,0.52139164,1.17551300,1.22801917
-3.85092546,2.54682149,0.00737863,1.25599715,0.02523889,0.52911457,1.22422230,1.25976489
-3.84492246,2.58918912,0.00742997,1.28455669,0.02513591,0.53525790,1.27004057,1.28675972
-3.83891946,2.62246530,0.00745170,1.30814621,0.02489673,0.53997283,1.31257176,1.30885051
-3.83291646,2.64695352,0.00744700,1.32660842,0.02453400,0.54347867,1.35145653,1.32596095
-3.82691346,2.66315054,0.00742000,1.33985116,0.02406355,0.54605461,1.38637766,1.33808988
-3.82091046,2.67172312,0.00737566,1.34784689,0.02350387,0.54802901,1.41706518,1.34530806
-3.81490745,2.67347998,0.00731954,1.35063131,0.02287554,0.54976658,1.44330089,1.34775370
-3.80890445,2.66934000,0.00725758,1.34830137,0.02220054,0.55165385,1.46492231,1.34562695
-3.80290145,2.66029814,0.00719587,1.34101267,0.02150160,0.55408380,1.48182573,1.33918346
-3.79689845,2.64739020,0.00714038,1.32897620,0.02080143,0.55744001,1.49396827,1.32872726
-3.79089545,2.63165781,0.00709670,1.31245456,0.02012208,0.56208126,1.50136866,1.31460311
-3.78489245,2.61411488,0.00706983,1.29175742,0.01948429,0.56832702,1.50410667,1.29718831
-3.77888944,2.59571635,0.00706393,1.26723633,0.01890688,0.57644452,1.50232098,1.27688424
-3.77288644,2.57733051,0.00708215,1.23927874,0.01840633,0.58663796,1.49620546,1.25410764
-3.76688344,2.55971524,0.00712648,1.20830124,0.01799638,0.59904013,1.48600390,1.22928163
-3.76088044,2.54349909,0.00719765,1.17474205,0.01768773,0.61370690,1.47200328,1.20282691
-3.75487744,2.52916736,0.00729510,1.13905290,0.01748795,0.63061467,1.45452581,1.17515287
-3.74887444,2.51705356,0.00741698,1.10169035,0.01740141,0.64966076,1.43391999,1.14664928
-3.74287144,2.50733617,0.00756022,1.06310691,0.01742937,0.67066677,1.41055108,1.11767826
-3.73686843,2.50004068,0.00772064,1.02374212,0.01757011,0.69338465,1.38479141,1.08856734
-3.73086543,2.49504663,0.00789309,0.98401392,0.01781922,0.71750510,1.35701085,1.05960331
-3.72486243,2.49209921,0.00807171,0.94431073,0.01816985,0.74266797,1.32756798,1.03102757
-3.71885943,2.49082492,0.00825010,0.90498444,0.01861310,0.76847423,1.29680226,1.00303289
-3.71285643,2.49075068,0.00842161,0.86634465,0.01913839,0.79449884,1.26502749,0.97576184
-3.70685343,2.49132559,0.00857958,0.82865450,0.01973379,0.82030421,1.23252690,0.94930709
-3.70085043,2.49194461,0.00871764,0.79212801,0.02038649,0.84545362,1.19954982,0.92371343
-3.69484742,2.49197325,0.00882993,0.75692929,0.02108306,0.86952414,1.16631013,0.89898151
-3.68884442,2.49077257,0.00891135,0.72317344,0.02180986,0.89211867,1.13298629,0.87507325
-3.68284142,2.48772351,0.00895777,0.69092906,0.02255330,0.91287674,1.09972296,0.85191843
-3.67683842,2.48224991,0.00896618,0.66022222,0.02330011,0.93148383,1.06663373,0.82942246
-3.67083542,2.47383944,0.00893481,0.63104172,0.02403760,0.94767893,1.03380501,0.80747467
-3.66483242,2.46206199,0.00886324,0.60334514,0.02475382,0.96126041,1.00130052,0.78595699
-3.65882941,2.44658490,0.00875238,0.57706559,0.02543779,0.97208999,0.96916620,0.76475240
-3.65282641,2.42718484,0.00860450,0.55211866,0.02607956,0.98009496,0.93743532,0.74375295
-3.64682341,2.40375599,0.00842310,0.52840935,0.02667039,0.98526868,0.90613342,0.72286684
-3.64082041,2.37631456,0.00821286,0.50583860,0.02720286,0.98766952,0.87528286,0.70202444
-3.63481741,2.34499949,0.00797945,0.48430927,0.02767090,0.98741831,0.84490698,0.68118282
-3.62881441,2.31006961,0.00772936,0.46373127,0.02806993,0.98469451,0.81503356,0.66032889
-3.62281141,2.27189723,0.00746971,0.44402576,0.02839684,0.97973106,0.78569756,0.63948080
-3.61680840,2.23095846,0.00720801,0.42512830,0.02865004,0.97280829,0.75694310,0.61868782
-3.61080540,2.18782058,0.00695194,0.40699093,0.02882948,0.96424673,0.72882473,0.59802861
-3.60480240,2.14312658,0.00670915,0.38958311,0.02893657,0.95439900,0.70140779,0.57760819
-3.59879940,2.09757739,0.00648696,0.37289178,0.02897411,0.94364092,0.67476816,0.55755349
-3.59279640,2.05191197,0.00629227,0.35692030,0.02894619,0.93236180,0.64899117,0.53800809
-3.58679340,2.00688592,0.00613123,0.34168674,0.02885800,0.92095422,0.62416991,0.51912603
-3.58079040,1.96324890,0.00600921,0.32722139,0.02871564,0.90980322,0.60040300,0.50106519
-3.57478739,1.92172154,0.00593055,0.31356375,0.02852583,0.89927533,0.57779175,0.48398042
-3.56878439,1.88297244,0.00589850,0.30075919,0.02829567,0.88970753,0.55643700,0.46801676
-3.56278139,1.84759600,0.00591513,0.28885539,0.02803228,0.88139660,0.53643566,0.45330288
-3.55677839,1.81609177,0.00598126,0.27789868,0.02774252,0.87458914,0.51787712,0.43994526
-3.55077539,1.78884633,0.00609646,0.26793060,0.02743266,0.86947265,0.50083970,0.42802303
-3.54477239,1.76611815,0.00625904,0.25898463,0.02710806,0.86616819,0.48538717,0.41758398
-3.53876938,1.74802656,0.00646609,0.25108339,0.02677298,0.86472495,0.47156574,0.40864162
-3.53276638,1.73454514,0.00671356,0.24423630,0.02643032,0.86511704,0.45940146,0.40117374
-3.52676338,1.72550027,0.00699634,0.23843786,0.02608153,0.86724294,0.44889818,0.39512220
-3.52076038,1.72057495,0.00730839,0.23366659,0.02572655,0.87092768,0.44003630,0.39039423
-3.51475738,1.71931806,0.00764285,0.22988463,0.02536388,0.87592784,0.43277227,0.38686511
-3.50875438,1.72115886,0.00799225,0.22703807,0.02499065,0.88193933,0.42703884,0.38438207
-3.50275138,1.72542610,0.00834862,0.22505785,0.02460286,0.88860767,0.42274610,0.38276930
-3.49674837,1.73137129,0.00870373,0.22386124,0.02419566,0.89554052,0.41978329,0.38183389
-3.49074537,1.73819491,0.00904924,0.22335391,0.02376367,0.90232177,0.41802117,0.38137232
-3.48474237,1.74507460,0.00937694,0.22343218,0.02330137,0.90852686,0.41731486,0.38117736
-3.47873937,1.75119404,0.00967893,0.22398565,0.02280346,0.91373843,0.41750712,0.38104493
-3.47273637,1.75577126,0.00994778,0.22489988,0.02226527,0.91756172,0.41843177,0.38078065
-3.46673337,1.75808517,0.01017676,0.22605905,0.02168311,0.91963916,0.41991724,0.38020594
-3.46073037,1.75749911,0.01035998,0.22734851,0.02105459,0.91966320,0.42179001,0.37916314
-3.45472736,1.75348065,0.01049250,0.22865711,0.02037888,0.91738727,0.42387801,0.37751972
-3.44872436,1.74561677,0.01057052,0.22987920,0.01965685,0.91263413,0.42601374,0.37517123
