energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
3.44872436,1.52508606,1.33631042,0.00000000,0.04292578,0.16018161,0.04225479,0.26875069,0.35919896,0.47277354
3.45472736,1.55888986,1.38475909,0.00000000,0.04514034,0.16578588,0.04277060,0.27251348,0.36764055,0.47834344
3.46073037,1.59588849,1.43289532,0.00000000,0.04735593,0.17187177,0.04334346,0.27688551,0.37688193,0.48491534
3.46673337,1.63574524,1.47999468,0.00000000,0.04953281,0.17848739,0.04396448,0.28183624,0.38691067,0.49245613
3.47273637,1.67813783,1.52536482,0.00000000,0.05163180,0.18568108,0.04462567,0.28733629,0.39771830,0.50093825
3.47873937,1.72276318,1.56836918,0.00000000,0.05361549,0.19349775,0.04532016,0.29335691,0.40929938,0.51033690
3.48474237,1.76933945,1.60844808,0.00000000,0.05544927,0.20197510,0.04604240,0.29986892,0.42165013,0.52062663
3.49074537,1.81760523,1.64513603,0.00000000,0.05710228,0.21113999,0.04678823,0.30684125,0.43476645,0.53177753
3.49674837,1.86731594,1.67807453,0.00000000,0.05854822,0.22100508,0.04755484,0.31423910,0.44864161,0.54375116
3.50275138,1.91823762,1.70701959,0.00000000,0.05976584,0.23156586,0.04834059,0.32202186,0.46326352,0.55649655
3.50875438,1.97013851,1.73184377,0.00000000,0.06073932,0.24279833,0.04914478,0.33014097,0.47861195,0.56994625
3.51475738,2.02277896,1.75253252,0.00000000,0.06145837,0.25465732,0.04996733,0.33853777,0.49465559,0.58401305
3.52076038,2.07590044,1.76917525,0.00000000,0.06191807,0.26707560,0.05080829,0.34714166,0.51134933,0.59858722
3.52676338,2.12921435,1.78195150,0.00000000,0.06211858,0.27996387,0.05166744,0.35586858,0.52863169,0.61353473
3.53276638,2.18239151,1.79111318,0.00000000,0.06206464,0.29321159,0.05254376,0.36462010,0.54642266,0.62869651
3.53876938,2.23505311,1.79696377,0.00000000,0.06176489,0.30668868,0.05343495,0.37328315,0.56462208,0.64388889
3.54477239,2.28676393,1.79983585,0.00000000,0.06123122,0.32024792,0.05433701,0.38173060,0.58310849,0.65890523
3.55077539,2.33702850,1.80006802,0.00000000,0.06047791,0.33372807,0.05524385,0.38982262,0.60173874,0.67351884
3.55677839,2.38529065,1.79798278,0.00000000,0.05952097,0.34695756,0.05614698,0.39740895,0.62034826,0.68748698
3.56278139,2.43093673,1.79386631,0.00000000,0.05837734,0.35975850,0.05703541,0.40433193,0.63875203,0.70055589
3.56878439,2.47330282,1.78795147,0.00000000,0.05706431,0.37195088,0.05789559,0.41043035,0.65674631,0.71246661
3.57478739,2.51168551,1.78040482,0.00000000,0.05559903,0.38335691,0.05871156,0.41554373,0.67411106,0.72296144
3.58079040,2.54535629,1.77131835,0.00000000,0.05399805,0.39380512,0.05946519,0.41951715,0.69061305,0.73179059
3.58679340,2.57357877,1.76070622,0.00000000,0.05227714,0.40313424,0.06013663,0.42220618,0.70600958,0.73871898
3.59279640,2.59562818,1.74850676,0.00000000,0.05045114,0.41119669,0.06070489,0.42348177,0.72005273,0.74353268
3.59879940,2.61081245,1.73458941,0.00000000,0.04853396,0.41786155,0.06114846,0.42323490,0.73249417,0.74604489
3.60480240,2.61849386,1.71876617,0.00000000,0.04653870,0.42301700,0.06144609,0.42138065,0.74309025,0.74610114
3.61080540,2.61811051,1.70080695,0.00000000,0.04447777,0.42657216,0.06157761,0.41786169,0.75160750,0.74358357
3.61680840,2.60919658,1.68045788,0.00000000,0.04236311,0.42845842,0.06152473,0.41265078,0.75782821,0.73841415
3.62281141,2.59140079,1.65746163,0.00000000,0.04020643,0.42863019,0.06127188,0.40575236,0.76155609,0.73055670
3.62881441,2.56450212,1.63157870,0.00000000,0.03801935,0.42706518,0.06080693,0.39720304,0.76262189,0.72001780
3.63481741,2.52842223,1.60260850,0.00000000,0.03581360,0.42376426,0.06012188,0.38707110,0.76088871,0.70684655
3.64082041,2.48323423,1.57040932,0.00000000,0.03360108,0.41875100,0.05921337,0.37545485,0.75625687,0.69113319
3.64682341,2.42916731,1.53491611,0.00000000,0.03139393,0.41207088,0.05808313,0.36248018,0.74866828,0.67300685
3.65282641,2.36660710,1.49615526,0.00000000,0.02920442,0.40379031,0.05673812,0.34829720,0.73810989,0.65263240
3.65882941,2.29609181,1.45425576,0.00000000,0.02704493,0.39399538,0.05519067,0.33307628,0.72461635,0.63020662
3.66483242,2.21830415,1.40945609,0.00000000,0.02492769,0.38279053,0.05345831,0.31700363,0.70827138,0.60595388
3.67083542,2.13405935,1.36210668,0.00000000,0.02286464,0.37029694,0.05156342,0.30027657,0.68920805,0.58012134
3.67683842,2.04428954,1.31266766,0.00000000,0.02086713,0.35665088,0.04953282,0.28309873,0.66760758,0.55297401
3.68284142,1.95002509,1.26170205,0.00000000,0.01894572,0.34200171,0.04739707,0.26567534,0.64369683,0.52478960
3.68884442,1.85237326,1.20986457,0.00000000,0.01710991,0.32650980,0.04518977,0.24820878,0.61774438,0.49585336
3.69484742,1.75249500,1.15788646,0.00000000,0.01536792,0.31034422,0.04294664,0.23089446,0.59005522,0.46645304
3.70085043,1.65158030,1.10655691,0.00000000,0.01372654,0.29368013,0.04070459,0.21391723,0.56096434,0.43687405
3.70685343,1.55082301,1.05670164,0.00000000,0.01219097,0.27669606,0.03850077,0.19744837,0.53082918,0.40739472
3.71285643,1.45139568,1.00915952,0.00000000,0.01076476,0.25957104,0.03637156,0.18164311,0.50002141,0.37828207
3.71885943,1.35442528,0.96475789,0.00000000,0.00944981,0.24248152,0.03435159,0.16663885,0.46891814,0.34978787
3.72486243,1.26097026,0.92428763,0.00000000,0.00824637,0.22559832,0.03247287,0.15255396,0.43789297,0.32214508
3.73086543,1.17199990,0.88847864,0.00000000,0.00715320,0.20908367,0.03076389,0.13948720,0.40730720,0.29556497
3.73686843,1.08837616,0.85797682,0.00000000,0.00616764,0.19308829,0.02924894,0.12751764,0.37750146,0.27023463
3.74287144,1.01083889,0.83332321,0.00000000,0.00528581,0.17774883,0.02794752,0.11670521,0.34878816,0.24631520
3.74887444,0.93999457,0.81493610,0.00000000,0.00450284,0.16318556,0.02687382,0.10709152,0.32144496,0.22394073
3.75487744,0.87630888,0.80309691,0.00000000,0.00381303,0.14950057,0.02603645,0.09870124,0.29570947,0.20321765
3.76088044,0.82010344,0.79794016,0.00000000,0.00321013,0.13677646,0.02543830,0.09154367,0.27177549,0.18422499
3.76688344,0.77155650,0.79944819,0.00000000,0.00268750,0.12507556,0.02507655,0.08561467,0.24979062,0.16701526
3.77288644,0.73070766,0.80745077,0.00000000,0.00223837,0.11443984,0.02494283,0.08089871,0.22985553,0.15161595
3.77888944,0.69746638,0.82162973,0.00000000,0.00185599,0.10489128,0.02502363,0.07737106,0.21202474,0.13803160
3.78489245,0.67162379,0.84152852,0.00000000,0.00153383,0.09643292,0.02530072,0.07500010,0.19630875,0.12624642
3.79089545,0.65286743,0.86656645,0.00000000,0.00126571,0.08905038,0.02575184,0.07374959,0.18267757,0.11622729
3.79689845,0.64079832,0.89605706,0.00000000,0.00104593,0.08271383,0.02635139,0.07358085,0.17106515,0.10792705
3.80290145,0.63494971,0.92923007,0.00000000,0.00086939,0.07738030,0.02707134,0.07445490,0.16137480,0.10128799
3.80890445,0.63480677,0.96525601,0.00000000,0.00073164,0.07299629,0.02788206,0.07633433,0.15348513,0.09624536
3.81490745,0.63982648,1.00327270,0.00000000,0.00062896,0.06950041,0.02875333,0.07918496,0.14725639,0.09273077
3.82091046,0.64945704,1.04241235,0.00000000,0.00055840,0.06682615,0.02965524,0.08297717,0.14253689,0.09067539
3.82691346,0.66315598,1.08182839,0.00000000,0.00051783,0.06490448,0.03055916,0.08768685,0.13916926,0.09001275
3.83291646,0.68040643,1.12072076,0.00000000,0.00050592,0.06366630,0.03143857,0.09329593,0.13699648,0.09068106
3.83891946,0.70073081,1.15835876,0.00000000,0.00052218,0.06304457,0.03226986,0.09979247,0.13586733,0.09262500
3.84492246,0.72370176,1.19410041,0.00000000,0.00056698,0.06297612,0.03303300,0.10717018,0.13564127,0.09579683
3.85092546,0.74894959,1.22740754,0.00000000,0.00064151,0.06340304,0.03371202,0.11542753,0.13619252,0.10015683
3.85692846,0.77616641,1.25785610,0.00000000,0.00074778,0.06427366,0.03429540,0.12456625,0.13741343,0.10567296
3.86293147,0.80510674,1.28514129,0.00000000,0.00088862,0.06554305,0.03477626,0.13458941,0.13921700,0.11231990
3.86893447,0.83558470,1.30907741,0.00000000,0.00106766,0.06717313,0.03515235,0.14549905,0.14153860,0.12007740
3.87493747,0.86746813,1.32959263,0.00000000,0.00128926,0.06913237,0.03542592,0.15729344,0.14433685,0.12892798
3.88094047,0.90067001,1.34671904,0.00000000,0.00155849,0.07139513,0.03560335,0.16996406,0.14759385,0.13885420
3.88694347,0.93513774,1.36057872,0.00000000,0.00188107,0.07394076,0.03569470,0.18349242,0.15131466,0.14983557
3.89294647,0.97084087,1.37136663,0.00000000,0.00226327,0.07675247,0.03571314,0.19784691,0.15552615,0.16184517
3.89894947,1.00775796,1.37933126,0.00000000,0.00271179,0.07981609,0.03567422,0.21297968,0.16027533,0.17484633
3.90495248,1.04586332,1.38475422,0.00000000,0.00323368,0.08311882,0.03559514,0.22882388,0.16562714,0.18878935
3.91095548,1.08511436,1.38792973,0.00000000,0.00383610,0.08664797,0.03549396,0.24529133,0.17166174,0.20360866
3.91695848,1.12544018,1.38914520,0.00000000,0.00452621,0.09038992,0.03538885,0.26227083,0.17847147,0.21922040
3.92296148,1.16673201,1.38866374,0.00000000,0.00531089,0.09432924,0.03529733,0.27962713,0.18615727,0.23552072
3.92896448,1.20883605,1.38670949,0.00000000,0.00619649,0.09844809,0.03523559,0.29720091,0.19482493,0.25238503
3.93496748,1.25154903,1.38345639,0.00000000,0.00718859,0.10272586,0.03521794,0.31480968,0.20458083,0.26966806
3.94097049,1.29461687,1.37902076,0.00000000,0.00829169,0.10713927,0.03525629,0.33224974,0.21552755,0.28720512
3.94697349,1.33773633,1.37345795,0.00000000,0.00950887,0.11166264,0.03535987,0.34929921,0.22775917,0.30481438
3.95297649,1.38055984,1.36676298,0.00000000,0.01084152,0.11626857,0.03553494,0.36572211,0.24135649,0.32230030
3.95897949,1.42270310,1.35887494,0.00000000,0.01228900,0.12092880,0.03578474,0.38127339,0.25638220,0.33945797
3.96498249,1.46375527,1.34968475,0.00000000,0.01384839,0.12561535,0.03610951,0.39570479,0.27287613,0.35607846
